7196D_XXY	7273C_XX	7275D_XX	7351C_XXY	7384C_XX	7434C_XXY	7492C_XXY	7493C_XXY	7509C_XX	7538C_XXY
ABCB7	NA	NA	NA	NA	NA	NA	NA	NA	0.0371389270976616	NA
ABCD1	0.221282161333407	0.0170756717559214	NA	NA	NA	NA	NA	NA	0.059561128526646	NA
ACOT9	NA	0.222203801945181	NA	0.1252444589309	NA	NA	NA	NA	0.06767076137406	0.195231847192383
ACSL4	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
AIFM1	0	0	NA	NA	NA	NA	0.00973481033904035	NA	NA	NA
AKAP17A	NA	0.329054842473746	0.727895981087471	NA	0.704760320760321	NA	NA	NA	0.804862961062945	NA
ALG13	NA	NA	NA	NA	NA	NA	0.24461587913854	NA	0.0288701335707028	NA
AMMECR1	NA	NA	NA	NA	NA	NA	0.23702950152594	0.0895848506919158	NA	0.0923651895355049
AMOT	NA	0.0643821430454085	NA	0.0295398237235135	NA	NA	0.0292738046593371	NA	NA	NA
APOO	NA	0	NA	NA	NA	NA	0.185185185185185	NA	NA	0.088039284461592
APOOL	0.137170141901477	0.304311412133129	0.821428571428572	0.179813508064516	0.972222222222222	0.465299277605779	0.326676374731295	0.130008848279855	0.419628963931636	0.22922562705252
ARAF	0.328859060402685	NA	NA	NA	0.214285714285714	NA	NA	0	NA	NA
ARMCX1	NA	0.108241082410824	NA	0.122137404580153	NA	NA	NA	0	NA	0.0661282180716806
ARMCX3	NA	0	NA	0	NA	NA	0.0952692391541309	0	NA	0.0773598296664303
ARMCX4	NA	NA	0.230769230769231	NA	NA	NA	0.152823614004683	NA	NA	NA
ARMCX6	NA	0	NA	0.0860215053763446	NA	NA	NA	NA	NA	0
ARSD	0.236641221374045	0.7	NA	NA	NA	NA	0.37428750418864	NA	0.591836734693878	NA
ASMTL	NA	0.941724941724942	0.826402066202825	NA	0.892286833960699	NA	NA	NA	0.425664854139418	NA
ATG4A	NA	NA	NA	0.0255364019805612	NA	NA	NA	NA	NA	0.0260186324025858
ATP11C	NA	NA	NA	NA	NA	0.00281257990283788	NA	NA	NA	0
ATP6AP1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA
ATP6AP2	NA	NA	NA	NA	NA	NA	NA	NA	0	0
ATP7A	0	NA	NA	NA	NA	NA	0.0308587202997139	0	NA	0
ATRX	0.697428139183055	NA	NA	NA	NA	NA	NA	0	NA	0.164345403899721
BCAP31	NA	0.0802675585284284	NA	NA	NA	NA	NA	NA	NA	NA
BCOR	0.103942652329749	NA	NA	NA	NA	NA	NA	0.0526802218114605	NA	NA
BEX4	NA	0	NA	NA	NA	NA	NA	0.177071509648128	NA	NA
BGN	0.0180162033682276	0	0.0947705442902882	NA	NA	0	0.21254950319571	0	NA	NA
BHLHB9	NA	0.764150943396226	NA	NA	NA	NA	NA	NA	NA	NA
BRCC3	NA	0.00990099009900988	NA	NA	NA	NA	0	0.00990099009900988	NA	0
C1GALT1C1	NA	0	NA	NA	NA	0.0136986301369867	0.019300172603169	NA	0	0
CA5B	0.228846249101042	0.683805559948274	0.7	NA	0.195601107127902	0.321310125096596	0.795612787302538	0.537849968915385	0.322033898305085	0.416057336930086
CASK	NA	0.85632183908046	NA	NA	NA	NA	NA	NA	NA	NA
CCDC22	0	0	NA	NA	NA	NA	0.0118577075098816	NA	NA	0.0336554481839387
CD99	NA	0.337268011597021	0.725546224892121	NA	0.588860237235688	NA	NA	NA	NA	NA
CD99L2	0	0	NA	NA	NA	NA	0.00415532311219366	NA	0	0.0218688910732232
CENPI	0.0485412328437934	NA	NA	0.211822660098522	NA	NA	0.0729574056382421	NA	0.00990099009900957	NA
CETN2	NA	NA	NA	NA	NA	0.298245614035088	0.0118577075098816	0.137516046213094	NA	NA
CHM	0.184339314845024	NA	0.105555555555555	NA	0.147689768976898	NA	0.148794485591269	0.211471111164145	0	NA
CHST7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
CLCN5	NA	NA	NA	NA	NA	NA	0.230769230769231	NA	NA	NA
CTPS2	NA	NA	NA	NA	NA	NA	NA	NA	0.108547815497448	0
CUL4B	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
CXorf38	0	0	NA	NA	NA	NA	0.0414623272403026	NA	NA	0.0888903259421313
DDX3X	NA	0.389411925228544	0.537525354969574	NA	0.514240506329114	NA	NA	NA	NA	NA
DHRSX	NA	NA	0.898663208082395	NA	NA	NA	NA	NA	NA	NA
DKC1	NA	0	NA	NA	NA	0	0	0	NA	0.0672774435675253
DLG3	NA	0.652777777777778	NA	NA	NA	NA	NA	NA	NA	NA
DMD	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2
DNASE1L1	NA	NA	NA	NA	NA	0.0630855715178017	NA	NA	0	NA
DOCK11	NA	0	NA	0	NA	NA	NA	NA	NA	0
DYNLT3	0.0116982654296087	0.0650801359883433	NA	NA	NA	NA	0	0.00151679031958252	0.00729241542421195	0
EDA2R	NA	NA	NA	0.00172350517198858	NA	NA	0.0731347772984265	NA	NA	0
EFNB1	NA	NA	NA	NA	NA	NA	NA	0.0815412186379929	0.0830495153261729	NA
