AR_adj_mean_fib	AR_ci95_low_fib	AR_ci95_hi_fib	AR_pval_fib	AR_pval_adj_fib
ABCD1	0.099306320538658	-0.0823427007651446	Inf	0.125742593217026	0.200125535683436
ACOT9	0.152587717360631	0.0704347013352014	Inf	0.0110754011958233	0.0544139276142622
AIFM1	0.00324493677968012	-0.00623023182614527	Inf	0.211324865405187	0.211324865405187
AKAP17A	0.641643526346121	0.391315739671846	Inf	0.00456707341299608	0.0258039647834279
AMMECR1	0.13965984725112	-0.0025184630656061	Inf	0.0515476877929342	0.135462528386083
AMOT	0.041065257142753	0.00702203333681644	Inf	0.0360027642464433	0.112613211892188
APOO	0.0910748232155924	-0.0650857132831301	Inf	0.115342206866729	0.194532378745378
ARAF	0.181048258229466	-0.100371385846668	Inf	0.100542421958155	0.193651542922223
ARMCX1	0.0741266762656642	0.00957855247614264	Inf	0.0368122638108731	0.112613211892188
ARMCX3	0.0345258137641122	-0.0109495616522853	Inf	0.0904286546666956	0.191480650858951
ARMCX6	0.0286738351254482	-0.0550533499743006	Inf	0.211324865405187	0.211324865405187
ARSD	0.475691365064141	0.229587767547779	Inf	0.0099521637145701	0.0511179318066555
ASMTL	0.771519674006971	0.494576544364541	Inf	0.00360807441097722	0.0233376170032997
ATP7A	0.00771468007492847	-0.0104407659246024	Inf	0.195501109477885	0.211324865405187
BGN	0.0542227084757044	-0.0163928960708994	Inf	0.091235956442791	0.191480650858951
BRCC3	0.00495049504950494	-0.00177581689397948	Inf	0.0908450569081046	0.191480650858951
C1GALT1C1	0.00659976054803115	-0.00222058560814367	Inf	0.0929553753933298	0.191480650858951
CA5B	0.466790781414101	0.330017794071115	Inf	0.000110728264692627	0.00235773247128618
CCDC22	0.0113782889234551	-0.00729394309118663	Inf	0.123509952322548	0.200125535683436
CD99	0.550558157908277	0.21852493958853	Inf	0.0200542973351311	0.0827483709091066
CD99L2	0.00520484283708337	-0.00384061048711036	Inf	0.14360414315385	0.211324865405187
CENPI	0.0858055721698918	-0.0176610854392744	Inf	0.0730183619668985	0.166180043248668
CETN2	0.149206455919354	-0.0928003301486224	Inf	0.106809585653004	0.194532378745378
CHM	0.132975039355482	0.0717439895162012	Inf	0.00359052740928307	0.0233376170032997
CXorf38	0.0325881632956085	-0.0172076810609223	Inf	0.11058519641942	0.194532378745378
DDX3X	0.480392595509077	0.346119205475912	Inf	0.00451935490864543	0.0258039647834279
DKC1	0.0134554887135051	-0.0152295516588352	Inf	0.186950483150029	0.211324865405187
DOCK11	0	NA	NA	NA	NA
DYNLT3	0.0142646011936244	-0.00656909040623472	Inf	0.113096813253777	0.194532378745378
