AR_adj_mean_fib	AR_ci95_low_fib	AR_ci95_hi_fib	AR_pval_fib	AR_pval_adj_fib
ABCD1	0.099306320538658	-0.0823427007651446	Inf	0.125742593217026	0.211324865405187
ACOT9	0.152587717360631	0.0704347013352014	Inf	0.0110754011958233	0.0799011086270108
AIFM1	0.00324493677968012	-0.00623023182614527	Inf	0.211324865405187	0.211324865405187
AMMECR1	0.13965984725112	-0.0025184630656061	Inf	0.0515476877929342	0.153126954914304
AMOT	0.041065257142753	0.00702203333681644	Inf	0.0360027642464433	0.133048445949517
APOO	0.0910748232155924	-0.0650857132831301	Inf	0.115342206866729	0.211324865405187
ARMCX1	0.0741266762656642	0.00957855247614264	Inf	0.0368122638108731	0.133048445949517
ARMCX3	0.0345258137641122	-0.0109495616522853	Inf	0.0904286546666956	0.211324865405187
ARMCX6	0.0286738351254482	-0.0550533499743006	Inf	0.211324865405187	0.211324865405187
ARSD	0.475691365064141	0.229587767547779	Inf	0.0099521637145701	0.0799011086270108
ATP7A	0.00771468007492847	-0.0104407659246024	Inf	0.195501109477885	0.211324865405187
BGN	0.0461131413127876	-0.0429023323463668	Inf	0.165697100564443	0.211324865405187
BRCC3	0.00495049504950494	-0.00177581689397948	Inf	0.0908450569081046	0.211324865405187
C1GALT1C1	0.00659976054803115	-0.00222058560814367	Inf	0.0929553753933298	0.211324865405187
CA5B	0.472216560799858	0.318924707011992	Inf	0.0004882223368069	0.0123276140043742
CCDC22	0.0113782889234551	-0.00729394309118663	Inf	0.123509952322548	0.211324865405187
CD99L2	0.00520484283708337	-0.00384061048711036	Inf	0.14360414315385	0.211324865405187
CENPI	0.0858055721698918	-0.0176610854392744	Inf	0.0730183619668985	0.190426416702013
CETN2	0.149206455919354	-0.0928003301486224	Inf	0.106809585653004	0.211324865405187
CHM	0.13615122790011	0.0251595429559522	Inf	0.0315881985581154	0.133048445949517
CXorf38	0.0325881632956085	-0.0172076810609223	Inf	0.11058519641942	0.211324865405187
DKC1	0.0134554887135051	-0.0152295516588352	Inf	0.186950483150029	0.211324865405187
DOCK11	0	NA	NA	NA	NA
DYNLT3	0.0142646011936244	-0.00656909040623472	Inf	0.113096813253777	0.211324865405187
EDA2R	0.0249527608234717	-0.045407635919059	Inf	0.204603918432645	0.211324865405187
EIF1AX	0.387916170243136	0.178668506027324	Inf	0.00839386578495983	0.0799011086270108
EIF2S3	0.406227394727841	0.253089861200743	Inf	0.00813089201715825	0.0799011086270108
ELF4	0.0348831918166015	-0.0194363768250093	Inf	0.113945193982881	0.211324865405187
ERCC6L	0.128069819362695	-0.141992790806741	Inf	0.150191130058208	0.211324865405187
FAM199X	0.00742778541953233	-0.0084071150566216	Inf	0.186950483150029	0.211324865405187
FHL1	0.0831210341409116	-0.0296770501878361	Inf	0.0956427977759986	0.211324865405187
FLNA	0.00438596491228064	-0.00842098938751622	Inf	0.211324865405187	0.211324865405187
FMR1	0.0140495867768595	-0.0159019796426058	Inf	0.186950483150029	0.211324865405187
G6PD	0.0234829201866475	-0.0295432293448649	Inf	0.162596027043879	0.211324865405187
GABRE	0.123718228970997	-0.0690582742257905	Inf	0.100895611830739	0.211324865405187
GRIA3	0.0595393256683579	-0.0805783462923133	Inf	0.195501109477885	0.211324865405187
GRIPAP1	0.00490185043446929	-0.00941148215123167	Inf	0.211324865405187	0.211324865405187
GYG2	0.149094209027225	-0.221036049155298	Inf	0.180276244394204	0.211324865405187
HCFC1	0.128972086511504	0.0476433963402372	Inf	0.0167643753411406	0.10582511934095
HEPH	0.0414676193908045	-0.0188971750888703	Inf	0.102188319474772	0.211324865405187
HMGB3	0.014677481653148	-0.0281805531299505	Inf	0.211324865405187	0.211324865405187
IDS	0.0129322274513323	0.00212105473018006	Inf	0.0288969158210705	0.133048445949517
LAMP2	0.0203478570717561	-0.0136171793984327	Inf	0.144282601921229	0.211324865405187
MAGED1	0.000158629441624255	-0.000214683285977297	Inf	0.195501109477885	0.211324865405187
MAGED2	0.023984980609961	-0.0460508169161888	Inf	0.211324865405187	0.211324865405187
MAMLD1	0.0304611510770635	0.00764048610681954	Inf	0.0205019483134913	0.115038709981257
MAP7D3	0.0195598912512206	0.00317760870353908	Inf	0.0336509428917263	0.133048445949517
MBTPS2	0.0134858507803713	-0.0106826031160953	Inf	0.140268640800228	0.211324865405187
MECP2	0.0467301941419562	-0.0261597644759286	Inf	0.114246356643415	0.211324865405187
MED14	0.0158672810371061	0.00107313874794022	Inf	0.0420911548675199	0.143781659878303
MID1IP1	0.101807767142622	-0.0166121116983299	Inf	0.0718754138935045	0.190426416702013
MORC4	0.0321297765535963	-0.0589271585937732	Inf	0.205576194487565	0.211324865405187
MORF4L2	0.00291667835207664	-0.0024451329136238	Inf	0.155345319557856	0.211324865405187
MOSPD1	0.00237439472230343	-0.00321341899695189	Inf	0.195501109477885	0.211324865405187
MPP1	0.0516808588381334	-0.0245750690184164	Inf	0.0931985468782503	0.211324865405187
MXRA5	0.0372811902310292	0.00378900400979517	Inf	0.0368847176889751	0.133048445949517
NHSL2	0.0212709875493795	-0.00345563510035313	Inf	0.0702937955767467	0.190426416702013
PGK1	0.123357922565563	-0.123912653585517	Inf	0.162548395678246	0.211324865405187
PHF6	0.000712250712250628	-0.000963934070371556	Inf	0.195501109477885	0.211324865405187
PIGA	0.305679322042953	-0.249517686192977	Inf	0.14288039898651	0.211324865405187
PIR	0.0325409129713447	0.00162182731597507	Inf	0.0441310045171029	0.143781659878303
PLS3	0	NA	NA	NA	NA
POLA1	0.0340150530058389	-0.0571857815608931	Inf	0.194932332803027	0.211324865405187
PRKX	0.187619257664873	0.0337373663537713	Inf	0.0320429953841096	0.133048445949517
PRPS2	0.0147761901211244	-0.00579971385287172	Inf	0.103763077954844	0.211324865405187
PUDP	0.689998378347742	0.579140950455647	Inf	9.70166441027362e-06	0.000979868105437635
RAP2C	0.0318138492537445	-0.0260642926737941	Inf	0.124850785817493	0.211324865405187
RBBP7	0.629715120617118	0.47946798449592	Inf	0.00110794554777367	0.0159860714750201
RBM3	0.0064953868356088	-0.0063144000938979	Inf	0.170262041041224	0.211324865405187
RBM41	0.0757106783249645	-0.0891664744815602	Inf	0.155984378976237	0.211324865405187
RLIM	0.0222847263666371	0.00151854602872116	Inf	0.0428825859631097	0.143781659878303
RPS4X	0.531711651372803	0.420112498212755	Inf	0.000760378369471196	0.0153596430633182
RPS6KA3	0.0291460417278085	-0.00032905564548371	Inf	0.051358202769819	0.153126954914304
SH3BGRL	0.0336496833164598	-0.0201031438380066	Inf	0.104537558568634	0.211324865405187
SLC25A43	0.00402816439403679	-0.00455926492418598	Inf	0.186950483150029	0.211324865405187
SLC25A5	0	NA	NA	NA	NA
SLC9A7	0	NA	NA	NA	NA
SMC1A	0.513683076579467	0.288847500398403	Inf	0.0108693657728229	0.0799011086270108
STS	0.49544026133006	0.366952475254808	Inf	0.000146054223884984	0.00491715887079447
