7252C_XX	7253C_XX	7271C_XX	7273D_XX	7348C_XXY	7349C_XXY	7383C_XX	7464C_XXY	7508C_XX	7516C_XXY
ABCD1	0.382716049382716	NA	0.749400647661517	0.804430226660241	0.605994152046784	NA	0.750863473444119	0.659134615384615	NA	NA
ACOT9	0.800398550724638	0.695419847328244	NA	0.645833333333333	0.75	0.770068027210884	0.78221990483253	0.4	NA	NA
ACSL4	NA	NA	NA	NA	0.945091615095256	NA	NA	NA	NA	NA
AFF2	0.210526315789474	NA	NA	NA	0.636363636363636	NA	0.589246310674882	NA	0.875	NA
AIFM1	NA	NA	NA	0.923076923076923	0.955555555555556	NA	NA	NA	0.644444444444444	NA
AKAP17A	0.864584715648546	NA	0.78397212543554	0.75	NA	NA	0.762740183792816	NA	NA	NA
ALG13	NA	0.555555555555556	NA	NA	NA	NA	NA	NA	0.947368421052632	NA
AMMECR1	NA	0.826086956521739	0.433333333333333	0.74198717948718	0.84	NA	NA	NA	NA	0.595238095238095
AMOT	NA	NA	NA	0.593054984231455	NA	NA	0.737205801860975	NA	1	NA
AP1S2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.375
APOO	NA	NA	NA	0.823529411764706	0.590909090909091	NA	NA	NA	NA	NA
APOOL	0.575910364145658	0.675213675213675	0.68909527972028	0.714285714285714	0.607142857142857	0.410658307210031	0.607142857142857	0.304597701149425	0.567234848484849	0.548333333333333
AR	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
ARAF	NA	0.526315789473684	NA	0.555555555555556	0.882352941176471	NA	NA	NA	0.704184704184704	0.692307692307692
ARHGEF6	NA	NA	0.68	NA	NA	NA	NA	NA	0.238095238095238	NA
ARHGEF9	NA	NA	0.533333333333333	NA	NA	0.206896551724138	NA	NA	0.75	NA
ARMCX1	0.653846153846154	0.620253164556962	NA	0.802469135802469	NA	NA	NA	NA	0.693333333333333	NA
ARMCX2	NA	NA	NA	NA	NA	NA	NA	NA	0.629213483146067	NA
ARMCX3	0.652694610778443	0.823685326547922	NA	0.977272727272727	NA	NA	NA	NA	NA	NA
ARMCX4	0.8	0.909090909090909	0.658730158730159	0.857142857142857	1	NA	0.69264705882353	NA	0.75	NA
