7196D_XXY	7273C_XX	7275D_XX	7351C_XXY	7384C_XX	7434C_XXY	7492C_XXY	7493C_XXY	7509C_XX	7538C_XXY
ABCB7	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA
ABCD1	0.392237982663515	0.206744841864782	NA	NA	NA	NA	NA	NA	0.181818181818182	NA
ACOT9	NA	0.395833333333333	NA	0.363146551724138	NA	NA	NA	NA	0.188095238095238	0.376212023270846
ACSL4	NA	NA	NA	NA	NA	NA	NA	NA	0.0957854406130268	NA
AIFM1	0.0862068965517241	0.126582278481013	NA	NA	NA	NA	0.228758169934641	NA	NA	NA
AKAP17A	NA	0.488888888888889	0.727895981087471	NA	0.704760320760321	NA	NA	NA	0.842768959435626	NA
ALG13	NA	NA	NA	NA	NA	NA	0.44047619047619	NA	0.151923076923077	NA
AMMECR1	NA	NA	NA	NA	NA	NA	0.433962264150943	0.27536231884058	NA	0.291666666666667
AMOT	NA	0.251587301587302	NA	0.276989041677168	NA	NA	0.246843434343435	NA	NA	NA
APOO	NA	0.137931034482759	NA	NA	NA	NA	0.388888888888889	NA	NA	0.287671232876712
APOOL	0.321452991452991	0.451871657754011	0.821428571428572	0.410064935064935	0.972222222222222	0.571428571428572	0.509195402298851	0.310386946386946	0.511764705882353	0.396099180412906
ARAF	0.5	NA	NA	NA	0.214285714285714	NA	NA	0.1875	NA	NA
ARMCX1	NA	0.292682926829268	NA	0.361111111111111	NA	NA	NA	0.137931034482759	NA	0.267326732673267
ARMCX3	NA	0.150602409638554	NA	0.229591836734694	NA	NA	0.308333333333333	0.185185185185185	NA	0.277777777777778
ARMCX4	NA	NA	0.230769230769231	NA	NA	NA	0.355263157894737	NA	NA	NA
ARMCX6	NA	0.163265306122449	NA	0.328947368421053	NA	NA	NA	NA	NA	0.182926829268293
ARSD	0.421052631578947	0.785714285714286	NA	NA	NA	NA	0.53804686475141	NA	0.666666666666667	NA
ASMTL	NA	0.96	0.826402066202825	NA	0.892286833960699	NA	NA	NA	0.521302536290021	NA
ATG4A	NA	NA	NA	0.273132427843803	NA	NA	NA	NA	NA	0.229612403100775
ATP11C	NA	NA	NA	NA	NA	0.152173913043478	NA	NA	NA	0.142857142857143
ATP6AP1	NA	NA	NA	NA	NA	0.116279069767442	NA	NA	NA	NA
ATP6AP2	NA	NA	NA	NA	NA	NA	NA	NA	0.101745899305348	0.189473684210526
ATP7A	0.12	NA	NA	NA	NA	NA	0.248148148148148	0.133333333333333	NA	0.180124223602484
ATRX	0.789473684210526	NA	NA	NA	NA	NA	NA	0.15	NA	0.357142857142857
BCAP31	NA	0.266666666666667	NA	NA	NA	NA	NA	NA	NA	NA
BCOR	0.302325581395349	NA	NA	NA	NA	NA	NA	0.240740740740741	NA	NA
BEX4	NA	0.181818181818182	NA	NA	NA	NA	NA	0.355555555555556	NA	NA
BGN	0.220012605847395	0.174214684741984	0.0947705442902882	NA	NA	0.114527594293427	0.398850562442842	0.15098883017477	NA	NA
BHLHB9	NA	0.833333333333333	NA	NA	NA	NA	NA	NA	NA	NA
BRCC3	NA	0.2	NA	NA	NA	NA	0.171428571428571	0.2	NA	0.178571428571429
C1GALT1C1	NA	0.156030456454335	NA	NA	NA	0.162790697674419	0.23780487804878	NA	0.116279069767442	0.124031007751938
CA5B	0.395806277056277	0.766666666666667	0.7	NA	0.195601107127902	0.444444444444445	0.863636363636364	0.64297385620915	0.428571428571429	0.564538239538239
CASK	NA	0.9	NA	NA	NA	NA	NA	NA	NA	NA
CCDC22	0.130434782608696	0.12	NA	NA	NA	NA	0.230769230769231	NA	NA	0.236842105263158
CD99	NA	0.481760763083269	0.725546224892121	NA	0.588860237235688	NA	NA	NA	NA	NA
CD99L2	0.12315480375668	0.122137404580153	NA	NA	NA	NA	0.223463687150838	NA	0.117307692307693	0.225114416475973
CENPI	0.248244511870956	NA	NA	0.4375	NA	NA	0.287747082638724	NA	0.133333333333333	NA
CETN2	NA	NA	NA	NA	NA	0.428571428571429	0.230769230769231	0.3125	NA	NA
CHM	0.375	NA	0.105555555555555	NA	0.147689768976898	NA	0.356624319419238	0.382127728901922	0.108704137392662	NA
CHST7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.157894736842105
CLCN5	NA	NA	NA	NA	NA	NA	0.428571428571429	NA	NA	NA
CTPS2	NA	NA	NA	NA	NA	NA	NA	NA	0.228144989339019	0.173913043478261
CUL4B	NA	NA	NA	NA	NA	NA	NA	NA	0.113636363636364	NA
CXorf38	0.155555555555556	0.107142857142857	NA	NA	NA	NA	0.258620689655172	NA	NA	0.287936507936508
DDX3X	NA	0.539845758354756	0.537525354969574	NA	0.514240506329114	NA	NA	NA	NA	NA
DHRSX	NA	NA	0.898663208082395	NA	NA	NA	NA	NA	NA	NA
DKC1	NA	0.171779141104294	NA	NA	NA	0.112244897959184	0.17175572519084	0.189003436426117	NA	0.268398268398268
DLG3	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA
DMD	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.388888888888889
DNASE1L1	NA	NA	NA	NA	NA	0.210526315789474	NA	NA	0.0857142857142857	NA
DOCK11	NA	0.125	NA	0.161290322580645	NA	NA	NA	NA	NA	0.166666666666667
DYNLT3	0.216	0.252427184466019	NA	NA	NA	NA	0.177873322147651	0.191188441188442	0.13076923076923	0.163757030371203
