AR_adj_mean_fib	AR_mean_fib	AR_ci95_low_fib	AR_pval_fib	AR_pval_adj_fib
ABCD1	0.0993063205386581	0.0873033443812924	-0.0630815752786409	0.116066668857742	0.310266075429285
ACOT9	0.152587717360631	0.138599043305238	0.0652076522744651	0.0105934929646668	0.0525260692831398
AIFM1	0.00324493677968012	-0.0577534392463992	-0.165900954470986	0.870368433837172	0.952587475957656
AKAP17A	0.641643526346121	0.612560613519535	0.365870343073849	0.00499336486930204	0.0312742326024707
AMMECR1	0.13965984725112	0.128727862317205	0.00356314018396044	0.047647830031762	0.166767405111167
AMOT	0.041065257142753	0.0384771306699211	0.00543042353366131	0.0383470900833724	0.142603241247541
APOO	0.0910748232155923	0.0665611645139281	-0.122008791797407	0.205508111094288	0.414499410512209
ARAF	0.181048258229466	0.168830082233697	-0.0911090345249354	0.0991715631606183	0.29240530138086
ARMCX1	0.0741266762656644	0.0558200367588976	-0.0327483966197621	0.117327507515276	0.310266075429285
ARMCX3	0.0345258137641122	0.0192413378973556	-0.0359306721171345	0.249242593506545	0.438535049620555
ARMCX6	0.0286738351254482	0.00994801207572358	-0.0908902535528611	0.400202674838939	0.602836940580174
ARSD	0.475691365064141	0.418269320096689	0.205967133282417	0.0094521964960474	0.0511277901377109
ASMTL	0.771519674006971	0.721479935089844	0.460726312669759	0.0036786996763947	0.0291843507660646
ATP7A	0.00771468007492847	-0.0345053086827611	-0.0918577865503317	0.874110945804181	0.952587475957656
BGN	0.0542227084757043	0.033109280208603	-0.038454479173463	0.196994776348816	0.404178937681192
BRCC3	0.00495049504950494	-0.0138209632956915	-0.0472292914020566	0.798964573346572	0.952587475957656
C1GALT1C1	0.00659976054803114	-0.0181784691967922	-0.056986736040273	0.812747537408518	0.952587475957656
CA5B	0.466790781414101	0.41323493999833	0.295431417678546	9.18042195236349e-05	0.00218494042466251
CCDC22	0.0113782889234551	-0.0253952052934811	-0.0901036529782116	0.788090732119635	0.952587475957656
CD99	0.550558157908277	0.535230344911629	0.16089882407011	0.0264302212782007	0.108455045934686
CD99L2	0.00520484283708337	-0.02640888823233	-0.0698880394422219	0.867474232082587	0.952587475957656
CENPI	0.0858055721698918	0.0772244874986626	-0.013764641473683	0.0698420456395452	0.235482234644782
CETN2	0.149206455919355	0.137475662128732	-0.0894594669903384	0.109467463118402	0.310157812168807
CHM	0.132975039355482	0.122883056986954	0.0623577131094923	0.00471831856643109	0.0311933283002945
CXorf38	0.0325881632956085	-0.0025928323812291	-0.0931856487203036	0.524731571696891	0.709580193544659
