2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
ABCB7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.069884364002011	NA
ABCD1	NA	NA	NA	0	NA	0	0.141104294478528	NA	0.173425754246185	0.288348442628492	NA	0.0300046991473512	NA	NA	NA	NA	NA	NA	NA	NA	0	0.586776859504132
ACOT9	NA	NA	NA	NA	NA	0	0.236532077009972	NA	0.195656946689819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0955719668631389
AIFM1	NA	NA	0.106703819046058	NA	NA	NA	NA	NA	0	NA	NA	0.00373599003735965	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0301504117607028
AKAP17A	0.804247871992801	NA	NA	0.942196531791908	NA	NA	0.854314851315451	0.802712700369914	0.596774193548387	0.954513501219865	NA	0.773530211069843	0.909510352855185	NA	NA	0.848118158644474	NA	0.753973374295955	NA	NA	0.765374139277448	NA
ALG13	NA	NA	0.203314212874443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMMECR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0889978976874564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP1S2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00527505651846269	NA	NA	NA	0.220289855072464	NA	NA	NA	NA	NA	NA	0.0167424479876905
APOO	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	0.0122022080185938	NA	NA	NA	NA	NA	NA	NA	NA	0.0284005979073244	NA
APOOL	0.611111111111111	NA	0.872773536895675	0.459205355296065	0.460756722951845	0.0599073789561478	0.365176278098928	0.163217138707334	0.437120752237703	0.00751905158378336	0.600332922747978	0.529780564263323	0.450549450549451	0.636363636363636	0.638888888888889	NA	0.773529411764706	0.419529301108248	0.327354260089686	0.405710955710956	0.330067498083503	0.242299122023032
ARAF	NA	NA	NA	NA	NA	NA	NA	NA	0.231613611416027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP4	0.1015625	NA	0.0286117979512534	0	NA	0	0.00939103199662397	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0581833403097532
ARHGAP6	NA	NA	NA	NA	NA	7.40148683083438e-17	NA	NA	0.27536231884058	0.103252877377342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000109878035380892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF9	NA	0.173913043478261	NA	NA	NA	NA	NA	NA	NA	0.071667285555143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARMCX2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.334516415261757
ARMCX3	NA	NA	0	0.043381535038932	NA	NA	0	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0.331352154531946
ARMCX6	0.0851063829787234	NA	NA	0.00552486187845318	NA	NA	NA	NA	NA	NA	0.000587889476778364	0	NA	NA	NA	NA	NA	NA	NA	NA	0.0207050923335201	NA
ASMTL	0.756626755456247	NA	NA	0.53988950734871	NA	NA	0.783814348849797	0.749833222148099	0.768584214151463	NA	0.852785836582178	0.922178988326849	0.775785801579861	NA	NA	0.693877551020408	0.890230394328755	0.880581130143984	0.749582637729549	NA	NA	NA
ATG4A	NA	NA	0.112608610469434	0	NA	NA	0.0615131848269489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP11C	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
ATP6AP1	NA	NA	NA	0	NA	0	NA	NA	0.012164825807593	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6AP2	NA	NA	0.0883015775455843	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP7A	NA	NA	0.145672365902358	NA	NA	NA	NA	NA	0.0563034791599984	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATRX	NA	NA	0.101181304571135	NA	0.4375	0	0.90108803165183	0.650959860383944	0.578059071729958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAP31	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.247412982126058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCOR	NA	NA	0.315068493150685	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.074708704592186
BEX2	NA	NA	0	0.166666666666666	NA	NA	NA	NA	0.226006191950464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0384615384615383
BEX4	NA	NA	NA	0.342995169082126	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA
BRCC3	0.103448275862069	NA	NA	NA	NA	NA	NA	NA	0	0.0308903694730461	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRWD3	NA	NA	NA	NA	NA	0.35483870967742	0.0731459389250471	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.176788124156545	0.169435215946844
BTK	NA	NA	0.280239297064872	0	NA	0	0.0548220656269466	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.190742701558009
C1GALT1C1	NA	NA	NA	NA	NA	0.0139451843273498	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0620490620490622
CA5B	0.428571428571429	NA	NA	NA	0.333333333333333	NA	0.254526091586795	0.808795411089866	NA	0.193548387096774	NA	0.401197604790419	0.25	NA	0.2	NA	NA	NA	NA	NA	NA	0.269311064718163
CCDC22	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
CD99	0.473060344827586	NA	NA	0.456748521015825	NA	NA	NA	NA	0.0421951850893083	0.644184391555309	NA	0.412733260153678	0.889616743680348	NA	NA	0.754827235772358	0.523255813953488	0.116503737780333	0.310263653483992	NA	0.419755854939237	NA
CD99L2	0.112676056338028	NA	0.223416965352449	NA	NA	0	0	0.0974167444755677	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0.204800392046061
CDKL5	0.428571428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPI	NA	NA	0.0462959979223218	NA	NA	0.114420062695925	NA	NA	0.00930924469121127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0576078135848097	NA
CFP	0.193548387096774	NA	NA	NA	NA	0	NA	NA	0.204492278895648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHIC1	NA	NA	NA	NA	NA	0.0740740740740739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0706319702602233	NA
CHM	0.233333333333333	NA	0.763779527559056	0.0114068441064638	0.2	NA	NA	NA	0.137931034482758	0.361825644916615	NA	NA	0.708333333333333	NA	0.359788359788359	NA	NA	NA	NA	NA	0	NA
CHST7	0.166666666666667	NA	0	NA	NA	0.00990099009900973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLIC2	NA	NA	NA	NA	NA	NA	NA	NA	0.148463532025176	NA	NA	0.27007299270073	NA	NA	NA	NA	NA	NA	NA	NA	0.423728393685475	NA
CSTF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTPS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
CUL4B	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0360557156025674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXorf38	NA	NA	NA	0.011500908985567	NA	NA	0.102934468602707	NA	0.148936170212766	0	0.0230506032775076	0.0505630381982777	NA	NA	NA	0.233009708737864	NA	0.142857142857143	0.0636508323330629	NA	NA	0.179067828230232
CYBB	NA	NA	NA	0	NA	0.0502793296089386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
CYSLTR1	NA	NA	0.0909090909090914	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX3X	0.375	NA	NA	0.640287769784172	0.52	NA	0.623115577889447	0.525787755274689	0.390556754196705	0.811676082862523	NA	0.644371105863609	0.812709590878605	NA	NA	0.502645502645502	0.555555555555556	NA	0.43110952732456	0.45453125912745	0.482769174267001	NA
DHRSX	NA	NA	NA	0.644854841161271	NA	NA	0.679435435650905	1	0.395770392749245	0.479248281387698	0.596583402705272	NA	0.804450549450549	NA	NA	0.675287356321839	0.71306161745828	NA	0.83985889413507	0.789047619047619	NA	NA
DIAPH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.122366050856688
DKC1	NA	NA	0.0608317405918403	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLG3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.00284900284900251	NA
DMD	NA	NA	0.523809523809524	NA	NA	NA	NA	0.00696605898918043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
DNASE1L1	NA	NA	NA	NA	NA	0	NA	NA	0.0089901746182507	0	0	NA	NA	NA	NA	0.125	NA	NA	NA	NA	NA	NA
DOCK11	NA	NA	0.137756940512158	0	NA	0	NA	0	0.0562166598276566	NA	0.0065462621420155	NA	NA	NA	NA	0.103448275862069	NA	NA	NA	NA	0	0.113591595535128
DYNLT3	NA	NA	0.0453966907085276	0	NA	0	NA	NA	0.105545617173524	NA	NA	0.174356483729966	NA	NA	NA	NA	NA	NA	NA	NA	0	0
EDA2R	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF1AX	0.620409982174688	0.471287504110269	0.320149100831192	0.274806907111643	NA	NA	0.510756425021266	0.553160714743319	0.219966684671805	NA	NA	0.186232657417289	0.396107070525675	NA	0.419510320597277	0.513071895424837	NA	NA	0.403300745537744	0.502527493321643	NA	0.446509761720561
