AR_adj_mean_lcl	AR_ci95_low_lcl	AR_ci95_hi_lcl	AR_pval_lcl	AR_pval_adj_lcl
ABCD1	0.152457506250586	0.0155579839665322	Inf	0.0364002050057175	0.102862530590161
ACOT9	0.105552198112586	0.00148757340368406	Inf	0.0483187381526355	0.109942636086431
AIFM1	0.0281180441688241	-0.0154561633897702	Inf	0.120466707207457	0.161357057471074
AKAP17A	0.818660535125566	0.763235188453105	Inf	6.10724000161074e-11	1.36976668607555e-09
AP1S2	0.0807691198595391	-0.123159364038919	Inf	0.183475723798497	0.211324865405187
APOO	0.0101507014814795	-0.00568490019571967	Inf	0.114274591049726	0.158770891989442
ARHGAP4	0.0282498100368044	-0.000228140273817635	Inf	0.0510908976637256	0.112975646946548
ARHGAP6	0.126205065405974	-0.108311796122567	Inf	0.128348740732737	0.166535142934212
ARMCX3	0.0468417111963597	-0.0308306646208734	Inf	0.145395409453483	0.176954102978269
ARMCX6	0.022384845333495	-0.0119810951199312	Inf	0.118636311375308	0.160568111085546
ASMTL	0.780314198972158	0.727215804961258	Inf	1.34070139360821e-11	4.20980237592979e-10
ATG4A	0.0580405984321277	-0.0370155684070462	Inf	0.108269575743335	0.15453021265185
ATP11C	0	NA	NA	NA	NA
ATP6AP1	0.00304120645189825	-0.00411585760968249	Inf	0.195501109477885	0.211324865405187
ATP7A	0.0673252816874521	-0.0565158433661115	Inf	0.126665365529701	0.166535142934212
BCOR	0.0974442994357177	-0.0782296965405037	Inf	0.141426619028651	0.173468587402329
BEX2	0.107783599269667	-0.0172378400484894	Inf	0.0677448547818001	0.128185225164943
BEX4	0.218599033816425	-0.0980422963193812	Inf	0.107529650038979	0.15453021265185
BRCC3	0.0335846613337788	-0.0238362924644625	Inf	0.131213039023622	0.167483309973241
BRWD3	0.154841597741171	0.0275152128064594	Inf	0.0302608937780523	0.0982910349855229
BTK	0.0751148663214039	-0.00885435765956273	Inf	0.066413258582061	0.128185225164943
C1GALT1C1	0.012665707729402	-0.0077584199181933	Inf	0.13337508840729	0.168000358993492
CA5B	0.348809257909642	0.230355579833239	Inf	0.000295194499070526	0.00193106401475302
CCDC22	0	NA	NA	NA	NA
CD99	0.458467703841042	0.321477270318861	Inf	6.0524074010163e-05	0.000452489505695028
CD99L2	0.0638310158212105	0.0115166750902235	Inf	0.0260633564841834	0.0889553688699303
CENPI	0.0569082797235669	0.00567921354918492	Inf	0.0396966069009752	0.103242648167524
CFP	0.132680221997474	-0.0612514739801823	Inf	0.0919059281981544	0.152087418144878
CHM	0.308488675279991	0.138372365455148	Inf	0.0048775724554635	0.0239305898596178
CHST7	0.0588558855885589	-0.0987681779283227	Inf	0.194714060161081	0.211324865405187
CLIC2	0.280754972803794	0.0482031919053171	Inf	0.03594882292577	0.102862530590161
CXorf38	0.0955570701435127	0.0500339141716983	Inf	0.0019595482954289	0.0106085890476668
CYBB	0.0167597765363129	-0.0321785292796714	Inf	0.211324865405187	0.211324865405187
DDX3X	0.555008261119273	0.489752372248425	Inf	6.56021157384862e-10	1.18800889133348e-08
DHRSX	0.692508944551614	0.600413313679154	Inf	4.37629693449123e-08	5.72565515595936e-07
DKC1	0.0202772468639468	-0.0389320215880505	Inf	0.211324865405187	0.211324865405187
DMD	0.176925194266235	-0.32955746471109	Inf	0.20751168448326	0.211324865405187
DNASE1L1	0.0267980349236501	-0.0256712791372218	Inf	0.168721230093779	0.199167166351303
DOCK11	0.0463955259865586	0.0107799122523865	Inf	0.0208473436531604	0.0779293560368138
