2690_XX	7225A_XX	7240A_XX	7247B_XX	7252A_XX	7253A_XX	7361A_XX	7362A_XX	7382A_XX	7479A_XXYY
ABCB7	NA	0.748815165876777	NA	NA	NA	NA	0.551351351351351	NA	NA	NA
ABCD1	0.833333333333333	0.718954248366014	NA	0.742424242424242	0.714285714285714	NA	0.625	NA	NA	0.916666666666667
ACOT9	NA	0.752698594728411	0.62280701754386	0.379464285714285	0.747835497835498	0.378640776699029	0.580246913580247	NA	NA	0.785714285714286
AIFM1	0.813953488372093	NA	NA	0.435643564356436	NA	NA	NA	0.957575757575758	NA	0.63125
AKAP17A	0.803708040443509	0.935809641346718	0.902647170679958	0.868863231180106	0.862321150817803	NA	NA	1	NA	NA
ALG13	NA	NA	NA	0.91304347826087	NA	0.24	NA	0.68	NA	NA
AMER1	NA	NA	NA	0.470175438596491	0.40952380952381	NA	NA	NA	NA	NA
AMMECR1	NA	0.53125	0.684210526315789	NA	NA	0.583333333333333	NA	NA	NA	0.676470588235294
AP1S2	0.833333333333333	0.75	0.714285714285714	NA	NA	NA	NA	NA	0.380952380952381	NA
APOO	NA	NA	NA	0.458577951728636	NA	NA	NA	NA	NA	0.418604651162791
APOOL	0.558333333333333	0.344544491525423	0.623333333333334	0.512285012285012	0.690032020872865	0.580645161290323	0.579159104658197	0.714285714285714	0.443452380952381	0.464693479731074
ARAF	NA	0.578947368421053	NA	0.444444444444444	NA	0.555555555555556	NA	0.802083333333333	NA	0.633928571428572
ARHGAP4	0.864864864864865	0.53968253968254	0.491525423728814	NA	NA	0.215909090909091	NA	NA	NA	0.59460105112279
ARHGAP6	NA	NA	NA	NA	NA	NA	NA	NA	0.833333333333333	0.81308814642148
ARHGEF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.258620689655172
ARHGEF9	NA	NA	NA	NA	NA	NA	NA	0.409090909090909	NA	NA
ARMCX2	0.375	NA	0.555555555555556	NA	NA	NA	NA	NA	0.388888888888889	NA
ARMCX3	NA	0.810810810810811	0.432950191570881	NA	0.791666666666667	0.528125621148877	0.624413145539906	0.627659574468085	NA	0.705882352941177
