2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
ABCB7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.285024154589372	NA
ABCD1	NA	NA	NA	0.166666666666667	NA	0.142857142857143	0.363636363636364	NA	0.363492063492063	0.4125	NA	0.152625152625153	NA	NA	NA	NA	NA	NA	NA	NA	0.201492117117117	0.714285714285714
ACOT9	NA	NA	NA	NA	NA	0.110169491525424	0.435828877005348	NA	0.376623376623376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.157534246575342	0.307633053221288
AIFM1	NA	NA	0.31875	NA	NA	NA	NA	NA	0.189090909090909	NA	NA	0.127272727272727	NA	NA	NA	NA	NA	NA	NA	NA	0.164556962025316	0.24802110817942
AKAP17A	0.804247871992801	NA	NA	0.959183673469388	NA	NA	0.907103825136612	0.827956989247312	0.714285714285714	0.965732087227414	NA	0.818840579710145	0.909510352855185	NA	NA	0.848118158644474	NA	0.753973374295955	NA	NA	0.841609328244548	NA
ALG13	NA	NA	0.404761904761905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMMECR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.235294117647059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP1S2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0469314079422383	NA	NA	NA	0.220289855072464	NA	NA	NA	NA	NA	NA	0.235384615384615
APOO	NA	NA	NA	NA	NA	0.195652173913043	0.109090909090909	NA	NA	NA	NA	0.135593220338983	NA	NA	NA	NA	NA	NA	NA	NA	0.246376811594203	NA
APOOL	0.611111111111111	NA	0.916666666666667	0.56359649122807	0.460756722951845	0.30305316091954	0.541979010494753	0.234848484848484	0.569073083778966	0.15648239063437	0.623809523809524	0.590909090909091	0.450549450549451	0.636363636363636	0.638888888888889	NA	0.773529411764706	0.419529301108248	0.423076923076923	0.405710955710956	0.498136645962733	0.433599744245524
ARAF	NA	NA	NA	NA	NA	NA	NA	NA	0.416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP4	0.1015625	NA	0.246575342465753	0.103448275862069	NA	0.117647058823529	0.242862439747868	NA	NA	0.118110236220472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.274193548387097
ARHGAP6	NA	NA	NA	NA	NA	0.25	NA	NA	0.454545454545455	0.247291021671827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.149532710280374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF9	NA	0.173913043478261	NA	NA	NA	NA	NA	NA	NA	0.21875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARMCX2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.516129032258065
ARMCX3	NA	NA	0.166666666666667	0.218181818181818	NA	NA	0.221538461538462	NA	0.197802197802198	NA	0.0380952380952381	0.0944055944055944	NA	NA	NA	NA	NA	NA	NA	NA	0.165217391304348	0.513513513513513
ARMCX6	0.0851063829787234	NA	NA	0.181818181818182	NA	NA	NA	NA	NA	NA	0.0422535211267606	0.0769230769230769	NA	NA	NA	NA	NA	NA	NA	NA	0.239130434782609	NA
ASMTL	0.756626755456247	NA	NA	0.652136010236138	NA	NA	0.859259450891281	0.781021897810219	0.840130348546155	NA	0.862594251586413	0.938775510204082	0.775785801579861	NA	NA	0.693877551020408	0.890230394328755	0.880581130143984	0.794520547945205	NA	NA	NA
