AR_adj_mean_lcl	AR_mean_lcl	AR_ci95_low_lcl	AR_pval_lcl	AR_pval_adj_lcl
ABCD1	0.152457506250586	0.117456533860465	-0.0111945096935441	0.0636507287937264	0.186323042468908
ACOT9	0.105552198112586	0.0518754952727748	-0.0893152357136376	0.238623454178579	0.388064405280316
AIFM1	0.0281180441688241	0.0121480676952214	-0.0426283726432193	0.330502742869902	0.462703840017863
AKAP17A	0.818660535125566	0.742445671202791	0.681081837792093	4.35399946291605e-10	1.00141987647069e-08
AP1S2	0.0807691198595391	0.0804756722035664	-0.12384776729471	0.184533694326069	0.33761278166474
APOO	0.0101507014814795	-0.0352406217593396	-0.117317043182058	0.806647819272789	0.843313629239734
ARHGAP4	0.0282498100368044	-0.00644125222332835	-0.0646177652538357	0.581610391960444	0.683818164033866
ARHGAP6	0.126205065405974	0.115863970584175	-0.0962708101219328	0.125896984010577	0.288519290677
ARMCX3	0.0468417111963597	0.0219705446598806	-0.0544608140345093	0.301466927904516	0.437262841375019
ARMCX6	0.022384845333495	0.0127973283974924	-0.0324670816627437	0.289597854111465	0.427754628549963
ASMTL	0.780314198972158	0.729836648547533	0.668201000112872	1.38237190016047e-10	5.5640468981459e-09
ATG4A	0.0580405984321276	0.0294310813756499	-0.125371387080922	0.317297999900657	0.448113841964963
ATP11C	0	-0.0773712116983872	-0.109888649679587	0.989952993475891	0.989952993475891
ATP6AP1	0.00304120645189825	-0.0128161764802321	-0.0379742363032088	0.841678395762724	0.868655267421786
ATP7A	0.0673252816874521	0.0502246104243644	-0.0926145968424947	0.206251848361015	0.357059651463693
BCOR	0.0974442994357178	0.0498498751601018	-0.149451788034177	0.298745728482595	0.437255111688162
BEX2	0.107783599269667	0.0792403433700158	-0.0734983580387867	0.154660564163545	0.297495665580057
BEX4	0.218599033816425	0.171356425848713	-0.174318318962516	0.1751031622031	0.324041484077001
BRCC3	0.0335846613337788	0.0135187442758124	-0.066967078465042	0.359532715145206	0.494499935093784
BRWD3	0.154841597741171	0.134119273584207	0.0190735857182251	0.0339128472608932	0.111427926714363
BTK	0.0751148663214039	0.0341263850672419	-0.0645352558334927	0.263259877266805	0.402870962291376
C1GALT1C1	0.012665707729402	-0.00389416920323561	-0.0335523048626095	0.599053289054164	0.688911282412288
CA5B	0.348809257909642	0.333253182790359	0.221934103676312	0.000265188352586409	0.00177897186526716
CCDC22	0	-0.035725102602283	-0.101965415208523	0.872014190507035	0.882982922463098
CD99	0.458467703841042	0.43793068021637	0.301477550911478	8.45162002460759e-05	0.000647957535219915
CD99L2	0.0638310158212106	0.0403398933469182	-0.0182297802715572	0.119239826037045	0.288519290677
CENPI	0.0569082797235669	0.0516492833181744	0.00492246805282752	0.040143488156681	0.126727482220111
CFP	0.132680221997474	0.0994176398373834	-0.167437892318895	0.195146251495851	0.345258752646505
CHM	0.308488675279991	0.279202239691123	0.117506868232406	0.0062036272275091	0.0302661813220899
CHST7	0.0588558855885589	0.0549156880457693	-0.109146971070875	0.215725820260112	0.365598495388189
CLIC2	0.280754972803794	0.247780954473826	0.0702903997756865	0.0276203823385745	0.0966713381850107
CXorf38	0.0955570701435127	0.0889116355904687	0.0423884053211512	0.00334432819743962	0.0173689303157348
CYBB	0.0167597765363129	-0.00374065468273146	-0.0824292537569894	0.548841562799659	0.676804568842044
DDX3X	0.555008261119273	0.516363438394853	0.456065420575495	6.02858941769213e-10	1.21325362031054e-08
DHRSX	0.692508944551613	0.648181339175928	0.554401566479248	9.73873629038971e-08	1.04529102850183e-06
DKC1	0.0202772468639468	0.00332097879666139	-0.0756612841895847	0.456754420714079	0.593044046249732
DMD	0.176925194266235	0.142704542379052	-0.302653742781172	0.22411499022997	0.37332292532749
DNASE1L1	0.0267980349236501	-0.00894631319261619	-0.095417650235991	0.58188253709714	0.683818164033866
DOCK11	0.0463955259865586	0.0193458504277879	-0.0327804407385452	0.254813511828236	0.398300732081029
DYNLT3	0.0464712559445739	0.0234717483466057	-0.039443558298833	0.247888023973184	0.395148236234481
EIF1AX	0.416985518800658	0.394886440411096	0.332303258781327	2.44542038966612e-08	3.32712581334252e-07
EIF2S3	0.249059358550209	0.232590335344858	0.145944265792221	0.00053188886042909	0.00342536426116334
ELF4	0.0103868576656194	-0.00986287915077317	-0.0357308521002229	0.753253568536378	0.813918285465482
FAAH2	0.222483824424923	0.193620748188968	-0.0265077337883322	0.0651227726073732	0.187227971246198
FAM199X	0.0513577179921419	0.0229134280562474	-0.0678013190562575	0.31621348304127	0.448113841964963
FAM50A	0.00438596491228063	-0.0214657853401716	-0.0898940693852663	0.771816576507753	0.820041985761086
FLNA	0.06731044859926	0.034558490698157	-0.0988033192032109	0.311927173769483	0.448113841964963
FMR1	0.0570965573398098	0.0302736101205322	-0.0544711049563837	0.251927826997195	0.397650785750474
FUNDC1	0.205719145516015	0.191655281170769	-0.125957601113327	0.11006502285188	0.285814010954076
GDI1	0.0128751389403484	-0.0251627858010936	-0.0893186786060687	0.787963466450329	0.829164170578451
GEMIN8	0.308542406815539	0.269799478071277	0.107946135141077	0.00733564505846309	0.034736436894487
GK	0.0771381972344881	0.0702641039789806	-0.012999808628072	0.0663461476312263	0.187398767870657
GPR174	0.105312979201156	0.087619547414794	0.0168246455095937	0.023816851164425	0.0966713381850107
GRIPAP1	0.0276466864954598	0.00852693889763005	-0.0433812368063069	0.377028864183702	0.499298633527051
GTPBP6	0.826277059761698	0.742377811590062	0.683712603144811	2.8018952171425e-10	7.51841883266571e-09
HCFC1	0.0603161764906217	0.0466790736536124	-0.0315982278404283	0.145289358358096	0.297495665580057
HDAC8	0.0687836753410525	0.041959628969433	-0.0976925795009123	0.265244236042769	0.402870962291376
HMGB3	0.0643550695224971	0.0486607278712961	-0.0137117241004689	0.0914563477225447	0.241384786611962
HNRNPH2	0.00475391498881433	-0.0124582454671103	-0.0516812751151957	0.774201129414193	0.820041985761086
HTATSF1	0	-0.0162828061437386	-0.0348059918799758	0.934799329260592	0.940641825068471
HUWE1	0.00539207842151396	-0.0224387925339682	-0.0602801794014907	0.85713911821067	0.878977057528139
IDS	0.0107673129848925	-0.000498955196257363	-0.0298283453970253	0.513596489485037	0.646008084430398
IL3RA	0.641567169203864	0.592927292801567	0.512475122704306	5.29867470058508e-08	6.56220482149383e-07
ITM2A	0.0880865705643433	0.0719904316819536	0.0129207440909462	0.027133597222364	0.0966713381850107
JPX	0.430432589940248	0.420526492063174	0.224911052197444	0.00508034330398408	0.0255604772481699
KDM6A	0.784152774416655	0.699905552941711	0.610420523872493	8.34418736960172e-08	9.59581547504197e-07
