Gene stable ID,Transcript stable ID,Gene name
ENSG00000254207,ENST00000520760,
ENSG00000275427,ENST00000617093,
ENSG00000272267,ENST00000607598,
ENSG00000232948,ENST00000400079,DEFB130A
ENSG00000284746,ENST00000641210,
ENSG00000271248,ENST00000604640,
ENSG00000250794,ENST00000515046,ALG1L12P
ENSG00000255273,ENST00000526806,
ENSG00000254839,ENST00000532453,
ENSG00000272505,ENST00000606115,
ENSG00000285975,ENST00000650288,FAM90A7P
ENSG00000255494,ENST00000530150,LINC00681
ENSG00000205989,ENST00000382575,DEFB109C
ENSG00000253252,ENST00000521298,
ENSG00000281961,ENST00000633198,
ENSG00000253958,ENST00000519106,CLDN23
ENSG00000164821,ENST00000297435,DEFA4
ENSG00000205879,ENST00000511144,FAM90A2P
ENSG00000286969,ENST00000660498,
ENSG00000248944,ENST00000515148,FAM90A6P
ENSG00000234178,ENST00000446470,DEFA11P
ENSG00000284728,ENST00000642140,
ENSG00000255437,ENST00000534576,
ENSG00000253280,ENST00000521016,
ENSG00000254237,ENST00000670837,
ENSG00000254237,ENST00000522129,
ENSG00000254237,ENST00000521842,
ENSG00000254237,ENST00000669119,
ENSG00000254237,ENST00000658239,
ENSG00000254237,ENST00000664726,
ENSG00000254237,ENST00000522765,
ENSG00000254237,ENST00000670850,
ENSG00000280215,ENST00000623880,
ENSG00000173281,ENST00000310455,PPP1R3B
ENSG00000173281,ENST00000519699,PPP1R3B
ENSG00000253257,ENST00000523876,MTND4P7
ENSG00000261451,ENST00000562242,
ENSG00000104213,ENST00000541323,PDGFRL
ENSG00000104213,ENST00000673645,PDGFRL
ENSG00000104213,ENST00000251630,PDGFRL
ENSG00000104213,ENST00000523248,PDGFRL
ENSG00000177023,ENST00000316169,DEFB104B
ENSG00000253496,ENST00000649038,
ENSG00000253496,ENST00000521411,
ENSG00000253496,ENST00000519280,
ENSG00000270074,ENST00000602981,
ENSG00000253887,ENST00000518589,
ENSG00000253262,ENST00000518519,
ENSG00000285913,ENST00000647769,FAM90A18P
ENSG00000282686,ENST00000633673,
ENSG00000282692,ENST00000634128,
ENSG00000215374,ENST00000529456,FAM66B
ENSG00000215374,ENST00000606573,FAM66B
ENSG00000215374,ENST00000663272,FAM66B
ENSG00000215374,ENST00000664195,FAM66B
ENSG00000215374,ENST00000656213,FAM66B
ENSG00000215374,ENST00000656567,FAM66B
ENSG00000215374,ENST00000665607,FAM66B
ENSG00000215374,ENST00000653873,FAM66B
ENSG00000215374,ENST00000670717,FAM66B
ENSG00000173273,ENST00000520408,TNKS
ENSG00000173273,ENST00000310430,TNKS
ENSG00000173273,ENST00000522110,TNKS
ENSG00000173273,ENST00000517652,TNKS
ENSG00000173273,ENST00000518281,TNKS
ENSG00000173273,ENST00000518027,TNKS
ENSG00000173273,ENST00000521039,TNKS
ENSG00000173273,ENST00000519392,TNKS
ENSG00000173273,ENST00000517989,TNKS
ENSG00000173273,ENST00000519930,TNKS
ENSG00000173273,ENST00000518635,TNKS
ENSG00000173273,ENST00000519191,TNKS
ENSG00000173273,ENST00000517770,TNKS
ENSG00000253166,ENST00000522984,
ENSG00000254715,ENST00000525174,OR7E154P
ENSG00000155970,ENST00000318063,MICU3
ENSG00000155970,ENST00000522235,MICU3
ENSG00000155970,ENST00000519044,MICU3
ENSG00000155970,ENST00000517398,MICU3
ENSG00000155970,ENST00000517447,MICU3
ENSG00000155970,ENST00000519866,MICU3
ENSG00000250752,ENST00000514593,RPL23AP96
ENSG00000223508,ENST00000606975,RPL23AP53
ENSG00000223508,ENST00000521854,RPL23AP53
ENSG00000223508,ENST00000606507,RPL23AP53
ENSG00000284617,ENST00000641758,
ENSG00000187229,ENST00000524252,
ENSG00000231930,ENST00000436691,
ENSG00000215373,ENST00000528738,FAM90A5P
ENSG00000253130,ENST00000518846,
ENSG00000253130,ENST00000522661,
ENSG00000253130,ENST00000670256,
ENSG00000253130,ENST00000662655,
ENSG00000253130,ENST00000652913,
ENSG00000285927,ENST00000649071,
ENSG00000260721,ENST00000567210,
ENSG00000154359,ENST00000398246,LONRF1
ENSG00000154359,ENST00000526680,LONRF1
ENSG00000154359,ENST00000527055,LONRF1
ENSG00000154359,ENST00000525024,LONRF1
ENSG00000154359,ENST00000533751,LONRF1
ENSG00000154359,ENST00000524526,LONRF1
ENSG00000154359,ENST00000526610,LONRF1
ENSG00000154359,ENST00000534446,LONRF1
ENSG00000154359,ENST00000530693,LONRF1
ENSG00000147408,ENST00000454498,CSGALNACT1
ENSG00000147408,ENST00000332246,CSGALNACT1
ENSG00000147408,ENST00000397998,CSGALNACT1
ENSG00000147408,ENST00000522854,CSGALNACT1
ENSG00000147408,ENST00000518542,CSGALNACT1
ENSG00000147408,ENST00000519222,CSGALNACT1
ENSG00000147408,ENST00000523262,CSGALNACT1
ENSG00000147408,ENST00000517494,CSGALNACT1
ENSG00000147408,ENST00000520003,CSGALNACT1
ENSG00000147408,ENST00000524213,CSGALNACT1
ENSG00000147408,ENST00000517651,CSGALNACT1
ENSG00000147408,ENST00000523227,CSGALNACT1
ENSG00000147408,ENST00000522732,CSGALNACT1
ENSG00000147408,ENST00000522573,CSGALNACT1
ENSG00000147408,ENST00000523919,CSGALNACT1
ENSG00000147408,ENST00000524112,CSGALNACT1
ENSG00000255556,ENST00000526502,
ENSG00000279903,ENST00000623580,SLC7A2-IT1
ENSG00000120913,ENST00000456545,PDLIM2
ENSG00000120913,ENST00000308354,PDLIM2
ENSG00000120913,ENST00000452226,PDLIM2
ENSG00000120913,ENST00000397760,PDLIM2
ENSG00000120913,ENST00000397761,PDLIM2
ENSG00000120913,ENST00000616289,PDLIM2
ENSG00000120913,ENST00000436754,PDLIM2
ENSG00000120913,ENST00000426493,PDLIM2
ENSG00000120913,ENST00000429812,PDLIM2
ENSG00000120913,ENST00000409141,PDLIM2
ENSG00000120913,ENST00000265810,PDLIM2
ENSG00000120913,ENST00000409417,PDLIM2
ENSG00000120913,ENST00000416159,PDLIM2
ENSG00000120913,ENST00000448520,PDLIM2
ENSG00000120913,ENST00000491330,PDLIM2
ENSG00000120913,ENST00000622226,PDLIM2
ENSG00000120913,ENST00000464275,PDLIM2
