Gene stable ID,Transcript stable ID,Gene name
ENSG00000228572,ENST00000431238,
ENSG00000182378,ENST00000399012,PLCXD1
ENSG00000182378,ENST00000484611,PLCXD1
ENSG00000182378,ENST00000430923,PLCXD1
ENSG00000182378,ENST00000445062,PLCXD1
ENSG00000182378,ENST00000429181,PLCXD1
ENSG00000182378,ENST00000381657,PLCXD1
ENSG00000182378,ENST00000443019,PLCXD1
ENSG00000182378,ENST00000415337,PLCXD1
ENSG00000182378,ENST00000447472,PLCXD1
ENSG00000182378,ENST00000448477,PLCXD1
ENSG00000178605,ENST00000485332,GTPBP6
ENSG00000178605,ENST00000326153,GTPBP6
ENSG00000226179,ENST00000391707,LINC00685
ENSG00000167393,ENST00000390665,PPP2R3B
ENSG00000167393,ENST00000479438,PPP2R3B
ENSG00000167393,ENST00000477110,PPP2R3B
ENSG00000167393,ENST00000468169,PPP2R3B
ENSG00000167393,ENST00000484364,PPP2R3B
ENSG00000167393,ENST00000477636,PPP2R3B
ENSG00000167393,ENST00000445792,PPP2R3B
ENSG00000167393,ENST00000496630,PPP2R3B
ENSG00000167393,ENST00000475859,PPP2R3B
ENSG00000167393,ENST00000381625,PPP2R3B
ENSG00000281849,ENST00000627721,
ENSG00000275287,ENST00000610676,Metazoa_SRP
ENSG00000280767,ENST00000627627,
ENSG00000234958,ENST00000452144,FABP5P13
ENSG00000229232,ENST00000431919,KRT18P53
ENSG00000185960,ENST00000381578,SHOX
ENSG00000185960,ENST00000381575,SHOX
ENSG00000185960,ENST00000334060,SHOX
ENSG00000237531,ENST00000420865,
ENSG00000225661,ENST00000436474,RPL14P5
ENSG00000205755,ENST00000400841,CRLF2
ENSG00000205755,ENST00000467626,CRLF2
ENSG00000205755,ENST00000381566,CRLF2
ENSG00000205755,ENST00000381567,CRLF2
ENSG00000198223,ENST00000381529,CSF2RA
ENSG00000198223,ENST00000381524,CSF2RA
ENSG00000198223,ENST00000493312,CSF2RA
ENSG00000198223,ENST00000412290,CSF2RA
ENSG00000198223,ENST00000432318,CSF2RA
ENSG00000198223,ENST00000381509,CSF2RA
ENSG00000198223,ENST00000494969,CSF2RA
ENSG00000198223,ENST00000481245,CSF2RA
ENSG00000198223,ENST00000355805,CSF2RA
ENSG00000198223,ENST00000486791,CSF2RA
ENSG00000198223,ENST00000355432,CSF2RA
ENSG00000198223,ENST00000381500,CSF2RA
ENSG00000198223,ENST00000477940,CSF2RA
ENSG00000198223,ENST00000478256,CSF2RA
ENSG00000198223,ENST00000475259,CSF2RA
ENSG00000198223,ENST00000491683,CSF2RA
ENSG00000198223,ENST00000498153,CSF2RA
ENSG00000198223,ENST00000501036,CSF2RA
ENSG00000198223,ENST00000417535,CSF2RA
ENSG00000265658,ENST00000580266,MIR3690
ENSG00000223274,ENST00000411342,RNA5SP498
ENSG00000185291,ENST00000331035,IL3RA
ENSG00000185291,ENST00000432757,IL3RA
ENSG00000185291,ENST00000381469,IL3RA
ENSG00000169100,ENST00000381401,SLC25A6
ENSG00000169100,ENST00000475167,SLC25A6
ENSG00000169100,ENST00000484026,SLC25A6
ENSG00000236871,ENST00000434938,LINC00106
ENSG00000236871,ENST00000430235,LINC00106
ENSG00000236017,ENST00000443929,ASMTL-AS1
ENSG00000236017,ENST00000425740,ASMTL-AS1
ENSG00000236017,ENST00000420411,ASMTL-AS1
ENSG00000236017,ENST00000419737,ASMTL-AS1
ENSG00000236017,ENST00000602357,ASMTL-AS1
ENSG00000169093,ENST00000381317,ASMTL
ENSG00000169093,ENST00000381333,ASMTL
ENSG00000169093,ENST00000463763,ASMTL
ENSG00000169093,ENST00000462195,ASMTL
ENSG00000169093,ENST00000474865,ASMTL
ENSG00000169093,ENST00000534940,ASMTL
ENSG00000182162,ENST00000381297,P2RY8
ENSG00000182162,ENST00000460672,P2RY8
ENSG00000197976,ENST00000313871,AKAP17A
ENSG00000197976,ENST00000474361,AKAP17A
ENSG00000197976,ENST00000381261,AKAP17A
ENSG00000196433,ENST00000381241,ASMT
ENSG00000196433,ENST00000381229,ASMT
ENSG00000196433,ENST00000381233,ASMT
ENSG00000196433,ENST00000509780,ASMT
ENSG00000196433,ENST00000432523,ASMT
ENSG00000223511,ENST00000427886,
ENSG00000223511,ENST00000432272,
ENSG00000234622,ENST00000453953,
ENSG00000169084,ENST00000334651,DHRSX
ENSG00000169084,ENST00000412516,DHRSX
ENSG00000169084,ENST00000464935,DHRSX
ENSG00000169084,ENST00000444280,DHRSX
ENSG00000169084,ENST00000441131,DHRSX
ENSG00000169084,ENST00000478825,DHRSX
ENSG00000169084,ENST00000430536,DHRSX
ENSG00000223571,ENST00000437244,DHRSX-IT1
ENSG00000214717,ENST00000381222,ZBED1
ENSG00000214717,ENST00000381223,ZBED1
ENSG00000214717,ENST00000652001,ZBED1
ENSG00000214717,ENST00000515319,ZBED1
ENSG00000214717,ENST00000381218,ZBED1
ENSG00000214717,ENST00000461691,ZBED1
ENSG00000277120,ENST00000616698,MIR6089
ENSG00000223773,ENST00000431582,CD99P1
ENSG00000223773,ENST00000435581,CD99P1
ENSG00000223773,ENST00000430562,CD99P1
ENSG00000223773,ENST00000527459,CD99P1
ENSG00000223773,ENST00000414513,CD99P1
