Gene	Num_samples_lcl	AR_lcl	AR_adj_lcl	AR_pval_lcl	AR_pval_adj_lcl	sig_AR_lcl	deltaEx_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	x_adj_pval_LCL	AR_outside_dEx_CI.x	dEx_vs_AR_pval.x	dEx_vs_AR_pval_adj.x	dEx_sig_diff_AR_t_test.x	off_diag.x	Num_samples_fib	AR_fib	AR_adj_fib	AR_pval_fib	AR_pval_adj_fib	sig_AR_fib	deltaEx_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	x_adj_pval_Fib	AR_outside_dEx_CI.y	dEx_vs_AR_pval.y	dEx_vs_AR_pval_adj.y	dEx_sig_diff_AR_t_test.y	off_diag.y	gene_name.84	Balaton.consensus.calls	Carrel_hybrids	Cotton_AR	Cotton_95ci_lo	Cotton_Esc_myCall	Tuk_skew_padj	Tuk_SC_inf_samples	Tuk_SC_pct_sig	Tuk_AR	Tuk_myCall	num_inf_samples	pct_sig_samples	Garieri_AR	Garieri_myCall	Sauteraud_AR	Sauteraud_AR_p.adj	Sauteraud_myCall	Avg_AR	num_studies_XCI_calls	num_studies_Esc	num_studies_Subject	Final_XCI_Call	Diff_from_Balaton
ABCB7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB7	Mostly S	0.22	0.0344914285714286	0.00309916140700809	Subject	NA	NA	NA	NA	NA	3	0	0.00302548860667999	Subject	0.0226110721997785	0.20533283232237	Subject	0.0200426631259624	3	0	3	Subject	FALSE
ABCD1	7	0.25760992948493	0.0889262219981184	0.0387704371969901	0.103387832525307	N	0.0800219844640119	0.0288449441370344	0.131199024790989	0.0100284117356569	N	0.838403755914741	0.856053737081734	N	N	3	0.260267002115493	0.0977949941654588	0.146155870069648	0.211324865405187	N	0.0696161074750904	-0.0164799047632149	0.155712119713396	0.293923175054997	N	0.722701541336313	0.781831667445648	N	N	ABCD1	Mostly S	0.33	0.02776	0.00314379929666914	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02776	1	0	1	Subject	FALSE
ACOT9	4	0.270038997932373	0.102585984758133	0.0922051125443759	0.150642783578805	N	-0.0353653770502696	-0.0789119585026778	0.00818120440213854	0.21221713378404	Y	0.104086191264503	0.184114832604354	N	N	4	0.330821786605889	0.14601203788715	0.00984235464908086	0.0483170137318515	Y	0.0182584754140066	-0.0365540154598025	0.0730709662878157	0.763426127206876	Y	0.0280745728470718	0.0782776236657619	Y	Y	ACOT9	S	0.22	0.0181066666666667	0.00657481024106865	Subject	1	2	0	0	Subject	4	0	0.00404833595184145	Subject	0.00999239645198032	0.0887682352028078	Subject	0.00803684976762211	4	0	4	Subject	FALSE
ACSL4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL4	S	0	0.0188608695652174	0.00547159752110045	Subject	NA	NA	NA	NA	NA	5	0	0.00205268186653789	Subject	0.056900848689537	0.0617488105581949	Subject	0.0259381333737641	3	0	3	Subject	FALSE
AFF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AFF2	Mostly S	NA	0.203215909090909	0.145525744840931	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.203215909090909	1	1	0	Escape	TRUE
AIFM1	3	0.160306866129651	0.00124533001245322	0.211324865405187	0.211324865405187	N	-0.0390330901863519	-0.0752832720066363	-0.00278290836606736	0.0948073623187548	Y	0.000954557002866723	0.00720690537164376	Y	N	3	0.147182448322459	0	NA	NA	N	0.0263870552749147	-0.0276939163083617	0.0804680268581911	0.598325483988875	N	0	0	Y	N	AIFM1	S	0	0.00031	-0.0002976	Subject	NA	NA	NA	NA	NA	2	0	0.00804570148635797	Subject	0.00987579181052443	0.0918875800680829	Subject	0.00607716443229413	3	0	3	Subject	FALSE
AKAP17A	11	0.850051086828141	0.818978959843496	5.92101298034732e-11	1.21803695595716e-09	Y	0.918245942516374	0.715277715593546	1.1212141694392	1.44974680798385e-33	N	0.00864620111457759	0.040799261509413	Y	N	4	0.691078537543076	0.609489710726614	0.0051147236265026	0.0306883417590156	Y	0.689261177885441	0.509622494351884	0.868899861418997	4.68986709043982e-19	N	0.503397080323938	0.570516691033796	N	N	AKAP17A	PAR	1	NA	NA	NA	NA	NA	NA	NA	NA	4	1	0.709947324480283	Escape	0.754200744703423	7.88948889990866e-52	Escape	0.732074034591853	2	2	0	Escape	FALSE
ALG13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALG13	VE	0.56	0.1565	0.0702603351887391	Escape	NA	NA	NA	NA	NA	3	0.333333333333333	0.0366649793227454	Subject	0.232192089853968	0.000491465418109817	Escape	0.141785689725571	3	2	1	Escape	FALSE
AMER1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMER1	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	No call	TRUE
AMMECR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.333663749886063	0.134647247157411	0.0455429972192947	0.130220873426679	N	-0.0796850614209021	-0.132883850852259	-0.0264862719895458	0.0210093808538892	Y	0.0391115569261828	0.0930855054843151	Y	Y	AMMECR1	S	0.22	0.00767567567567568	4.04287533655847e-05	Subject	NA	NA	NA	NA	NA	4	0	0.000885669049394022	Subject	NA	NA	NA	0.00428067236253485	2	0	2	Subject	FALSE
