2690_XX	2703_XX	5297_XY	5566_XY	5755_XY	6029_XX	7205B_XX	7225A_XX	7229B_XY	7240A_XX	7241A_XY	7245B_XY	7246B_XX	7247B_XX	7249B_XX	7252A_XX	7253A_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7276B_XY	7295A_XY	7356A_XY	7357A_XY	7358A_XY_tri21	7359A_XY	7360A_XX	7361A_XX	7362A_XX	7364A_XY_tri21	7365A_XY	7366A_XY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7371A_XY	7372A_XX_tri21	7374A_XY	7375A_XY	7377A_XX	7382A_XX	7388A_XY	7389A_XX
ABCG1	712.337031733193	789.347534125037	212.098563225042	945.478074729921	340.986990009024	943.113197295107	1253.99240291985	735.969809174905	604.667940858163	2464.94352428602	429.291273329268	1032.23782076379	1104.84077740958	588.083815717382	1895.75608195935	928.445716581087	1394.82337926516	590.109571002421	248.233855063185	1065.93811329339	204.269364103251	126.321630213799	1175.8597373779	526.517296982301	1154.81900944197	2643.48163114124	478.949509042087	717.479753349566	1527.49735366428	1070.91978546169	2741.21206939258	717.179162181294	1510.4994809974	1354.14487256439	313.117813080562	2681.29716677638	1658.1530900905	1319.4071565368	2070.5379104123	1949.09104622459	388.779203891702	757.845364593867	896.183577925456	2180.04290135445	1360.85806495353
ADARB1	35.8860629269006	28.1398041069431	709.228043060427	57.0987213264984	136.993146289208	472.861974216407	192.420194327339	326.619912953984	238.715500974292	407.795018948967	603.116185371818	142.148966469376	15.5300525823699	116.996902488018	23.9138516013955	17.0365898439034	74.2423843980261	155.798157358858	353.245633704102	8.29922163114547	287.243510177499	8.13804912620548	13.8251728393541	249.991335238556	121.554054295846	374.242942563705	28.1111409043955	241.901470955001	311.02913231039	66.3622160326739	94.7459434757653	86.7949283294002	466.062184780617	28.0402439989109	220.030083728827	1091.12168881309	335.305384017972	37.9768056453299	19.4359268364457	20.1839521644448	192.45985895494	121.890035448498	143.238138315392	127.091865630942	161.566599701778
AGPAT3	8875.28256166667	9419.7196783109	8620.25861449755	8643.57166452468	8458.89996415324	8867.57822111406	8098.22419320841	8104.05420982859	8220.26022416957	9349.69591732898	9196.07085999264	10558.5898831294	10245.2325453731	12644.8976600347	9943.65804639948	11822.8327411211	10306.2992768802	8258.56548732939	11338.7740855563	9943.01485695817	10599.2508634435	8925.95579847396	8471.90757426372	10591.7097233555	13170.4781645341	15758.3684106419	12380.3046496231	12017.5938651295	13682.1171398645	15570.4127609919	12404.4527680122	12660.9504862076	8340.35360818625	18206.388014287	11060.9294379797	16154.0677822525	16579.6144356571	12223.9408025612	13954.474472213	12308.2087534652	12329.3284864205	11455.655102989	11125.5995508982	13749.1589028379	12609.7165549781
AP000275.65	32.5076625098024	41.3410527956187	58.4855641362788	40.5460595646963	106.999710558912	71.7577491797317	287.168014547797	120.412418236188	178.165146532914	233.548859141584	53.6609335687517	81.3137186982506	78.7295202084065	104.013024542019	115.655124416902	137.663146265825	173.430123473662	62.9726975611208	180.469390237212	108.381899471687	75.5115468280227	260.796493628378	168.521406180549	181.981852278019	40.4393662918328	55.8020814426415	60.3009358377013	95.9474334180657	54.1183310123768	26.9204739779843	56.0297635486702	54.617912478473	18.4098609237571	70.1118090820654	42.5289888839997	111.557574885177	9.08665352532546	91.2289091456889	90.3887873107716	178.098377516389	63.1800793233186	92.4986489278404	148.591661744358	58.0330219082006	211.10459394691
APP	9048.47305447978	8144.46337447748	6902.49411120438	1474.25813984397	2859.85438920442	8425.83966356592	7941.51148085237	7088.7719982281	7474.00537774089	11011.6138300808	12546.0974386179	7422.08733216243	5825.03940447402	7207.97937737526	10371.9527425349	6781.96672760049	11121.6462893167	1785.09935731846	169.57619099128	1463.79216732704	7003.8143956626	710.032655734022	7666.92892931414	5328.57252579424	5504.63626817301	110.718965788936	6240.83734439088	6700.48870182463	9809.75349773613	8884.90339232144	116.012112434289	7164.05006059613	6791.49686620122	8048.45876308776	1141.44622804475	13877.5902319338	12706.4101800319	9146.35731681617	175.948867514346	2179.35603927428	8321.96515125711	8610.01354047728	2609.46650645517	10792.2269126156	5496.75733946805
ATP5J	5439.24573208158	6030.92818422971	6007.78411230189	5853.10125067298	4335.69698327275	5119.69405355017	5880.95262561356	5039.58920396334	6133.72373929147	7119.55203326451	4868.23683388094	4712.75217569555	3589.4814591179	5471.13443507192	4022.4601362537	4361.69257363305	4396.53304895007	4365.1973097149	5493.02252491442	7284.55860541971	4268.2437943706	6382.94267219563	6795.15384746775	7014.84727950051	4814.14655948745	4882.26732693568	3741.91867011353	5916.03481403325	4510.27778481768	4069.37665735187	5892.30807639143	4267.14821413133	6432.78471197285	5373.63802948373	3650.82540968754	6420.98487791308	6922.67016332571	5032.62471975032	5721.3392744422	5037.57392315249	5282.28993439956	5630.73304352134	5078.64537149352	4667.21982223284	5849.87451209297
ATP5O	11557.3021042297	11074.1494412496	11753.8572730674	14896.312693612	11754.8270414941	12045.5252684537	12960.4802228006	9787.42898494784	9478.89332404063	12095.8944512842	12067.791612805	10917.0955035479	10730.7853303234	11066.2703091983	9216.11992977892	10658.4193826546	11270.2309458958	10996.5322698053	12662.4451655728	15839.3030577456	10311.4564322425	11567.5502438287	10416.3650605966	14136.4431264249	12636.6004163416	13934.7360881356	11414.3826172476	13412.1023865845	15328.8445892868	11558.6386630783	15043.5526044097	11601.4003364659	15925.7496854442	16016.4642684614	10926.7599120006	17043.0571832919	17015.470825921	17536.6888977173	15009.5029752956	12143.0804825395	15049.5229247589	13572.8949059589	14206.149390171	15745.321003384	12734.1285564098
BACH1	2376.17063367744	3445.23763276013	1934.2919545423	3241.49317203132	2887.30224009686	1946.73753726917	4077.91431168354	2252.35749572338	4448.15021191038	1657.5808027777	1682.69674336731	3709.62364944504	2908.15352006249	1527.84609240401	2190.60452054242	1795.31423049546	1983.18475062292	2323.81195552244	2510.17519237054	1797.56621482865	2139.03605789685	2009.11996463916	3064.91004303792	1574.91099861684	2249.57737625719	5718.68610642054	3251.7970936932	1955.16147085727	2648.3135399442	5089.19472659211	4648.15514244343	4686.5843955208	1779.14507948958	4326.85881548278	3412.93472922206	4435.69223319631	3801.26525657812	4298.37070577916	6773.52310441163	3207.00458157197	4375.99651678773	1169.63337225252	3225.95004171378	2704.62857258826	4124.16201724989
BRWD1	1914.62775929695	2358.74720480271	1652.30358471145	2314.51585375381	2790.89152242529	2069.65794095556	3085.64451455026	1645.95337322985	2088.99786013774	1740.12474127536	2235.84895858763	2149.7565404777	1989.34215234039	1578.80319204769	1834.34826896497	1679.60079114839	1818.30140984026	2064.58958111447	1963.00734369402	1846.19545920428	1979.20894701334	2115.59837923535	2813.02679738534	1312.9179188697	2550.93190848534	4782.4570895309	2881.34052564553	1706.58923102553	2571.25845623701	3557.22270653368	2968.89526862148	3217.00817754384	2554.33215464492	3416.79120492104	3326.216070449	3422.57897648253	3297.40299554619	3387.50877939296	3807.39170825824	2036.28220031895	2703.15345561755	1328.84550627821	3121.477880386	2599.30865884038	2399.65842347738
BTG3	3583.22616094417	3655.6932110048	2311.90056410465	2999.80570452635	2858.09829304209	3241.24031543696	4955.6756557978	2372.13567205576	2810.15857800186	3528.04809183811	2843.11452454794	3588.30913805698	3558.1187084045	2646.84414247429	3677.89872428929	3763.99304014259	4065.51157846491	2972.86193750394	2447.56705622202	3323.36784229077	2346.93608157292	3271.61199635507	3758.6481351561	2829.64877631857	2719.03622039381	4207.47007792101	2782.00411543651	2717.76789944814	3359.78668939729	3402.8608785187	3795.65406834165	3556.58656660186	3635.09833919584	4473.32247721381	2526.88972317613	4276.81773482806	3405.3508223666	2752.32359283648	4300.0672988612	2749.90863102175	3174.6488686059	2320.13063113059	2883.37639671564	3580.37639916421	2477.64937035634
