7165G_XY	7168C_XX	7169C_XY	7176C_X	7178C_X	7179C_X	7181C_X	7184D_X	7188C_X	7194D_XXY	7196D_XXY	7199C_X	7200C_X	7201C_X	7204C_XXXY	7219C_XXY	7240D_XX	7241C_XY	7246D_XX	7247D_XX	7252C_XX	7253C_XX	7270D_X	7271C_XX	7272C_XX	7273C_XX	7274D_XX	7275D_XX	7276D_XY	7281C_X	7282C_X	7283C_XXY	7285C_X	7286C_X	7291C_X	7348C_XXY	7349C_XXY	7351C_XXY	7352C_XXY	7363C_X	7378C_XY	7379C_XXXXY	7380C_X	7381C_XYYYY	7383C_XX	7384C_XX	7385C_XYY	7386C_XY	7390C_XXY	7394C_XYY	7395C_XYY	7410C_XXY	7417C_XXX	7428C_XXY	7429C_X	7434C_XXY	7437C_XY	7438C_XX	7439C_XX	7441C_XXY	7448C_XY	7450C_XXX	7454C_XXY	7455C_XXY	7456C_XY	7458D_XXY	7459C_XYY	7463C_XXY	7464C_XXY	7480C_XY	7482C_XXY	7484C_XXY	7487C_XX	7488C_XXY	7490C_XXY	7491C_XXX	7492C_XXY	7493C_XXY	7494C_XX	7500C_XXY	7503C_XY	7504C_XXY	7507C_XY	7508C_XX	7509C_XX	7511C_XXY	7513C_XY	7516C_XXY	7517C_XY	7518C_X	7519C_XX	7538C_XXY	7539C_X	7554C_X	7555C_XXY	7607C_X	7608C_X	7613C_XXX	7623C_XYY
DDX3Y	4908.70778252335	13.3462621135552	5226.5305074865	15.877329741198	5.68825617260818	17.2551270309453	0	1.03443232320336	0	4182.91339414128	3800.54324772821	39.2681342139751	1.62717473463575	54.7521506517286	2855.16711552588	3842.57204945474	0	5857.67978079067	17.8896913483139	1.70350554132333	5.27019816833333	28.8086376872661	2.76054620271135	150.201114274191	1.30393842505472	4.14949805359659	5.70531225728568	1.10306789698104	3321.34747156731	2.8555177258579	3.15287914737416	4239.66506645773	42.0267330326432	16.5707303793331	44.9139651466093	4288.85680162888	2849.65839901975	4905.37073518702	3915.2593435399	1.4676867346171	4927.79019636692	4109.47662656067	4.69514632923171	17143.7183326679	8.01927188100476	13.1033993927175	12088.1705919684	4707.01224197669	4740.26772231886	9570.63541169263	10926.5732834887	5256.38498526704	9.81383635641424	5296.37809412716	26.9377009212129	3865.03328305444	6453.03002439476	47.4142413372004	8.07602959895051	4964.46789112491	3152.25758352122	21.1366770025821	3847.06088765088	4667.43549489396	6289.13338245267	5126.5891673812	10698.8606071014	4654.0341845255	3986.40437844191	6078.99475842553	3173.83589785936	2730.22577419166	8.69506948194228	4385.93290347492	3743.62602266949	7.15893715227233	4858.71014177901	3987.22230242903	6.10322474896466	4690.73293859759	5699.32187255113	5224.14955297288	5229.13712450505	11.4848876955483	41.2928191484078	3169.03654294607	5282.14048977143	3776.94269272828	4546.18277316573	8.34368608267934	9.54635565945594	4287.07053154148	13.4381673114741	8.59179691215996	3066.2552866987	28.0285654887247	12.0598167033574	5.50900303488461	8773.36281201544
EIF1AY	1360.04943710577	2.03170564841586	1302.40881525424	5.61700947601313	0	5.10239360229652	0	0	0	823.173334696328	989.09746907806	14.3114049628388	0	25.6162382744554	965.455534721371	859.554553656838	0	685.476509797429	4.39428788993823	0	0	4.24288510464767	0	36.3790938967607	1.75756361401702	2.35955848263959	0	0	1444.29637345975	1.90466458773875	0	1137.18628350302	6.32945928165468	2.98268444102673	28.3536827331587	1104.04485733435	900.985504769696	1148.03488160354	1273.46197314083	0	1568.8768659443	1215.8975516488	1.53798209911374	5411.80596851563	1.82090242506879	8.38755925633678	2445.12532874504	1896.2345285081	1183.93631119743	2130.17112756587	1748.60117696284	1010.60954312385	3.31903310169358	1114.00609088778	4.84269526081576	747.391594535527	1068.4566140716	6.450349177901	2.15388541986471	759.420831428292	1595.10881545343	9.57835103833198	783.059118530583	634.794684417774	1135.68722500333	613.627774978534	2198.07229871487	583.671023771777	569.747022282328	1436.91178184431	671.08670395689	1551.07108152608	0	666.085654518846	607.900148205116	0	793.743779959964	681.401278259683	1.53993164902628	731.949118812623	1144.63723566375	623.638511613741	511.464191812396	0	11.2697789034689	737.364325131479	781.479804710145	908.112392871544	801.61450004889	0.819625352389153	0	941.025320335856	4.24833573240313	1.57292290832773	941.121643358451	8.26695187281483	3.04316317809828	2.79784835343109	1126.72165353486
KDM5D	1353.27932738767	5.18529647551671	1441.58464575115	6.78377238600013	1.12684482008779	3.88775288382607	0	2.12259600072559	0	1576.95167499801	1673.80215461838	2.83762545597764	0	14.6298217653219	1236.78636674237	1433.0591574908	0	1997.90709791171	4.01059461519084	0	5.15466770950835	0	0	29.6948665041328	1.69173198361771	5.44701201480818	2.50637182704003	2.31281998804839	1079.90722231203	5.71747088130494	0.78124737743567	1558.20006602449	4.76584568839536	9.91145912103877	17.8016973714837	1509.75225040335	1034.34101607412	1407.02602621576	971.816556513	0.958538913387343	1220.93675290834	2209.40437557239	2.48361474268376	4146.97640149042	1.72816474148339	4.10238018773412	3027.52564941958	1425.00456949644	1404.44722562087	2852.38690407371	3211.90660986886	1402.14633945939	4.73172891799009	1266.49802094706	12.8171631931756	1391.7282135372	1666.66891640325	20.0870039894713	5.97489126625872	1384.34149429849	1388.18566800759	9.98603550282133	1587.43019595343	1898.21696570347	1520.38808625993	2149.73641503614	3409.97262849096	1717.90868731807	1579.88659266404	1593.3691647764	1289.95108265776	1037.40930198044	3.0993117552852	1713.00783370684	1677.83270190336	2.32730884752636	1510.57482823732	1460.2043857117	8.51397986812625	1469.03557552998	1504.606729707	1532.39471931631	1305.53965717359	3.3100042113503	15.8180259938637	1266.43030398533	1355.46354964249	1207.67162397054	1567.13032715709	5.39108902368423	4.83282023050282	1630.07474494281	9.00324082310036	3.82807358791755	1287.6023593031	5.28695824522593	3.73446936216741	0.857026480601886	3703.81061422815
NLGN4Y	1023.08393101001	4.27673456882618	1530.24156484639	1.0396890913098	7.07949701340844	0	0	5.21301052827154	0	1450.37002778004	1068.355098553	0	0	35.7841598954001	1037.79221272979	1589.26927068806	0	2760.79311362061	0.660308043838304	0	0	0	0	6.57503463603339	0	0	0	0.691217322178924	987.490742810423	5.0831014448118	0	1663.94364191197	1.57523365890462	0.482740259779043	5.00926579912851	1046.9215630703	1248.57378304218	2416.73359392362	1368.48939631774	0	2398.19990101733	2155.27593882978	5.71457244608821	5757.54962090904	0	4.08443250258603	2512.9585475681	1625.01283603998	1341.59978319569	2513.60027153534	2604.99141609556	1824.55118205405	4.03613271933592	1521.86335630511	14.5907110427028	1476.1356356298	1807.9298006981	3.29957221497659	7.82101643676206	1471.85269084991	891.306048810093	1.67911303527038	2021.39211748032	2877.18615108802	1444.60483183373	4094.40094408128	2838.51975505299	2656.51752038343	3081.25459288289	1081.40270588898	1706.05779639381	733.182129535599	0.904132492564268	1907.42130044451	1348.31341046486	4.43274517706978	1748.11003981152	1580.69231026528	6.95497340892097	1593.92472224666	1344.90127845373	1779.97120351299	2435.59682355636	1.94552410551491	4.75529250989878	1755.54935364855	2037.83639721273	1488.77005884455	1618.20907137819	0.58775861393192	1.79786054202297	1796.93279718201	30.8710365656854	5.64820704083597	1468.81819309588	12.4068205217064	3.05236590820466	0	5633.04732173488
PRKY	589.308585216394	1.64973110567274	690.124509920065	5.64591281010034	7.49208136969956	5.07196594998565	8.25436084991877	6.92966051755546	6.9469157165396	660.360944833372	968.918015421102	8.12417220678736	0	15.5420448176933	702.943939316652	573.218579103541	3.09600041504936	1028.54250688863	7.56173289861383	14.4889186076748	2.80017124290007	7.66312104309388	2.92510028046917	22.5166187386964	4.21223133571384	3.33020898939133	6.09757324284308	3.74978294996457	759.334991462677	12.9395323213297	5.03567502761135	767.970122587372	8.81064523509865	6.56686362270233	12.5029205604671	605.601665806433	203.497298624418	284.342073390188	312.170180841191	3.97256844879033	514.861133289016	565.95946553938	3.83050254620668	2493.79480143993	5.05066411452782	5.28140783303616	852.446360706583	369.09998759855	440.785457791222	1041.00966002329	886.954938463962	304.061393684581	5.94767625357962	361.534812238994	3.04460363820283	712.060522160447	448.646184965948	4.58659119813524	5.4280733736658	424.771185583436	303.879325250873	5.30322382126896	373.721921917222	490.954655609092	349.447965245972	540.603343476751	1222.00778065667	457.445950354947	357.641099026173	502.723545066929	583.31364954366	365.181330078392	2.26538832269508	594.48400795826	572.656580444492	0	403.445860296831	398.026444755032	6.02579094973832	693.47688073583	507.333666853382	545.158328496004	544.955572078375	4.38494680152482	7.11202932143755	505.238178361428	495.064650689196	476.462531563113	504.038607854649	6.39991028009749	5.2486781499797	591.449604508914	4.97036497055872	4.58584579443989	513.938494795977	5.38913485798689	5.21900935845688	5.46542314945771	1161.16625569891
RPS4Y1	10272.9652779371	23.2142023203813	11892.0348565823	29.3257457423366	14.9204049352046	20.9997647471542	0	1.08951638346812	1.40693754129048	10524.448173297	10580.7829330586	19.0811976441113	0	55.535138796332	10186.7403807408	10928.392226036	0	13441.9911054972	18.1443112737619	1.10600108740911	5.14697174077824	21.9200866007212	0.89964289581188	104.402193127838	0	12.0630903584921	1.23329085426144	4.66372384748143	11404.3429227386	7.81529296846351	3.29190344966572	11494.5425995023	21.9850400275018	18.5485106071203	28.2043934916912	10611.4653496758	10151.4530042055	12822.784842677	10268.7846665441	0.998400110917613	9166.99135112101	7237.90851125674	2.40660019514118	34732.0747667242	11.7951049790108	33.1951131271955	22633.550903899	10209.3152184338	10560.6056313504	20732.0578035467	27522.634911197	12004.4934733632	27.5737814521546	13104.5514338027	74.3305166768111	9321.38778435046	13035.1306669698	77.7974557611037	25.6104722400606	11772.0748109298	13964.9149396414	41.1376104331182	13191.036820208	12533.6790609835	12114.940746741	12369.241515173	27801.5009317589	10905.4620122282	13031.2939893137	12034.9956009897	10518.7054616553	12104.1333228425	14.3439231910609	9608.61750494269	12711.2577537813	7.32958875489631	9215.27758655625	11432.9677790676	24.8690608619303	11843.4350992522	13210.1311694015	13535.4678382338	12182.5934627499	15.4817596663077	104.374134957242	10079.5202089863	10439.7214176793	8978.94028861166	11222.6251677213	13.9221088439656	26.5430354562962	8286.26114278769	27.2033643411282	33.8372364525182	10508.7926467109	67.8904396077348	22.6294400223657	19.2363199621332	20550.4293105145
TXLNGY	880.840950591633	1.6458118036243	954.904267835557	3.09642431522268	0	0.365588353790353	0.433006038480803	0.615607404228236	0.422679900521993	750.557362956202	831.638886695863	0.830983843717533	0	11.6908851643523	890.042988863778	814.149586486632	0	923.538354628233	3.53098155854892	0	0.494547401697629	0.298739344064649	0.267901434505909	17.6110933920662	0	0	3.03400460306482	0	944.286004820904	2.12427562628748	0.244067402638063	731.033706332872	0.312290271660515	3.89063981684361	9.55316258511422	815.502950870077	622.315483994481	958.317140400388	718.821122045473	0	1030.61342996844	669.294462113323	0	2886.25664738971	3.85424583908575	5.4538368242752	1914.27335520021	668.80893258666	963.334354361507	1629.09347266438	2031.83209141756	935.451710197524	1.90706674079712	838.301847858136	4.10967398375837	569.51082954091	937.898722142757	11.7540106181946	0.349811449239177	734.271267692258	660.342433809926	2.02654071814993	800.463084300646	899.691434766008	913.587636073046	685.684640911175	1723.08177588239	796.373666390258	503.280353714532	1144.0518387407	630.187184500002	621.482752493934	0.245580654648815	611.467152046146	638.029221382032	1.94461870143303	775.615002830944	755.494408890371	0.495042707885987	850.392784274662	710.477267621178	621.629195077725	521.000886918168	1.43857935712621	6.39653831227664	692.753876066626	695.994878621217	774.838065737571	805.499713267273	0.268249319997125	2.05057680873326	741.921728612284	9.76218138101337	3.10708672650822	802.670311011045	16.1114422641132	2.28270465180879	5.37449235471497	1322.11896762419
USP9Y	2337.9233789383	2.00862259187985	3036.23153337667	8.19899661341075	2.46187833463565	2.62185980510162	0	0	0	2110.6139232566	1959.33786596971	2.89939551664504	0	7.78272025413918	1861.654903371	1673.33904769836	0	2763.53582800941	8.15196838184369	0	0	1.08429867748089	0	23.1775886695816	0	1.41341314952689	0	0	1329.55169744844	0.923116135357002	0	2541.71418738094	6.44939447381115	5.9795232661388	8.82783910878196	1581.83116449287	1271.31798297408	2109.70792085595	1667.98695650073	0	2495.54702854157	2793.3616537919	0.817098265533718	5331.06424038634	0.92494870029065	1.74904693736941	4195.94744025374	2131.66736288654	2152.74406148241	3352.48079641955	3592.34306776451	1992.44738739609	4.23415680658645	1839.99028838083	8.64450437451465	1380.97706751729	2331.92112409113	7.75331138216183	3.93286627280549	1804.0137583834	1198.72435371219	5.02284161393402	1912.59194196499	2115.80916863257	1931.56342067101	2938.43163754925	3814.44781530783	2989.18105088935	2569.22775956416	2122.67891005702	1486.74523952094	1350.80463900118	2.73873495491539	2345.5590759918	1486.2458241514	0.828159650778448	1733.09442108492	1628.78390330471	2.75161929134991	1972.9853965147	1688.73526420308	2347.60228149499	2429.11717698604	4.26630799296256	17.3229660478348	1631.59895558002	2124.63059464107	264.56819489407	1844.46339294622	10.7756027916882	3.646137188797	1820.91508783048	8.08654346158909	4.65695624782249	1584.98229306488	5.74283202929551	6.33729105541804	3.29831985324735	4661.19792993786
UTY	651.728987380247	2.24949524787042	661.301499143584	7.32178066248857	2.55056293270904	1.37939276593047	3.20897309199701	1.17999911807804	3.14606012648062	672.764867191079	600.668343344643	5.23922494083315	9.37320675351748	10.2988198600619	560.683890202006	626.577954428891	4.19403664385834	908.364946530111	0	0	5.70742755473908	0	0.996852241126156	31.4731768010707	2.87448469270327	5.5618081554473	2.35260075632424	1.27084288928473	573.66149372882	3.79851481077806	1.77724527015929	816.761508757793	9.95115919019072	1.77276601084217	8.03763717077672	617.303824833714	537.854329881599	724.247692904055	526.821261125357	3.20311413149437	691.977452014326	679.13627378813	1.71768319509921	1728.69954892261	4.86558182537272	3.57925883162983	1513.92663473474	644.562637559609	685.832926636394	1160.77371109117	1346.88297500357	714.279613892304	0.889719228452748	639.059758891002	3.94386696831647	581.993729774042	683.329913824065	6.47988572112909	3.29393651887689	598.028221592112	469.139061445732	2.36474392182567	657.971216846854	814.409396739548	667.642982478201	1070.24106177833	1508.98194894308	765.426465864757	845.14843593206	703.345847505441	603.281548351444	460.342864999339	4.78502939697124	739.217481539421	587.736323539396	3.40315286253381	575.918313903871	680.672715028316	2.04570521338625	653.015355785413	693.613825518987	711.755228229997	836.619248935608	3.55292984471177	12.1635179300708	532.304973575383	617.83266916758	514.406832188271	660.094955029041	1.07835451475047	3.06652529351834	599.107956846614	11.9244748313878	3.11500685892805	568.490203322056	10.2606772054262	4.60183355616842	7.87323133799043	1567.64859655817
ZFY	1451.3151893836	5.64744210838944	1590.24331741713	4.92533019040151	2.20105309062786	1.57621414334202	0	0	0	1341.68556091219	1112.21268854758	4.34398283928539	0	4.67364435526973	1003.28623794312	1178.84945271744	0	1702.01638479638	2.262067132055	0	2.14984602862261	3.92849490552934	0	11.3088197056453	0	2.55474867606534	0	0	1113.62404562295	0	1.52867171875421	1334.53416518401	7.67159727927951	1.52811483702192	1.9833873691529	1167.99512507427	1282.46320304032	2087.06849601991	1689.23596197443	0	1721.43005425131	1514.99733071529	2.94623450885748	4637.04482389787	0.76513798339163	0.747986025538495	3371.19714985786	1817.56367480069	1528.52382905258	2989.08147076332	2824.06554429927	1663.63026308469	6.15043653446011	1471.93963663351	20.6423924519473	1324.69645039584	1492.35974809475	10.6582626758582	7.28074268292852	1470.42777135372	1037.96354728201	3.61392105978035	1549.53621793877	1922.98917609945	1535.10135117384	1806.82058099326	2893.01551729346	1627.49088312209	1411.58387236962	1463.7731622562	1444.08302635871	1360.93344676175	2.20597790193334	1505.22653303866	1469.39252734647	0	1517.79473654615	1543.2504455289	0	1376.96108017329	1425.8153917314	1275.24355890712	1588.02450565638	1.9773030261071	5.80103619250083	1402.65258429743	1787.50477557793	1380.72222442301	1688.17439964592	1.79729618329515	5.08910932639558	1395.56054545598	13.1157918334896	5.61233658097378	1440.54670197113	10.5669131755075	3.75962489350869	1.55213764914987	3048.52850450018
