gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
ABCB7	965.136112236123	22.4450400417146	9.63884266059824	18.6038635822741	0.605653083657823	0.803458972933274	15.0905784140258	18.6227069770928	0.419886814066661	0.722425348219495	0.328316551986471	3.91261277879271e-07	8.96261299328099e-07	0.00998702933026307	0.0192772954538566	-0.0277964697592958	0.047770528419822	0.0156356996932406	0.0192988462527493	-0.022190038962148	0.0534614383486293	NPX
ABCD1	935.236088305965	45.247382269871	65.1074960380912	40.96074307756	0.115452261776297	0.293923175054997	50.8743768859667	41.0022312045	0.217915019868162	0.54081165020388	0.19350224383042	0.000495794733380186	0.000764664701577536	0.0696161074750904	0.0439265368562782	-0.0164799047632149	0.155712119713396	0.0543973628927405	0.0439205047601189	-0.0316868264370925	0.140481552222574	NPX
ACOT9	3111.43716420741	93.7056913002378	56.8100989649075	86.9962496052514	0.515409517352865	0.763426127206876	-17.552209439459	87.084365961932	0.840720199620253	0.957351903613814	0.147165648760157	0.00376744593111454	0.00515407533631642	0.0182584754140066	0.0279655565682699	-0.0365540154598025	0.0730709662878157	-0.00564119039309929	0.0279889857054685	-0.0604996023758176	0.049217221589619	NPX
ACSL4	9916.97341886461	413.21035612124	170.170494606922	326.190386194935	0.603167211419376	0.803458972933274	-476.124714287382	326.520776396193	0.148272994613981	0.451139113882649	0.401871773944576	3.35738552614052e-09	1.00977854755677e-08	0.0171595190810146	0.0328999007357157	-0.0473242863609882	0.0816433245230175	-0.0480110911038313	0.0329861626691312	-0.112663969935328	0.0166417877276659	NPX
AFF2	979.714388974005	100.635710191381	67.5808697412294	98.1526688734778	0.492891311457368	0.749018500198388	115.69634581274	98.2520852922183	0.242082211141164	0.552727509643755	0.055679387625767	0.103896297906044	0.117629716594774	0.0689801747343966	0.100435235371095	-0.12787288659295	0.265833236061743	0.118091912413271	0.101017417061798	-0.0799022250278532	0.316086049854396	NPX
AIFM1	2010.4600621216	64.4046927495293	53.0501207872111	55.4472445522413	0.34124765340555	0.598325483988875	-68.9342567694784	55.5034056994182	0.217469788103949	0.54081165020388	0.271296745944003	1.01260146720796e-05	1.9849003884574e-05	0.0263870552749147	0.0275923324404472	-0.0276939163083617	0.0804680268581911	-0.0342878021146729	0.0276291579859764	-0.0884409517671867	0.019865347537841	NPX
AKAP17A	1004.43501884449	104.722913841398	692.318064198138	57.1373376152585	1.30935375621416e-20	4.68986709043982e-19	703.681606590404	57.1952106160365	5.5274731875082e-21	7.25941478626077e-19	0.824209749177029	2.36873323172029e-32	8.48437175725269e-31	0.689261177885441	0.0916523895579372	0.509622494351884	0.868899861418997	0.700574545280117	0.0926155486435933	0.519048069938674	0.88210102062156	PAR1
ALG13	1326.87408056823	40.9641563185142	145.760272818356	34.8882766572612	6.79702021067342e-05	0.000535605192601065	-80.4056288743065	34.9236141326564	0.0236231292308371	0.172361350313885	0.381504272241735	1.34266180216149e-08	3.6483362072526e-08	0.109852377820158	0.0265114025855942	0.0578900287523938	0.161814726887923	-0.0605977839584243	0.0263866214368709	-0.112315561974691	-0.00888000594215734	NPX
AMER1	382.191720096829	15.0931104081799	32.7477310830174	11.3784617177764	0.00499766185809614	0.0246134846511235	39.5230852286181	11.3899866811599	0.000801082164542315	0.0137228857752031	0.520582610575279	2.96593958590836e-13	1.51763661928298e-12	0.085684041178916	0.0299632826454085	0.0269560071939153	0.144412075163917	0.103411673122078	0.0300802699217696	0.0444543440754099	0.162369002168747	NPX
AMMECR1	2020.89494941912	66.815101806345	-161.035138169654	54.5926084800774	0.00405257092613092	0.0210093808538892	-49.2391571913414	54.6479039874445	0.369979568339191	0.674870138544635	0.349695381472148	1.05129097132627e-07	2.57272448883571e-07	-0.0796850614209021	0.0271422395057941	-0.132883850852259	-0.0264862719895458	-0.0243650256068454	0.0270534333444868	-0.0773897549620394	0.0286597037483487	NPX
AMOT	1212.03444297142	91.8970467029569	-12.3352266711524	87.7495735359868	0.888521369006371	0.954640389794764	-1.67509525087457	87.8384529159067	0.98482733298187	0.994074216546203	0.0791879852545505	0.0487920928056516	0.0579038691729721	-0.0101772905404498	0.0724026929009498	-0.152086568626312	0.131731987545412	-0.00138205251557695	0.072471987281619	-0.14342714758755	0.140663042556396	NPX
AP1S2	3415.7984303892	319.497813849982	376.037467679495	320.958480547786	0.244446879536392	0.493908054037632	171.204828513961	321.283571480785	0.595431633766532	0.832969321968051	0.0186360899039081	0.28942831659032	0.309877056349419	0.110087721902445	0.0945254734923754	-0.0751822061426106	0.295357649947501	0.050121467060471	0.0941748803215454	-0.134461298369758	0.2347042324907	NPX
APEX2	1162.18756229288	48.324165191116	-39.374618289182	38.9248620043893	0.314462944849093	0.573603704956217	-40.8828588875035	38.9642880375768	0.296877435982045	0.611150317832949	0.353839429015288	8.09772346467264e-08	2.03216754463759e-07	-0.0338797450314301	0.0335223669861768	-0.0995835843243366	0.0318240942614764	-0.0351775050894933	0.0335585697012471	-0.100952301703938	0.0305972915249511	NPX
APOO	511.985890001954	18.2698686145957	-1.37866924903365	18.2868989844409	0.940070876854023	0.967070301515626	-7.61682552695886	18.3054213336319	0.678329799537235	0.866497789968867	-0.011737674606644	0.554960370710138	0.57389602640366	-0.00269278758644773	0.0357177131598921	-0.0726995053798362	0.0673139302069408	-0.0148770223470998	0.0357577024089829	-0.0849621190687063	0.0552080743745067	NPX
APOOL	1562.63293749135	86.1338016798121	-38.7503041253685	40.8793635030161	0.345709280397811	0.598325483988875	-23.417895156501	40.9207692025911	0.568563080318095	0.827475309831274	0.774249009819621	1.55502327313419e-27	3.6039951153816e-26	-0.0247980848193166	0.0261962527725778	-0.0761427402535691	0.0265465706149359	-0.0149861778762299	0.026200089669649	-0.0663383536287419	0.0363659978762821	NPX
AR	983.787449854308	97.9630040331388	-49.2721912294118	66.2596203044743	0.459041392089099	0.712056332610649	-86.492920755318	66.3267330405148	0.195544275812956	0.510228110399369	0.5431754469159	3.75280480649361e-14	2.17441925552718e-13	-0.0500841835669978	0.067535956680605	-0.182454658660984	0.0822862915269881	-0.0879183006127259	0.0679858149993351	-0.221170498011423	0.0453338967859708	NPX
ARAF	2817.54668128142	59.5827016859044	-41.0331642557229	46.40014116349	0.378873007627558	0.627209936996882	-21.0741252828811	46.4471387226646	0.651120555377157	0.850262477825825	0.397067778547602	4.67905924500778e-09	1.36559210558005e-08	-0.0145634372371999	0.0164711571456784	-0.0468469052427297	0.0177200307683298	-0.00747960110932274	0.0164857168063921	-0.0397916060498512	0.0248324038312057	NPX
ARHGEF6	1521.70572590033	91.5227577970483	205.350593851924	93.227705479354	0.030172000895647	0.110071929193379	157.195784573587	93.3221335240779	0.095561231561896	0.37651125235387	0.0480729709460859	0.130511106631488	0.146083454581836	0.134947638269828	0.0618005566404686	0.0138185472545101	0.256076729285147	0.103302354652429	0.0616412427290462	-0.0175144810965017	0.224119190401359	NPX
ARHGEF9	1161.42547264425	24.6168792414236	-62.8268994845182	21.0827793209108	0.00370579699926328	0.0194677869027964	-37.4790756658383	21.1041335483734	0.0791273218395159	0.348388785552662	0.352991861360266	8.54321681953278e-08	2.13039710563033e-07	-0.0540946457300254	0.0181886766443581	-0.0897444519529672	-0.0184448395070837	-0.0322698929450105	0.0181837573932229	-0.0679100574357274	0.00337027154570636	NPX
ARMCX1	2760.80680880765	77.8798034576523	59.3767345985974	69.7966560842184	0.39718796317712	0.646094007215789	-89.5661357871227	69.8673513966087	0.203154292249645	0.523155497688627	0.210962268573233	0.000218316153076006	0.000355440348396473	0.0215070226606117	0.0252885318294522	-0.0280584997251145	0.071072545046338	-0.0324420149578683	0.0253234018133945	-0.0820758825121215	0.0171918525963849	NPX
ARMCX2	6916.89405625816	185.146689607917	-106.976628515232	177.994824288761	0.549344177749372	0.783919963540542	-295.728976705216	178.175110858532	0.100442229697762	0.391824143573449	0.0833696353391963	0.0423318210676908	0.0505416287899096	-0.0154659920544024	0.0257366752084227	-0.065909875462911	0.0349778913541061	-0.0427545910490926	0.0257848195766693	-0.0932928374193645	0.00778365532117935	NPX
ARMCX3	5938.2897331855	272.65537754955	4.43975925910253	254.480983943305	0.986119167187008	0.996233209927388	-132.353181342062	254.73874145873	0.604642705794067	0.832969321968051	0.121413668818021	0.010563818746395	0.0133831015629571	0.000747649484714666	0.042854268993966	-0.0832467177434587	0.084742016712888	-0.0222880976322897	0.0429098659319281	-0.106391434858869	0.0618152395942894	NPX
ARMCX4	803.914222568457	32.1451172913567	-7.59855614258138	30.0191990927909	0.800750280741797	0.914480030760197	-43.717014361115	30.0496047995487	0.149195773581611	0.451139113882649	0.144143148340069	0.00426758291781796	0.005778101957458	-0.00945194888865687	0.0373432087798271	-0.0826446380971179	0.0637407403198042	-0.0543801977049763	0.0374423108562239	-0.127767126983175	0.0190067315732225	NPX
ARMCX5	693.487501775854	12.1187904380884	-44.0823714331478	11.5264836917796	0.000241301333806194	0.00163918492275242	-46.0363636648104	11.5381585829717	0.000134464120823697	0.00344071183595857	0.272906190769318	9.28200106525839e-06	1.8470244543999e-05	-0.0635662089370948	0.0166581187156866	-0.0962161216198407	-0.030916296254349	-0.0663838404396942	0.0166782687908943	-0.099073247269847	-0.0336944336095413	NPX
ARMCX6	1849.00212131042	37.9550392580353	-65.7395293648763	36.0337533190154	0.0714117298050646	0.202418860022989	-50.2916700116433	36.0702510194842	0.166668591930828	0.484599044166624	0.159528899902113	0.00224043578674269	0.00314139395009474	-0.0355540583794927	0.0195018774996036	-0.0737777382787157	0.0026696215197303	-0.0271993576600122	0.0195159436880879	-0.0654506072886646	0.0110518919686402	NPX
ARSD	1197.77241513552	74.5061919028208	211.991334917245	74.7188355103535	0.00562285119414556	0.0273506588949797	-26.3369494826684	74.794516376948	0.725568404156368	0.898561694764576	0.0805866320182659	0.0465398253398283	0.0553978585616083	0.176987992241631	0.0633455363336542	0.0528307410276686	0.301145243455593	-0.0219882751930704	0.0624596585575549	-0.144409205965878	0.100432655579737	NPX
ASMTL	1011.18916984729	70.9765089157076	654.674176967409	70.9511563781846	1.15878141552755e-14	2.5364437650992e-13	535.127134336179	71.0230210554631	3.67257796225767e-11	1.44699571712952e-09	0.62382619676509	8.49166366828006e-18	7.27329453326597e-17	0.647429973034898	0.0835967589632818	0.483580325466865	0.81127962060293	0.529205761190061	0.0794546770837234	0.373474594105963	0.684936928274159	PAR1
ATG4A	860.677474644198	28.7360430757199	-52.440060249721	23.2495572264876	0.026523965657609	0.100614567279218	-57.2394557534822	23.2731061298774	0.015825871217437	0.133917257307408	0.371179312383879	2.65529281634516e-08	7.06882006513509e-08	-0.0609288168850935	0.0270895781609089	-0.114024390080475	-0.00783324368971207	-0.0665051165387417	0.0271314640625885	-0.119682786101415	-0.0133274469760682	NPX
ATP11C	5237.25158573012	163.436972557412	-136.369277458465	145.988039388364	0.352745232053488	0.598595143135993	-129.403561868349	146.135907074709	0.378246018477647	0.683618950826574	0.207209300619926	0.000261077870698996	0.000418149109981318	-0.0260383285443131	0.0278867743226324	-0.0806964062166726	0.0286197491280464	-0.0247082958972095	0.0279138188316071	-0.0794193808071594	0.0300027890127404	NPX
ATP6AP1	5598.04394119396	162.734380863793	-149.714748736578	154.929893468824	0.336464286965788	0.598325483988875	-140.861014210926	155.086818138742	0.366160250189448	0.674870138544635	0.101191670701247	0.0225610004666367	0.0274352906909101	-0.0267441181793666	0.0276866370504465	-0.0810099267982418	0.0275216904395086	-0.0251625417182565	0.0277134064501463	-0.0794808183605432	0.0291557349240302	NPX
ATP6AP2	14587.9355034489	664.164728436911	-595.685934710121	562.684166301586	0.292592014576573	0.54635665281123	-163.15274060814	563.254095222905	0.772741866026826	0.928232607361492	0.290483234600553	3.52467446186841e-06	7.38681775519232e-06	-0.0408341491891906	0.0386166620243678	-0.116522806756952	0.0348545083785704	-0.011184087053961	0.0386143106343302	-0.0868681358972481	0.0644999617893262	NPX
ATP7A	1647.22041517351	57.1822434936225	-23.5647856087644	40.5349138489115	0.562460850451989	0.7852505161637	-61.7913024990624	40.5759706639229	0.131301169450531	0.433568306236191	0.493489278568401	3.08799560368292e-12	1.36704524477648e-11	-0.0143057877328956	0.0246130797417731	-0.0625474240267709	0.0339358485609797	-0.0375124676272019	0.0246673909842066	-0.0858605539562468	0.010835618701843	NPX
ATRX	6432.41610939089	257.108775615651	-189.645957592245	221.246308740231	0.39362703669247	0.643523039239971	-133.414457457436	221.470403672412	0.548420639825871	0.812322301095463	0.265008587098912	1.41901200736153e-05	2.714032674274e-05	-0.0294828497359452	0.0344157038793205	-0.0969376293394134	0.037971929867523	-0.0207409556826803	0.0344403397059454	-0.0882440215063333	0.0467621101409726	NPX
BCAP31	5784.14607673311	223.960729853422	295.484494153256	187.552542376796	0.118655472796362	0.295887697985865	274.687356991767	187.742509723612	0.1469218212245	0.451139113882649	0.352212369714578	8.97384258121456e-08	2.22370690377267e-07	0.0510852406272812	0.032485552869873	-0.0125864429976699	0.114756924252232	0.0474896991444778	0.0325101634353759	-0.0162302211888589	0.111209619477815	NPX
BCOR	2694.07736612233	89.4042144186101	33.7603765728731	72.9607944948781	0.644682332951247	0.834186834132236	54.9129288217821	73.0346946850654	0.454088305689621	0.75116666717033	0.335685603789752	2.50245095613106e-07	5.86884331378357e-07	0.0125313315042119	0.0270851151996453	-0.0405554942870928	0.0656181572955167	0.0203828329179796	0.0271177905245095	-0.032768036510059	0.0735337023460182	NPX
BCORL1	859.831315328395	41.665075063403	21.2422229167878	36.4487085014215	0.561486899150014	0.7852505161637	29.897580312459	36.4856264997655	0.41470329291511	0.720841665533321	0.233618334566781	7.19609779200826e-05	0.000127141817491088	0.0247051049875692	0.0424074346198921	-0.0584134668674193	0.107823676842558	0.034771448514922	0.0424669092408707	-0.0484636935971846	0.118006590627029	NPX
BEX1	86.5228712207025	339.288990994031	755.65394036152	335.680794869641	0.0268135268129895	0.100614567279218	-333.293676647886	336.020797671898	0.323913355340079	0.634934636835778	0.074786129247137	0.0565247068058482	0.0661426321160138	8.7335744838379	34.4667078467315	-58.8211728957558	76.2883218634316	-3.85208756882005	15.596743786041	-34.4217053894604	26.7175302518203	NPX
BEX4	663.445549342999	59.4729536433736	-76.9183745289353	58.3791822924294	0.190993525017742	0.418063604761056	-40.07216830895	58.4383131270682	0.494653915373154	0.782705392196877	0.0731841448732252	0.0595964335799822	0.0692654714764395	-0.11593773536518	0.0886055613791943	-0.289604635668401	0.0577291649380405	-0.0604000861090001	0.0882493122636629	-0.233368738145779	0.112568565927779	NPX
BGN	80212.0789203119	4529.10774292694	-5154.52733045943	4363.06395563165	0.240555922264454	0.492508161950856	-390.405846476507	4367.48319555842	0.928971225694939	0.981272554755512	0.0680234120864225	0.0705116180574804	0.0812326827913663	-0.0642612359614852	0.0545149884665481	-0.171110613355919	0.0425881414329491	-0.00486717027823655	0.0544498894060458	-0.111588953514086	0.101854612957613	NPX
BHLHB9	472.502187782864	13.8082883957929	14.287561179274	12.8662451443368	0.269755209080016	0.520471971409738	-1.24815155537994	12.8792770468777	0.923012069235097	0.977839854484359	0.132476761002175	0.00684261199460313	0.00886838528247906	0.030238084708805	0.0272443570628098	-0.0231608551343022	0.0836370245519123	-0.00264157836228584	0.0272577123060082	-0.0560666944820619	0.0507835377574902	NPX
BRCC3	2030.57425985602	61.2441523188655	14.6617287467611	46.9571341575558	0.755583094676437	0.909070975464042	-0.818199028907719	47.0046958812037	0.986150654473668	0.994074216546203	0.417252773304092	1.13533397758701e-09	3.72767989307736e-09	0.00722048389789041	0.0231260768332204	-0.0381066266952216	0.0525475944910024	-0.000402939722561899	0.0231484773979627	-0.0457739554225688	0.044968075977445	NPX
BRWD3	1113.38950407038	41.0773402148092	-78.033120457385	40.0905563541176	0.0547232724127259	0.165853610235492	-38.2693744820739	40.1311630903764	0.342836628429544	0.663534160534447	0.0646022541935398	0.0786736335208565	0.0898475698759926	-0.0700860931166567	0.0361003886752237	-0.140842854920095	0.000670668686781686	-0.0343719554946107	0.0360664371184819	-0.105062172246835	0.0363182612576139	NPX
C1GALT1C1	1900.00341652775	86.6206543622462	-47.8552530188797	68.9285812981239	0.489299304952527	0.749018500198388	-38.3301627791741	68.9983973589623	0.579915610330232	0.827475309831274	0.389274337642497	7.96430297084968e-09	2.22548607837927e-08	-0.0251869299826497	0.036296303190346	-0.0963276842357278	0.0459538242704284	-0.0201737336079228	0.0363265252217917	-0.0913737230426345	0.0510262558267888	NPX
CA5B	633.843938521516	49.7995487601945	214.489455154763	43.2018946973205	3.24160509800582e-06	2.90271001957794e-05	40.045974293614	43.2456528314895	0.356916445900751	0.672847271219597	0.305095386268358	1.53661009237663e-06	3.33890129885108e-06	0.338394740596674	0.0731604413656772	0.195000275519947	0.481789205673401	0.0631795491915943	0.0684079364846514	-0.0709000063183225	0.197259104701511	NPX
CASK	3139.43255587027	105.108102298157	48.739804043579	92.8995755384559	0.601116130255183	0.803458972933274	58.6507064458912	92.9936712284514	0.529837842252167	0.801286509314522	0.226342199273001	0.000103355060102084	0.000176285254026931	0.0155250361892447	0.0295957643154272	-0.0424826618689926	0.073532734247482	0.0186819450337364	0.0296277747267837	-0.0393884934307597	0.0767523834982326	NPX
CCDC120	214.31403062518	12.5323215269924	-19.710813593528	9.38131591578101	0.0384304141632925	0.130759260458656	-11.2396083744086	9.39081801941329	0.234499604573936	0.549068455506298	0.490637359789189	3.91990596750992e-12	1.71604772355434e-11	-0.0919716433685147	0.0441028421437383	-0.178413213970242	-0.00553007276678766	-0.0524445755680171	0.0439252159590688	-0.138537998847792	0.0336488477117578	NPX
CCDC22	684.490877758	27.397707733827	16.1893496692197	24.5732660558098	0.511693638034751	0.76078223919129	-28.4351708605111	24.5981557112422	0.25074558925908	0.561328194136803	0.220317864607249	0.000138920194139915	0.000232913006345219	0.0236516660707689	0.0359125436536772	-0.0467369194904385	0.0940402516319763	-0.0415420742401249	0.035974873780351	-0.112052826849613	0.0289686783693632	NPX
CD99	15692.623725886	1447.08721996439	10895.8745878657	1371.35544607933	5.28386930054499e-12	9.05149784528141e-11	12681.6803723881	1372.74445820538	1.09880451311066e-14	8.65857956331202e-13	0.6787181996792	8.70823654925544e-21	9.80298628687612e-20	0.694330965821368	0.108334025291641	0.481996276249751	0.906665655392985	0.80813002299092	0.114915872996458	0.582894911917863	1.03336513406398	PAR1
CD99L2	5814.63993090244	220.01098352373	302.219699937925	219.435417236961	0.17184750940862	0.384704083562479	-10.8702900308526	219.657677961777	0.960640529002871	0.988230726963789	0.0182072812906513	0.2924820844808	0.312297943862968	0.0519756517220869	0.0377896436698966	-0.0220920498709105	0.126043353315084	-0.00186946916060638	0.0377767266159102	-0.0759118533277903	0.0721729150065775	NPX
CDK16	7060.83575850172	238.659464938552	1702.2413534567	168.549090718019	1.77626357582939e-16	4.11675205221636e-15	332.571048487778	168.719809937103	0.0517794956811813	0.269237341845623	0.699092785234483	4.92726762867003e-22	5.88285892635149e-21	0.241082134137887	0.0252234992524215	0.191644075603141	0.290520192672633	0.0471008050410095	0.0239481375625665	0.000162455418379275	0.0940391546636398	NPX
CDKL5	1354.39942150233	60.3648905459575	-42.3206138066173	44.1111723993274	0.33992358716388	0.598325483988875	-56.2535336969629	44.1558515184662	0.205951661573819	0.526915290000551	0.467575887615029	2.55853111260415e-11	1.00806125836604e-10	-0.03124677486917	0.0325985678370626	-0.0951399678298127	0.0326464180914727	-0.0415339321649778	0.0326543066414133	-0.105536373182148	0.0224685088521924	NPX
CDR1	201.702704002323	15.75492240158	-37.1547000381327	10.5036474683367	0.000641460983922814	0.00401167662961252	-21.8877180197555	10.5142863539319	0.0402083223236426	0.232971749934047	0.562898249675858	5.62837963229356e-15	3.57674447600591e-14	-0.184205264981003	0.0540260610970392	-0.2900963447312	-0.0783141852308063	-0.108514747623331	0.0528122563772027	-0.212026770122648	-0.0050027251240136	NPX
CENPI	866.088236177599	98.777864491999	47.1264833406373	100.754039132196	0.641102670830569	0.834186834132236	90.527443459157	100.856090414746	0.37179893368315	0.67506350171042	-0.0314304213419401	0.753351442391423	0.765001206964486	0.0544130278788057	0.116497713035434	-0.173922489670646	0.282748545428257	0.104524504176031	0.117058727403404	-0.124910601534641	0.333959609886704	NPX
CETN2	3331.45770949877	118.446303490734	16.9632014299489	74.4805304693896	0.820354493413464	0.923484772585442	-72.6020620081508	74.5559699626825	0.332769519963893	0.649065301315712	0.606215219343965	6.18969673586019e-17	4.5161861369054e-16	0.00509182553378446	0.0223574719431413	-0.0387288194747725	0.0489124705423414	-0.0217928811766529	0.022392792553259	-0.0656827545810404	0.0220969922277347	NPX
CHIC1	748.440623697608	24.8538333611852	-40.8951112728859	19.7664922931279	0.0414225476344907	0.13615068991068	-38.3271933744344	19.7865132859078	0.0558773741878003	0.278679562404979	0.361173920728593	5.07579777383535e-08	1.30710086463472e-07	-0.0546404216687852	0.0264724911136326	-0.106526504251505	-0.00275433908606522	-0.0512093974603919	0.0264916209147698	-0.103132974453341	0.000714179532556924	NPX
CHM	2660.61468554573	56.569397105351	239.565098022284	49.2470177960146	4.85115892752706e-06	4.15512308140362e-05	-53.9854759988678	49.2968988863519	0.276390914061246	0.591837065978973	0.390239990392341	7.45964085921856e-09	2.09935607038008e-08	0.0900412597599211	0.0186083801556012	0.0535688346549428	0.126513684864899	-0.0202906028791593	0.0185334089623316	-0.0566160844453293	0.0160348786870107	NPX
CHST7	318.630745939246	30.9347211098428	-9.05942237539631	26.9501107122825	0.737536233600598	0.896880481600727	21.4124958510216	26.9774078150758	0.429446451403401	0.73566044283887	0.245281891893047	3.98293525646064e-05	7.19851601397014e-05	-0.0284323546639899	0.0846260435783475	-0.194299400077551	0.137434690749571	0.0672015997323256	0.0849176909534715	-0.0992370745364784	0.23364027400113	NPX
CLCN5	580.599175991542	29.2847531367444	-43.7510107602844	25.057972968789	0.08422473990208	0.232059772877059	-21.230464039093	25.083353571905	0.399576462395196	0.705978144321557	0.267515848836809	1.24098949577474e-05	2.40862000657758e-05	-0.0753549308532291	0.0433258536444676	-0.160273603996386	0.00956374228992739	-0.0365664729076403	0.0432418817757061	-0.121320561188024	0.0481876153727436	NPX
CMC4	602.966462152349	19.4594130612507	22.9290581763971	14.9617369974453	0.128903630934113	0.317425191175253	21.966675512354	14.9768913720283	0.145942044577994	0.451139113882649	0.411349487685694	1.72803174574538e-09	5.4906815147071e-09	0.0380270871029038	0.0248438777659774	-0.0106669133184119	0.0867210875242194	0.0364310071806345	0.0248664914391482	-0.012307316040096	0.0851693304013651	NPX
COX7B	2195.18948340195	81.9844065190097	-9.58360084048871	46.5575251507121	0.837377450050249	0.932717615955222	-76.9958378068008	46.6046821202477	0.101997959566365	0.393924150073668	0.681436362701317	6.00269434893685e-21	6.95606345141506e-20	-0.004365728294961	0.0212095134769672	-0.0459363747098167	0.0372049181198947	-0.0350748026031348	0.0212707433498634	-0.0767654595688671	0.00661585436259741	NPX
CSTF2	1225.96504057209	63.4563523864648	-32.7630127030389	58.6058794610742	0.577523073010818	0.790083648493966	-53.2800899195783	58.6652399116868	0.366195217151114	0.674870138544635	0.140689140395041	0.004915154902839	0.00658697629836247	-0.0267242634323	0.0478238837475453	-0.120459075577489	0.0670105487128887	-0.0434597139040077	0.0479051382403459	-0.137353784855086	0.0504343570470703	NPX
CTPS2	978.983089076999	48.762736160664	192.513459566284	39.1279184481259	3.88210715266079e-06	3.39900048477411e-05	55.9718925816713	39.1675501521797	0.156455226846609	0.460025069981821	0.485699781846424	5.90371365838736e-12	2.52832954500502e-11	0.196646358567633	0.0411506283034377	0.115991127092895	0.277301590042371	0.0571735030014079	0.0401096275704853	-0.0214413670367434	0.135788373039559	NPX
