gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi
DDX3Y	5141.39949651585	214.299226226125	-703.79024625091	233.87342525637	0.00432233336301307	0.0432233336301307	4221.91365750724	267.698638885081	1.01198555072044e-19	3.37328516906812e-19	0.905917564774906	6.85530324423288e-22	3.42765162211644e-21	-0.136886901460944	0.0458447113336627	-0.226742535674923	-0.0470312672469649	0.821160398130566	0.0623095469508101	0.699033686106978	0.943287110154154
EIF1AY	1029.39357438501	83.6326101073851	68.2457011868842	71.4681318164136	0.34483986774609	0.602806800982528	1265.2619384896	81.8045983204001	2.09784432977174e-19	5.24461082442936e-19	0.891432847607745	1.54898028146285e-20	5.16326760487617e-20	0.0662969955176341	0.069636035455326	-0.0701896339748049	0.202783625010073	1.22913331690992	0.127621993031712	0.978994210567766	1.47927242325208
KDM5D	1511.72617869241	79.3731699252973	48.6728133736667	101.271261143191	0.633169040982268	0.780441101209266	1216.90143805496	115.918167002043	1.46113418128689e-13	2.08733454469556e-13	0.738389635202305	2.69802098030092e-12	3.85431568614417e-12	0.032196844944345	0.0670118055136437	-0.0991462938623967	0.163539983751087	0.804974773346547	0.0875560843277804	0.633364848064097	0.976584698628997
NLGN4Y	1684.2635340318	166.669279004964	-75.4506271808181	196.186762465507	0.702396991088339	0.780441101209266	1449.12384466148	224.561337919074	7.2709137980665e-08	7.2709137980665e-08	0.542308828084293	3.34764611772243e-07	3.34764611772243e-07	-0.0447973999651968	0.116566547862306	-0.273267833775316	0.183673033844922	0.860390203421764	0.158195171908601	0.550327666480906	1.17045274036262
PRKY	506.207507958478	39.2893152141025	18.6864464995895	35.2577948205688	0.598780068004554	0.780441101209266	680.589383357227	40.3571447812396	7.99145440457516e-21	3.99572720228758e-20	0.87866261195929	1.7375010299638e-19	3.61729263310923e-19	0.0369145976813965	0.0697097773628884	-0.0997165659498648	0.173545761312658	1.34448693995478	0.131321825345265	1.08709616227806	1.60187771763149
RPS4Y1	12480.3425683739	454.465249579565	-1254.96285096125	595.633266351116	0.0408587640624097	0.180261771000022	8690.5752505384	681.779960686344	2.26858760208268e-16	3.78097933680446e-16	0.842327895131113	5.08008472831542e-17	8.46680788052571e-17	-0.100555160572388	0.0478659755075758	-0.194372472567237	-0.00673784857753967	0.696341082220047	0.0602264409584017	0.578297257941579	0.814384906498514
TXLNGY	849.2036552816	36.6239178204847	-66.270808946971	35.9623895506787	0.072104708400009	0.180261771000022	698.247420112682	41.1636453488404	6.39433674848796e-21	3.99572720228758e-20	0.915071082159869	7.36062959706867e-23	7.36062959706867e-22	-0.0780387702464555	0.0424818978567339	-0.161303290045654	0.00522574955274294	0.822237888131959	0.0600594165695553	0.70452143165563	0.939954344608287
USP9Y	2092.73270993309	130.715953523302	-15.6177691334293	159.82180905522	0.922598522193609	0.922598522193609	1385.56093022749	182.93690572725	1.66262630818425e-09	1.84736256464917e-09	0.623948944529558	5.74014982376889e-09	6.3779442486321e-09	-0.00746285899737699	0.0763713327674935	-0.157150671221664	0.14222495322691	0.662082130054628	0.0967040033809561	0.472542283427954	0.851621976681301
UTY	718.492285931817	35.2906980747144	-40.5970295260564	44.0432754761642	0.361684080589517	0.602806800982528	469.463620306193	50.4132732655939	5.7371670500782e-12	7.17145881259775e-12	0.725396839384687	7.57224613592567e-12	9.46530766990708e-12	-0.0565030833607431	0.0613623730832673	-0.176773334603947	0.0637671678824608	0.653401058714698	0.077156823222161	0.502173685199262	0.804628432230133
ZFY	1582.48370707582	56.728117375968	-131.838228977713	66.7418161946045	0.0545224321467098	0.180261771000022	1106.83420210541	76.394713646617	2.34431637088476e-18	4.68863274176953e-18	0.878438233506733	1.80864631655462e-19	3.61729263310923e-19	-0.0833109550437829	0.0422809639877691	-0.16618164445981	-0.00044026562775544	0.699428497845743	0.0543979675665349	0.592808481415335	0.806048514276152
