gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	region
ABCB7	899.323444026433	22.6246345828584	-0.709586286242111	20.6814879347682	0.972804786353994	0.996294905982751	0.53521196933215	2.51440260598854e-06	1.08865343599943e-05	-0.000789022337797806	0.0229967269021865	-0.0458626070660833	0.0442845623904877	NPX
ABCD1	915.772766427199	42.5050975837844	24.5617124032763	46.1991936018041	0.597985253961137	0.836375188368057	0.355399199146521	0.000767704711714793	0.00164388943704146	0.0268207499761119	0.0504636726433576	-0.0720880484048689	0.125729548357093	NPX
ACOT9	2951.48441587036	107.41772032221	45.8759836708246	117.053132400793	0.697247580103286	0.884242413565926	0.34438263387973	0.00101999784939544	0.00204893057356904	0.0155433596139441	0.0396631060918989	-0.0621963283261777	0.0932830475540659	NPX
ACSL4	9209.12167783587	504.165085754114	424.668585198336	459.41546532712	0.360979507695332	0.694472123464325	0.550140215702231	1.39511177038791e-06	6.54373854205756e-06	0.046113907498954	0.0499508391039028	-0.0517897371446955	0.144017552142603	NPX
AFF2	866.747666829696	109.813741488321	139.259660145056	154.828742946199	0.373936854668718	0.694958116695636	-0.0916695963709644	0.865297341096133	0.878678227814115	0.160669206822819	0.179787969992672	-0.191715214362817	0.513053628008455	NPX
AIFM1	1858.67641573323	76.7253659589793	62.4308252667554	80.0589232872308	0.440209177599798	0.754097460757915	0.42117273674769	0.000122095330344678	0.000310358452618085	0.0335888618041818	0.0430953935373912	-0.050878109529105	0.118055833137469	NPX
AKAP17A	961.738009894322	93.776315245823	631.572452983216	60.0209962724396	5.93054074223837e-13	2.12421186585629e-11	0.863051039547886	2.71727949799589e-16	1.07060812221038e-14	0.656699066154841	0.089415176493791	0.481445320227011	0.831952812082671	PAR1
ALG13	1260.70815499044	45.6986310918987	160.89057049343	56.6350319227446	0.00711698736498954	0.0467348836967646	0.344211232056776	0.00102446528678452	0.00204893057356904	0.127619203426704	0.0451607437494904	0.039104145677703	0.216134261175705	NPX
AMER1	363.266472055486	15.9330342221585	38.4934384513613	15.7343250622508	0.0190380977045305	0.10418070132757	0.508442881697515	6.86501851500513e-06	2.65178166167845e-05	0.105964743273863	0.0435620927803864	0.0205830414243051	0.19134644512342	NPX
AMMECR1	1872.19746925148	68.132439582798	-76.9949386071838	71.311523922064	0.286908696688997	0.630624154865069	0.417627953070693	0.000135707017335586	0.000342303070508306	-0.0411254367510533	0.0381191362387821	-0.115838943779066	0.0335880702769595	NPX
AMOT	1204.18478264809	83.3279303817064	-177.098598650021	115.998477401719	0.134897764691202	0.393701624358027	-0.0449539274402111	0.657839001026171	0.691169510411497	-0.147069288037811	0.0968655627465606	-0.33692579102107	0.0427872149454478	NPX
AP1S2	3543.60435064706	324.504798737101	-54.2613516089268	456.819331939591	0.906058765254001	0.991630981972434	-0.10806462379061	0.920274834690313	0.929713550943547	-0.0153124745992082	0.128921377921641	-0.267998375325624	0.237373426127208	NPX
APEX2	1130.38340463811	53.6685848975594	-50.5168632517786	52.8333493549302	0.344883733534524	0.681032451910162	0.465130603716214	3.07141259511589e-05	9.23768368302032e-05	-0.0446900255652211	0.0467874543938565	-0.13639343617718	0.0470133850467377	NPX
APOO	482.737368619707	19.6630305871974	-1.16526866998822	25.817923101145	0.964230737341898	0.996294905982751	0.0380215692440889	0.295266572859793	0.327704309033122	-0.00241387708045076	0.0534824283531169	-0.10723943665256	0.102411682491658	NPX
APOOL	1494.33503276324	102.375968797156	-4.27869410974257	67.5582429236449	0.949824508831489	0.996294905982751	0.756442528645501	1.58377166263375e-11	1.9500188596178e-10	-0.00286327631751406	0.0452099946642658	-0.091474865859475	0.0857483132244469	NPX
AR	921.637235407751	109.76898470753	3.48146484701933	104.652604686925	0.973631450029484	0.996294905982751	0.492725628076166	1.20291822537322e-05	4.0165235660767e-05	0.00377747850593195	0.113551647130904	-0.218783749870641	0.226338706882505	NPX
ARAF	2702.85534078598	61.2237031161469	-18.5123485570362	57.6017957255985	0.749634833639163	0.913139086697388	0.505343891781243	7.68028888092836e-06	2.85474888592998e-05	-0.00684918215107024	0.0213120255360118	-0.0486207522016534	0.0349223878995129	NPX
ARHGEF6	1452.06317931506	74.5502602838178	89.7211638100591	104.934986743507	0.397764134842798	0.725551245963253	-0.0802913543519141	0.820165607501802	0.843721277691148	0.0617887465835892	0.07233572424429	-0.0799892729352192	0.203566766102398	NPX
ARHGEF9	1080.34150224237	26.7219110504538	-59.7999698353368	31.666879993502	0.0664258927901779	0.259126750092377	0.281157995132333	0.00462610440630833	0.00795932373836455	-0.0553528395523225	0.0293438747455554	-0.112866834053611	0.00216115494896603	NPX
ARMCX1	2607.82527569508	81.4663650496742	16.5647258471763	101.98741914423	0.871814296220346	0.967591078058638	0.131898198439228	0.0801006331073213	0.100508437720652	0.00635193086038372	0.0391087289724763	-0.0703011779256698	0.0830050396464373	NPX
ARMCX2	6548.0918202273	165.968564259403	-342.219244388452	206.051604705076	0.104765017757	0.335588756067137	0.145627791883572	0.0641090675803101	0.0814805568601361	-0.0522624382467155	0.031495296295014	-0.113993218984943	0.00946834249151186	NPX
ARMCX3	5579.28290033637	238.950577693262	-181.334646724134	299.470191199067	0.548342560296905	0.816219852833139	0.122622424632206	0.0926879862854335	0.115566666444496	-0.0325014253557928	0.0536934372142048	-0.137740562295634	0.0727377115840487	NPX
ARMCX4	765.134774206079	32.8311802971033	-44.5165291561986	38.1647006432724	0.250523215024157	0.591054770775556	0.264500421366724	0.00667406454435695	0.0109844419618044	-0.058181291266483	0.0499421464402871	-0.156067898289446	0.0397053157564798	NPX
ARMCX5	660.925315250243	13.9695161926612	-54.9997350369159	17.9879144120267	0.00401824124760767	0.0282711973492397	0.243447256346433	0.0104172971273231	0.0163522512675909	-0.0832162632718821	0.0272730345689967	-0.136671411027116	-0.0297611155166485	NPX
ARMCX6	1742.12383418211	39.9265839247578	-108.031089834575	49.6020868845124	0.0355202015326412	0.159033629589326	0.170483589485216	0.0419831777075609	0.0554935841383067	-0.0620111427872711	0.0285076409000548	-0.117886118951379	-0.00613616662316364	NPX
ARSD	1135.69031873037	71.8476201698546	177.840419472057	98.0750896517184	0.0774853843198405	0.282678161314974	0.0475420923156645	0.263378391382825	0.293969082733238	0.156592353160914	0.0869236109843836	-0.0137779243684775	0.326962630690306	NPX
ASMTL	888.084809925323	44.6579410972256	648.03535282361	61.4718729198511	5.62016539356206e-13	2.12421186585629e-11	0.766689820385554	7.02697093590845e-12	9.54698809913079e-11	0.72969985026329	0.0783428734657031	0.576147818270512	0.883251882256068	PAR1
ATG4A	801.273638839206	33.8821065399973	-57.6399381899334	34.1905771301581	0.0998119581166958	0.327971741845077	0.437386029608643	7.45164866524695e-05	0.000207368510163571	-0.0719353980912633	0.0427785707068523	-0.155781396676694	0.0119106004941673	NPX
ATP11C	4860.13283784655	173.839818663844	-162.216025403539	201.139671849536	0.424854372984007	0.741517380304619	0.251717012821225	0.00876652457960365	0.0140406938388774	-0.0333768707184996	0.0414028482215098	-0.114526453232659	0.0477727117956596	NPX
ATP6AP1	5334.26505670482	150.218179042079	-135.957653684866	169.45170629573	0.427219404388702	0.741517380304619	0.29092236713288	0.00370947089600766	0.00658347537399558	-0.0254876074285016	0.0317747530475495	-0.0877661234016986	0.0367909085446955	NPX
ATP6AP2	13471.8790318058	634.794328696456	-345.025017898992	693.088798482951	0.621414987861872	0.841161524147564	0.335327352407298	0.00128221704922357	0.00251340058405018	-0.0256107568279392	0.0514612285981876	-0.126474764880387	0.0752532512245085	NPX
ATP7A	1586.14671130834	63.6677723734316	-84.2559674505744	54.924034702826	0.133091755561235	0.391329490232288	0.591435212744373	2.42293984928798e-07	1.32588652863815e-06	-0.0531199080449977	0.0346929211223657	-0.121118033444834	0.0148782173548391	NPX
ATRX	5797.17349544129	291.233568009529	-202.296365503495	331.378940517597	0.545092897118771	0.816219852833139	0.276079580019389	0.00518001401206892	0.00875933699894916	-0.0348956893669949	0.0571890321192633	-0.146986192320751	0.0771948135867612	NPX
BCAP31	5429.314695518	223.254587451945	450.567986375923	206.143157294856	0.0349062704905833	0.158258053582618	0.556865835989827	1.06222101877661e-06	5.04235037828895e-06	0.0829880033934809	0.038121583805963	0.0082696991337934	0.157706307653169	NPX
BCOR	2553.66007479023	91.2612227047651	58.4524241369608	86.8329227945814	0.504815401856381	0.802005114239573	0.49464373485065	1.12455316789899e-05	3.85281694045393e-05	0.0228896651962428	0.0340131589199673	-0.043776126286893	0.0895554566793787	NPX
BCORL1	822.415638694704	42.4118499188161	11.1960161422013	51.7988914573781	0.830002125597774	0.940173688794949	0.168394347961144	0.043547365572733	0.0570021994540093	0.0136135739830666	0.0629877482729736	-0.109842412631962	0.137069560598095	NPX
BEX1	760.74441378214	344.35625423388	-713.218000430489	442.726184992189	0.115251613969653	0.350563226581679	0.0911669391907373	0.147951667531469	0.173490943474401	-0.937526437932858	0.72026326178798	-2.3492424310373	0.474189555171582	NPX
BEX4	640.929352810387	73.6413704349284	-186.167822593271	89.8584447398037	0.0449447618607698	0.194596001902674	0.219034726842365	0.0170345268777628	0.0250164571611173	-0.290465433946738	0.144117724381643	-0.572936173734758	-0.00799469415871801	NPX
BGN	71518.8385053198	5186.52195771426	3206.42761070109	6637.45878444159	0.631739449965991	0.846616813900002	0.0897732785414181	0.15090008896392	0.176423249411824	0.0448333289202199	0.0928640726126599	-0.137180253400593	0.226846911241033	NPX
BHLHB9	451.103487246537	16.5346391133757	4.90611897770608	20.1669448446767	0.809067229285424	0.931487057895324	0.168013198181814	0.0438380833650208	0.0571927312775437	0.0108758170052114	0.0447075829750297	-0.0767510456258468	0.0985026796362697	NPX
BRCC3	1858.47379758245	72.879804614299	53.6506331303036	65.0018756365969	0.414181604843287	0.741517380304619	0.561748738286691	8.68944730669754e-07	4.27955279854854e-06	0.0288681138254914	0.0349942598602827	-0.0397206355006626	0.0974568631516455	NPX
BRWD3	1037.12511217124	38.0149509915284	-78.8646039088487	46.21192287948	0.0958510934922592	0.324413218706842	0.230411163358262	0.0135896041423063	0.0205934770464181	-0.0760415527339264	0.0446448034209496	-0.163545367438988	0.0114622619711348	NPX
C1GALT1C1	1765.5312146597	99.5531921359504	-71.5895357583696	101.06377183366	0.482934340045613	0.783349520863822	0.429526209519208	9.48729835766254e-05	0.000252149888645364	-0.040548439565351	0.0572883430659139	-0.152833591974542	0.0717367128438402	NPX
