gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	region
ABCB7	1083.51846701493	35.2756039253275	-22.5184159982402	42.5032405730525	0.59925076809451	0.876112708576431	0.125640208258669	0.0781404022047057	0.118848725545381	-0.020782678545644	0.0392328917856435	-0.0976791464455053	0.0561137893542174	NPX
ABCD1	937.778761227045	74.3961785920089	159.690146888483	95.5659523231399	0.10272983326674	0.40074806244649	0.0423039910835251	0.266682391015064	0.332509057151694	0.170285523079596	0.102798227163526	-0.0311990021609136	0.371770048320107	NPX
ACOT9	3438.11904622826	130.47768372201	91.6649808303728	167.973331436096	0.588372273733591	0.874662531045827	0.00248549070025383	0.427584637283768	0.498427062395872	0.0266613748965245	0.0488666469270702	-0.0691172530805331	0.122440002873582	NPX
ACSL4	11372.0494050741	549.944072865839	-324.777000708286	652.137472356917	0.621267330297232	0.883679884971514	0.167652802074565	0.0376274699346856	0.0629950032939311	-0.028559232301908	0.0573622705931603	-0.140989282664502	0.0838708180606862	NPX
AFF2	1177.6712081817	123.645930168228	-175.824183783519	128.865225540492	0.18026236110315	0.554339662875568	0.3452596218734	0.000744756448550781	0.00231050425770872	-0.149298193385391	0.110540809641277	-0.365958180282294	0.0673617935115113	NPX
AIFM1	2232.41444253909	89.057571967799	-13.83541101568	113.525856396638	0.903627674651567	0.951103532322138	0.0204703413895555	0.348959724421274	0.423878837564191	-0.00619751008237698	0.0508539973192327	-0.105871344828073	0.0934763246633192	NPX
AKAP17A	1539.77029382489	175.898019241494	892.190757550621	118.554296394524	4.11286160281224e-09	1.80051941278669e-07	0.78273499669793	1.07447623192117e-12	4.23343635376939e-11	0.579431075614765	0.101536226128957	0.38042007240201	0.77844207882752	PAR1
ALG13	1378.68917339127	60.5747491949177	140.72141497618	61.9347202963351	0.0286742174941527	0.163803197334453	0.414917019476415	0.00010495710922494	0.000464641584658722	0.102068992556195	0.0451461896715034	0.013582460800048	0.190555524312341	NPX
AMER1	432.603816800906	23.5114641948731	34.6500189231653	23.5788347800421	0.149708051720862	0.499872647271353	0.463182162269368	2.26971701874556e-05	0.000118106758039406	0.0800964244361071	0.0546780148228612	-0.0270724846167009	0.187265333488915	NPX
AMMECR1	2187.64138487858	103.341903647853	-333.774467639248	109.173481246678	0.00402156978577614	0.0344456194694739	0.362103153412901	0.000475300766687211	0.00161438363857553	-0.1525727525299	0.0504224211625684	-0.251400698008534	-0.0537448070512662	NPX
AMOT	1149.94818750928	150.095202479482	49.2495326048708	174.855235724243	0.779694246239487	0.930907675813205	0.203398482290978	0.0190798771794051	0.0351283720032039	0.0428276100956709	0.152157600074141	-0.255401286049645	0.341056506240987	NPX
AP1S2	3271.54577903161	463.604445035315	575.710675558804	615.19205508002	0.355123392174745	0.721229982045616	0.0713070914146774	0.180133011995492	0.23977164434535	0.175975124434669	0.189689528838614	-0.195816352089013	0.547766600958352	NPX
APEX2	1155.35203296482	71.1528067556327	8.0605303167658	81.5603487766661	0.921780252823439	0.954197643350925	0.213930782343483	0.0154624239105527	0.0297180244915012	0.00697668769931633	0.0705948119008907	-0.13138914362643	0.145342519025062	NPX
APOO	551.60187028009	27.6345273008017	-5.22105330575588	36.6171382304286	0.887352077758935	0.94627890080524	-0.0443988094496619	0.665697055079279	0.708877404597935	-0.0094652567133334	0.0663849678960656	-0.139579793789622	0.120649280362955	NPX
APOOL	1687.88958993525	119.47296096745	-44.968168684961	75.5378677406012	0.555077632291967	0.870136976454189	0.761909682402477	6.13781803671581e-12	1.74756200198093e-10	-0.0266416529571025	0.044792561648253	-0.114435073787678	0.0611517678734735	NPX
AR	1037.81768985102	138.585564346225	-113.364048855915	120.973328054668	0.354474535332113	0.721229982045616	0.541815474034533	1.2879989246636e-06	9.75906877533571e-06	-0.109233105163382	0.117474209115808	-0.339482555030366	0.121016344703602	NPX
ARAF	2860.94208902009	94.4961288572773	-29.1613491976971	102.066899015451	0.776613677609298	0.930047990814783	0.29696190838156	0.0024928802532685	0.00625601796043177	-0.0101929183780456	0.0356775637151994	-0.0801209432598364	0.0597351065037452	NPX
ARHGEF6	1791.19178713984	156.892265625679	232.995108712745	206.0527597691	0.265064340127805	0.632941515214274	0.0249176590723509	0.330997574274278	0.403755554997106	0.130078258724483	0.115599542397355	-0.0964968443743338	0.356653361823299	NPX
ARHGEF9	1214.36123909229	36.6958000501986	-22.2328650537237	41.0663443996785	0.591319035819811	0.874662531045827	0.358991980440429	0.000516995915215169	0.00172624059826082	-0.0183082795613127	0.0338217642883231	-0.0845989375664261	0.0479823784438006	NPX
ARMCX1	2893.31622710569	112.261853744238	141.89103836738	124.95523107923	0.263081643286675	0.632941515214274	0.29044994941634	0.00290876652270857	0.00707440746880974	0.0490409714078574	0.0432294450212337	-0.0356887408337606	0.133770683649475	NPX
ARMCX2	6705.85793949266	253.162491145736	376.52285340622	313.446857791693	0.236905181141704	0.618149942846565	0.0819600316428114	0.154469544516792	0.214299297674705	0.0561483492199816	0.0467902852692548	-0.0355606099077579	0.147857308347721	NPX
ARMCX3	6048.79568464067	462.121648852697	499.749133623118	571.890187684773	0.387546528144738	0.75966831885088	0.0779179330337565	0.163842735666582	0.224145964766088	0.0826196088738953	0.094756591241182	-0.103103309958821	0.268342527706612	NPX
ARMCX4	793.930921750766	50.3305746000832	79.5720531166667	62.1731568827941	0.208160511504113	0.59498827991662	0.0840609958522153	0.149768939028825	0.209536277445503	0.100225411224941	0.0785678673435719	-0.0537676087684603	0.254218431218342	NPX
ARMCX5	668.634771960543	14.7615731159228	-17.9054206439588	17.9344546011016	0.32424908284654	0.698110047221512	0.163261998568592	0.0407523835643361	0.0671817536583616	-0.026779074907303	0.0268290123842692	-0.0793639391804705	0.0258057893658646	NPX
ARMCX6	1886.19634404059	58.9218818855893	-34.4858547306057	76.4661794481886	0.654490929001151	0.907990936712865	0.051982881678872	0.234969761128281	0.30155728301154	-0.0182832793836989	0.0405439062161255	-0.0977493355673049	0.061182776799907	NPX
ARSD	1165.60584685431	116.467680022602	259.348979856721	152.587503223175	0.0971561490297079	0.390607374670458	0.0598633952787324	0.2112707262769	0.274721670472273	0.222501440393974	0.132782786106957	-0.0377528203756625	0.48275570116361	NPX
ASMTL	1713.90407435296	117.784139037593	627.135876375926	156.814887367363	0.000274503898021334	0.00405322157081695	0.329354836840638	0.00112287071016714	0.00320587724496994	0.365910721469452	0.0948883928647923	0.17992947145446	0.551891971484445	PAR1
ATG4A	916.283319063502	39.2776292023041	-26.3244994935112	44.5968467666546	0.558409893472279	0.870136976454189	0.315186392315531	0.00160157252928381	0.00435185914853671	-0.0287296504758119	0.0486870380593761	-0.124156245072189	0.0666969441205653	NPX
ATP11C	5813.52510128046	242.707485667777	-193.44359534286	298.771745586584	0.521125740073112	0.857213676197125	0.1147636696112	0.0932949123305878	0.137157445739745	-0.0332747501684051	0.0514112988461654	-0.134040895906889	0.067491395570079	NPX
ATP6AP1	5591.29584397758	279.708835513126	69.5106597864319	369.588678333543	0.851792481037153	0.942768333854891	-0.0470303013582936	0.679636455212414	0.719830009015299	0.0124319409535988	0.0661036451502806	-0.117131203540951	0.141995085448149	NPX
ATP6AP2	15411.0203364063	1070.12787125795	-852.687479211618	1237.32907539064	0.494817771375911	0.840337077250469	0.214184632424475	0.0153833941860466	0.0297110652416783	-0.0553297225361041	0.0803804629862293	-0.212875429989113	0.102215984916905	NPX
ATP7A	1671.48984857413	78.0238679964211	35.9489640063934	76.5107454790332	0.64107525351049	0.898874198872359	0.454757877448188	2.99908180304277e-05	0.000151492080820366	0.0215071386984849	0.0457849896301626	-0.0682314409766338	0.111245718373604	NPX
ATRX	7195.30289698964	337.305683924352	-262.39333007131	379.324947323805	0.493199900746241	0.840337077250469	0.287222169010524	0.0031376546790656	0.00749233905182938	-0.0364673084410512	0.0527461235262172	-0.139849710552437	0.0669150936703345	NPX
BCAP31	6781.60647288584	369.620341827868	193.535002208961	436.907640820078	0.660238114577075	0.912750235590763	0.164746249575492	0.0396715616627261	0.0656747701475382	0.0285382236469709	0.0644441635594989	-0.097772336929647	0.154848784223589	NPX
BCOR	2872.78291656162	136.659363882018	30.7676648299289	158.648484325769	0.847232555136121	0.942768333854891	0.199494079293415	0.0206019747582705	0.0371135399537206	0.010710055623261	0.0552270186187836	-0.0975349008695548	0.118955012116077	NPX
BCORL1	888.142694873908	62.6358650864286	84.6941885119172	72.6687481414963	0.250902385280841	0.632941515214274	0.204028664703238	0.0188438485874607	0.0350211148276393	0.0953610146215766	0.0820969558246203	-0.0655490187946792	0.256271048037833	NPX
BEX1	-1054.57228486669	473.812145552398	2831.44345169594	592.326481657426	2.49956899610605e-05	0.000518331676034623	0.372667467871785	0.000355849588630013	0.00128461823249409	-2.68492116882616	1.3306684728169	-5.29303137554728	-0.0768109621050344	NPX
BEX4	628.694826787398	77.2272647239429	-98.046094180398	103.691820317424	0.350198469329977	0.721229982045616	-0.0628172566826377	0.761771749566549	0.798239546088351	-0.155951806827184	0.166040673672804	-0.48139152722588	0.169487913571513	NPX
BGN	89618.7743276745	6051.96112643797	-17056.1201808858	7805.97061214075	0.0349609234706911	0.183661384632697	0.0629246033223749	0.202566995806108	0.264276146846379	-0.190318605770296	0.0880450487741566	-0.362886901367642	-0.0177503101729486	NPX
BHLHB9	480.519165627595	17.4745874721719	27.8502962926458	22.3231410355856	0.219617997161711	0.61567169021239	0.0828051386391038	0.152564804987768	0.212404710831027	0.0579587626984061	0.0465040864509254	-0.0331892467454076	0.14910677214222	NPX
BRCC3	2327.6598018847	83.4195358722015	-34.2779296573626	100.881924508689	0.735843379368844	0.916363312601666	0.159100127392714	0.0439214159241036	0.0712141476300281	-0.0147263485968216	0.043343706764201	-0.0996800138546556	0.0702273166610125	NPX
BRWD3	1172.3525048355	62.7897714166092	-84.9513650261052	82.6586382716277	0.31040568027347	0.683239318590766	-0.0301538757946547	0.590310294695872	0.649671106452999	-0.0724623052159768	0.07061337451733	-0.210864519269944	0.0659399088379901	NPX
C1GALT1C1	1947.65897954636	114.070852278455	-115.313679199873	135.029363504407	0.398325984724331	0.772689200450407	0.224516201237171	0.0124588384295754	0.0250857776219474	-0.0592062986440938	0.0694157233815993	-0.195261116472028	0.0768485191838409	NPX
CA5B	601.077277894665	54.1425486777892	208.145391754775	60.7384091217954	0.00145246072559001	0.015059724365328	0.302893102148293	0.00216231154192968	0.00554748686780122	0.346287240276034	0.105753957497854	0.13900948358024	0.553564996971829	NPX
CASK	3676.71243547911	162.687724904752	-283.519568885	189.341949732918	0.1423411139631	0.479336742747532	0.198436059136763	0.0210326528920949	0.0376675692703882	-0.0771122501039586	0.0516105356925	-0.178268900061259	0.0240443998533414	NPX
CCDC120	159.545300981817	16.3299621722717	5.98869458366527	16.9631746423321	0.725958886663829	0.916363312601666	0.350189323732536	0.000654033853455897	0.0020950352704197	0.0375360135761552	0.10639138578647	-0.170991102565325	0.246063129717636	NPX
