7165G_XY	7169C_XY	7176C_X	7178C_X	7179C_X	7181C_X	7184D_X	7188C_X	7194D_XXY	7196D_XXY	7199C_X	7200C_X	7201C_X	7204C_XXXY	7219C_XXY	7240D_XX	7241C_XY	7246D_XX	7247D_XX	7252C_XX	7253C_XX	7270D_X	7271C_XX	7272C_XX	7273C_XX	7274D_XX	7275D_XX	7276D_XY	7282C_X	7283C_XXY	7285C_X	7286C_X	7291C_X	7348C_XXY	7349C_XXY	7351C_XXY	7352C_XXY	7379C_XXXXY	7381C_XYYYY	7390C_XXY	7394C_XYY	7395C_XYY	7410C_XXY	7417C_XXX	7428C_XXY	7380C_X	7437C_XY	7383C_XX	7491C_XXX	7363C_X	7384C_XX	7378C_XY	7459C_XYY	7480C_XY	7456C_XY	7385C_XYY	7503C_XY	7450C_XXX	7448C_XY	7484C_XXY	7386C_XY	7429C_X	7434C_XXY	7438C_XX	7439C_XX	7441C_XXY	7454C_XXY	7455C_XXY	7458D_XXY	7463C_XXY	7464C_XXY	7482C_XXY	7487C_XX	7488C_XXY	7490C_XXY	7492C_XXY	7493C_XXY	7494C_XX	7500C_XXY	7504C_XXY	7507C_XY	7508C_XX	7509C_XX	7511C_XXY	7513C_XY	7516C_XXY	7517C_XY	7518C_X	7519C_XX	7538C_XXY	7539C_X	7554C_X	7555C_XXY	7607C_X	7608C_X	7613C_XXX	7623C_XYY	7168C_XX	7281C_X
ABCB7	909.11906388761	903.427114382658	921.881395281396	859.535737450565	717.331873468184	835.97736421148	831.163298497363	850.80869160358	726.884327890446	866.768917405094	879.061312029818	884.036156911863	903.549144713213	903.912479929722	820.675840056448	922.68927648459	963.426729104008	815.428600647665	737.200736816814	860.312489903919	800.432447225579	882.436338353715	870.383106127433	1014.12779531187	874.339487681167	818.584641079331	965.799989855307	1135.57200573859	1048.6125267949	1130.70946820361	999.938051682616	1101.14249592222	1267.0682607136	957.819093043781	857.161393338642	993.975974634612	946.076654004342	925.786497571876	923.13992413554	1136.3740705803	902.509090993204	895.644061978187	1162.2211322787	1029.71741179104	1039.58126358064	1042.22700382745	1026.49332455641	886.534949643816	1150.12171425419	913.190370802301	940.353970933988	851.810690477077	1042.01424806039	927.221537355131	1125.17650985466	992.776115796229	1014.2654693633	1104.5218967725	1136.94762745752	1144.56212682321	950.753644593649	966.266898451233	877.110874884025	960.429989585123	1094.97882383934	1210.83004512449	1344.67852229672	1308.10563727042	1200.98202219463	973.900148714234	1196.25515141287	1088.26321598716	998.74331896172	928.465830530856	1211.59262861191	1029.66657362634	1145.5924491701	1119.11885377431	962.417400206799	943.954055966366	1072.97923586834	957.517133248036	977.91655253095	1056.3709473531	990.472240197443	1063.94868633497	1216.34998560992	1077.01930715743	973.988620723618	865.98628264944	1119.18850684112	1078.68200872961	1193.13748658737	1104.93102048001	976.379579150072	1047.39654976021	1139.69871760371	825.085773822816	1046.57312181514
ABCD1	806.377132312435	715.170335532559	1326.03409067753	925.607065175649	1004.39444419987	929.285415657506	958.228843308819	1241.4435252204	1372.90944310442	1274.78266145096	1077.78928909183	871.823600884133	1013.59983979363	1033.98065738824	933.029557417161	1136.28864599031	994.349303170605	1146.32653374858	1174.11307644373	1154.80522704952	1225.95090650109	1253.98884818577	1355.49206458294	913.087563931089	1146.07695896895	1102.26142615098	1305.48580253774	955.568526428908	854.795911347061	853.416474948812	796.928104580746	648.889772938037	439.557281240716	1075.41472207788	1047.83689987371	1084.57903432709	888.074470658632	1771.11520412565	1432.15245474829	799.545765315108	1093.84481386433	1000.24074630356	921.291109498064	1125.83499311611	958.743502761702	1123.13753748084	898.848961502626	1295.9365729208	937.663725217544	1382.15004264939	1186.38822198542	1798.71424830664	1032.65735670927	750.148335296092	903.656367127644	1215.2597971963	943.846477472464	1015.28758884488	946.376562199382	829.139341777152	1495.46147072923	1133.66040367852	1549.3026934406	1148.3926948636	700.387087241276	572.705616002612	365.596537109263	392.902271012303	388.870017717591	1232.54575917456	1275.69854873827	1109.5658908923	971.85454919745	966.559121345143	749.060411472018	930.666266669167	875.404042148859	989.445069748462	1065.28005037738	1080.84561875796	762.687017809143	972.230383767512	569.566607731464	1133.32662680936	1024.06217365874	994.421244715191	731.856527978774	875.642289796243	628.240127029899	938.868120249652	742.509194493614	941.270865510422	686.602359182652	810.311818989502	669.938213399383	752.941077489689	977.885792322709	1093.02566428548	685.798704224845
ACOT9	2810.52254946038	3474.40100003408	3705.59875793629	3351.64098790424	1854.86155919526	2926.3203554476	2926.83641506173	2941.0898996896	3032.82404036811	3411.49327403521	2757.81525467918	2705.45164193775	2114.84445695353	3128.35869455951	2877.31655016856	2792.84755706606	1801.01019258608	2958.52074124714	2966.75107125477	2739.35948927987	2913.40685284027	2405.02546128073	2768.96127837015	3212.30336818619	2883.59578028845	2971.68809537601	2755.84092223985	4270.87318170134	3001.41663003682	2843.81840485199	3144.89026472356	3203.8088116624	3648.18083699121	3505.04608261788	3092.69214218517	3338.34693648021	3456.62839898934	3485.10033443821	4201.25689871202	3441.65010301838	2996.0214291843	3503.91907181007	3233.70441175912	3251.28920501396	3336.50325184154	3495.16914981483	3056.05515323615	3636.08699772738	3872.80271881658	4582.85804295005	4047.19135684022	3791.93209606101	3076.16932733043	4838.16079493482	3072.79230906553	2452.67883569355	2928.59275276499	3140.43482946091	3780.98171186354	3721.997306917	3969.56419608066	2786.89194661738	3233.16093793743	3292.21236469359	3329.12585799384	3538.28188762133	3957.1042967858	3722.61120854673	2492.35746404573	2492.14842445103	2100.93214104607	3447.99558011806	3144.20723060197	2962.39831769466	3533.51554300594	3110.43066280833	3543.2392711948	3677.94250344844	3314.60291945654	3324.09248847652	2972.27556011384	2710.82117798777	4662.81523260749	3139.98229406141	3034.95702958341	3352.15028672781	3038.12694986726	4231.13333540786	3177.95687655205	3524.22095984698	2902.92719248703	3722.97870063058	3662.69096137851	3401.19128703483	2875.61933162845	3120.6541374276	2589.45631889153	2620.35345329042	2716.41358262489
ACSL4	10683.0728616884	10348.0703968562	10190.1087206828	8980.63515154343	4891.13282931761	7976.16914722634	6816.39322845641	7443.08168576064	8637.31350078403	7473.42368879807	10368.1131003611	8793.70611200271	7618.68209419702	10760.033662331	8888.24100255308	9189.10299657333	8513.72780535661	8131.39833867469	8122.21428979909	6058.84974491778	9360.3426184132	8595.25014642241	7421.32346010708	10503.5933390149	7979.59935419602	7460.06334536514	8774.32481840644	11758.6372130772	9352.90779075413	8468.59130737205	10225.711860601	9191.2502096171	12764.7823487479	10158.2903100329	10145.7259430585	11704.5694993849	15415.0000260441	11686.3072060638	10222.1975899948	15815.6075785304	10634.4708869322	11255.5058085473	12913.6902828694	13875.9255608993	13081.6469058999	9781.1212564153	11966.2680675946	8735.48742104775	10097.4148435228	7842.98721823839	11251.4074835749	9532.61442189748	8736.74039883402	11611.0708498966	11278.2488000723	8440.98587553504	9246.72811398313	9799.27841513842	9329.89313133486	10883.3208451159	9027.24366958344	10221.0615428083	11882.0403317346	11392.5150584147	15411.7212535533	14254.36182032	15007.006990328	12978.1764366806	7901.70615246251	9166.2140028179	9707.87722118582	11011.2209209881	11220.0445841779	9065.35599683718	10861.9157317681	11502.8190466676	11104.0910809864	14941.7114173848	11046.82236793	10910.7919258446	9723.83085350119	10277.8493906159	15260.8124954898	10330.5679919214	12607.6448704909	13451.175311093	13907.4491288489	14550.3575943106	12194.4278903803	12442.7870685678	11935.054845162	13932.4405622819	17319.6648058705	15683.4542660349	12334.3884827812	15254.3615468246	10388.9965145843	7922.43426806405	9339.34878282271
AFF2	1131.36166900604	836.798235417081	415.75011528309	677.486422045703	557.7095926058	527.049488492783	1170.66517745571	756.011976814322	528.296312461264	773.346920054591	799.979984793417	660.177954402866	1019.98387514929	733.072156947254	446.237912950478	234.711322747953	830.025525628652	1538.77713740397	1060.14858819284	722.702224732197	568.845656024912	1703.99758233456	1367.93473506488	1116.61793039866	1218.77701124805	750.882035275637	309.296628573817	663.559515975086	986.921165540533	979.735606286522	1032.30051331102	1660.88246277985	910.841505003179	1182.26958174776	1463.60853072603	1062.50109224687	1311.79532750481	48.2073018986686	569.307448585849	1010.97753643646	916.695815562092	918.160115877115	1218.34432107263	995.187844645858	572.75263455691	1140.01594465172	452.211136067032	3442.92622478069	742.26908450188	133.765718758328	1098.98142429591	1156.86682028313	1174.38037327055	548.35617538664	908.89413989794	3485.31810079562	1288.72173906611	832.211489766185	793.893424753483	1225.22803769276	230.166783236159	1577.23578237294	1012.42105943488	827.986958289249	400.543104679297	1194.65260216722	1116.27760246703	1054.68711485114	1583.58689412851	1397.11795592869	1854.5644111008	1046.37037526375	1147.52487524695	1630.95843849838	973.814718114689	2578.54723918072	1009.04752700329	1125.90711437658	1753.46621160727	1186.45720847605	1188.59812447214	1703.01113393318	917.272567880753	1253.3403901025	1213.55316490388	1869.0033858019	2023.81736546123	245.736368150944	394.491628345403	1276.78712626564	1579.95006518924	476.350412397403	1996.36126559562	452.269460095865	591.179386849935	1433.58206665342	1129.77070334918	2089.96528311131	1441.75929200557
AIFM1	1909.57973532384	2023.31524994335	1937.0132838479	1801.30006784931	1340.72035253276	1985.61483414127	1759.98666210994	1765.35016105975	1780.17959394756	1844.82689503839	1824.47249844187	1802.03778091283	1519.76060259779	2150.19463384335	1880.96974675127	1883.21836528078	1224.2661598291	1738.47805244194	1625.48443007493	1584.1342312416	1594.33479253153	1496.8528094445	1603.02337256997	2018.01274231246	1738.19079944945	1907.1993011075	1970.89120694644	2797.54755372728	1807.33423651923	1790.97027783863	1995.4085509022	1773.96506099353	2391.2030661981	2101.42089690989	1979.16245241931	1896.18139117847	2150.96390750832	1751.90520331074	1847.19797049442	2292.17977890619	1836.95461820979	2171.37268878228	2084.90053563343	2264.85578254336	2080.71879018484	1948.1230694593	1949.47978394066	1574.91135194667	2493.76611608468	2925.91656535635	2041.7027492833	1707.06173766644	1868.78354482543	2394.42045216252	2251.75150814836	1641.89593347986	1927.56588862557	2452.27985022062	2578.57627602156	2533.43990704039	1867.40162466337	1921.25231327509	2353.27942493981	2429.33252622486	2609.7122874083	2672.96381623384	2854.04969951118	2450.39826872403	1691.94922554289	1606.63065580793	1561.91286210545	2364.74881056907	2246.2805432649	1928.42833626902	2357.12716229798	2249.34728798197	2422.52161818893	2693.09198786452	2133.9528845666	2230.2673827858	1911.67864077393	2152.78870674324	2795.36981363899	2469.86509941578	2312.82285479331	2390.7821513996	2372.53747778991	2653.5268047826	2629.92788024922	2366.26802934019	2322.90741802708	2348.31398923794	2697.86431811931	2560.69810986604	2388.7733858972	2525.40922727132	2004.12689651146	1556.14010669588	1581.09576846109
AKAP17A	1720.82055418004	1842.83200784748	961.464565542734	1142.20978590219	1401.37272489976	1260.21353606037	1497.65057035188	1283.61219846275	3192.85468737794	3236.49197560562	1301.51473790002	1166.52993011746	1338.69107996162	4383.57044453318	3126.60287527479	2554.32494157449	2630.93721019571	2649.91943332926	2358.48979238324	2607.69283306	2117.69616413371	1092.80599078553	2211.12021266538	1661.59019896798	2135.03352254291	2165.39406430139	2231.21338369441	2007.52471743981	970.887038043043	2479.76149322793	832.538444427698	1021.48541570481	1201.87086317436	2755.4543704296	1698.12960297268	1595.0119482327	1891.18815786716	4300.24924667366	3586.79276344116	2262.05200561427	2538.63670232377	2708.77240460355	1682.57719532658	2352.21604596782	1962.61192483033	904.784588386791	1848.12969101037	1767.59988870821	2351.47152196651	1145.50874399424	1313.84185644359	1641.7755144898	2633.50994032086	1713.80810492507	1655.78212731643	2406.00357171891	1864.17203195512	2476.61889909958	2498.37390728862	2457.29778158914	1945.70176497476	812.363283864702	2310.40959060172	1251.73579279035	867.366641936649	1172.78532248546	963.532240482408	952.028625969492	1089.78471759383	2152.84295718514	1809.95398117576	1899.66126021601	822.337634449536	1546.35241602259	1092.81773237846	1412.05193259241	1362.77919970342	1143.1000572361	1399.71439368468	1216.59151377502	926.773241753717	965.095844373279	939.562508025194	1607.3130664938	1388.01987641875	1727.71313882754	780.477389230829	710.587518989601	975.538336477298	1595.3094658519	563.815526597416	687.406016921327	1538.67405158568	605.264987025198	526.037112332361	1349.02981623435	1498.29854798159	989.626985557675	455.611364589813
ALG13	1298.92838854021	1278.47172155238	1594.98849808107	1458.87218435256	1109.85541786955	1326.64192489644	1257.97715197725	1284.03413376363	1350.56733736433	1426.15660698228	1064.2354063182	1298.65102955763	1052.76396329066	1412.68446332707	898.397949005907	1375.94790616643	1042.53698590762	1428.01231789061	1441.02174019111	1439.85027953491	1558.36209376306	1153.02978642198	1740.19250264678	1665.30385776212	1678.66595567416	1579.16588318802	1407.55650817234	1541.22116610402	1132.63725366063	1184.40970294206	1518.94521715935	1374.22207183782	1836.589498314	1634.44209779449	1895.79284063698	1358.75789106715	1729.30771525314	2042.1935489953	1489.74365863163	1605.87591250954	1363.74037885005	1291.07628092016	1652.44783705053	2059.77685911754	1600.88941577289	1456.70431129882	1268.4716856248	1423.52835194607	1761.67398038964	1544.26846462773	1496.69484257696	1336.59139289371	1222.89015373239	1696.84083919295	1417.65095069251	1329.76408748246	1660.71223348285	2017.64298437513	1783.17916411866	1839.78779201253	1594.12114649754	997.665023969218	1286.92601965637	1246.76710859604	1415.16776498247	1349.65222036847	1571.52087033716	1250.06277553811	1236.63397121944	1005.82265710266	1020.19864666864	1261.91870316599	1256.56353189074	1137.63072982752	1410.01706136034	1367.56537748009	1641.54776871585	1967.78003617113	1512.18328879154	1675.98775103971	1088.0632169882	1580.92615997022	1639.83565279016	1711.0306577497	1128.27780670531	1421.31438494109	1258.20806600421	1792.59583791058	1281.57438151397	1400.21341227443	1387.91230523324	1454.41370283507	1489.54588694729	1194.72867390122	1224.55712507314	1210.13745388494	1125.52862837615	1185.49637998626	815.628646008052
AMER1	360.055797201222	322.048540267658	336.317184515933	345.481411969281	542.662259917211	343.061537188013	342.001604532083	325.783578608274	403.872258746726	385.545204562823	301.279595908658	304.080393163955	378.315094638301	440.38459917787	452.573780349284	329.360714265702	515.587655066159	381.363243269087	383.284760694518	347.863028648435	432.13186314233	381.500375006588	425.295458251859	414.611970611752	404.219105955819	447.344261706928	415.846907069552	264.841017228373	307.757420334267	446.560587341857	357.952573971456	346.798104540435	284.581396732673	424.477718131245	434.394955783456	497.30264997702	316.738135539	469.020468908241	487.992347872968	422.538598721461	449.358266486196	449.746625189883	482.219361736742	472.854773152741	395.113243864463	319.496587179577	396.750062653502	453.937821261846	344.086284861357	248.129927950149	298.518616977533	340.669087615391	488.605534295002	387.690906171923	459.692449083349	461.229746769322	423.55106170667	389.103262549008	230.197355670144	371.615514350377	295.022712170918	545.517058232252	431.802012441406	520.867013438013	500.87503484395	562.395965029737	519.661118606688	607.627712883482	709.791916195216	679.123676429469	644.819029167006	483.696109545303	491.005896155931	515.590154778695	494.937539062919	484.590293912161	440.998079364558	434.217636835832	520.719108433663	554.661495133343	562.05997058664	494.508962496253	465.578092117931	504.287681470748	454.5671544402	495.668892346771	480.814823870112	319.98902326384	525.791637370197	504.767260959956	523.123375228636	387.416249125355	403.520093495535	561.321661913475	385.778327130959	564.842094067824	564.432141488611	569.658740576515	546.775013838507
AMMECR1	2175.95587575465	2230.09724555796	1784.57493386818	1974.55109113064	1471.84871588295	1434.83223426896	1928.15941453415	1839.28531962655	1579.39213081756	1774.9235571207	1939.29574409941	2118.33722358069	1687.67035508288	1680.70177846134	1980.58413196668	1612.83925418477	1461.57799943555	1760.48883562315	1582.1927009369	1673.97250226453	1597.90040558905	2050.71224165412	2070.46828378076	1624.34592466966	1606.86019791469	2120.99677185987	2481.11917620532	2018.84198860488	2241.2088581028	2052.55280854538	2315.35803677119	2117.43878415759	2062.4933556156	1391.63035498174	1456.39947920802	1829.34266204622	2066.51258082588	1060.23417021447	1287.05384775609	2666.83188281354	1848.18469184291	2122.91812969062	2066.68319525799	1935.97623582066	1877.36261800436	1540.91018923264	2038.70399683471	1013.64325252221	1687.6921026212	1359.24896404635	1152.53887122291	1055.99170952739	1814.85869291768	2207.15521013406	2223.71464596082	1446.48958409522	1577.43481217929	1421.03137927379	1731.43774173654	1438.59221172252	1191.50995957702	2284.08940688407	1901.60171806279	2378.19302387468	1966.3076584506	2573.49785321848	2410.0980867707	2148.62181118794	1499.37284601703	2000.41795607208	1931.67900195527	2286.96562190492	2219.9005694963	2131.7231604909	2201.07775123465	1907.71077562963	2332.33507706461	2172.36177260809	1799.3113620355	1861.93786948257	2758.53627228964	2301.02947530394	2464.573892438	2265.49716600219	2662.82634181336	2105.67429639373	2697.50137353526	1719.84560493562	1915.8188532306	1711.39130140844	2399.91405803012	2150.42824330806	2354.48719828654	2501.31089991697	2087.44861869105	1787.13141107627	1983.77471447653	1578.06282268511	2572.41598449137
