7165G_XY	7169C_XY	7194D_XXY	7196D_XXY	7204C_XXXY	7219C_XXY	7241C_XY	7276D_XY	7283C_XXY	7348C_XXY	7349C_XXY	7351C_XXY	7352C_XXY	7379C_XXXXY	7381C_XYYYY	7390C_XXY	7394C_XYY	7395C_XYY	7410C_XXY	7428C_XXY	7437C_XY	7378C_XY	7459C_XYY	7480C_XY	7456C_XY	7385C_XYY	7503C_XY	7448C_XY	7484C_XXY	7386C_XY	7434C_XXY	7441C_XXY	7454C_XXY	7455C_XXY	7458D_XXY	7463C_XXY	7464C_XXY	7482C_XXY	7488C_XXY	7490C_XXY	7492C_XXY	7493C_XXY	7500C_XXY	7504C_XXY	7507C_XY	7511C_XXY	7513C_XY	7516C_XXY	7517C_XY	7538C_XXY	7555C_XXY	7623C_XYY
DDX3Y	4908.70778252335	5226.5305074865	4182.91339414128	3800.54324772821	2855.16711552588	3842.57204945474	5857.67978079067	3321.34747156731	4239.66506645773	4288.85680162888	2849.65839901975	4905.37073518702	3915.2593435399	4109.47662656067	17143.7183326679	4740.26772231886	9570.63541169263	10926.5732834887	5256.38498526704	5296.37809412716	6453.03002439476	4927.79019636692	10698.8606071014	6078.99475842553	6289.13338245267	12088.1705919684	5699.32187255113	3152.25758352122	2730.22577419166	4707.01224197669	3865.03328305444	4964.46789112491	3847.06088765088	4667.43549489396	5126.5891673812	4654.0341845255	3986.40437844191	3173.83589785936	4385.93290347492	3743.62602266949	4858.71014177901	3987.22230242903	4690.73293859759	5224.14955297288	5229.13712450505	3169.03654294607	5282.14048977143	3776.94269272828	4546.18277316573	4287.07053154148	3066.2552866987	8773.36281201544
EIF1AY	1360.04943710577	1302.40881525424	823.173334696328	989.09746907806	965.455534721371	859.554553656838	685.476509797429	1444.29637345975	1137.18628350302	1104.04485733435	900.985504769696	1148.03488160354	1273.46197314083	1215.8975516488	5411.80596851563	1183.93631119743	2130.17112756587	1748.60117696284	1010.60954312385	1114.00609088778	1068.4566140716	1568.8768659443	2198.07229871487	1436.91178184431	1135.68722500333	2445.12532874504	1144.63723566375	1595.10881545343	1551.07108152608	1896.2345285081	747.391594535527	759.420831428292	783.059118530583	634.794684417774	613.627774978534	583.671023771777	569.747022282328	671.08670395689	666.085654518846	607.900148205116	793.743779959964	681.401278259683	731.949118812623	623.638511613741	511.464191812396	737.364325131479	781.479804710145	908.112392871544	801.61450004889	941.025320335856	941.121643358451	1126.72165353486
KDM5D	1353.27932738767	1441.58464575115	1576.95167499801	1673.80215461838	1236.78636674237	1433.0591574908	1997.90709791171	1079.90722231203	1558.20006602449	1509.75225040335	1034.34101607412	1407.02602621576	971.816556513	2209.40437557239	4146.97640149042	1404.44722562087	2852.38690407371	3211.90660986886	1402.14633945939	1266.49802094706	1666.66891640325	1220.93675290834	3409.97262849096	1593.3691647764	1520.38808625993	3027.52564941958	1504.606729707	1388.18566800759	1037.40930198044	1425.00456949644	1391.7282135372	1384.34149429849	1587.43019595343	1898.21696570347	2149.73641503614	1717.90868731807	1579.88659266404	1289.95108265776	1713.00783370684	1677.83270190336	1510.57482823732	1460.2043857117	1469.03557552998	1532.39471931631	1305.53965717359	1266.43030398533	1355.46354964249	1207.67162397054	1567.13032715709	1630.07474494281	1287.6023593031	3703.81061422815
NLGN4Y	1023.08393101001	1530.24156484639	1450.37002778004	1068.355098553	1037.79221272979	1589.26927068806	2760.79311362061	987.490742810423	1663.94364191197	1046.9215630703	1248.57378304218	2416.73359392362	1368.48939631774	2155.27593882978	5757.54962090904	1341.59978319569	2513.60027153534	2604.99141609556	1824.55118205405	1521.86335630511	1807.9298006981	2398.19990101733	2838.51975505299	1081.40270588898	1444.60483183373	2512.9585475681	1344.90127845373	891.306048810093	733.182129535599	1625.01283603998	1476.1356356298	1471.85269084991	2021.39211748032	2877.18615108802	4094.40094408128	2656.51752038343	3081.25459288289	1706.05779639381	1907.42130044451	1348.31341046486	1748.11003981152	1580.69231026528	1593.92472224666	1779.97120351299	2435.59682355636	1755.54935364855	2037.83639721273	1488.77005884455	1618.20907137819	1796.93279718201	1468.81819309588	5633.04732173488
PRKY	589.308585216394	690.124509920065	660.360944833372	968.918015421102	702.943939316652	573.218579103541	1028.54250688863	759.334991462677	767.970122587372	605.601665806433	203.497298624418	284.342073390188	312.170180841191	565.95946553938	2493.79480143993	440.785457791222	1041.00966002329	886.954938463962	304.061393684581	361.534812238994	448.646184965948	514.861133289016	1222.00778065667	502.723545066929	349.447965245972	852.446360706583	507.333666853382	303.879325250873	365.181330078392	369.09998759855	712.060522160447	424.771185583436	373.721921917222	490.954655609092	540.603343476751	457.445950354947	357.641099026173	583.31364954366	594.48400795826	572.656580444492	403.445860296831	398.026444755032	693.47688073583	545.158328496004	544.955572078375	505.238178361428	495.064650689196	476.462531563113	504.038607854649	591.449604508914	513.938494795977	1161.16625569891
RPS4Y1	10272.9652779371	11892.0348565823	10524.448173297	10580.7829330586	10186.7403807408	10928.392226036	13441.9911054972	11404.3429227386	11494.5425995023	10611.4653496758	10151.4530042055	12822.784842677	10268.7846665441	7237.90851125674	34732.0747667242	10560.6056313504	20732.0578035467	27522.634911197	12004.4934733632	13104.5514338027	13035.1306669698	9166.99135112101	27801.5009317589	12034.9956009897	12114.940746741	22633.550903899	13210.1311694015	13964.9149396414	12104.1333228425	10209.3152184338	9321.38778435046	11772.0748109298	13191.036820208	12533.6790609835	12369.241515173	10905.4620122282	13031.2939893137	10518.7054616553	9608.61750494269	12711.2577537813	9215.27758655625	11432.9677790676	11843.4350992522	13535.4678382338	12182.5934627499	10079.5202089863	10439.7214176793	8978.94028861166	11222.6251677213	8286.26114278769	10508.7926467109	20550.4293105145
TXLNGY	880.840950591633	954.904267835557	750.557362956202	831.638886695863	890.042988863778	814.149586486632	923.538354628233	944.286004820904	731.033706332872	815.502950870077	622.315483994481	958.317140400388	718.821122045473	669.294462113323	2886.25664738971	963.334354361507	1629.09347266438	2031.83209141756	935.451710197524	838.301847858136	937.898722142757	1030.61342996844	1723.08177588239	1144.0518387407	913.587636073046	1914.27335520021	710.477267621178	660.342433809926	621.482752493934	668.80893258666	569.51082954091	734.271267692258	800.463084300646	899.691434766008	685.684640911175	796.373666390258	503.280353714532	630.187184500002	611.467152046146	638.029221382032	775.615002830944	755.494408890371	850.392784274662	621.629195077725	521.000886918168	692.753876066626	695.994878621217	774.838065737571	805.499713267273	741.921728612284	802.670311011045	1322.11896762419
USP9Y	2337.9233789383	3036.23153337667	2110.6139232566	1959.33786596971	1861.654903371	1673.33904769836	2763.53582800941	1329.55169744844	2541.71418738094	1581.83116449287	1271.31798297408	2109.70792085595	1667.98695650073	2793.3616537919	5331.06424038634	2152.74406148241	3352.48079641955	3592.34306776451	1992.44738739609	1839.99028838083	2331.92112409113	2495.54702854157	3814.44781530783	2122.67891005702	1931.56342067101	4195.94744025374	1688.73526420308	1198.72435371219	1350.80463900118	2131.66736288654	1380.97706751729	1804.0137583834	1912.59194196499	2115.80916863257	2938.43163754925	2989.18105088935	2569.22775956416	1486.74523952094	2345.5590759918	1486.2458241514	1733.09442108492	1628.78390330471	1972.9853965147	2347.60228149499	2429.11717698604	1631.59895558002	2124.63059464107	264.56819489407	1844.46339294622	1820.91508783048	1584.98229306488	4661.19792993786
UTY	651.728987380247	661.301499143584	672.764867191079	600.668343344643	560.683890202006	626.577954428891	908.364946530111	573.66149372882	816.761508757793	617.303824833714	537.854329881599	724.247692904055	526.821261125357	679.13627378813	1728.69954892261	685.832926636394	1160.77371109117	1346.88297500357	714.279613892304	639.059758891002	683.329913824065	691.977452014326	1508.98194894308	703.345847505441	667.642982478201	1513.92663473474	693.613825518987	469.139061445732	460.342864999339	644.562637559609	581.993729774042	598.028221592112	657.971216846854	814.409396739548	1070.24106177833	765.426465864757	845.14843593206	603.281548351444	739.217481539421	587.736323539396	575.918313903871	680.672715028316	653.015355785413	711.755228229997	836.619248935608	532.304973575383	617.83266916758	514.406832188271	660.094955029041	599.107956846614	568.490203322056	1567.64859655817
ZFY	1451.3151893836	1590.24331741713	1341.68556091219	1112.21268854758	1003.28623794312	1178.84945271744	1702.01638479638	1113.62404562295	1334.53416518401	1167.99512507427	1282.46320304032	2087.06849601991	1689.23596197443	1514.99733071529	4637.04482389787	1528.52382905258	2989.08147076332	2824.06554429927	1663.63026308469	1471.93963663351	1492.35974809475	1721.43005425131	2893.01551729346	1463.7731622562	1535.10135117384	3371.19714985786	1425.8153917314	1037.96354728201	1360.93344676175	1817.56367480069	1324.69645039584	1470.42777135372	1549.53621793877	1922.98917609945	1806.82058099326	1627.49088312209	1411.58387236962	1444.08302635871	1505.22653303866	1469.39252734647	1517.79473654615	1543.2504455289	1376.96108017329	1275.24355890712	1588.02450565638	1402.65258429743	1787.50477557793	1380.72222442301	1688.17439964592	1395.56054545598	1440.54670197113	3048.52850450018
