160A_XXXX	2237_X	2245_XYYYY	2547_X	2690_XX	2703_XX	3107_XYY	3429_XXY	3430_XXY	3442_XXY	4032_X	525_XYYYY	5297_XY	5566_XY	5755_XY	6029_XX	6312_X	6382B_XXY	706_XXXXY	7086A_XXY	7089B_XXY	711_XXXXY	7178A_X	7179A_X	7181A_X	7184B_X	7194A_XXY	7196B_XXY	7199A_X	7204A_XXXY	7205B_XX	7208A_X	7222A_XXXY	7224A_XXXY	7225A_XX	7229B_XY	7240A_XX	7241A_XY	7242B_XXXXY	7243A_XXXXY	7245B_XY	7246B_XX	7247B_XX	7249B_XX	7251A_XXXXY	7252A_XX	7253A_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7276B_XY	7279A_XXXXY	7281A_X	7282A_X	7283A_XXY	7285A_X	7286A_X	7294A_XXY	7295A_XY	7304B_XXYY	7307A_XXY	7313A_XXXY	7321A_XXXXY	7324A_XXXXY	7326B_XXXXY	7329A_XXXXY	7332A_XXXXY	7346A_XXXXY	7356A_XY	7357A_XY	7359A_XY	7360A_XX	7361A_XX	7362A_XX	7365A_XY	7366A_XY	7368A_XX	7371A_XY	7373A_X	7374A_XY	7375A_XY	7376A_X	7377A_XX	7382A_XX	7387A_X	7388A_XY	7389A_XX	7395B_XYY	7417B_XXX	7425A_XXX	7450A_XXX	7459B_XYY	7467A_XXX	7468A_XXX	7469A_XXX	7470A_XXX	7471A_XYY	7472A_XYY	7473A_XYY	7474A_XYY	7475A_XYY	7476A_XYY	7477A_XYY	7478A_XXYY	7479A_XXYY
ABCB7	3940.51004050561	4109.3659078694	3249.69379840844	3748.83788924481	2899.10295187585	3221.84400139041	3287.69478334876	3280.43541535015	2840.7325220568	3492.80176583627	2970.08511553495	3076.44960426896	3186.17626555437	3499.81551605645	3743.5444948631	2879.21404235286	5153.98850407904	3896.80515625605	4129.02260637258	3465.87026346034	3569.30259756706	2993.20774694031	3255.10868699011	3698.99947638884	2750.3160257473	3486.67108393393	2963.18419795096	3491.76830080012	2624.91214810179	2832.35997210847	4363.47869002128	3811.48202219023	3110.02072476767	3810.2672193085	3183.94639276553	3374.33724342196	3348.91893194767	3752.89698497824	2890.95293437651	3052.03413308124	3597.19662971251	3426.24138035197	2918.66606554337	2885.51339166822	4012.64831197414	2851.04362957214	2933.68900284338	4477.42263298128	4426.19351895654	3581.16195988156	3909.25548865141	3014.14552194385	3061.32635756819	4075.43913300289	3224.67075224711	4387.08106414806	4508.94225868251	5508.56817777694	2779.27537938941	3822.86368764049	3040.81924251727	3342.75187145412	4517.15683231058	4014.8188047822	2848.35780317917	2902.40496123429	3733.02030934774	3641.04926917465	2999.92237092783	3344.77176833264	4156.88606458325	3730.99433281409	3559.17230148225	4802.221372824	4900.55385280937	5150.30601442344	4465.78130171724	4268.08887562868	6044.36069535307	4707.52440443	3764.28268243392	4585.57788056136	3417.02886614614	3149.79771938966	4307.63595355351	4317.58538735479	3748.33912489801	3796.67525643438	4177.5234925313	3162.93032837671	3326.72540608791	3240.07731586594	3313.73005251699	3300.22245736016	4410.82133443458	3206.14460586325	3829.60925766242	3473.42008880925	3741.45453080288	3476.30897113806	3524.72205629995	3293.4536485689	3647.49821644518	4615.55130254336	3734.19524361358	3337.06371373994
ABCD1	648.139003475277	565.170205480544	660.519794182434	466.32325355551	659.352926170379	343.925154384641	544.291318053438	536.943905150577	582.47867335206	345.617321965761	422.962411716071	505.428445103155	387.604224633658	551.010311026067	477.783557043856	545.634631691869	341.265795613773	237.443305511228	511.838164528925	574.925078534544	676.915977979978	623.539212263691	653.620578430571	266.375582515434	600.218483040715	402.052234861066	763.191797785887	617.221423536184	826.495167815999	682.090069023506	287.894165994946	284.444632155117	439.675313004541	551.86459011904	462.60322547763	353.302829840841	610.11117239156	375.325413472489	853.971257451933	531.346448984019	569.169668769883	462.953351145788	433.091642756643	520.162080053739	536.081514868503	546.5424793461	432.587426166894	317.03932277602	307.760217057282	686.92778209366	418.281307378935	344.300325244944	599.592617963928	312.733619166139	351.724775543375	311.825608995835	457.897785469501	386.857870416108	287.086586704723	427.761246526341	422.802455275993	288.484387088182	375.428076086146	504.614887128421	593.681148919644	419.34512525958	559.541562325692	447.000615628931	453.462300473588	397.779541321855	396.425185631392	422.982033180549	447.999307385434	394.682550330186	385.204186147422	304.175779363428	426.176671728484	351.494812764889	609.127662308454	349.835544011412	688.573156552669	351.292198172751	339.372456380515	491.778170497336	551.421815700927	515.843223728507	546.951164643643	531.982539550269	475.036012911568	513.887709475811	625.709268619355	476.168713346578	542.100920442745	442.253195991713	432.900088722245	382.069016491406	609.274249492502	542.368089955503	475.768617536175	555.063061295653	650.899771627439	385.101694656282	455.373228347981	609.338968633396	415.572221978009	491.46922405104
ACOT9	2367.86571060326	2873.81391242081	2760.25642558601	2095.0055359503	1762.93820378869	3586.43234406364	1976.69506549236	1547.10076578758	1549.50437847034	2595.06591818869	1672.83776338942	2171.46532278933	1732.16369158976	2596.00884321909	2925.95064698204	2188.69419247384	3040.23998818889	1723.43905710652	2765.6385151627	2764.65406997817	2663.45308883036	2461.56921771959	1979.79667805506	1704.74431185116	2409.15816664587	2833.28730714024	2054.04697179334	2241.96384803577	3411.44492137206	3194.90840239984	2744.18428370934	1683.72970964662	1600.98256682097	2291.72057050375	1671.64652651739	2382.88875541445	2537.60711917735	989.452334925492	1566.95510854937	1970.53236101838	2685.87103041671	2464.61956623871	2070.19718842914	1974.9830952542	1656.57355144675	2245.30698473313	2829.2193294013	2269.48219910554	1605.98770558366	2086.00520063615	1851.5918515201	2483.79032639324	2138.80033655301	2343.58575362441	1826.76071810358	1743.9096863797	2582.56035153131	1902.80553146051	2505.84109212495	2393.82977249255	3158.70833309313	3150.76395750087	2214.50796701862	2108.30127684558	2487.46041497374	1798.10283287992	1885.60497541475	2583.49220312353	1989.21203713702	2768.90546851402	2358.70959212732	2963.76224528932	2203.18451800308	2435.18860376397	2662.54747697272	2764.17896299569	2511.30260951172	2211.00683316874	4592.92512510021	2852.50489095633	3307.82308289493	2843.02141254756	2441.03430149785	2007.76955381585	3158.34926361686	1772.30642817842	3736.59739007955	2449.2601461239	2158.47038704611	2778.38122188198	2485.43008961817	2548.80165967429	2226.24509258602	1669.07941374515	2613.74390059579	2638.86775249594	1481.7729953187	1959.34454805313	2502.68917408652	2060.27039770226	2969.33694127627	1962.56993069752	2472.4997831699	1651.78711400902	2108.45500700804	1777.2470952379
ACSL4	14207.7170570436	13257.2496526898	9312.02373031067	9823.36943015557	6126.3886353902	11916.6739784952	6024.49349151422	9383.29777681929	8053.68164907956	9323.70942873299	7226.41584944904	9245.56285663784	8740.52560045618	9503.86356796763	5404.00240216693	9394.44954454363	5733.95506053098	12308.9661568335	11488.5349687786	13569.1168196204	17838.5432768518	9770.87441333986	13280.6732755033	9452.80016397605	16062.1171199559	12156.6387579185	10528.1287995323	12885.2667978201	14791.3463045615	22402.9905152966	15559.0831667372	5824.59979594496	11483.3111067617	16798.5820237355	9438.3446842633	15745.8448975586	13625.4789251305	10178.065632616	9842.9726267002	7822.9636394426	13319.5828209751	16795.0940155466	9784.22181204871	12171.1674435605	11008.0170806363	16972.5271561743	15207.2875378335	13734.0762985506	10343.3662115403	10008.5451039509	8904.8067714006	15678.4481157523	12379.1203759326	12187.0844559745	10515.0836065433	10345.3803937383	18712.279217725	11187.302489139	12757.2718055723	21600.4962308798	14969.2656215826	14244.8994680887	16374.000044713	12195.665005476	17476.5077870728	11292.5546744849	8914.53499396723	16980.8309364063	10467.1323967332	11540.1758256754	14279.3743105121	11559.9816144616	11912.9759476928	18411.8821783616	17519.435194878	16814.3206262382	8026.21566892155	10192.4872943159	10969.9787026615	14052.1473018398	13433.8435731268	13121.3091315424	13924.8791594415	9150.26314490956	11316.9526948905	8256.01517657227	12081.3240004803	14550.6336289003	12924.9903444637	15937.5198233061	7836.49586083916	17692.9805611133	11600.4849534201	11255.2250129757	12689.4484058127	14152.9124352913	8295.07777237009	10182.6877125846	10717.3578276012	13507.2203994646	8519.7905427315	9060.45172970028	10819.3145866704	8944.65859147445	10364.2769862506	10697.5382788313
AIFM1	5732.56156768347	3753.87433064934	3933.01658949044	3715.09060306832	3558.32058234728	3937.58242918823	3601.62800571529	2740.64744740507	4495.50671060186	3416.58785301052	4220.33163623089	3587.58508398255	4996.50924082851	3857.66051811057	2428.61662822086	4587.74561681269	2005.48337268771	5711.03964142447	2612.17377475284	4893.60577001225	5045.08443988062	4575.70785463683	5303.53625200332	3716.05373922499	5579.53058295865	6304.18072490916	4683.0414782959	7450.38420543892	8157.17939427509	5159.17803819365	4198.17158462047	5396.11762029317	4319.70243181565	5078.73158582329	4331.58222332488	4746.17312042016	6442.83860520606	5056.46954309385	4773.11433195224	3358.01475067713	4346.29440570574	4195.10106384517	5116.82025678631	4800.07968059418	4553.86903122413	5256.60472822105	4940.18620491761	4109.41557339733	4630.26825496368	5079.08034093182	4978.32707815454	6495.79295736232	5219.92947739471	5260.61792837794	7414.14222165557	4475.93535581147	4629.94748291158	5121.17137490872	5854.94506258904	5453.24395228666	4848.67090534526	4392.8612196845	4296.01204927177	2975.3559445324	4772.33660359708	3686.4877831507	3425.11640345011	3793.85316446541	5819.83557382111	8052.42617838425	5309.97037282716	3823.24929227375	6749.0375712535	3986.34616656975	3936.12794203286	3998.70132295337	4869.23771768865	4156.29452430838	3770.73220106393	4495.48796739523	5103.85530749881	4659.59528049572	4592.18403994486	7053.94774381555	4676.95566994775	4738.8047324029	5024.00549972309	5513.08763616712	3926.75390544678	5407.33045389969	4221.18861293279	5894.00106692768	6442.42576104584	4843.83333351915	4513.1033382427	3643.51696115495	5259.90256142272	5562.37107522026	4891.53296076174	5200.93397952587	5899.75259851077	4593.08664955932	6179.85566319282	7011.84563716686	6234.29131534401	4888.01180203007
AKAP17A	8201.37850723129	3579.2088489114	13530.3527081019	2281.92530695571	6379.69628521784	6121.52138153228	7688.21460718087	10244.211382693	10114.4346861346	10121.0419233518	2930.29345089342	16188.9920700324	5851.95277458492	5038.94871531147	8821.99227812685	6574.8047291551	4026.46104512762	5530.4947714233	16330.914709566	7680.47179427233	7726.8995957673	14985.864222221	3019.94820425122	3150.75804280541	4042.55595627016	3438.18021782423	8562.03672763006	5839.30214302767	3007.7768353353	11355.9095855442	6696.96441812042	2527.02426116182	10275.6991792211	10038.9420272621	5757.58652151714	5860.25943904614	5258.74679999926	4503.05197144698	14438.7028641331	13550.3886299654	6431.71390589399	5659.45659762582	4823.74209254359	6481.32728031981	11680.5467242332	4454.83585509379	5095.08639073431	5828.10753317086	4056.15798831151	6127.03077274835	4584.65757816353	4262.1617295072	13845.9779816867	2197.85704382353	2708.15705734374	6488.71767577601	2906.19522996364	2798.41156371465	4991.45466109954	4709.34461078741	7049.35707127994	5338.10239056954	6570.79507089738	9373.99101776666	11964.2465020823	9982.30540371026	11726.7438390085	9001.02319889991	9107.28907729739	3508.5447096059	3094.1950856642	4051.81084399544	3836.19522468656	2716.26485187931	3077.61578767503	3133.74893383225	5563.29007762982	4241.2572800931	6075.39200561856	2776.14824726005	4693.04493221682	3221.15018870003	2441.68460790755	3909.65784790743	5227.81659675146	2243.39125010919	4683.79977076121	4413.22125232715	5883.33578710233	6607.54017510619	4417.79687225794	5888.94102949758	5388.5927901081	8872.55318725376	5115.50569990432	7432.40338485204	5098.75544820459	6453.66367048455	8143.94490452181	6662.2173694027	6508.87778733528	9793.80482956085	6567.57027819705	5002.01103211614	7739.18215067381	10126.5216558107
ALG13	2561.27387999924	1837.87336489515	2087.58368638302	949.276790842289	2045.81398586713	3748.95827454718	1484.63813184723	1677.32371502587	1993.82857254456	2378.21067982663	1343.70570319029	2144.04219203822	1568.14428643305	2298.75039334826	2406.72430989612	2216.50030532976	2047.95055839216	1962.34175999815	3508.27358716423	1721.56106476245	1866.21408403379	3829.51836973535	1164.71823422629	1016.6810151005	1906.09715080338	1767.0787723243	1931.9460794635	1838.59798633389	2016.28348220201	1952.80732461708	1335.93120763895	1694.25461838385	2238.46257274089	2251.27612377545	2462.59842976156	2018.78695154359	2101.82312758727	1278.20863177032	2331.61116897464	1973.23698557148	1622.76435912973	1441.67009221605	2293.42788917208	1486.65939187061	1341.21523646084	1676.86018112336	2241.77193773286	1219.80153711942	1354.57675704805	1852.3204571181	1506.97056491453	2191.79638930198	3071.73693058811	1446.6818163134	1597.12738578933	1950.96859722184	1526.4051844335	1409.46325089153	2001.01007455629	1567.13337532704	1783.10924994137	1907.61941310359	1313.76187547363	1400.27377182171	2179.54645651642	2700.75024310757	1176.41335358122	2414.14499214546	2365.81183246409	1843.25381847774	1550.80694037377	1252.09782844472	1889.876004818	1829.7059931506	1405.37255171796	1194.64886970521	1796.91672501473	2173.95046225893	1706.73757998549	1678.78929286054	2160.32845921437	1455.96119277305	1156.62307788663	2313.09390453395	2785.2144911273	1117.81966430737	1678.43058944846	2907.56375118367	1183.94490056462	2638.69414007191	2504.48997477377	3103.53063102964	1508.81472985724	2348.91896845912	1806.81638703899	1475.95960243757	2700.83568803431	1688.16813767132	1887.8026419457	1590.6966173466	1870.14017031754	1917.29690296027	1805.85494776745	1810.66825342689	1926.70364701734	1795.37238641506
AMER1	1222.97740289621	799.566322897999	1002.7226455604	1042.97322384228	1132.5564648472	979.191809379334	784.137826316186	662.915156910603	1090.85313735141	847.958974340133	638.518915841075	590.58986122496	824.188524006802	875.681867477519	1220.45286748344	988.002883085009	460.552419808694	1349.29073836537	673.657727768914	769.212871938761	1247.75690909579	804.071219661222	715.49468687986	912.646596599657	861.491233328898	972.006589340147	894.486074418715	1035.2792745503	458.301299531749	1042.48740669283	839.226474700311	1104.57728253059	1061.5410797447	838.276547675864	941.776984854252	789.789117799197	872.070850624357	918.168341343417	1311.77051234522	1272.82914337597	1001.39021414058	803.493643191711	1300.98836968718	1210.0859085386	871.846692695696	1404.60875865294	1525.20692936811	628.808430475873	1004.48196924405	592.840865474688	1128.04825516498	1788.75218119463	1005.08906657853	1053.93188335043	1027.74343023658	862.110903959085	1093.08380002488	800.610458133179	1307.28857769839	1115.77457127177	1497.85572198567	1461.97309196043	1166.21495831639	1314.63807330289	1213.7027902499	1020.13523144318	1230.30302416164	1309.50582712518	1337.99788472225	1466.41897053417	1198.28425933813	1189.16689158629	937.342375837662	988.724905332602	1235.32506352598	1149.18281659571	567.418726117627	898.699644767004	797.698168374118	817.897440769579	1226.50087216283	1477.26937222559	1052.30823937829	1297.25403527469	1033.248696808	958.368699315	1451.7600257949	1163.62166357733	1000.49282359524	1005.65950877846	1929.36575702257	1174.79055411892	985.592988729243	981.616194895871	1028.39602958898	1366.64337772001	1034.7424828793	737.128926865097	1114.18384543655	1132.62658226739	901.222973276513	1089.24786945551	645.582387870362	1246.2868091448	993.184913801401	981.430475271354
AMMECR1	1465.12884160703	1515.32129693925	775.70732436479	1360.88676361718	1471.00814498925	1533.9455933284	1046.03803764074	1389.41633931306	938.106036996708	1106.2159579658	1601.35410723321	602.585355980502	1257.62106994406	1001.98009394862	798.141621920271	1296.037688289	1739.77899794322	1635.32155479874	701.439701445948	1293.82943609599	1455.19951581929	698.107817761768	1496.11839006142	1738.28449276133	1766.08113407642	1370.44820359432	1257.54659783835	1865.45393312252	1118.54166693854	1293.66592809821	1216.22062228954	1895.79790204163	1808.04770032372	1332.02158399227	1417.50278715381	1404.48556006516	1495.9558750983	2276.96545021565	1768.62651006991	1453.41637490409	1431.79986060876	1391.63359491301	1350.98549384207	1371.71262950715	1540.54880883535	1351.38432267625	1462.26447803838	1226.85067751526	1796.52526039398	816.266650472578	1915.00621326783	2247.74596194611	1560.13863967062	1678.94480246234	1862.82870409168	1632.7224916022	1352.51985824597	1345.46767841617	1232.848582822	1951.49189791482	1633.1383429427	1667.14222640778	1775.17262609822	1721.0257666013	1978.96842916282	2064.10735403207	2050.4964654031	1774.03144985386	2200.56839589285	2169.65131129004	1766.45330250048	1550.56058231106	1537.63795747897	2422.68986483955	2042.43113537092	1960.87274312104	1103.11927133102	2507.57027026483	1133.16807899991	1793.24733496512	1165.31808730706	1646.55218373633	2052.51393946205	1802.22489750582	1104.63339571931	2152.05103743835	1514.14336359942	1354.5721044077	1733.16139100513	1865.48639104679	2219.96991973094	1561.78180273785	1411.13053940413	2041.62140685853	1656.38818964324	1839.01883850449	2134.68087032269	1526.9964784755	1695.85799200802	1872.30543666707	1229.01002690767	2035.36456671593	1542.55026469526	2226.20307309678	1314.57461378597	2131.72207295783
AP1S2	5981.01236863119	5420.68497168403	4123.82686309848	4543.35880827659	2442.24463984815	4642.80056445964	3654.39399028993	4679.78319366071	3489.60856281736	3733.6429367307	6225.10633485399	2670.57590826963	3826.60570372348	3965.63783829045	2936.47791610206	4905.48020461859	4380.69129103117	4131.26610194382	5940.75032024702	5274.31273315897	3855.39254119845	2308.78134127	4398.14699170053	6790.69001293005	4018.22563019792	3624.71948255096	5015.76806554028	4900.12407047038	4589.6174897675	3443.73973310585	3700.9405923244	5927.19894480336	6529.13876160715	4258.02888964354	3744.51107110659	4368.64093641342	4730.90297494017	4204.77112901348	5537.71237521327	7923.00861362378	4984.14114099596	7637.0195350639	6192.12234396795	5349.98291152833	5053.79278734695	5091.77559675105	5015.03556585363	5633.19842907163	4023.92446542389	4097.51258688419	3736.97590808385	5182.74639721302	5637.64067606716	3763.62550153931	4809.9409033301	4872.94225911549	5496.47323166908	3892.52690609842	5714.45139403174	7245.31703389087	6667.51869919064	5909.79427775696	9874.1132117924	8669.06003432602	5655.59828695965	7531.51334854062	5790.94070767783	6943.19778468704	8679.08120868979	5409.16900745133	8478.14539856429	6011.06077591875	6367.2617649415	7977.67611768153	9844.71910237513	6832.60599211458	3624.1077872569	5233.53136367091	4984.07556985032	8959.51189517328	4763.58557251476	4077.0619852524	6270.75111235368	4507.07757265414	4978.90869367427	4985.77121587081	4228.53810996306	5181.0564438377	9805.34384809861	7563.48051311114	4607.06767770299	6571.74960662738	6232.70793785542	3605.17482199913	7941.70531536976	3889.85046762004	5565.54045678783	5736.78265995606	4137.12484005574	4338.79904635555	3055.04173305396	3469.34594697526	5566.84337511274	6238.71210721084	4725.91048442201	5302.21372922361
