160A_XXXX	2237_X	2245_XYYYY	2547_X	2690_XX	2703_XX	3107_XYY	3429_XXY	3430_XXY	3442_XXY	4032_X	525_XYYYY	5297_XY	5566_XY	5755_XY	6029_XX	6312_X	6382B_XXY	706_XXXXY	7086A_XXY	7089B_XXY	711_XXXXY	7178A_X	7179A_X	7181A_X	7184B_X	7194A_XXY	7196B_XXY	7199A_X	7204A_XXXY	7205B_XX	7208A_X	7222A_XXXY	7224A_XXXY	7225A_XX	7229B_XY	7240A_XX	7241A_XY	7242B_XXXXY	7243A_XXXXY	7245B_XY	7246B_XX	7247B_XX	7249B_XX	7251A_XXXXY	7252A_XX	7253A_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7276B_XY	7279A_XXXXY	7281A_X	7282A_X	7283A_XXY	7285A_X	7286A_X	7294A_XXY	7295A_XY	7304B_XXYY	7307A_XXY	7313A_XXXY	7321A_XXXXY	7324A_XXXXY	7326B_XXXXY	7329A_XXXXY	7332A_XXXXY	7346A_XXXXY	7356A_XY	7357A_XY	7359A_XY	7360A_XX	7361A_XX	7362A_XX	7365A_XY	7366A_XY	7368A_XX	7371A_XY	7373A_X	7374A_XY	7375A_XY	7376A_X	7377A_XX	7382A_XX	7387A_X	7388A_XY	7389A_XX	7395B_XYY	7417B_XXX	7425A_XXX	7450A_XXX	7459B_XYY	7467A_XXX	7468A_XXX	7469A_XXX	7470A_XXX	7471A_XYY	7472A_XYY	7473A_XYY	7474A_XYY	7475A_XYY	7476A_XYY	7477A_XYY	7478A_XXYY	7479A_XXYY
DDX3Y	70.9362445264428	2.58798537882242	34001.2954059429	8.18288058462853	0	1.29626566726952	18545.0204291847	12622.6106265011	6887.76682305863	9496.21058995301	0	30857.8527947095	8279.14573048182	8935.34085332304	18092.51845504	4.51803524949261	0.93948333901982	11558.0727619415	9134.68217498603	11506.4090555594	12782.6557167201	6825.09185670998	7.40847995996876	1.45047114401795	2.44743120316745	11.9354241719897	10582.518869033	9189.71748968265	23.0669210783244	8254.18040436624	4.75647299821833	5.48366840902733	11950.1960052138	11422.4361691804	21.7447864088099	14533.1448433321	31.7811092876318	13262.9913688995	9269.7730336109	12643.4602046433	10815.9476057712	26.1951945638225	22.8954128959199	83.4991520233453	10634.706042809	3.78028738923241	1.74926997696515	2.45360692696384	94.6892627693978	0	0	8735.53588192444	10592.3632203721	47.1176785529235	0	14601.6092638408	13.0565331848416	0	8403.4492680512	10521.007694246	22697.2718614454	10700.6443633399	11876.9670079942	11927.7147499766	9329.71979173903	11849.8147133269	11412.2943325805	12325.9739881859	8434.37185306357	9266.09165359668	9405.98074880264	15365.2373577631	74.7354894507917	40.1425079074072	71.2678834589429	15195.9934505937	9146.25348302984	19.6316131545272	13961.4824711117	48.0649550100809	15681.6831284372	14218.4779229828	18.1479719089421	45.0310900392125	69.3588582102889	50.0159552481189	14596.46945047	100.281711500148	23072.4767765854	53.0765356640796	8.00814885010971	0	17365.9698686255	69.6860016187516	0	16.4315266230599	47.6231510701702	16669.4772326963	23905.1010076383	18395.8448473997	12891.6490283507	25912.3727507008	15046.4017832846	15735.4962230575	13063.8497776027	19598.3207216153
EIF1AY	54.9255321523283	0	13511.0819546672	0	9.38960486166244	0	7613.51892312183	3865.87522316326	2421.97721949021	3999.95051596998	0	13743.0506308901	3951.87993044215	3715.92070473889	2734.51632207096	0	0	5078.80150966032	3777.44426488198	5250.35627069293	4669.07702760597	3306.24923996064	0	0	0	10.1101070661484	3294.75098951355	4471.07439667422	15.8037331572444	469.435816972307	2.00944586384045	3.96090627594115	3773.7029092966	4295.8044987786	11.9161315525383	4206.35433919137	22.1975833632412	3561.57665721075	2969.23277579399	3248.60176045107	3663.54241562666	5.3081648747637	6.26718297470489	19.5623384869172	3165.9751164407	2.48470779543636	0	2.70519475191788	35.4023038306187	0	0	5577.56596872297	4621.10235912214	35.358162856179	0	4176.11104450273	8.26429960462286	0	4397.38205798984	5655.47834632628	10467.3608525991	4642.18250828762	4167.90337654182	3695.54916446632	4153.20138211209	3402.04652792003	3244.50011492972	4012.1810674612	3664.47443795801	4933.92745731378	3344.3021962302	3359.53038658515	34.3240284804339	4.78314141900874	30.2376398031153	3880.95127320865	3028.43892724777	2.95339149594475	4006.64465743373	13.5849638583901	4517.45627420015	3654.23771641882	0.646251859331756	11.9724951216022	40.885888228618	9.83389313410401	3906.78891148681	52.2285850515573	7560.43966318623	27.7577267931591	4.50689482168637	0	9832.94389835026	50.5011643188958	0	7.20217571391541	24.0499874484356	8688.93582043024	8004.47540493667	7547.76459816789	8937.05492217546	7837.08175008769	9661.47729849388	8912.55197803386	8818.96898523725	8060.64985605383
KDM5D	23.0148360180693	0.901536156092447	10549.6757765424	16.8891736472722	3.19670193116917	1.80437992705454	3530.80342361278	2830.9874792209	2012.75262146485	1636.26261547631	2.73018831660825	11710.4932751913	2290.17385021181	1752.06794584119	1857.44174560826	4.92908152037137	5.02953642077934	1969.84399297093	1474.00983399495	2944.31133805204	1617.50862104423	1696.63881105595	12.1224188560198	5.72033731754641	0	1.33538961598776	3437.88205187395	1774.98778500749	7.1698266872713	2257.41465719364	1.07107879902076	5.80123854458227	3563.60060399463	2205.23859457414	7.35580994799915	2002.71216225941	10.4626462092428	2658.95303154395	2538.76283216195	2582.52505576236	2376.10095285945	8.26993638315746	3.57727626123494	19.239430351212	2525.00228021481	3.90414464854837	0	6.73020781720139	25.4687791865057	0.92660969829298	11.8673088339479	1863.58115484396	4127.78471353612	15.3738044673557	0.962709469646749	1675.6118553268	6.63706871738549	7.31533451706187	1585.03091417053	2448.60007999729	2991.32624224719	1579.03572727743	1808.87878970129	1546.97623845749	1943.47849392774	1876.32412801024	2178.9169774915	1986.51938834955	2088.82569668686	1437.66789357347	1225.20686838022	1744.36987834601	9.38451094605839	12.5225396490961	12.5682443530395	1152.68435834046	1658.46796943655	8.39937363755249	1272.39774800344	18.2571635578611	1213.72276267777	1497.50951356711	10.7611043412401	11.4070868678344	15.7119322422903	16.3499000332822	1551.79949819519	21.8038227015526	2626.30171069633	19.88443977047	0.855890947711485	4.43302254706368	3428.19598322177	27.9710122562756	0	7.107876338107	15.6235804273005	3574.77144063337	5058.29554207493	3684.60851505406	3669.71467862767	6069.44716387447	2740.60216706842	3408.47179805947	3687.51545255853	4986.90105423855
NLGN4Y	3.02167644702801	0	4818.29049398039	0	0	0.968252301432532	2267.25460154139	1385.80636442497	604.528043687845	892.655474354559	0	7332.78930566793	92.2703655381802	959.174869383652	252.445935849991	0	0	770.265732139945	1244.59042510305	1118.15136281475	1213.97716406611	601.637877809969	0.649527876218669	0	1.08510814450248	0	667.531258988716	974.739070833584	10.6305843665312	2242.37600014315	7.1914489290665	2.36545997441822	1385.29953959408	542.328771793312	1.61023019188398	884.447280868465	4.88895907927142	669.259554748845	1733.40941829867	1454.5510864858	885.051128756288	0	2.52155894411682	4.95264792573886	871.554772968755	0.858812497425119	0	1.64471067458367	0.59927460277152	0	0.430258595342783	2109.88034756035	1382.67119062153	10.3492637561632	1.04946825216449	948.395947089538	0.608291770761682	0	1958.4095009184	1675.70528647955	2873.09269121214	1618.63106538383	2289.35300728895	2053.51388002265	2038.93770750361	1485.11515164496	1351.70145204835	1817.38029680409	1563.0266776944	880.068595314939	1063.70710328331	1082.94299952113	8.33890826934516	2.06371606902083	25.1277575104609	1058.32014285781	907.827256716746	2.69569830094872	844.36711247109	6.42920203983188	1211.00701411816	947.615216661233	5.07006970969339	4.54411564257111	6.59155872688428	11.9906243915015	1054.23037186473	5.23657974343855	3192.3603717724	4.59965740549493	4.53578250952331	0	2346.13753548691	6.34399956323172	0.436718887661854	1.33158421344235	4.42599092013585	1251.03963480958	2328.43868520507	2999.6770510339	1676.21103348905	1829.33855915045	1713.08358033187	3534.16221478778	1757.67402806859	1912.62234725494
PRKY	12.9216716501428	9.49663310681065	3675.09367888334	25.3280457158903	10.4985041161457	17.7086476167473	1475.78051121448	756.792120884491	755.385838518518	837.263822613428	9.73419291609275	3984.1926468369	702.244690930877	813.119267759204	897.23191888252	20.1023744250387	13.2171816947099	679.673967530351	882.347376741929	592.328307175746	646.100778383755	1092.76626607023	6.52525303943194	12.6746002482017	6.78681457912446	12.1883654004495	913.332021064753	418.679763656616	5.39070247676684	636.391363210873	3.53054815228458	6.5499373681951	825.905165924418	829.587920188475	12.0644589133181	817.521814575636	8.67995873124891	1045.09238526615	926.214615363011	1006.90501087957	829.943041625837	12.315841388173	29.336614907574	11.1214820855044	555.817265185418	4.27542066473704	16.0761006567209	10.3401946004898	22.2041824585351	16.9140342782068	9.0716227271436	697.251024491298	496.655501245667	15.8639647282675	6.31531700770737	702.201570325313	9.10798618194843	5.99812978823381	527.530723905476	755.38851317264	1105.03247099453	663.419445188214	509.235495203659	681.918317604615	612.825526984381	584.974651073495	685.188950669046	568.374936330628	606.494371288364	519.374966764363	539.337174460966	782.873392837638	15.1901330694234	7.76749549170527	18.7066947369869	472.820169444882	586.484752374776	14.1982094554483	697.124978113761	27.984068178521	588.985310952148	469.092741757521	12.2512213572182	16.6570615424267	16.4700680212555	16.522336855067	422.025818524739	24.7914280738548	1649.09323329305	17.0832413079493	11.0022648718591	11.5602692639997	1039.35994104563	15.2487693353453	9.24585831294645	9.72630131353066	7.21234603067535	987.492956673589	1594.86636298711	1105.47669657393	807.733937544244	1831.16987311056	1033.44169122431	782.936994590039	918.561176811843	1321.20762753018
RPS4Y1	34.4543202043232	0	48043.2987502001	4.74925621208806	0	8.16875539446441	40073.1560342906	10516.9162215325	17189.7521802644	13870.3880932008	0	59289.2175619912	13271.0913561108	12797.9431625593	14512.6777266681	0	3.00915085431367	14997.4859935266	20716.1422925792	9510.15617613769	8474.62801096715	15996.8112870012	3.02441423174566	0	9.90057645477714	9.67058112062292	9137.61382281526	3324.2032275648	37.1095923416581	9897.61540961654	11.1518892746808	16.0126276542426	12332.7218062335	8791.46415370723	23.2336848880104	10354.4577449461	46.5630177084792	13790.8343630523	11564.8948036758	11485.2364567313	11375.9075139912	22.107999636869	37.9211445639126	83.4874348264276	12248.2460033499	21.4450251402712	0	6.89723076012413	82.431502435111	1.74443919589877	0	7416.58314140593	8405.62924141997	72.9864434983087	0	12341.6422245311	12.5801837272858	0	11925.3556931537	11937.5029620563	28351.1037756541	14415.9842604171	10916.371464204	11776.20486026	7670.98260308673	11334.4297743006	14585.0234221993	9223.80638683926	9126.9453077173	13864.929805632	10698.8225719539	9729.87960343423	100.519928395186	94.3193488343522	77.1413764897632	13261.5103057607	16226.8473987372	41.5692101124225	16637.9306395087	113.80217618109	9912.43160489184	18433.1256114037	26.2243980189195	45.6220851857755	2.7284152806255	115.52464261542	16609.2151506908	79.8650024408593	24354.4530454799	85.3017643296356	17.4590948977744	0	19209.1392363072	110.973478781359	0	68.9457194501213	38.8778735589302	21260.3879510003	17743.8427208509	16064.6776273058	26518.1212209552	21294.7210696256	22467.5365148836	23781.6379765905	24059.5326579217	18027.6548366467
TMSB4Y	21.9948666802102	0	676.888430936314	0	0	1.84270495420488	383.69187271429	146.787146615329	126.80204356121	197.616495047802	1.86307117281544	601.524026398526	155.80030053375	263.261472421406	173.400745588529	1.01714545808689	0	147.16842542926	157.554236684178	148.622093104397	166.911049220863	163.686282964829	0	8.63491416281865	0	2.76570263782857	148.184785801044	143.25595079776	6.4729124026034	99.2558913754003	5.54510945020097	3.68862757784802	135.148271948666	148.798854917052	0	218.63686738873	7.87952612162768	240.860390828585	133.029269810348	307.094074488144	194.917505369196	9.46815214512841	9.03712103272128	11.5552602970698	116.321287494007	2.61344780759967	0	4.35803383078802	10.3037049473582	2.63366897554149	3.26615320662665	200.714281007338	109.424175636589	12.036687317322	0.99776195096087	226.944563939498	2.29602744584901	1.07947279852714	142.216483130791	210.104051299001	426.189143203244	173.083914341875	301.634263606353	271.200449765239	138.826237647029	240.307336816822	218.965355284688	186.648043194039	184.753959440361	273.981498806215	250.866428537787	269.529168361319	20.2484377991042	36.6844791979025	31.0710087720106	232.356741765773	288.660972134893	17.8061473074751	181.224697417666	20.1461981528243	198.682354085928	125.754201879836	17.7598699765092	20.9556035074162	12.2871286539456	28.7611138895143	142.075079559298	10.7792061418678	502.394761107909	29.9327513629075	3.5141286492986	0.918545319507079	390.917037657585	8.33605651546796	0	8.15943366499334	13.5085636012391	412.024255464148	342.079815984404	294.072711921624	349.686325870573	265.174713197379	271.219120205642	423.597989527138	357.195538395504	313.255698056358
TXLNGY	29.905751779579	0.521735771560031	5681.87929178991	0	0.325447759742449	6.37061629533522	2606.76595637188	2269.07799292634	870.837327810055	1242.32499583584	0	7104.37670828576	1372.91240708105	1331.5425344995	1082.06458635635	0.290022274582298	4.01302501574147	1560.32422565026	676.726479471191	2382.00175931	1535.32940474641	605.832189706068	1.49817179802286	2.48768981002879	0.965246411806358	3.52489412372127	2877.6825944258	1242.0393153566	1.34875385649811	1800.06989797715	0.703339253637713	2.90878283376369	3474.95456308212	1695.12542226176	4.0302684301261	2367.2524414714	5.05081547712834	1594.75992653471	2232.85392653354	2996.20139755493	1933.70568982412	6.30630652005532	2.98436447722479	5.02154736374892	2046.51638087391	0.411112893264773	0.704697054547245	2.81092010736495	5.49720527133455	0.25676662633028	2.32280838566431	2035.78979817442	4093.78577029755	7.29065134928676	0	1663.41820875005	3.15538076667804	0.324388661604555	2236.50360061476	2924.13217366567	3663.31678417092	1501.78113134597	1876.31000723442	1666.57421543089	1809.60879196767	2141.77215295133	2156.19896193848	2013.82415561277	1841.21844992135	1434.85809030297	1650.88126483164	2244.58957133516	7.53717092607303	5.19157329090552	13.8664654011183	1781.19820403446	1933.81398008863	0.952989557883452	1078.55237321122	17.2874494234463	1371.08624004009	892.08470547176	7.1942447893538	12.1513771672663	6.04344739203808	5.01620086513009	1672.8220134297	20.3768080531867	3316.17619589482	10.9215256286406	0.258396528095583	2.5592613123493	3991.15201899059	30.1869855516845	0	2.16399938440791	15.311591464568	2684.61856631913	4143.08388546094	3593.49726899104	3469.00059462918	5075.19913829377	2591.92950617327	3271.05619380607	2740.39117215029	4145.27597835796
USP9Y	28.3750262930855	1.74996225256589	6626.94898961134	1.89687307841319	0	7.18647994760526	2903.74000125466	2316.48322413175	1393.14286528095	1760.11456245448	0	5481.92636840296	2051.96043944388	1424.19717631503	1172.44799437857	0	0	3133.05116698538	922.356986730505	2909.56887519069	2574.55157934454	995.49166757915	2.03739370232452	0	3.32975121544627	2.8661630970872	2219.38185950046	2834.85327585448	11.3756804708039	3026.30369284448	3.42966123755959	1.48686330908918	3354.2969626518	3908.79931681126	3.78237066438141	2642.28617626513	9.20079315986592	2981.85691843281	2577.79737703857	2034.71412599673	2673.93143307671	5.69614528800997	2.35513541676756	19.6354872804461	3252.11161048621	1.36681598642659	1.19991898347989	3.42496206997405	24.3112120795473	0	0	2788.15070821199	3929.71479552375	18.5235939046237	0	2976.33475568292	1.14698262685421	1.07200434455274	2419.1733464808	2548.96142860292	4552.61156632951	2575.62609006374	2267.97531182067	2691.59290153129	2872.29026262276	3550.97203491818	2301.20747803898	3632.09851661239	2619.82959649523	1962.11359923754	2544.5415884529	2452.29621912444	8.55615423293486	12.2402438193298	18.5901603273784	1818.90069606492	1286.59572553562	8.03544865106643	1028.90546230607	22.9893602048807	1515.74459633277	1813.49232065162	9.9603971460887	11.9803220919369	16.4979206752898	16.2866478240115	1829.3729328419	33.5144820574957	5340.21305096602	27.0380167388879	2.57702334588911	0	5302.38568077274	31.4851634293805	0	11.0083785155186	8.33759581153119	4370.2451798428	5856.09088213532	6018.08510066848	3301.05810260112	7119.21458010043	3401.59232345063	5773.41041278519	4464.70701467031	7206.30761708203
UTY	10.8593558093248	2.92503796100689	6948.34986608149	10.1717995083702	0	5.52328558499427	3039.62373874167	2348.11129115571	1246.30097133836	1763.02077369972	2.96245933956325	6102.09259396552	1919.70124301533	1749.64287392146	1605.61562944141	2.11362623912401	6.5387343092095	1808.69879378122	1574.97646966119	2031.32863666027	2193.77973426548	1333.39465503869	3.28252796630875	3.21260303564888	1.81800845249998	2.636122138046	2299.25428136597	2052.74465858953	12.703527829284	2076.11020873789	7.63702511446556	5.54065302694416	2073.18557080099	2465.96408036234	7.86263208885121	2519.49014564121	9.45930230942207	2637.06335523234	1833.79598341281	2631.891208424	2155.95976482588	11.1825806161086	5.04867159568295	20.3699839549049	2451.27446327599	4.31973321487061	2.58384618432627	6.44848529204832	12.2643265839586	1.85299569682793	6.08041433304586	1948.01511501042	2589.53174495273	8.94044774535655	1.05772469049832	2257.77037304392	5.28046939685736	1.14904284833668	1762.82858222802	2364.27707065688	4695.17397991195	2274.65570567066	2658.96882080546	2311.66460564213	2269.51710045683	2595.74700244062	2190.89646314243	2453.73698898564	2281.9347229659	1829.7420518032	2167.59604290206	2563.43488310048	13.5120212058329	7.68329157364714	18.0734495223505	2015.43766888449	1677.97940526776	4.67250985702899	2199.24841577366	11.7810211833899	1802.47144269776	2105.73117064729	7.51889672668513	10.3298305150314	20.6235379305233	3.40567029477391	1824.07996157482	38.9723083032564	5235.80049719004	18.7809886509361	1.85319162063786	0	4333.54228954466	19.579775193616	4.3767416655453	4.82234307676688	8.00561542724931	3436.77310817817	4860.1884067717	4101.28777395281	3081.67379204912	5011.37835627167	2804.85868045162	3407.78794145317	3151.82536449213	4720.3563915516
