gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	region
ABCB7	3800.77375099118	134.108552765211	-170.050166871886	75.2402660644342	0.0303343689458192	0.112805934517265	0.363193499516508	0.00243349721668194	0.00502172547026272	-0.0447409338236824	0.019858885785784	-0.083664349963819	-0.00581751768354583	NPX
ABCD1	438.989268411746	27.9023088074841	40.9273432446632	16.6428935050856	0.019171622145406	0.0777757852944311	0.257353955346352	0.0189516192334934	0.0291626209756774	0.0932308513890043	0.0383721642416076	0.0180214094754534	0.168440293302555	NPX
ACOT9	2600.18031439879	131.451117855232	-61.8133695024561	77.3054699514832	0.42949443369334	0.6469599697406	0.306338813497772	0.00778677609474182	0.0136268581657982	-0.0237727242069166	0.0297550921152556	-0.0820927047528175	0.0345472563389843	NPX
ACSL4	12463.8064201689	771.455803294218	-273.706845314865	427.213763952921	0.526026230253073	0.718313002406948	0.293928945485502	0.00984739216018361	0.0165047840431246	-0.0219601328910207	0.0343032876828486	-0.089194576749404	0.0452743109673626	NPX
AIFM1	4844.68248144743	237.189244683156	-145.454430552035	131.971659432665	0.278131334802549	0.514470914634766	0.332900646201031	0.00460611901483083	0.00884077681878821	-0.0300235218941693	0.0272801475752422	-0.0834926111416441	0.0234455673533055	NPX
AKAP17A	4870.70807165486	406.208885071442	2552.7597597404	171.422763345974	1.83714087756895e-16	9.36941847560164e-15	0.880002625471813	7.89563090735293e-15	4.02677176274999e-13	0.524104446865994	0.0561175226572904	0.414114102457705	0.634094791274283	PAR1
ALG13	1681.31592605378	106.481814940825	273.825236502035	60.2169739568292	6.58313127026078e-05	0.000783392621161033	0.398266766953775	0.00109921331005779	0.00249948504261549	0.1628636428519	0.037271055729386	0.0898123736223034	0.235914912081497	NPX
AMER1	1084.33716682766	56.7909646082783	-11.2292966011521	33.7506639829218	0.741393491925815	0.861531536797122	0.18693873888533	0.0576485029527	0.0737652887244226	-0.0103559086091317	0.0311303428357909	-0.0713713805672818	0.0506595633490184	NPX
AMMECR1	1483.27258324562	88.0073775799928	-42.5290573927197	42.5331756585902	0.324420889581865	0.559508490728144	0.465197645659441	0.000200073580352068	0.000590299737071805	-0.0286724489302295	0.0287256459220551	-0.0849747149374574	0.0276298170769985	NPX
AP1S2	4761.75351783548	335.216612607879	118.693913325931	166.521822355394	0.480843671008698	0.686644762200421	0.49862782372289	7.69157648802902e-05	0.000274589280622636	0.0249265134957857	0.0350146914105904	-0.0437022816689714	0.0935553086605428	NPX
APEX2	2763.20027756463	93.9111740591222	-54.2806188849397	58.8092393174872	0.362514023687734	0.596521669893246	0.115556065008436	0.147672378118176	0.172849308157996	-0.0196441131414406	0.0212934862897062	-0.0613793462692648	0.0220911199863835	NPX
APOO	965.574120680107	33.7791202302145	-1.71100588251274	18.5349431317069	0.926991590276723	0.958517733802151	0.354986525429319	0.00290510664172944	0.00582653410728883	-0.00177200884517035	0.0191958746466664	-0.0393959231526365	0.0358519054622958	NPX
APOOL	1750.07421062742	61.6665829407553	-53.3408999666853	34.3859830940589	0.13010388153929	0.295841310251762	0.312061881926921	0.00697216110705756	0.0123833906229828	-0.0304792217625801	0.0196776302269827	-0.0690473770074662	0.00808893348230601	NPX
ARAF	4053.54934324835	153.953488638565	-16.0904798184533	73.9985730768647	0.829162702955028	0.894830354936474	0.493206899824586	9.02863259206539e-05	0.000312934158773528	-0.00396947920351675	0.01825587656802	-0.0397509972768359	0.0318120388698024	NPX
ARHGAP4	2924.96577715054	163.882852834849	-22.6882933461589	76.478861424104	0.76853010548006	0.867588135833437	0.500567258859713	7.25919917913253e-05	0.000261771121914173	-0.00775677224102824	0.0261505368729308	-0.0590118245119725	0.0434982800299161	NPX
ARHGAP6	1227.7899151844	127.143839469127	-152.283955329349	79.3258369341754	0.0633152647465412	0.185274996020616	0.220646847156544	0.0346525211936351	0.0477041889177545	-0.124030954682078	0.0658729499011058	-0.253141936488246	0.0050800271240891	NPX
ARHGEF6	3187.34583228685	210.096661207902	67.5163430921919	118.586924719381	0.572867557136578	0.751888668741758	0.31602937528568	0.00645260226604084	0.0116342374190736	0.0211826223587889	0.0372317313940192	-0.0517915711734888	0.0941568158910665	NPX
ARHGEF9	1482.68912472076	70.9923732830032	-23.0673518016413	45.1231482690882	0.612508790501985	0.783747807201465	0.0707793639402291	0.242661235493122	0.268204523439767	-0.0155577803984943	0.0304424324502066	-0.0752249480008991	0.0441093872039106	NPX
ARMCX1	150.478122643887	21.1674071938722	-41.7283975453337	12.2948022894986	0.00176515412036278	0.0115118385830031	0.440265705481342	0.000389209840899318	0.00104472115188764	-0.27730541032922	0.0905389970107101	-0.454761844470212	-0.0998489761882284	NPX
ARMCX2	1279.33332756318	119.060502260124	-114.916859516942	69.0055739464246	0.105037051550195	0.254038060216015	0.241777510750124	0.0246399697919941	0.0363490463460408	-0.0898255810593404	0.0545826490583205	-0.196807573213649	0.0171564110949677	NPX
ARMCX3	4376.47681553967	218.223063372616	103.047965618771	139.47113025338	0.465069590071277	0.680450178915761	0.096782521008241	0.183456818844423	0.209246275806578	0.0235458726190154	0.0318899775224259	-0.0389584833249393	0.0860502285629701	NPX
ARMCX5	873.857334333488	40.7758720623321	-59.0452265009899	23.9444582440481	0.0188679520539098	0.0774236653246645	0.302794000636239	0.00833248218072902	0.0144402725170886	-0.0675684968027706	0.0275816741443879	-0.121628578125771	-0.0135084154797703	NPX
ARMCX6	1575.89852158737	55.0460207819185	-1.48759133078506	30.4833935347883	0.961364183589891	0.97225782872972	0.324530923565507	0.00545322174605928	0.010139584184079	-0.00094396391037073	0.0193435284083801	-0.0388572795907957	0.0369693517700542	NPX
ASMTL	3608.07247721006	311.753526510964	1589.44613711988	203.903077280838	4.52080524013932e-09	8.06963735364868e-08	0.632314751960315	6.6090360655009e-07	4.71885175076765e-06	0.440525002521268	0.0681361728013973	0.306978103830529	0.574071901212007	PAR1
ATG4A	1364.31660459378	66.0620112098101	-25.2898815715001	34.8410361334787	0.472888965380037	0.686644762200421	0.375676703625091	0.00184705401400285	0.00399635323029708	-0.0185366662593909	0.0255531227491085	-0.0686207868476434	0.0315474543288617	NPX
ATP11C	4032.18377431348	228.532361612949	-329.933267452654	89.5098911533356	0.000788407011594531	0.00654561170091274	0.656362232576637	2.27920227128127e-07	1.89226793220329e-06	-0.0818249578688482	0.02267811273285	-0.126274058825234	-0.0373758569124622	NPX
ATP6AP1	3278.16677352309	125.840698946666	1.72497886136643	74.126358993056	0.981570313822017	0.98434001142725	0.210336476313623	0.0406733495355326	0.0541805439708401	0.000526202289431592	0.0226121468767641	-0.0437936055890261	0.0448460101678892	NPX
ATP6AP2	6284.60895721885	287.445311045323	-245.491447976678	117.085447655002	0.0435349428709458	0.143266517025194	0.617732047647514	1.21451799816766e-06	8.02931343233064e-06	-0.0390623266535451	0.0187159777641172	-0.0757456430712149	-0.00237901023587535	NPX
ATP7A	3857.36548584085	251.474583544374	-366.11248489364	128.109278815365	0.00723127443339151	0.0368794996102967	0.448481880761374	0.000313900429716169	0.000889384550862478	-0.0949125734228505	0.0337830964556919	-0.161127442476007	-0.0286977043696944	NPX
ATRX	7132.35069300638	443.739900370685	57.0354237582548	184.978952839412	0.759708934142241	0.866505078238914	0.600308676191924	2.43033122429133e-06	1.37718769376509e-05	0.00799672172796843	0.0259399730743214	-0.0428456254977014	0.0588390689536383	NPX
BCAP31	3981.79675910965	114.031804019436	-3.30473685623195	74.2362581691043	0.964753146574663	0.972929020698177	0.0371016720584322	0.3361724028027	0.357183177977869	-0.000829961210016883	0.0186439245869591	-0.0373720534004568	0.035712130980423	NPX
BCOR	2584.02037146714	132.725183258327	250.774725831843	70.4895181970744	0.00112685969299774	0.00820997776326924	0.430934306063197	0.000494457965443126	0.00127226301786077	0.0970482774055919	0.027730711212976	0.0426960834281589	0.151400471383025	NPX
BEX2	116.806976059489	10.1577662235306	-27.6750726506511	6.59214409722274	0.000182829988712291	0.00197788805970569	0.380827687130403	0.00164469089487064	0.00358021127724889	-0.23692996415348	0.0600796762785218	-0.354686129659383	-0.119173798647577	NPX
BEX4	586.336211127418	87.7463324151639	-88.8563201317299	56.3700358198871	0.124215996701861	0.284263530913873	0.0583359046268959	0.275034916504663	0.29844214344123	-0.151544998322507	0.0987781815439802	-0.345150234148709	0.0420602375036938	NPX
BEX5	54.4940370361837	9.81039142081083	-4.23749300058123	6.51357791983262	0.519701000664772	0.71634462253793	0.0379215169943858	0.333679082889212	0.355592336093877	-0.077760673113052	0.120345250910403	-0.313637364897441	0.158116018671337	NPX
BRCC3	3456.81221271092	199.583236564578	-49.0707953883163	95.7835347020221	0.611746700802376	0.783747807201465	0.477327140027958	0.00014268132773103	0.000446817842105068	-0.0141953893844392	0.0277207497553811	-0.0685280589049861	0.0401372801361078	NPX
BRWD3	2903.42236371979	135.510855128502	-35.138309658392	75.7475302009479	0.645684962153443	0.806911934354964	0.280378294509621	0.0126310347717972	0.0206088335654252	-0.0121023761811126	0.0260951637123813	-0.0632488970573799	0.0390441446951547	NPX
BTK	10855.266157204	351.104973395933	-99.6855266958539	184.480170010564	0.592471823116932	0.771943214791039	0.388924007446709	0.00136674847993426	0.00304955754585333	-0.00918314901285937	0.0169971275757322	-0.0424975190612945	0.0241312210355758	NPX
C1GALT1C1	1180.11609963948	74.9767617014927	44.2201630640622	40.8301632484502	0.286417624488154	0.524364574062928	0.325928067052291	0.00530285091216422	0.00991161139079909	0.0374710277044531	0.0346802371013116	-0.0305022370141176	0.105444292423024	NPX
CA5B	240.175986723822	15.3622540114106	39.1784528751438	9.39384118056359	0.000198022801054346	0.00207923941107063	0.483064265397057	0.00012118103235254	0.000400570634720896	0.163123938448497	0.0404800988383006	0.0837829447254278	0.242464932171566	NPX
CASK	1393.0882320548	169.651497018844	38.8740633353802	99.331999137993	0.697976894642754	0.832466545143443	0.211081454894499	0.040210654977866	0.0539779286875578	0.0279049542167484	0.0713843859872171	-0.112008442318197	0.167818350751694	NPX
