gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi
DDX3Y	12049.7513047562	583.656147357335	-958.993687290443	375.823953687405	0.0139593687330708	0.0767765280318896	6921.81415493715	634.779587043338	1.38001078174985e-14	1.38001078174985e-14	0.749318791726877	3.40490217480576e-13	3.40490217480576e-13	-0.0795861809124569	0.031426680872267	-0.1411824754221	-0.0179898864028136	0.574436266763863	0.0595764250670932	0.45766647363236	0.691206059895365
EIF1AY	4283.65915634998	203.135780012468	-133.458325514319	123.730615076282	0.286147741403249	0.44966073649082	3742.26458118549	208.985265500316	6.9019539588131e-23	7.59214935469441e-22	0.884133667014629	5.08159023861168e-21	5.58974926247285e-20	-0.0311552158197471	0.0289220874574863	-0.0878425072364202	0.025532075596926	0.873613993223075	0.0640030556571701	0.748168004135021	0.999059982311128
KDM5D	1629.49811497102	165.098545013585	178.393853757899	99.6754454788523	0.0798040554369732	0.231034839469156	2786.07601069257	168.355256493453	1.81266458430546e-21	4.98482760684001e-21	0.849021584425596	2.57517319736531e-18	7.08172629275461e-18	0.109477790811112	0.0621669756930139	-0.0123694815471951	0.231325063169419	1.70977553462351	0.201702327950767	1.31443897184	2.10511209740701
NLGN4Y	910.926886843278	120.213136193611	125.615283945291	71.190827803173	0.0840126688978748	0.231034839469156	1685.36549285704	120.243757298555	1.37227903262459e-18	2.51584489314508e-18	0.78306852723464	1.20797117428667e-14	1.66096036464417e-14	0.137898316274973	0.0802428808815289	-0.0193777302528239	0.295174362802769	1.85016549319067	0.277560335987782	1.30614723465462	2.39418375172673
PRKY	590.590842359814	57.3698784814938	-11.6856134151794	30.0060065999246	0.698671390327132	0.759417727310145	880.224768957153	50.6811774274572	2.46907485073118e-22	1.35799116790215e-21	0.875526732967886	2.75249211592501e-20	1.51387066375876e-19	-0.0197863098731558	0.0508431017142494	-0.119438789233085	0.0798661694867731	1.49041384631034	0.168300093716544	1.16054566262591	1.82028202999476
RPS4Y1	12027.7559749035	868.242523319574	-158.366129937345	514.1818862791	0.759417727310145	0.759417727310145	12176.5976996238	868.470895042768	1.35534289018233e-18	2.51584489314508e-18	0.839440538957019	1.0890106626654e-17	1.99651954821991e-17	-0.0131667228922655	0.0427601753483776	-0.0969766665750856	0.0706432207905547	1.01237485404849	0.102734178500266	0.811015864187971	1.21373384390901
TMSB4Y	202.288830066776	11.7840825654764	-19.5210787887745	7.25863954750084	0.00981612025878733	0.0767765280318896	156.702154068533	12.2600919107234	4.58573264879363e-17	5.60478434852554e-17	0.798999707434048	2.05764273806454e-15	3.23343858838713e-15	-0.0965010217436652	0.0363202333361343	-0.167688679082488	-0.025313364404842	0.774645609531707	0.0755615573213904	0.626544957181782	0.922746261881632
TXLNGY	1725.55571763058	141.95048857545	67.6995335063577	79.4528046876941	0.398405398553052	0.547807423010446	1801.21229217673	134.198520488769	7.2537394521787e-18	9.97389174674571e-18	0.776463004563783	2.41915965437559e-14	2.95675068868128e-14	0.0392334671170851	0.0461577394364882	-0.0512357021784317	0.129702636412602	1.04384475898004	0.115853764818963	0.816771379934873	1.27091813802521
USP9Y	2394.24820212642	212.337545714408	153.465412793913	101.641821053439	0.137633194202915	0.302793027246413	1971.51101257696	171.676532487071	2.25732631208986e-15	2.48305894329885e-15	0.762370432152264	9.93366481472608e-14	1.09270312961987e-13	0.0640975370296256	0.0428314051392888	-0.0198520170433804	0.148047091102632	0.823436355022	0.102344863787255	0.622840421998981	1.02403228804502
UTY	2107.25754334697	107.204111817456	-27.0732314738204	59.9245090127229	0.653455958585337	0.759417727310145	1736.12378953538	101.2145572725	4.13867872951724e-22	1.51751553415632e-21	0.859978752149132	4.39128364027063e-19	1.6101373347659e-18	-0.0128476139802161	0.0284447125976603	-0.0685992506716303	0.0429040227111981	0.82387831284157	0.06374780097799	0.698932622924709	0.94882400275843
ZFY	1589.9838779491	86.669189976355	-46.4322158418797	41.6005287962417	0.269916594788722	0.44966073649082	955.914701941685	70.2647242970235	4.33008027783986e-18	6.80441186517692e-18	0.846057375927988	4.06267043853559e-18	8.9378749647783e-18	-0.0292029475806836	0.0262124992251736	-0.0805794460620238	0.0221735509006565	0.601210311122593	0.055017481417193	0.493376047544895	0.709044574700291
