gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEy	deltaEy_err	region
ENST00000019019	FTSJ1	452.877096363473	23.0445983837364	-5.41213274301731	19.961755395633	0.786915700213739	0.921669585557307	-30.1688102405517	20.3814005291887	0.142308656928194	0.523851860690097	0.260776058180972	1.77672945048124e-05	3.20719533393579e-05	-0.0119505552090751	0.0440818384692757	-0.0666158886876862	0.0451317421792034	NPX
ENST00000156084	OTUD5	230.445553913918	11.2381120199332	10.0781818515831	9.55991087117653	0.294607384778014	0.583594344197154	-0.787857143783275	9.76088368117265	0.935847223268182	0.969292923627637	0.300806912645177	1.9653010799846e-06	4.02317068909891e-06	0.0437334618976756	0.0415392532966798	-0.00341884289109599	0.0423569000712617	NPX
ENST00000156109	GPKOW	1339.49560029912	31.2657256854862	-42.0203970928907	24.451469049587	0.0891396444938419	0.295417768851651	-53.1267968344293	24.9654989929251	0.0360698028218989	0.311944152850066	0.396008259699742	5.03233285562741e-09	1.41456122558681e-08	-0.0313703136341076	0.0182689161072456	-0.0396617927095585	0.0186609625528249	NPX
ENST00000168216	HSD17B10	2139.43129541336	69.7434260182681	-61.4263597382712	66.1080299798535	0.355280503427361	0.645105078129432	-115.853016301956	67.4977831613833	0.0895294592547069	0.457883763586324	0.128889955549559	0.0078885565346745	0.0102460561887152	-0.0287115365050333	0.0309139866144569	-0.0541513142068776	0.0315987521483033	NPX
ENST00000173898	TRO	646.025924659549	36.672482232519	-135.707425870603	31.9746989193299	5.32014234616018e-05	0.000448638869489627	-106.830937092654	32.6468856350002	0.00151364979378133	0.0356338388952687	0.440240259405662	2.10744707743815e-10	7.30495459357397e-10	-0.210064984531573	0.0509106763746189	-0.165366331310858	0.0513994252586601	NPX
ENST00000200639	LAMP2	5128.92502753116	241.875928738385	-136.909899351569	247.126135467131	0.580947177774686	0.830881715645634	132.808799356011	252.321333888704	0.599941266792866	0.86238700854256	-0.0405565598001041	0.836686276919209	0.844156690105988	-0.026693683104483	0.0481992744370115	0.025894080853808	0.0492109073557738	NPX
ENST00000204961	EFNB1	1136.17245251654	64.9687747078711	119.590099768131	65.1189558052274	0.0695868899025029	0.24883919490452	85.3111849024836	66.4879162179911	0.202748515849978	0.628761601588479	0.048799234380005	0.127746943241656	0.140695951133598	0.105256996420964	0.0576294881995723	0.0750864753968691	0.0586765130204985	NPX
ENST00000217901	IDH3G	2351.17946814347	83.8598203697472	18.361884007988	45.1839735324145	0.68542777070285	0.875310759759106	-43.0450327598412	46.1338516484311	0.353292354342344	0.744147801506226	0.71415942443661	5.16001195757068e-23	9.11064611258574e-22	0.0078096479902008	0.0192195960402999	-0.0183078464843138	0.0196324405596303	NPX
ENST00000217909	SLC25A43	2639.43935785187	54.1409507347353	86.8078030289174	51.6933567782135	0.0965654096290029	0.298139106231621	124.499138510947	52.7800781200591	0.0204966390254466	0.214455574988469	0.187459823844622	0.000653873030865469	0.000995790464795121	0.0328887279681873	0.0195965916893734	0.0471687815598355	0.0200200939322066	NPX
ENST00000217939	MXRA5	42530.5201969036	5537.78949080948	-1044.40670280256	5706.788249669	0.855200802768612	0.94742834032209	-3320.13902686453	5826.75895714147	0.570226939595041	0.858574656371669	-0.0528480514176675	0.925997125524001	0.925997125524001	-0.0245566406892571	0.13421910358619	-0.0780648581652253	0.137378382944121	NPX
ENST00000217958	PSMD10	2860.70675861797	61.1982211820336	74.1935524794916	52.1878076717126	0.158579784690008	0.418992480955046	3.97537734255504	53.2849235859356	0.940693742013382	0.969292923627637	0.324504235927063	4.91832393888987e-07	1.08974628449913e-06	0.025935392453624	0.0182514121290647	0.00138964867006347	0.018626512938291	NPX
ENST00000217961	STS	2028.58036562832	221.687941916055	1600.54124281292	212.45543887481	3.69022201350344e-11	7.44634084867659e-10	-115.245470866331	216.921774087031	0.596535869848052	0.86238700854256	0.466002544549864	2.89819702927375e-11	1.10640629833761e-10	0.788995728210737	0.135657858911736	-0.0568108973245614	0.107112874112392	NPX
ENST00000217964	TBL1X	1206.67073809597	71.3129568759484	-114.603390569777	55.7792830209775	0.0428184937701817	0.175846116402348	-59.5834810446101	56.9519005693371	0.298267148681996	0.706576567062453	0.454029584119562	7.38417948486907e-11	2.65736395474588e-10	-0.094974865099167	0.0465652932397694	-0.049378408843019	0.0472876784514501	NPX
ENST00000217971	PGRMC1	13654.1498864805	510.72751140158	-38.5704815068901	515.600125932899	0.940534323755511	0.987441039703026	-12.1368391277063	526.439307128145	0.981657771429172	0.983928724538684	-0.0242283025301349	0.681830079429502	0.69411530608589	-0.00282481749706587	0.0377615705596956	-0.000888875486838145	0.0385552749344339	NPX
ENST00000218056	WDR13	1903.90615901603	64.1360349766136	-51.2183957648421	51.4913338504361	0.322549374711191	0.613301907742821	-75.4981178993726	52.5738081740797	0.154457603176015	0.538694727126224	0.392472672256509	6.40883789184656e-09	1.77499676906535e-08	-0.0269017438292823	0.027060279393779	-0.0396543272586456	0.0276459465586563	NPX
ENST00000218089	STAG2	3531.8601639998	591.820675095358	48.0192667392217	133.310589875584	0.719537084045145	0.893491104363751	123.571357038666	136.113105946138	0.366377834559856	0.752557202399301	0.949914350024826	1.00184326508734e-56	5.66041444774346e-54	0.0135960271668401	0.0378138422825859	0.0349876131275602	0.0389820336562434	NPX
ENST00000218104	ABCD1	948.84157664262	46.4674708728155	44.7798698994227	40.7630745825212	0.274898880541007	0.56274589675967	43.9070640140379	41.6200145428748	0.294271674824483	0.706576567062453	0.233308277460946	7.30877451465543e-05	0.000122173301798234	0.0471942535000118	0.0430230115327152	0.0462743887861645	0.0439225302117753	NPX
ENST00000218147	BCORL1	603.451694806749	29.4760785971847	22.9618192256204	28.1983002125316	0.417623638702408	0.701553519360552	10.9174305677551	28.7910977508343	0.705436490737181	0.904292892340092	0.0850143807042275	0.0400078716198204	0.0472896390485325	0.0380507991331	0.0467652957932244	0.0180916395822723	0.0477188749513486	NPX
ENST00000218176	KCND1	357.571966133058	20.2078068566617	-36.7109680198309	18.2035749128323	0.04670824417062	0.187164240825534	-22.5064690949661	18.5862587737496	0.229096383873481	0.646155370390731	0.203509562827075	0.000310995241699937	0.000486737705153641	-0.102667355097324	0.0512384138912112	-0.06294248774131	0.052100643329309	NPX
ENST00000218200	FMR1	975.528873682851	40.3008071847281	9.22140960558097	36.3467481517289	0.800300926128771	0.921858884570068	19.919803788232	37.1108460820033	0.592754384927374	0.86238700854256	0.190731429339265	0.000563137069394275	0.000859925524885852	0.00945272851921643	0.0372605521699149	0.0204194917501827	0.0380511228192668	NPX
ENST00000218340	RP2	2084.60578719329	111.206314943921	6.21693502438058	96.9116747164832	0.948992640044302	0.987441039703026	-13.7972812800469	98.948996178122	0.889415356453816	0.948893325387453	0.274112298104486	8.69439799385438e-06	1.63200493904576e-05	0.00298230728446314	0.0464894815122249	-0.00661865248806755	0.0474678398497122	NPX
ENST00000218348	USP11	3327.28973136458	123.26297180221	-200.52669655739	55.7629225418222	0.00052723411960454	0.00372359096970706	-225.745326801234	56.9351961527211	0.000147009715013907	0.00479486831409654	0.802120360943291	4.53664754196854e-30	1.50776815365425e-28	-0.0602672783999338	0.016907326177494	-0.0678466094110332	0.0172951935269699	NPX
ENST00000218364	HTATSF1	4451.09524266218	207.613903332283	-55.0688540727433	90.2521456525	0.543289018870548	0.807784988583842	-193.41099004999	92.1494674543851	0.0386278793663716	0.311944152850066	0.814251512271907	2.73826387722855e-31	1.1900916081801e-29	-0.0123719783717337	0.0202846006881595	-0.0434524492300713	0.0208016226792259	NPX
ENST00000218388	TIMP1	33068.1014104117	2653.13006470927	5568.95615389662	2434.01385442685	0.0244817260420609	0.112456709054995	2345.84558064816	2485.18280469066	0.347731129232673	0.744147801506226	0.178083607913812	0.000997354433685742	0.00148682125338376	0.168408705561282	0.0748359983795767	0.0709398326663399	0.075368695085204	NPX
ENST00000218439	MAGED2	684.115845850207	79.3714710774721	-22.7895884196275	74.2965821063182	0.759751316870017	0.911036581549977	70.8208174227883	75.8584787683502	0.353012724241163	0.744147801506226	0.148903756679995	0.00350533246278911	0.00484232968576002	-0.033312469748899	0.108671091224831	0.103521673781395	0.111534002389896	NPX
ENST00000218516	GLA	956.557859637715	52.7047089062794	2.13455490821757	50.9595814629879	0.966681395888776	0.991873488724791	33.2240107385406	52.030877045222	0.52474115659423	0.837510603038813	0.0800115166852414	0.0474544992019066	0.0552820454620149	0.0022314958647938	0.0532740562075278	0.0347328814496635	0.0544275174177283	NPX
