gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEy	deltaEy_err	region
ENST00000014935	DNASE1L1	110.364928722307	8.69870189866694	8.22311418127575	4.51967199248763	0.0719995073370946	0.178498778606547	0.14212547119179	5.68698880034028	0.98011429166085	0.997742743696542	0.277989353374255	7.26707762075826e-06	1.47071808991536e-05	0.0745083993300645	0.0413709917662135	0.00128777749269786	0.0515290491171054	NPX
ENST00000019019	FTSJ1	423.31566602969	15.2400121568573	5.36606977611103	8.05503410302682	0.506913168268705	0.662271488444687	-4.62486140889409	10.1354454054218	0.649211664354367	0.880154457149475	0.249215351760247	3.47482317644541e-05	6.34208524535281e-05	0.0126762844060079	0.0190339055446207	-0.0109253254250451	0.0239462267762098	NPX
ENST00000055335	PPP1R3F	217.598654434014	8.67503583100875	-3.11621074465701	4.34593969719321	0.475108956137936	0.645410568269571	3.30728989348231	5.46838585321513	0.546752555583608	0.815332758326433	0.326532241542126	4.17266181933123e-07	1.03447240937587e-06	-0.0143209099925845	0.0199804316250157	0.0151990365109782	0.0251379091839752	NPX
ENST00000156084	OTUD5	248.041856085095	15.1866922420129	8.27299608102499	7.89844821283564	0.297563282014855	0.479810712191976	7.06125924240656	9.93841734557841	0.479133893125536	0.771784063557529	0.275117798371674	8.53120981270699e-06	1.7033791404566e-05	0.0333532259901603	0.0319086194926418	0.0284680148498166	0.0401053944868942	NPX
ENST00000156109	GPKOW	1568.99840302309	34.9880743250654	-52.2870380389644	18.7678751052849	0.00644306950109681	0.0277799011098015	-4.96520519697261	23.6151419190035	0.833918828626151	0.948233896289652	0.317350486227973	7.32032004139821e-07	1.71479937977635e-06	-0.0333251059645566	0.0119847536628088	-0.00316456994946957	0.0150512590954492	NPX
ENST00000168216	HSD17B10	3504.57574085176	147.061370280782	-69.3069317651913	86.6940730189891	0.426028204880504	0.615259179378397	27.3801164100046	109.084956415943	0.802357673513103	0.936427879390058	0.0827092070500153	0.048041064171368	0.0529341355221554	-0.0197761260963208	0.0247513102270038	0.0078126764648979	0.0311281635681587	NPX
ENST00000171757	P2RY10	2771.1477166367	182.678301942963	917.981552769785	98.4716046372377	4.64295386781618e-15	6.90639387837656e-14	-37.2400635230256	123.90432616666	0.764410613966707	0.927905053841645	0.559685696151634	3.72096214959757e-15	2.99185470136561e-14	0.33126402726879	0.041708280919889	-0.013438498171517	0.0447210528608971	NPX
ENST00000173898	TRO	268.184288956519	20.1351199335917	-18.520394802332	12.1410091899978	0.130471498973551	0.281270079308924	-37.8642147640499	15.2767243736073	0.0149555650263016	0.115565729748694	0.117919909764333	0.0136287913025195	0.0167198573711321	-0.0690584630232934	0.0455670848367449	-0.141187296658489	0.0579414316973238	NPX
ENST00000200639	LAMP2	1292.43305477542	53.8396350927503	39.8402443591658	32.9338849047733	0.229394270460597	0.4102950457848	-17.0848479425856	41.439873273205	0.681062768974233	0.891078656895172	0.00166544631858823	0.434746902905843	0.443695381181778	0.0308257702106578	0.025514417068043	-0.0132191357064558	0.0320681867180408	NPX
ENST00000217901	IDH3G	3144.34585753026	80.8205618233744	-96.3383391768219	40.9518817046975	0.0207121816593068	0.072921586315311	7.0899093822879	51.5287155781608	0.890854535782177	0.981910636316866	0.38625355856322	8.28251948159251e-09	2.64951564061696e-08	-0.030638594970749	0.0130477625679677	0.00225481219418296	0.016387840319153	NPX
ENST00000217909	SLC25A43	1464.1152511305	54.748793364257	-30.0631280123889	31.3338064611349	0.339769118206809	0.534268628177475	-31.3062622668275	39.4265350920798	0.429150912328592	0.734618357051623	0.11929492172029	0.0129335223924524	0.0159988478659234	-0.0205333070529632	0.0214149576934387	-0.021382375631054	0.0269404412923973	NPX
ENST00000217958	PSMD10	3522.09727037946	87.0602774745999	-42.429042057851	40.4140942917314	0.296447033924551	0.479309742350836	-135.580750525694	50.8520312967382	0.00901744664455146	0.0865383992501309	0.470725636480328	1.33886554316626e-11	6.80876066823868e-11	-0.0120465276228103	0.0114783031552359	-0.0384943231596459	0.0144693175099561	NPX
ENST00000217961	STS	2801.88274812716	328.506813463358	2226.1412549128	189.381950213811	3.15897391738352e-20	5.69572569952482e-19	-105.638049623519	238.294511558073	0.658550331614948	0.883196050021202	0.644077671519409	2.40996294872228e-19	3.05091054146756e-18	0.794516207503971	0.115091411958111	-0.0377025233101311	0.085162795758881	NPX
ENST00000217964	TBL1X	643.93492672774	43.1731814230074	-62.5884198649547	24.7940569184633	0.013249880777375	0.0510766830929299	-1.69002457192671	31.1977338719865	0.956912373461839	0.997742743696542	0.156486006162872	0.00288272957940653	0.00397965012528166	-0.0971968086635834	0.0390515437117109	-0.00262452695416733	0.0484489011917919	NPX
ENST00000217971	PGRMC1	2296.48910834291	72.5143001451692	-111.236973189755	38.1984056943069	0.0044743601056082	0.0201685171427036	-108.262101077062	48.0640864504001	0.0265956211041604	0.177314162628439	0.291405881834451	3.39208894306679e-06	7.23402480689872e-06	-0.048437840521709	0.0167035646483954	-0.047142440468695	0.0209822469162184	NPX
ENST00000218056	WDR13	1418.89719349131	60.9152094739337	15.4867926310872	26.9993581936338	0.56759494795475	0.708006276798902	22.188070982913	33.9726086138078	0.515258721857808	0.796308933780249	0.469372339666151	1.49794846765068e-11	7.42732781876796e-11	0.0109146685905979	0.0190341790829389	0.015637546599354	0.02395237703857	NPX
ENST00000218089	STAG2	3553.96823764023	164.309307397399	-3.88243837693627	64.4842353815419	0.952116802653185	0.966739756960145	-101.796125038376	81.1388802158387	0.212705083534651	0.555085634662794	0.584899087671315	2.61004039583608e-16	2.46503815162296e-15	-0.00109242348758698	0.0181443617068911	-0.0286429473286365	0.0228688750552215	NPX
ENST00000218104	ABCD1	431.200260919596	20.5737619030748	26.1295004829006	11.6252944184486	0.0269123619930397	0.0904681095246251	28.7416675935049	14.6278135378551	0.0523512453625351	0.279866566508686	0.181371295950224	0.000966735040375079	0.00143086405229645	0.0605971351389625	0.0271149018045231	0.0666550329357621	0.0340722291604067	NPX
ENST00000218200	FMR1	1211.4776012065	58.8263122396468	-27.9702714443302	31.4450839861935	0.375983567172529	0.566354993588999	-36.1293088696367	39.5665527835826	0.363487049480341	0.699918428611012	0.228888056871781	9.9260669213626e-05	0.000169712925810654	-0.0230877330430831	0.0259801758052802	-0.0298225149467526	0.0326918358519111	NPX
ENST00000218340	RP2	993.933832410674	40.4506486654272	-60.1134527666475	19.7343907181677	0.00300055371885879	0.0140577123048896	-88.8501598699201	24.8312840361647	0.000546914271992512	0.0116219282798409	0.407256649862787	1.85820577413075e-09	6.6604363590831e-09	-0.0604803366244704	0.0200068213981847	-0.0893924293274374	0.0252463346421226	NPX
ENST00000218348	USP11	2991.74641191445	88.7756949603279	-174.594371324054	41.397967844764	5.63976412071663e-05	0.000385708005957057	-60.0200699171719	52.0900144703729	0.252114780786849	0.615122686879716	0.484887970567452	4.05245502050362e-12	2.27472711056571e-11	-0.0583586799431739	0.013945330082812	-0.0200618841483842	0.0174214139785073	NPX
ENST00000218364	HTATSF1	4012.31483045061	205.612324564881	-62.3397318800331	71.6616515342529	0.386538165679944	0.576416562856057	-15.635601972451	90.1700411814341	0.862704945314468	0.966684449081184	0.672330417782152	5.47259630661598e-21	8.56893369062239e-20	-0.0155370987856982	0.0178781641024308	-0.00389690306797162	0.022474208750449	NPX
ENST00000218388	TIMP1	2664.47045760474	195.144811559359	-149.766765786769	111.012208670696	0.180511078644532	0.34205124774999	346.680756871049	139.683850611425	0.014824770761876	0.115565729748694	0.212417189360206	0.000224712396500031	0.000358455431414259	-0.0562088295478432	0.0418667792431362	0.130112441622904	0.0532836744035876	NPX
ENST00000218439	MAGED2	205.900981471175	17.2771940862282	-20.5426488583075	9.78853375049411	0.0385010373188589	0.117477524126775	-2.68374274319518	12.3166641082229	0.827978067416469	0.948233896289652	0.173410990109842	0.0013815070490212	0.00199030676553902	-0.0997695528769654	0.0482714946429949	-0.0130341425476444	0.0598283821933458	NPX
ENST00000218516	GLA	2128.73920908254	91.6826484286302	-206.451810696745	57.1716563350286	0.000489343571583891	0.00286771793176142	-110.119603014903	71.937647204185	0.129150841788095	0.428918076240602	0.0875929592984932	0.0407287608859588	0.0454664403886407	-0.0969831390411246	0.0271799227899601	-0.0517299641708405	0.0338669096780594	NPX
ENST00000239666	PDZD11	1357.97062123895	32.5315937156136	-101.317915200084	17.3008310544972	6.76258708945337e-08	6.70623219704126e-07	-90.9204902644093	21.7691975450969	6.5665476844239e-05	0.00156283834889289	0.434152994791505	2.48869672077253e-10	1.0073296250746e-09	-0.0746097990747737	0.0128649754020723	-0.066953208591109	0.016110723868786	NPX
ENST00000243286	TCEAL3	302.824745970862	16.7834853492355	5.68481786420269	9.46533744226043	0.549541103713574	0.697179012173938	28.0962631041357	11.9099943790277	0.0203693986724056	0.144283240596206	0.178453018888771	0.0011028132779814	0.00160826936372288	0.0187726331478528	0.0312741278460325	0.0927806048810793	0.0396643956093011	NPX
