7165G_XY	7168C_XX	7169C_XY	7176C_X	7178C_X	7179C_X	7181C_X	7184D_X	7188C_X	7194D_XXY	7196D_XXY	7199C_X	7200C_X	7201C_X	7204C_XXXY	7219C_XXY	7240D_XX	7241C_XY	7246D_XX	7247D_XX	7252C_XX	7253C_XX	7270D_X	7271C_XX	7272C_XX	7273C_XX	7274D_XX	7275D_XX	7276D_XY	7281C_X	7282C_X	7283C_XXY	7285C_X	7286C_X	7291C_X	7348C_XXY	7349C_XXY	7351C_XXY	7352C_XXY	7363C_X	7378C_XY	7379C_XXXXY	7380C_X	7381C_XYYYY	7383C_XX	7384C_XX	7385C_XYY	7386C_XY	7390C_XXY	7394C_XYY	7395C_XYY	7410C_XXY	7417C_XXX	7428C_XXY	7429C_X	7434C_XXY	7437C_XY	7438C_XX	7439C_XX	7441C_XXY	7448C_XY	7450C_XXX	7454C_XXY	7455C_XXY	7456C_XY	7458D_XXY	7459C_XYY	7463C_XXY	7464C_XXY	7480C_XY	7482C_XXY	7484C_XXY	7487C_XX	7488C_XXY	7490C_XXY	7491C_XXX	7492C_XXY	7493C_XXY	7494C_XX	7500C_XXY	7503C_XY	7504C_XXY	7507C_XY	7508C_XX	7509C_XX	7511C_XXY	7513C_XY	7516C_XXY	7517C_XY	7518C_X	7519C_XX	7538C_XXY	7539C_X	7554C_X	7555C_XXY	7607C_X	7608C_X	7613C_XXX	7623C_XXY
ENST00000019019	377.463729296663	360.53799390942	433.076945345034	360.126157462671	519.938988465363	336.688678633761	489.186090752985	521.136707850348	407.179323659794	348.164495268128	318.724234049415	353.24340604591	361.468420389421	278.606732914387	495.22406865309	415.054910694496	362.866728949465	275.404975460673	373.271513632863	355.0781097107	312.995922785949	358.427167513646	365.674414740777	442.485671402578	293.287796700676	416.105779051704	424.165744057629	488.611594121401	600.374082970134	381.890090119225	389.627291752273	293.464399027182	325.670822650961	330.052751203931	383.389525178403	310.378514620245	323.194279500264	277.975394030637	405.950865068877	918.150632066886	374.126930879171	351.564014838764	378.623309978901	508.47140709914	380.781427980359	495.417735333047	339.998460075912	492.264106847303	399.519545882548	332.15729583043	334.853026804633	497.207999673219	339.165501981013	394.260365321876	554.895740230478	513.187112151171	338.602016278768	488.579308265427	529.17391599095	553.150981444857	459.045712945722	355.762687439567	532.754807095872	437.565345992149	290.293194880943	266.915043480318	296.650589814603	426.256409173457	381.505641457373	337.247470351562	484.573525126873	389.23625364277	737.931111551917	502.699105232841	655.479716622812	412.891403602599	495.898178702214	707.249105151469	677.345242189566	538.759511099337	335.816520808522	521.997742756307	472.960862736956	521.180492460454	948.772857191945	608.600063614998	448.745861201415	492.648635151263	415.335314886189	441.011940800508	664.67020103688	615.2416747803	506.326819148847	862.631619512637	565.870132995799	475.257110726304	559.709071408752	615.61134997899	470.605232476234
ENST00000055335	165.205457020705	68.0885784255539	174.265296424188	156.602688791258	243.709573751805	467.739070044904	287.922122950732	248.876908123097	280.485840661396	252.061151894731	164.640450961377	267.410030129031	175.77045972084	310.491520169835	161.985630931552	211.561764200257	220.362171896957	309.881169543999	199.767665381277	278.177087958866	325.651673068249	238.63293233169	275.5271521522	266.7755808189	155.604021458002	242.220560129798	220.258480824308	216.196304687892	173.945456862898	72.8061153027965	173.282678388949	183.084139509059	158.769167058985	166.751389299943	128.012532508386	155.453605338904	216.337342785717	192.578167741002	189.233505091857	273.199160272761	418.142770497379	171.581737782264	181.386997537366	165.633032400422	240.009921809414	131.295665657469	212.26751928185	252.3622280077	122.254462162983	198.072524369526	191.704329878313	151.280701583196	146.625808127141	153.828025002129	172.469173895075	150.937650008391	127.820029861819	95.3055742066151	54.5913757708038	29.5773406981864	176.194300675148	177.88190586563	37.989375795538	21.3597206841548	166.399306454022	37.4583918839747	194.511146378284	159.505453551712	188.478300516556	177.938725832906	77.4963187971405	117.289814813548	41.5495336160682	56.3147611790534	26.6554259107134	133.48050310168	30.8679405368109	48.9381431567664	108.473040103988	70.8455533348526	182.492393386704	65.9169849239373	30.0901809752536	22.1521718510495	52.9037807294621	69.5596860227339	95.6258401446881	62.2872148393621	69.8302302286417	130.460286347741	27.2099641918357	63.4995958789573	78.8216852773584	121.448257961219	77.6290885472512	96.4282272894483	44.4949316365859	72.0360969444277	47.6422160177051
ENST00000156084	225.694935486706	270.977658370244	204.299376270936	181.728105891136	320.827399636285	197.106275747399	222.356221056001	217.75445796313	376.217390732457	327.478148651226	388.619332427869	211.597014698425	284.464215259199	278.245582947642	196.993732403904	219.370031600228	279.60237702786	272.151589492812	298.813269127558	314.624106653575	326.794098056974	318.457509893569	375.236302152856	288.381800854911	173.721456180575	319.361804842895	298.836004741133	270.882256405443	329.107686762255	182.110311959385	260.378512090483	229.231416919235	156.535675678362	219.261645947359	150.465567593541	291.079349932808	251.297385788487	236.753592652038	142.700647866243	229.257212451936	185.291078017479	311.440048030449	149.634131324409	170.279661147084	179.224483468933	197.248429128139	79.6380156917309	353.873045236339	153.980115604109	173.121640228814	169.960675421277	207.679940026466	137.109425824978	260.829620630655	160.937108836592	209.375056554343	209.887209705563	202.563623312012	267.374193532789	160.330127707829	251.328496808673	212.910512293588	188.661651066236	197.951443197204	132.999715309799	293.612731598202	177.220428300695	178.070396838707	319.07967866276	136.516655181759	148.303303993116	215.725869369716	193.096653365207	198.856329186695	222.91812909139	203.545423439647	174.011902764905	183.109044055156	281.591459865794	224.635610097625	164.702584126293	332.510314129481	125.249170550755	200.245530379084	148.162405544847	154.182803577939	226.725987096898	289.566496279668	247.011761760634	192.539493614901	158.18030424195	221.685757644746	245.095208543346	120.004102606122	252.9883224045	166.640167959505	325.164974342544	161.863096560965	224.659502228044
ENST00000156109	1167.9334913344	1220.40072397279	1223.26559208272	1262.14389128736	1142.11956005165	1090.01700994257	1220.76420586785	1333.58192462629	1340.02212641419	1021.83176007474	1193.87710602571	1269.81894176998	1261.80779557336	994.603955710644	1131.00476473349	1174.11238670898	1094.62438108938	977.268931158151	1031.25056266949	1088.15722080816	1175.42333170914	1203.15987123753	1255.13752956858	1161.64443058263	1289.00757786734	1191.14739580925	1192.94681194595	1174.14639197859	1369.58351572247	1315.85895678552	1249.65290835502	1290.74633947066	1402.05511926046	1231.30728034518	1211.43293354933	1176.77902703479	1238.59161009703	1122.6195948062	1255.71710707186	1836.6689877231	1316.90712919266	1232.65069434709	1475.63404983405	1104.24625851652	1338.62063162369	1347.68418338441	1084.03271507977	1672.63082900547	1141.48357667278	1209.7752698648	1197.68298403067	1171.77505423304	1100.54630826902	1160.03533608485	1224.25706881136	1400.72839147011	1259.91799153734	1438.71451668109	1529.32145441797	1302.29505445406	1655.84166650286	1416.75816795342	1285.14257838769	1114.81442784849	1252.68838989905	1011.13036420071	1379.76287710548	1122.31539328752	1071.81531209936	1204.30451414981	1637.11811136964	1550.32616527673	1532.3033032288	1457.33743651918	1687.39269364218	1322.82520946904	1352.57259404363	1720.82789210775	1579.45140544708	1554.22981156536	1453.62925440557	1489.17676722671	1436.23987387271	1110.8213417202	1518.21844613121	1513.23212304288	1186.27446498424	1315.57390864136	1521.18307700295	1556.57646205412	1396.76199309259	1398.01368474639	1495.68878601934	1541.38558626399	1383.76918933776	1588.13884331896	1466.52242014879	1288.34782137652	1311.7151751364
ENST00000168216	1840.76721607681	1158.08307400488	1947.07857123977	2280.87035549407	1943.65043317775	1652.59107198825	2456.60340864194	2141.16200869912	2066.79979017546	1730.13481571603	2100.51259440445	2097.98196187278	2081.49850296757	1781.36916386964	2035.72344442016	2182.64177052564	2182.33396371843	1422.34723884253	1938.51495670095	1870.73152141676	1740.22017204402	1777.71149749251	1913.71317599031	1769.7575582321	1729.82703850603	2092.70404033317	1912.45282347119	2242.10237221376	2407.02547260029	1370.63732099413	1699.98890234526	1945.54034341074	2032.86030615827	1862.43522896626	2449.38708916098	1762.32411289211	1615.31912985833	1757.60288248633	1892.8789775885	3663.81619226882	1284.7361499506	1257.11447840353	1722.56360088837	1891.63994656947	1324.68892837802	1492.90694520146	1496.98094502104	2064.38078462973	1802.44357429206	1683.01256513372	1959.14446961871	1933.97489555224	1803.11758893558	1970.06019654411	2031.99832013739	2167.66326322017	1732.8054864295	2373.38183682757	2694.80391770224	2341.74108610876	2987.97195564334	2441.33458011679	2527.24367637991	2216.28759629231	2007.64958011428	1556.94837976775	1674.89189645409	1545.80903372886	1693.22378927113	2027.73224069651	2589.19101243513	2049.97066821114	2379.3723262254	1884.73955795117	2490.45188649246	2300.53748788549	2130.50553156331	2530.98670749398	2434.35527755384	2335.06751582061	1982.00166380532	2096.79204599167	1851.83685162917	2033.552185949	2756.72792561916	2669.82627674457	2064.54462764238	1874.83303155941	2170.29810138423	2947.55055766469	2716.61045578282	2327.43494509219	2179.29172398169	2667.43890932603	2166.85150953502	2547.5444002825	2236.18223007021	2474.44036305856	1884.04522441936
ENST00000173898	347.727141055045	302.44140862934	315.30049406503	233.656874453807	664.16439195737	1383.46911174693	1046.05915557268	918.052805204373	804.556623631301	510.149351798091	502.107188739859	1051.46863045353	719.317108089644	1114.46307959018	345.123325429903	243.503406052147	1354.67563159929	923.362579593219	605.072555474019	739.71619052196	672.863488182896	275.711594494505	731.994737259631	487.65590153666	367.657293313654	758.456295241615	459.913142979798	712.445092805945	156.861131963563	795.840830698603	919.56846539106	419.465362327159	568.411202990604	541.492505122985	290.857709546167	405.980415512438	274.848000917748	339.861649138271	184.350115783228	626.149650827241	291.011950401639	105.430021578811	320.369275870489	171.78699632287	473.867121534221	187.20639219331	527.290367412957	176.390402634575	353.11568199674	391.98872970322	505.399081287726	423.870418673704	448.110850641611	397.104058226122	475.923831501975	344.753080948102	409.943310624312	522.959447355106	401.913495669187	262.485738851659	345.75449835984	501.319244562955	318.573253354468	303.353095829763	513.66171294249	478.655018323219	576.872056674381	410.914335521875	508.135583540684	377.854170764926	268.925147049157	192.642863335353	297.680844826301	400.842253112376	342.148090707211	330.819752274623	328.093592496946	440.07843777033	196.308365084364	324.086397984289	473.941103845081	374.470953861232	478.41123095934	540.329483075806	319.255601132234	326.924513743672	358.338917438707	186.972028155163	317.80543995061	463.213823240892	401.125639019227	330.31972463684	662.248837827721	544.195688210463	147.828079557622	519.034334247417	462.67096716652	278.235084901021	622.366250108104
ENST00000200639	4292.93561142442	7643.34089096172	5234.24160557962	5888.0764971058	5018.75770309685	9165.34326785591	4363.55142924689	4643.38870082434	5579.22147425313	5809.7429748141	4971.54050515789	3895.53900341383	4446.41851243038	6939.35694547947	3001.6748030545	4759.58040632397	4866.54588176945	7877.2040951312	4388.31681053241	4996.36076791408	5963.7141827312	5175.41455210898	5347.42694217143	6203.60808693829	4187.78672623503	5782.99352913251	4092.59114868327	4625.47264391767	2518.92592915969	7284.78491788096	5224.91522058549	5127.27349845335	5512.15842620983	5354.49330447695	2764.61249715514	5469.19235753015	5589.47372246401	6717.30751856256	3519.57741094475	5672.89410414648	7432.86114532673	6967.33733638662	6075.74798293768	5110.35881196934	7293.52781994057	6240.97607002612	6931.7886353813	7015.0486313289	3223.24245067402	5506.01427427537	4737.03734452735	5825.49759686115	3583.43010755754	5450.07486393201	4320.6832040363	3818.16949804267	4631.6570894981	3376.4410989427	3651.73742911118	4083.25898406457	3973.91901753139	4502.49985867871	4225.88168900649	6234.22272588394	4041.91055501338	9586.63671430229	6412.32762232929	6107.12351386069	7219.97961441783	4413.45029396525	3884.52089591905	2966.22562509936	5224.93763990573	4843.24810574353	4681.09702440131	3461.69599012526	3929.07853069283	4624.44035461686	3400.95543588609	6003.4345239806	6083.58811522655	7682.55070795885	6022.88608989048	7055.3543977895	4658.0083183583	3338.40136080093	3761.49824452286	3755.26925623699	4655.30311089545	4383.18326972897	4842.58820876328	4055.93572476674	4067.05601912743	3954.32626047372	3109.95352873171	3509.97674027987	3808.71434482889	4397.62300478688	5302.75348727132
ENST00000204961	989.638327134125	1027.48148289063	1059.83334698665	551.200531104631	1142.11956005165	2421.69473387474	1482.46096377246	1404.17054441514	1393.62301147076	1315.55667896262	1313.76434679817	1005.89050848587	1079.72413899695	1481.24498322102	1496.81752880291	1266.36407423611	1015.41668566061	1951.9961815721	1049.64229244958	1897.64003140935	1690.86822976233	1315.59489850602	904.170604754244	915.895034751597	1011.10628311357	1062.15765347357	1588.07898383523	1068.56603459712	1057.85600676201	954.662070367957	1382.0174598321	1730.54842333391	1118.07436806013	939.637425746415	778.632147323513	1419.72695519681	1515.49227795005	1795.3814354755	856.760810476319	1674.63901785403	954.12547543427	2986.72354081623	1077.98453266959	1528.47883489143	2443.18520122844	894.561885193865	2201.40562789926	860.961251865291	1140.30516134729	904.923907732758	1364.18115615782	1143.31679818296	1100.51731141792	1502.24576022988	1566.66533691212	1409.2369921776	979.760347690473	1439.8851550185	874.287064769667	777.651038515718	948.71439465233	1348.74510609455	732.801595294404	881.212929395727	1098.43312131879	1286.06400704394	1505.11145611573	1229.40655676915	1819.93159121887	856.061261522302	1425.53107732127	945.151173110379	1324.79389037775	1336.44620956824	1189.66219747833	989.928799139081	965.79762192666	1077.40430525606	895.369872913912	1432.6246474712	1546.77454253219	1600.18812623816	1255.53649104886	952.921290163552	904.364723154173	1512.14892180949	1156.92128265724	1233.021206764	1253.57111683909	1085.86612375612	1370.8782773661	1386.76728752999	1263.39980379146	1433.05908285869	1360.88819349981	993.535612017916	1234.12781299422	1076.15130634311	1191.05623690557
ENST00000217901	1851.94417825566	2203.80383929217	2190.73609253049	1963.11598423547	2041.98096436754	1645.92874906	2077.82739332851	2062.10518624222	2362.40208505344	2093.51797074387	2008.90196851272	2288.90211469867	2209.68962150655	1580.6030110377	2006.78381279812	2242.77726783598	2295.10569305524	1531.95966878633	2054.87818776072	1972.64405619226	2042.94064281435	1982.86717261458	2014.14851718332	2160.44985033684	1975.65568407348	2155.98858710845	2202.37871293803	2125.81516780406	2145.49418210883	2309.22954871122	1867.49004776012	2241.05788845082	2341.20386091452	2049.57243245967	1892.5275446542	2098.60943636058	2176.50075928398	1846.87860957956	2062.81766360893	2456.3654596185	2283.27961396161	1765.39417609773	1961.16722915922	1809.40705961901	2033.00532772529	2170.97438334028	2065.37714589568	2647.47358977521	1789.53452893999	2006.47762796963	2081.71747252377	2009.38825687314	1882.3812637278	2004.58292994502	2505.66840048559	2945.39197699033	1923.14112753502	2973.40387583499	3675.24137352962	2966.30062017327	2983.404634636	2378.86447149912	3141.43427004605	2806.11923066248	2042.94370080117	2218.66601425239	1915.87549756735	2394.41795138454	2382.31066590142	1847.19183954736	3156.08028929538	2608.51605679823	3222.14989765243	2502.25436953033	3272.15351742592	2124.81755879467	2836.26515106865	3134.35248391369	2937.33982947315	2850.18862266518	2280.36718682642	3296.25575876392	2875.69203604732	2734.78255907566	3117.12485049183	2998.63241458938	2732.83565737635	2582.32555946541	2801.67305188055	3258.53517132432	3256.06066562032	3083.38709989014	2854.2693956562	3073.14381524479	2739.3290779144	2756.94731729363	3010.20883207505	3013.55228387419	3244.47713290345
ENST00000217909	2664.37643709097	2717.2785671304	2617.43802711718	2710.5166146189	2340.65429998489	2786.92133959849	2697.37719739663	2067.93178213545	2488.23721072836	3145.34555973639	2657.51899933886	2756.43623945191	2343.01859315406	2757.96847294339	2553.56884800458	2650.16851972427	2361.94750794968	2979.49672983634	2521.13264121545	2840.29208497118	2870.8354545929	2448.0063136404	2333.04493615598	2902.62842113624	2777.9290661998	2774.81656743249	2759.63328965979	2681.27698800644	2773.52934187526	2553.96708515964	2367.73177302958	2437.52805691254	2491.95326061214	2508.80442605956	2019.93514748157	2728.90237839749	2948.20435501168	3108.65713216966	2842.87229832345	2385.00211746291	3770.31538869325	2834.22538908372	2926.85793128771	3013.84505143982	2888.21541234785	3205.54246599733	2647.81318514208	3599.11378284527	2627.73345713701	3017.00745618536	2683.94714271158	2475.62293707924	2623.96674761772	3230.17131396351	2429.32043436869	3117.90066637629	2918.57957096559	2774.41285966979	2821.68660156192	2969.62584166999	2560.68802579324	2494.20904909708	3519.34724280473	3617.60364190203	2793.33849752293	3386.08687824083	2405.76420900424	3092.66963189658	2916.98795868077	2851.41365668663	2871.70211321305	2457.90082950059	3190.05014551838	2595.12645544457	3135.8941672048	2748.38639246096	2880.53233847861	3105.79244562429	2785.92094926652	2902.30991638062	2462.34500177132	3641.71409439987	2712.4864796389	2642.56848171392	3148.86066972823	2395.28078012535	2713.32653248724	2438.83227337457	2938.79839220398	3074.67789009025	3040.8572697939	3282.21777223254	2508.93122433462	2974.2613890132	2895.36330689085	2410.03339813505	2794.74816509062	3116.29016002806	2979.80023648806
