160A_XXXX	2237_X	2245_XYYYY	2547_X	2690_XX	2703_XX	3107_XYY	3429_XXY	3430_XXY	3442_XXY	4032_X	525_XYYYY	5297_XY	5566_XY	5755_XY	6029_XX	6312_X	6382B_XXY	706_XXXXY	7086A_XXY	7089B_XXY	711_XXXXY	7178A_X	7179A_X	7181A_X	7184B_X	7194A_XXY	7196B_XXY	7199A_X	7204A_XXXY	7205B_XX	7208A_X	7222A_XXXY	7224A_XXXY	7225A_XX	7229B_XY	7240A_XX	7241A_XY	7242B_XXXXY	7243A_XXXXY	7245B_XY	7246B_XX	7247B_XX	7249B_XX	7251A_XXXXY	7252A_XX	7253A_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7276B_XY	7279A_XXXXY	7281A_X	7282A_X	7283A_XXY	7285A_X	7286A_X	7294A_XXY	7295A_XY	7304B_XXYY	7307A_XXY	7313A_XXXY	7321A_XXXXY	7324A_XXXXY	7326B_XXXXY	7329A_XXXXY	7332A_XXXXY	7346A_XXXXY	7356A_XY	7357A_XY	7359A_XY	7360A_XX	7361A_XX	7362A_XX	7365A_XY	7366A_XY	7368A_XX	7371A_XY	7373A_X	7374A_XY	7375A_XY	7376A_X	7377A_XX	7382A_XX	7387A_X	7388A_XY	7389A_XX	7395B_XYY	7417B_XXX	7425A_XXX	7450A_XXX	7459B_XYY	7467A_XXX	7468A_XXX	7469A_XXX	7470A_XXX	7471A_XYY	7472A_XYY	7473A_XYY	7474A_XYY	7475A_XYY	7476A_XYY	7477A_XYY	7478A_XXYY	7479A_XXYY
ENST00000014935	104.793886952714	201.691471150479	169.708960148701	132.897586692121	164.577826796103	136.771978798877	171.134973565703	135.770854028577	348.945062061534	96.8321582864015	295.157318667379	182.108141234243	123.066361116319	87.3682497954971	76.6907044593249	261.088053744368	121.002903330303	82.8540656525814	150.289602092513	128.850140008559	116.706231363171	240.017066400054	150.167032349759	108.725115544915	145.935993805002	118.016798156653	137.709100566055	101.289412530762	94.8171865617226	142.744771699817	68.0514730967346	50.4563412753886	110.97730024909	107.103885678919	113.61743198545	175.87185267926	113.068931845879	200.743914515972	145.56572977512	215.400414561302	136.742071297984	128.499473215366	150.174549270871	82.6018840262435	106.954352710686	166.477271567385	66.8164376579547	75.0714053618738	102.337225728113	152.536397010753	139.426766878022	87.2618571696067	167.85970168057	70.8508822572197	234.339711772164	91.3857514754007	60.5423828914579	76.776571890401	117.82502093115	62.0173941509799	86.4427252888251	99.7638201855577	106.109293355593	73.2996979475808	95.3762416086467	103.957695782272	70.9919050466139	127.355901582546	98.3225115304925	144.274895317292	58.156330540245	70.0493650303484	46.1526072688366	123.780802844067	73.8755595911469	66.3268810977386	87.3776763648745	90.2117503595052	77.1759076349722	102.051338525015	53.8220202568521	73.9094263322775	55.2178329103366	106.681449488675	87.6087439396563	78.2354335830497	60.2297425730433	130.742284380467	115.527625327359	160.446755770459	55.384875921516	181.602177302846	67.9841519122393	152.445415294861	72.9322501261775	88.8894144109778	85.2571399128967	121.739734634439	94.8533492275626	32.5555461310929	103.321145735583	142.79616294729	49.1825359923178	101.112507493172	67.8812432752997	136.33316636128
ENST00000019019	372.976429996828	475.250372970525	467.193573329588	612.458299215807	515.303780342402	586.075793009033	322.394535541659	295.5118556452	383.571388070919	501.147817180468	395.983462840025	435.911282066439	417.798241667591	512.409090896641	412.656705052566	557.717466196839	307.63232939317	382.018598381871	536.854426841028	500.756299145363	391.512949276014	498.011527934725	452.529240707468	412.506684303913	556.176396712801	441.193447689674	521.293394080274	468.418867675504	587.990574896615	387.915739866832	424.086915623056	420.57646685848	459.178788587874	433.963387089408	390.506605337108	398.01456564691	473.305879906867	312.524180370228	630.422655442237	460.528320995933	589.011567442866	600.756955899617	409.474654963368	424.712759179904	330.681031552892	542.895234784512	593.074336875312	351.721085395943	274.615222112868	701.634986141511	367.154917320618	425.4416987131	425.147894688997	402.63487329055	432.692954343736	299.505632431373	295.916899029312	387.485226731543	423.434108775276	279.37374326334	377.491094948366	345.831869533559	341.443475814836	286.451336241905	426.769155052407	319.930550471596	355.158061132812	424.609282182965	345.126610942193	419.582854901141	424.275441015178	309.392684241136	454.586907378078	423.183651976651	479.905429673563	361.613457741063	405.675958295283	359.62856826296	291.213494756279	346.640211494282	331.01134210056	375.708282794587	284.404755750743	571.571835687193	334.916587469973	337.2263674483	284.724418042527	447.176214157787	314.255430042895	262.571455272126	269.186862856418	390.853449779891	346.880122892127	380.559684986487	426.120324778291	300.800930169647	376.599820175643	544.58999679229	355.437284119306	400.067806182959	390.075729295488	425.662475628435	506.909147756183	354.476707072911	511.771268627981	319.751424856547
ENST00000055335	219.302531631604	233.695042895675	234.086230439273	157.790276541485	192.543785964699	200.927397672571	286.650513607442	202.901159905502	321.682297975231	209.457911032856	213.689924335241	325.261855521573	224.491376730823	177.056044586861	204.080528202581	269.191749593406	150.851767996219	148.954734605236	269.48278040858	274.654276146869	181.258731307316	205.692821651428	316.016905403262	410.408322617528	277.96368225716	196.321113340837	246.75342688029	254.941037264028	355.158037784893	269.643242850879	195.924410649288	208.506557539494	163.855004498105	192.543838481343	172.584158244477	172.804443558313	238.161250793401	170.93888020497	290.006370099669	205.732660311683	245.610172124506	322.633668528086	302.217102192755	277.925851655069	212.840084553036	217.845335563455	254.120436403877	272.722410492883	180.432519990635	249.305048367494	185.529029676802	169.537075948476	186.026918833152	269.159019347878	213.099605879504	118.258230364467	195.976907082114	170.989923336199	246.074639618866	217.147455460853	223.123762932145	137.058347844363	166.657059960509	170.860509028322	211.13877091337	233.508052847875	189.981133419077	172.082905227087	180.807295219258	203.767804969256	216.933842998082	221.205397916324	231.39754476937	226.205658672083	189.094035776183	185.51497086673	214.882422666307	147.929215215143	160.287616051184	177.21068098036	167.585109219495	106.259907613216	221.192405642462	183.177378179192	211.568179426759	280.878539245523	137.102042638151	158.167661726852	212.831819854754	179.505120892447	214.2801140396	167.473218081872	182.502492501727	119.613145409257	208.813437580323	183.560290784837	182.508045912559	197.090887792799	121.390648351172	212.104869137068	222.103226239191	143.615057837174	154.273416801003	235.259880641078	156.954699864788	162.30533343242
ENST00000156084	269.182200963157	153.092129025782	230.888373381742	309.56482209764	85.0661898497167	157.28852166209	234.231817136689	241.473605720177	219.755775599347	275.334830772002	313.9349110216	225.835822474049	215.524114038233	163.53768661436	525.873336871823	451.74973144857	130.283057112789	315.089949122253	150.242264035445	311.828325881996	402.546819201721	380.132674178564	209.949488686427	223.7151396075	390.728271149587	388.961128204471	498.810903979386	208.374439791937	376.955612514691	341.084882659386	197.95914840856	233.234855535824	354.121249406496	295.466398427916	284.150835360697	253.417523000924	380.711081487449	241.720400762558	347.019250656945	349.021132972409	509.112065660905	447.001854842314	427.100797039205	365.939298470378	202.6848066648	291.108096858274	289.456494739539	136.914373390703	251.320928546398	148.992848197858	258.523039511165	226.286762342983	242.167015714265	309.680904743046	282.488059926318	221.219882775187	223.724206848266	268.129514021977	336.181111645796	245.967102704891	192.525625141918	254.179167221077	167.202463961238	171.481238099867	277.044193842563	250.453145314662	199.334401385802	361.836590528887	160.479697059419	195.675639610966	152.095451267333	162.625184167377	249.260524428128	207.711541585777	125.263147058501	318.603507519379	244.880666400326	163.698439826829	178.513168516755	160.19594652195	125.855329506578	162.238610734657	142.409154659383	185.719016052329	159.929957121559	224.232517115088	257.632027661942	230.654644697615	131.638241000365	214.558321744702	200.365676969348	187.140821975311	177.294619976671	269.388392257335	144.401873581849	105.017506764144	251.835020663645	127.356673390548	190.167059469467	131.69274327109	200.351346643092	204.165093285065	158.424129412306	236.816915738757	323.583889356697	223.813726503821
ENST00000156109	1511.05912842376	1399.10930619443	1630.12558638995	1708.4787496854	1707.88710906423	1497.63077223549	1732.14619294629	1419.83050918469	1856.98816041962	1364.38104074505	1133.10886082606	1669.81409665363	1569.33967389576	1699.84032490562	1590.71567867412	1658.73327902246	1363.47094452122	1384.99398214176	1845.81947132043	1495.25840400132	1424.14597079297	1831.08858809681	1498.34868318191	1414.30884397365	1648.50929722873	1562.31054554761	1367.38723490337	1713.19725739714	2224.73721484055	1695.91306752721	1584.16417015836	1504.11571222836	1246.29303848998	1417.86892592505	1378.47904184497	1559.09123233335	1480.30847306793	1255.45550117695	1353.60977493468	1175.52599588422	1351.42419330795	1406.48007100357	1432.30753082547	1389.21046365671	1330.73820271152	1642.37697528944	1428.25730482984	1574.76881243415	1423.92526395643	2207.49750205428	1339.29796329689	1669.65039493108	1170.07149681273	1495.14851420952	1649.5247223318	1210.58031941544	1356.30942947809	1326.58356023999	1568.32105617542	1584.49332734671	1637.76105099735	1435.79151063454	1116.0433757854	1157.23971578072	1394.48810104502	1149.87279993428	1092.52769960586	1154.74979638563	1235.64704941338	1875.51579490132	1456.61578637097	1252.85401899405	1834.48990742534	1388.08387857402	1364.58625809648	1552.46738777948	1827.17781851296	1226.37044343447	1837.8648795013	1392.25173812451	2040.05167356636	1677.34983654564	1347.98401767319	1658.06199944061	1724.26765552166	1292.28472716096	1745.9095769869	1692.63776880645	1335.30787029944	1401.70415413984	1613.78062997635	1563.41290008676	1723.27098569013	1301.5728432688	1612.57473950538	1322.34663665697	1493.56332611316	1710.6161236282	1488.28229396239	1658.14527733123	1926.57631669376	1367.62692013973	1790.86695452162	1627.56625642505	1762.17335887372	1307.86822917733
ENST00000168216	3463.28013938118	2862.44747084357	3822.65689219087	4333.14775062548	3126.62908684941	3051.0448506712	3526.74981582072	2015.95698351035	4829.5761766885	3214.15506791137	3485.29799034805	4585.17979438857	4087.49808768332	3720.99804396662	2515.64464335977	3604.34757975546	2423.4594975262	5401.9611230294	3134.68532658342	3932.24560150324	2766.72994685392	6087.83919866586	3392.24122042137	2521.69622389764	4552.69519964953	3923.9287197256	2998.41037502466	4468.5172668902	6431.56224562083	3599.13003731274	2609.79612199607	4258.95811834898	2440.71011144894	3025.70746435999	3175.1704254268	3368.53925515403	4478.98719038029	2992.03663884724	3856.08500259755	2405.17592736915	2947.96967554838	2908.36826744729	4285.10308903054	3095.421378587	2422.14546859566	4448.40979395898	3663.73841071723	2437.05971899934	2914.69120966033	3796.75127260484	3370.13150291793	3863.12791635242	2811.04532081336	3306.0403347606	5589.53778039446	2759.7895144558	2974.09616623398	3026.75775549387	3902.4858183233	3175.25965359066	3429.67869564581	3188.32229270205	1996.81251747103	1708.92454313562	3069.9703680591	2146.72978613936	2329.27256554859	2345.06148369924	3727.27128977373	5074.88654740107	2981.56382338223	2521.31921404604	4998.34297455637	3347.09663231086	2161.88533183858	2195.1687446926	3179.500670305	2193.0417422337	2331.57168269077	2636.04177450889	3506.04233285926	3070.59318943523	2299.73792134528	4463.63886765232	2928.4108231511	3178.57026407853	2473.74005127971	3745.42170862269	2333.05507346485	4271.66423692312	4887.17545814196	3196.29844575304	3940.22082690859	3347.44826301522	2877.64398265905	2853.60833156444	3298.93448496567	3802.92780241013	3282.60724023213	3428.41321399626	3770.18333080746	3424.37176439919	4381.33057252504	5078.16217931555	3804.76741179717	3040.90689006112
ENST00000171757	6740.04899813748	3043.56018683281	2449.87251796226	1702.28708071962	3586.68230219941	3878.58282920926	1909.84549437952	3714.62305789726	1726.213842294	3709.74962603205	1728.80141564797	1443.63826659622	2486.64960218941	2683.86537580077	1988.03302776908	3194.52843426401	1595.89297411861	3958.18537115793	2461.30231727451	4567.37245295189	4180.01054648864	3164.14427796154	3108.32638982053	2309.33462434609	4161.85659025137	3710.22660095534	3426.038322866	3284.38350892647	2742.83880851173	4562.64274015697	5786.4487877079	2334.86514693619	3947.50307878226	3879.48110390358	4086.76520378417	3907.06898341664	4648.437538696	3318.95443264723	3910.35203436222	6513.24268451401	3561.55684976089	3994.53314137211	3029.38052995979	3187.27828369483	3053.0629582977	3867.07906437368	3901.71500584504	3223.1225517794	3143.67416871793	2980.54781380849	2793.0462591365	3863.21286049939	12018.7169371729	3708.5680395431	2573.96718020982	3717.64113018817	3833.73048017709	4229.55808730626	2907.52652776394	3648.28684764104	3360.53880402609	3403.59210228329	4828.58437026083	5314.58066341484	7425.74382206555	5939.28049149362	6798.46171042762	6689.12231946293	3303.08442848434	2164.61605412136	2445.80412934835	2154.18506558639	2736.53567376034	5163.99101698348	2994.64527209755	2914.33833716955	2614.06642339839	3017.69412678172	2196.19872169863	2067.2175030537	3060.83096942756	2683.46356340972	1764.70908435039	2872.80376840017	3069.82511279228	2511.71737000192	2220.32801502039	3975.02982111685	2548.2577385093	5088.40812229672	5098.92348453595	5931.66259175036	2207.41771823052	4909.2876454751	3562.75553596012	3307.66109207111	4284.47204627764	2496.2770539373	2692.34357919432	2224.48847368449	2570.08894205149	3558.72280370359	2379.86451286896	2693.7859680039	3059.59670591412	3148.00260505632
ENST00000173898	184.458557922309	152.341679148088	227.01875208845	133.86275885053	356.581147409534	320.143884342715	174.984343402979	120.831219243761	226.102501969376	33.8153713118882	427.914058623756	43.404862573068	92.3581873430719	199.734555754009	163.912447380307	53.9406100012172	29.2143119719478	0	207.511836182529	254.626991829496	371.145019363356	213.596804032461	278.189532670229	504.933479034055	658.435494493928	295.803948671305	317.079887688032	254.967695392699	686.758719313657	271.974291551048	283.369520846851	118.52464179738	0	257.038655576204	153.399353975987	285.162712234971	336.530944501195	38.2482703788072	212.414006188899	364.607480239442	109.061508592162	191.598002891796	272.286745386228	128.717678571309	14.4958517634002	188.714941043621	236.604230511013	149.325298971013	231.416220799651	323.252575415276	228.802350408908	224.153966892691	270.41634569688	315.801618999338	306.928507234575	110.110148746879	583.69233808775	459.872663075838	162.228850858059	103.429223215549	44.2617448995606	166.44826917768	277.428627707208	270.261672691904	231.369150853744	206.903642327348	173.626092504668	184.606813967363	220.718248966404	138.369200667369	117.045293481532	148.229124115824	180.258112512888	462.520487145984	202.772547289012	344.523691589136	75.9282083015411	179.123140310498	237.297959347796	324.743735186329	85.6073419388577	93.6366168159805	356.876491227027	363.194085167978	55.7635096385244	275.521919579923	304.173846593853	200.86080630435	94.4805213633518	190.128672145822	152.310399358907	103.94161313566	196.780374250135	241.867910280372	330.638986639363	159.60886577584	83.8908584003604	203.842430724225	129.5104034459	117.379093933027	104.053341361439	240.436418330546	187.065121571131	293.418470222123	362.519227658219	72.8278360498261
ENST00000200639	1162.40967266819	1207.7775118465	1338.56640664566	803.225956326256	1194.46534909412	1509.59964039173	1555.76730948394	1358.03860786954	1130.54495191384	1350.85176137061	949.817439116696	1294.00934800561	1064.72079159914	1345.48493848	1522.27717215733	1489.64091308527	1307.03108664927	1115.89746893714	1129.38233974208	1878.56820757464	1553.38936674286	1114.40376203247	1040.67363855259	999.205248854855	1766.03012018034	1304.10007814153	1215.66957033558	1433.65277829945	1110.41391685712	2251.79043130088	1379.27597813747	1052.14155777091	915.799883696861	1292.83293603348	1105.88027361797	1048.43380186817	1632.38184555112	1434.46865736777	1107.16860383781	1127.17348711228	1370.62195330436	1203.00004517394	882.295293118284	1108.66736692422	1516.43848951451	1073.58221225418	1306.08200312838	1081.0634340096	920.866136689345	1519.04661119575	1183.16047636002	685.47617287725	1911.3670586011	1201.62296440002	1533.34570872433	1689.17508794628	1129.38134263885	1284.26564394419	975.734701097915	1022.22951637341	946.745534049774	1188.1911526741	895.324916925779	1409.26642649266	1995.46016634577	1435.80099634776	1194.53399921393	1965.56706783708	1453.32981014385	1000.05839080413	1556.15321321765	1041.54715310307	1182.28336471926	1375.79642787977	1765.50253065297	1871.22442909608	1424.65249901563	1112.18847453294	2287.05634533599	1637.28976951547	2494.57622207131	1595.14620703338	1065.30999471275	1043.91736061291	1999.32914378724	1287.84527682991	1813.4760441525	1843.22433420331	1147.04350730784	1260.41817593783	1410.58988955501	1608.10292485743	1129.62130812098	1332.94331074624	1449.5509281019	1364.87773441047	1644.63401759055	1154.99166657913	1314.09759966032	1245.06056715422	871.756620826779	1429.90255271321	1084.33528267077	1330.77507268704	1177.40503952793	1038.27959752797
ENST00000217901	2737.76472365778	3606.39818446972	3600.26785595247	3389.17210048452	3245.22472451231	3190.76961101717	3937.71568732533	3013.50777506844	3629.56893485531	2963.66194642707	3132.35590505527	4122.54905819595	3683.90802578543	3493.44376337354	3376.0444784982	3098.02632360188	3337.6403858786	3019.86265125987	4228.65424024351	3068.84691971144	2941.1946604744	3778.97252066625	3003.21224799308	3220.19678959102	3138.71196124737	3300.06915278166	2911.19437014091	2968.04821213594	5184.0356479493	2931.95530351247	3119.03187963333	2797.20805649731	2329.40196958291	2613.50204417389	2577.20178954949	2606.73119320649	3475.96753233825	2361.32312519126	2971.86349925529	2336.94011971067	3175.83680586076	3338.77214133591	2985.74327180383	2952.44130296336	2365.24923839849	3121.58229003845	2751.76498991441	2965.92490158469	2768.28255682469	4131.18888501698	2299.44435868931	2481.38443104174	2897.21362650006	2656.79799106947	3065.21484556554	2864.4903045514	2375.08075110275	3097.92975614766	2898.37294821223	3015.49769251434	2404.28934926641	2312.7172700138	2157.58926398629	2410.72891771738	2544.38586292818	2107.9988207995	2626.9460299766	2206.92023817818	2417.92184914037	3316.90316285462	2627.7467132894	2338.71042163022	3322.95464524387	2602.33630076743	2653.65704403314	2912.98146659098	3822.84952963748	2356.0448762526	4001.58740439948	2797.90047657954	3903.63819986278	2992.12750447276	2432.01548479282	2990.44127651157	3761.60152522184	2888.19613995934	3258.1709503968	3695.64331701804	2660.72477574297	2646.61735104418	2587.70722488311	2868.37874512372	2937.25030279037	2854.49186379234	3073.75351699791	2888.23728919396	3202.21544990144	2888.3548416076	3182.62321734391	3358.29384867518	3765.41188755154	2891.26187475503	3677.78513494138	3328.7650003796	3246.6340758246	2763.42168545411
