Gene	gene_id	chr	start	stop	type	gene_name.84	gene_id.84	gene_type.84	gnomAD_transcript	exp_lof	oe_lof	LOEUF	homozygous_lof	Huang_pHI	RVIS	Gene_Avg_PCT
A1BG	ENSG00000121410	chr19	58345178	58353492	protein_coding	A1BG	ENSG00000121410	protein_coding	ENST00000263100	19.119	0.78457	1.208	FALSE	0.00221541	-0.603321593	7.14285714285714e-05
A1CF	ENSG00000148584	chr10	50799409	50885675	protein_coding	A1CF	ENSG00000148584	protein_coding	ENST00000373995	33.037	0.60537	0.88	FALSE	0.301078858	-0.860754331	0.113111111111111
A2M	ENSG00000175899	chr12	9067664	9116229	protein_coding	A2M	ENSG00000175899	protein_coding	ENST00000318602	78.962	0.40526	0.544	TRUE	0.10920489	-0.287657572	0.001
A2ML1	ENSG00000166535	chr12	8822621	8887001	protein_coding	A2ML1	ENSG00000166535	protein_coding	ENST00000299698	81.637	0.77171	0.952	TRUE	0.011663794	2.247076871	0.0028
A3GALT2	ENSG00000184389	chr1	33306766	33321098	protein_coding	A3GALT2	ENSG00000184389	protein_coding	ENST00000442999	11.938	1.1727	1.764	TRUE	0.054156038	NA	NA
A4GALT	ENSG00000128274	chr22	42692121	42721298	protein_coding	A4GALT	ENSG00000128274	protein_coding	ENST00000401850	8.4558	0.94609	1.654	FALSE	0.02220674	-0.397132499	2e-04
A4GNT	ENSG00000118017	chr3	138123713	138132390	protein_coding	A4GNT	ENSG00000118017	protein_coding	ENST00000236709	10.492	0.28592	0.739	TRUE	0.020635171	0.77157798	0.101666666666667
AAAS	ENSG00000094914	chr12	53307456	53324864	protein_coding	AAAS	ENSG00000094914	protein_coding	ENST00000209873	35.344	0.70734	0.988	FALSE	0.160423573	-0.238434388	NA
AACS	ENSG00000081760	chr12	125065434	125143333	protein_coding	AACS	ENSG00000081760	protein_coding	ENST00000316519	36.34	0.79801	1.088	FALSE	0.059537921	0.991830136	0.0934
AADAC	ENSG00000114771	chr3	151814073	151828488	protein_coding	AADAC	ENSG00000114771	protein_coding	ENST00000232892	12.54	0.47848	0.944	FALSE	0.00221398	0.424643567	0.0167647058823529
AADACL2	ENSG00000197953	chr3	151733916	151761339	protein_coding	AADACL2	ENSG00000197953	protein_coding	ENST00000356517	11.557	1.0384	1.652	FALSE	0.001976057	0.498370563	0
AADACL3	ENSG00000188984	chr1	12716110	12728760	protein_coding	AADACL3	ENSG00000188984	protein_coding	ENST00000359318	4.0491	0.74091	1.701	FALSE	0.001467435	0.870145349	0.0112564102564103
AADACL4	ENSG00000204518	chr1	12644085	12667076	protein_coding	AADACL4	ENSG00000204518	protein_coding	ENST00000376221	6.6848	0.89757	1.679	TRUE	0.000791222	0.088963968	0.0078
AADAT	ENSG00000109576	chr4	170060222	170091699	protein_coding	AADAT	ENSG00000109576	protein_coding	ENST00000337664	23.293	0.25759	0.508	FALSE	0.035304516	-0.509129461	0.00936363636363636
AAGAB	ENSG00000103591	chr15	67200667	67255195	protein_coding	AAGAB	ENSG00000103591	protein_coding	ENST00000261880	19.924	0.65248	1.037	FALSE	0.101167866	0.008523594	0.0530322580645161
AAK1	ENSG00000115977	chr2	69457997	69674349	protein_coding	AAK1	ENSG00000115977	protein_coding	ENST00000409085	48.653	0.041108	0.129	FALSE	0.297965723	-0.406975252	0.224521126760563
AAMDC	ENSG00000087884	chr11	77821109	77918432	protein_coding	AAMDC	ENSG00000087884	protein_coding	ENST00000526415	6.9081	1.1581	1.838	TRUE	0.466531332	0.09443972	NA
AAMP	ENSG00000127837	chr2	218264129	218270178	protein_coding	AAMP	ENSG00000127837	protein_coding	ENST00000248450	22.296	0.17941	0.411	FALSE	0.452965856	-0.201409962	0.0443333333333333
AANAT	ENSG00000129673	chr17	76453351	76470117	protein_coding	AANAT	ENSG00000129673	protein_coding	ENST00000250615	8.5525	0.58463	1.227	FALSE	0.019929068	0.641462878	0.003
AAR2	ENSG00000131043	chr20	36236131	36270918	protein_coding	AAR2	ENSG00000131043	protein_coding	ENST00000373932	11.63	0.77387	1.348	FALSE	0.190803535	0.548043921	0.0719230769230769
AARD	ENSG00000205002	chr8	116938207	116944487	protein_coding	AARD	ENSG00000205002	protein_coding	ENST00000378279	4.2612	0.23468	1.103	FALSE	0.002413516	-0.247956611	0.00226315789473684
AARS1	ENSG00000090861	chr16	70251983	70289707	protein_coding	AARS	ENSG00000090861	protein_coding	ENST00000261772	50.91	0.43213	0.617	FALSE	NA	-1.457871711	0.307
AARS2	ENSG00000124608	chr6	44298731	44313347	protein_coding	AARS2	ENSG00000124608	protein_coding	ENST00000244571	55.57	0.62983	0.835	FALSE	0.089485788	0.674883651	0.0552272727272727
AARSD1	ENSG00000266967	chr17	42950526	42964498	protein_coding	AARSD1	ENSG00000266967	protein_coding	ENST00000427569	21.94	0.72926	1.108	FALSE	0.162354049	0.349351954	0.0016
AASDH	ENSG00000157426	chr4	56338287	56387508	protein_coding	AASDH	ENSG00000157426	protein_coding	ENST00000205214	46.377	0.60375	0.828	FALSE	0.054593955	0.498055063	0.007
AASDHPPT	ENSG00000149313	chr11	106075501	106098699	protein_coding	AASDHPPT	ENSG00000149313	protein_coding	ENST00000278618	14.659	0.34109	0.717	FALSE	0.598314702	-0.220934338	0.0147894736842105
AASS	ENSG00000008311	chr7	122064583	122144308	protein_coding	AASS	ENSG00000008311	protein_coding	ENST00000393376	44.576	0.58328	0.809	FALSE	0.132070987	-0.588494675	0.0420689655172414
AATF	ENSG00000275700	chr17	36948925	37056871	protein_coding	AATF	ENSG00000275700	protein_coding	ENST00000225402	29.486	0.74612	1.065	FALSE	0.980408321	-0.138308073	5e-04
AATK	ENSG00000181409	chr17	81110487	81166221	protein_coding	AATK	ENSG00000181409	protein_coding	ENST00000326724	42.042	0.23786	0.403	FALSE	0.00450864	NA	0.345416666666667
