gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEy	deltaEy_err	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
DDX3Y	12049.7513047562	583.656147357334	-958.993687290437	375.823953687404	0.0139593687330713	0.0767765280318922	6921.81415493716	634.779587043338	1.38001078174977e-14	1.38001078174977e-14	0.749318791726877	3.40490217480562e-13	3.40490217480562e-13	-0.0795861809124565	0.031426680872267	0.574436266763863	0.0595764250670932	DDX3Y	ENSG00000067048	protein_coding	chrY	12904108	12920478	ENSG00000067048	protein_coding
EIF1AY	4283.65915634998	203.135780012468	-133.458325514319	123.730615076282	0.286147741403252	0.449660736490825	3742.2645811855	208.985265500316	6.90195395881285e-23	7.59214935469414e-22	0.884133667014629	5.08159023861175e-21	5.58974926247293e-20	-0.031155215819747	0.0289220874574863	0.873613993223077	0.0640030556571702	EIF1AY	ENSG00000198692	protein_coding	chrY	20575776	20593154	ENSG00000198692	protein_coding
KDM5D	1629.49811497102	165.098545013585	178.393853757899	99.6754454788525	0.0798040554369733	0.231034839469155	2786.07601069258	168.355256493453	1.81266458430554e-21	4.98482760684023e-21	0.849021584425596	2.57517319736536e-18	7.08172629275475e-18	0.109477790811113	0.0621669756930141	1.70977553462351	0.201702327950768	KDM5D	ENSG00000012817	protein_coding	chrY	19703865	19744939	ENSG00000012817	protein_coding
NLGN4Y	910.926886843279	120.213136193611	125.615283945291	71.190827803173	0.0840126688978746	0.231034839469155	1685.36549285704	120.243757298555	1.37227903262465e-18	2.51584489314519e-18	0.783068527234639	1.20797117428675e-14	1.66096036464428e-14	0.137898316274973	0.0802428808815289	1.85016549319067	0.277560335987782	NLGN4Y	ENSG00000165246	protein_coding	chrY	14522573	14845650	ENSG00000165246	protein_coding
PRKY	590.590842359814	57.3698784814938	-11.6856134151793	30.0060065999245	0.698671390327133	0.759417727310151	880.224768957153	50.6811774274571	2.46907485073104e-22	1.35799116790207e-21	0.875526732967886	2.75249211592488e-20	1.51387066375868e-19	-0.0197863098731557	0.0508431017142494	1.49041384631034	0.168300093716543	PRKY	ENSG00000099725	transcribed_unitary_pseudogene	chrY	7273972	7381548	ENSG00000099725	transcribed_unprocessed_pseudogene
RPS4Y1	12027.7559749035	868.242523319575	-158.366129937341	514.181886279101	0.759417727310151	0.759417727310151	12176.5976996238	868.470895042769	1.35534289018234e-18	2.51584489314519e-18	0.839440538957019	1.08901066266543e-17	1.99651954821995e-17	-0.0131667228922651	0.0427601753483777	1.01237485404849	0.102734178500266	RPS4Y1	ENSG00000129824	protein_coding	chrY	2841602	2932000	ENSG00000129824	protein_coding
TMSB4Y	202.288830066776	11.7840825654764	-19.5210787887745	7.25863954750084	0.00981612025878745	0.0767765280318922	156.702154068533	12.2600919107234	4.58573264879363e-17	5.60478434852554e-17	0.798999707434048	2.05764273806455e-15	3.23343858838715e-15	-0.0965010217436651	0.0363202333361343	0.774645609531707	0.0755615573213904	TMSB4Y	ENSG00000154620	protein_coding	chrY	13703899	13706024	ENSG00000154620	protein_coding
TXLNGY	1725.55571763058	141.95048857545	67.6995335063572	79.4528046876941	0.398405398553056	0.547807423010452	1801.21229217673	134.198520488769	7.25373945217901e-18	9.97389174674613e-18	0.776463004563783	2.41915965437564e-14	2.95675068868134e-14	0.0392334671170848	0.0461577394364882	1.04384475898004	0.115853764818963	TXLNGY	ENSG00000131002	transcribed_unprocessed_pseudogene	chrY	19567313	19606274	ENSG00000131002	transcribed_unprocessed_pseudogene
USP9Y	2394.24820212642	212.337545714408	153.465412793913	101.641821053439	0.137633194202915	0.302793027246413	1971.51101257696	171.676532487071	2.25732631208987e-15	2.48305894329886e-15	0.762370432152264	9.93366481472595e-14	1.09270312961985e-13	0.0640975370296256	0.0428314051392888	0.823436355022	0.102344863787255	USP9Y	ENSG00000114374	protein_coding	chrY	12537650	12860839	ENSG00000114374	protein_coding
UTY	2107.25754334697	107.204111817456	-27.0732314738201	59.9245090127229	0.653455958585341	0.759417727310151	1736.12378953538	101.2145572725	4.13867872951724e-22	1.51751553415632e-21	0.859978752149131	4.3912836402706e-19	1.61013733476589e-18	-0.0128476139802159	0.0284447125976603	0.823878312841571	0.0637478009779901	UTY	ENSG00000183878	protein_coding	chrY	13234577	13480673	ENSG00000183878	protein_coding
ZFY	1589.9838779491	86.669189976355	-46.4322158418802	41.6005287962416	0.269916594788716	0.449660736490825	955.914701941685	70.2647242970234	4.33008027783992e-18	6.80441186517701e-18	0.846057375927988	4.06267043853554e-18	8.93787496477818e-18	-0.029202947580684	0.0262124992251735	0.601210311122592	0.0550174814171929	ZFY	ENSG00000067646	protein_coding	chrY	2935281	2982506	ENSG00000067646	protein_coding
