Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Balaton.consensus.calls
1	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ABCB7	ENSG00000131269	protein_coding	Mostly S
2	ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ABCD1	ENSG00000101986	protein_coding	Mostly S
3	ACE2	ENSG00000130234	protein_coding	chrX	15494566	15607236	ACE2	ENSG00000130234	protein_coding	E
4	ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ACOT9	ENSG00000123130	protein_coding	S
5	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ACSL4	ENSG00000068366	protein_coding	S
6	ACTRT1	ENSG00000123165	protein_coding	chrX	128050962	128052403	ACTRT1	ENSG00000123165	protein_coding	No call
7	ADGRG2	ENSG00000173698	protein_coding	chrX	18989307	19122637	ADGRG2	ENSG00000173698	protein_coding	Mostly S
8	ADGRG4	ENSG00000156920	protein_coding	chrX	136300963	136416890	ADGRG4	ENSG00000156920	protein_coding	E
9	AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	AFF2	ENSG00000155966	protein_coding	Mostly S
10	AGTR2	ENSG00000180772	protein_coding	chrX	116170744	116174974	AGTR2	ENSG00000180772	protein_coding	S
11	AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	AIFM1	ENSG00000156709	protein_coding	S
12	AKAP14	ENSG00000186471	protein_coding	chrX	119895837	119920716	AKAP14	ENSG00000186471	protein_coding	Mostly S
13	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	AKAP17A	ENSG00000197976	protein_coding	PAR
14	AKAP4	ENSG00000147081	protein_coding	chrX	50190777	50201007	AKAP4	ENSG00000147081	protein_coding	S
15	ALAS2	ENSG00000158578	protein_coding	chrX	55009055	55030977	ALAS2	ENSG00000158578	protein_coding	S
16	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ALG13	ENSG00000101901	protein_coding	VE
17	AMELX	ENSG00000125363	protein_coding	chrX	11293413	11300761	AMELX	ENSG00000125363	protein_coding	No call
18	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	AMER1	ENSG00000184675	protein_coding	S
19	AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	AMMECR1	ENSG00000101935	protein_coding	S
20	AMOT	ENSG00000126016	protein_coding	chrX	112774503	112840831	AMOT	ENSG00000126016	protein_coding	S
21	ANOS1	ENSG00000011201	protein_coding	chrX	8528874	8732137	ANOS1	ENSG00000011201	protein_coding	Mostly E
22	AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	AP1S2	ENSG00000182287	protein_coding	Mostly E
23	APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	APEX2	ENSG00000169188	protein_coding	S
24	APLN	ENSG00000171388	protein_coding	chrX	129645259	129654956	APLN	ENSG00000171388	protein_coding	Mostly S
25	APOO	ENSG00000184831	protein_coding	chrX	23833353	23907938	APOO	ENSG00000184831	protein_coding	S
26	APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	APOOL	ENSG00000155008	protein_coding	Mostly S
27	AR	ENSG00000169083	protein_coding	chrX	67544021	67730619	AR	ENSG00000169083	protein_coding	Mostly S
28	ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ARAF	ENSG00000078061	protein_coding	S
29	ARHGAP36	ENSG00000147256	protein_coding	chrX	131058346	131089885	ARHGAP36	ENSG00000147256	protein_coding	No call
30	ARHGAP4	ENSG00000089820	protein_coding	chrX	153907367	153934999	ARHGAP4	ENSG00000089820	protein_coding	Discordant
31	ARHGAP6	ENSG00000047648	protein_coding	chrX	11117651	11665920	ARHGAP6	ENSG00000047648	protein_coding	Mostly S
