Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	gene_class
PRDM15	ENSG00000141956	protein_coding	chr21	41798225	41879482	PRDM15	ENSG00000141956	protein_coding	Single-copy
PFKL	ENSG00000141959	protein_coding	chr21	44300051	44327376	PFKL	ENSG00000141959	protein_coding	Single-copy
HUNK	ENSG00000142149	protein_coding	chr21	31873020	32044633	HUNK	ENSG00000142149	protein_coding	Single-copy
COL6A1	ENSG00000142156	protein_coding	chr21	45981770	46005050	COL6A1	ENSG00000142156	protein_coding	Single-copy
IFNAR1	ENSG00000142166	protein_coding	chr21	33324429	33359864	IFNAR1	ENSG00000142166	protein_coding	Single-copy
SOD1	ENSG00000142168	protein_coding	chr21	31659666	31668931	SOD1	ENSG00000142168	protein_coding	Single-copy
COL6A2	ENSG00000142173	protein_coding	chr21	46098112	46132848	COL6A2	ENSG00000142173	protein_coding	Single-copy
DNMT3L	ENSG00000142182	protein_coding	chr21	44246339	44262216	DNMT3L	ENSG00000142182	protein_coding	Single-copy
TRPM2	ENSG00000142185	protein_coding	chr21	44350163	44443081	TRPM2	ENSG00000142185	protein_coding	Single-copy
TMEM50B	ENSG00000142188	protein_coding	chr21	33432485	33479974	TMEM50B	ENSG00000142188	protein_coding	Single-copy
APP	ENSG00000142192	protein_coding	chr21	25880550	26171128	APP	ENSG00000142192	protein_coding	Single-copy
DOP1B	ENSG00000142197	protein_coding	chr21	36156782	36294274	DOPEY2	ENSG00000142197	protein_coding	Single-copy
URB1	ENSG00000142207	protein_coding	chr21	32311018	32393012	URB1	ENSG00000142207	protein_coding	Single-copy
CXADR	ENSG00000154639	protein_coding	chr21	17513043	17593579	CXADR	ENSG00000154639	protein_coding	Single-copy
BTG3	ENSG00000154640	protein_coding	chr21	17593653	17612945	BTG3	ENSG00000154640	protein_coding	Single-copy
C21orf91	ENSG00000154642	protein_coding	chr21	17788974	17819386	C21orf91	ENSG00000154642	protein_coding	Single-copy
CHODL	ENSG00000154645	protein_coding	chr21	17901263	18267373	CHODL	ENSG00000154645	protein_coding	Single-copy
TMPRSS15	ENSG00000154646	protein_coding	chr21	18269116	18485879	TMPRSS15	ENSG00000154646	protein_coding	Single-copy
NCAM2	ENSG00000154654	protein_coding	chr21	20998409	21543329	NCAM2	ENSG00000154654	protein_coding	Single-copy
MRPL39	ENSG00000154719	protein_coding	chr21	25585656	25607517	MRPL39	ENSG00000154719	protein_coding	Single-copy
JAM2	ENSG00000154721	protein_coding	chr21	25639258	25717562	JAM2	ENSG00000154721	protein_coding	Single-copy
ATP5PF	ENSG00000154723	protein_coding	chr21	25716503	25735673	ATP5J	ENSG00000154723	protein_coding	Single-copy
GABPA	ENSG00000154727	protein_coding	chr21	25734570	25772460	GABPA	ENSG00000154727	protein_coding	Single-copy
ADAMTS1	ENSG00000154734	protein_coding	chr21	26835755	26845409	ADAMTS1	ENSG00000154734	protein_coding	Single-copy
ADAMTS5	ENSG00000154736	protein_coding	chr21	26917922	26967088	ADAMTS5	ENSG00000154736	protein_coding	Single-copy
HSPA13	ENSG00000155304	protein_coding	chr21	14371115	14383484	HSPA13	ENSG00000155304	protein_coding	Single-copy
SAMSN1	ENSG00000155307	protein_coding	chr21	14485228	14658821	SAMSN1	ENSG00000155307	protein_coding	Single-copy
USP25	ENSG00000155313	protein_coding	chr21	15729982	15880064	USP25	ENSG00000155313	protein_coding	Single-copy
N6AMT1	ENSG00000156239	protein_coding	chr21	28872191	28885371	N6AMT1	ENSG00000156239	protein_coding	Single-copy
RWDD2B	ENSG00000156253	protein_coding	chr21	29004384	29019360	RWDD2B	ENSG00000156253	protein_coding	Single-copy
USP16	ENSG00000156256	protein_coding	chr21	29024629	29054488	USP16	ENSG00000156256	protein_coding	Single-copy
CCT8	ENSG00000156261	protein_coding	chr21	29055805	29073797	CCT8	ENSG00000156261	protein_coding	Single-copy
MAP3K7CL	ENSG00000156265	protein_coding	chr21	29077471	29175889	MAP3K7CL	ENSG00000156265	protein_coding	Single-copy
BACH1	ENSG00000156273	protein_coding	chr21	29194071	29630751	BACH1	ENSG00000156273	protein_coding	Single-copy
CLDN17	ENSG00000156282	protein_coding	chr21	30165565	30166805	CLDN17	ENSG00000156282	protein_coding	Single-copy
CLDN8	ENSG00000156284	protein_coding	chr21	30214006	30216097	CLDN8	ENSG00000156284	protein_coding	Single-copy
TIAM1	ENSG00000156299	protein_coding	chr21	31118416	31559977	TIAM1	ENSG00000156299	protein_coding	Single-copy
