gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
JPX	537.2149656	31.10859338	364.464624	17.83690452	1.13E-20	3.87E-18	0.926188875	2.32E-18	7.92E-16	0.67843349	0.051437449	NPX	JPX	ENSG00000225470	lncRNA	chrX	73944182	74070408	ENSG00000225470	lincRNA
KDM5C	6609.020805	384.4463938	4981.124616	254.8900928	4.60E-20	7.84E-18	0.921963699	5.91E-18	1.01E-15	0.753685722	0.058391112	NPX	KDM5C	ENSG00000126012	protein_coding	chrX	53191321	53225422	ENSG00000126012	protein_coding
KDM6A	1835.670965	165.2906073	1512.798329	90.54142245	5.80E-18	4.94E-16	0.91544775	2.27E-17	2.58E-15	0.824111923	0.089102948	NPX	KDM6A	ENSG00000147050	protein_coding	chrX	44873188	45112779	ENSG00000147050	protein_coding
PNPLA4	594.5700968	48.45503289	470.2373894	27.98451943	4.88E-18	4.94E-16	0.89231891	1.30E-15	8.85E-14	0.790886376	0.079809798	NPX	PNPLA4	ENSG00000006757	protein_coding	chrX	7898247	7927739	ENSG00000006757	protein_coding
XIST	344.3286331	1687.413438	15974.87446	1009.010401	2.96E-17	2.02E-15	0.881895176	6.06E-15	3.44E-13	0.978900401	0.133159401	NPX	XIST	ENSG00000229807	lncRNA	chrX	73820649	73852723	ENSG00000229807	lincRNA
PUDP	2075.789571	251.3464403	2112.447341	137.1002423	6.67E-17	3.79E-15	0.900769421	3.31E-16	2.82E-14	1.017659675	0.139807597	NPX	PUDP	ENSG00000130021	protein_coding	chrX	6667865	7148158	ENSG00000130021	protein_coding
AKAP17A	4870.708072	406.2088851	2552.75976	171.4227633	1.84E-16	8.95E-15	0.880002625	7.90E-15	3.85E-13	0.524104447	0.056117523	PAR1	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	ENSG00000197976	protein_coding
ZBED1	6335.765064	335.8946926	2809.891745	211.9676428	5.45E-15	2.32E-13	0.856984518	1.46E-13	6.22E-12	0.443496834	0.040891476	PAR1	ZBED1	ENSG00000214717	protein_coding	chrX	2486414	2500976	ENSG00000214717	protein_coding
ZFX	1978.774216	139.1188437	889.5583507	81.25854821	1.09E-12	4.14E-11	0.797800234	4.40E-11	1.50E-09	0.449550203	0.051819626	NPX	ZFX	ENSG00000005889	protein_coding	chrX	24149173	24216255	ENSG00000005889	protein_coding
FUNDC1	926.750955	36.79739533	231.928439	22.03526862	3.09E-12	9.59E-11	0.759446946	7.48E-10	1.70E-08	0.250259725	0.025769759	NPX	FUNDC1	ENSG00000069509	protein_coding	chrX	44523639	44542859	ENSG00000069509	protein_coding
