gene_name.84	intercept_LCL	intercept_err_LCL	x_coeff_LCL	x_coeff_err_LCL	x_pval_LCL	x_adj_pval_LCL	y_coeff_LCL	y_coeff_err_LCL	y_pval_LCL	y_adj_pval_LCL	adj.r.sq_LCL	reg_pval_LCL	reg_adj_pval_LCL	deltaEx_LCL	deltaEx_err_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	deltaEy_LCL	deltaEy_err_LCL	deltaEy_95_CI_lo_LCL	deltaEy_95_CI_hi_LCL	intercept_Fib	intercept_err_Fib	x_coeff_Fib	x_coeff_err_Fib	x_pval_Fib	x_adj_pval_Fib	y_coeff_Fib	y_coeff_err_Fib	y_pval_Fib	y_adj_pval_Fib	adj.r.sq_Fib	reg_pval_Fib	reg_adj_pval_Fib	deltaEx_Fib	deltaEx_err_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	deltaEy_Fib	deltaEy_err_Fib	deltaEy_95_CI_lo_Fib	deltaEy_95_CI_hi_Fib	Gene	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84	Human_NPY	region
ABCD1	ABCD1	434.718507923999	19.8596262952862	34.7870376873127	11.2390181907561	0.00258435260414688	0.0100284117356569	27.6469519702211	14.1417719436032	0.0535240127379134	0.224800853499236	0.202139810848237	0.000368545700591881	0.000534840711834559	0.0800219844640119	0.0261107348607028	0.0288449441370344	0.131199024790989	0.0635973658040218	0.0326603552197252	-0.000416930426639608	0.127611662034683	935.236088305965	45.247382269871	65.1074960380912	40.96074307756	0.115452261776297	0.293923175054997	50.8743768859667	41.0022312045	0.217915019868162	0.54081165020388	0.19350224383042	0.000495794733380186	0.000764664701577536	0.0696161074750904	0.0439265368562782	-0.0164799047632149	0.155712119713396	0.0543973628927405	0.0439205047601189	-0.0316868264370925	0.140481552222574	ABCD1	ENSG00000101986	protein_coding	chrX	153.724856	153744755	ENSG00000101986	protein_coding	FALSE	NPX
ARHGEF6	ARHGEF6	3178.68362709813	159.144000663394	298.352749997156	85.6522570015669	0.000750646157629416	0.00343564972145771	26.521560039739	107.774065706851	0.806147493992208	0.951059765922237	0.300216481680566	2.03336348157027e-06	4.22041141232898e-06	0.093860473390215	0.0273525175895586	0.0402495389146801	0.14747140786575	0.00834356707086039	0.0339078240512366	-0.0581157680695633	0.0748029022112841	1521.70572590033	91.5227577970483	205.350593851924	93.227705479354	0.030172000895647	0.110071929193379	157.195784573587	93.3221335240779	0.095561231561896	0.37651125235387	0.0480729709460859	0.130511106631488	0.146083454581836	0.134947638269828	0.0618005566404686	0.0138185472545101	0.256076729285147	0.103302354652429	0.0616412427290462	-0.0175144810965017	0.224119190401359	ARHGEF6	ENSG00000129675	protein_coding	chrX	136.665547	136780932	ENSG00000129675	protein_coding	FALSE	NPX
BCOR	BCOR	2485.10863203094	110.871549074006	286.904473342206	51.5683580719023	2.43096685406501e-07	1.93272085961162e-06	79.4737820515122	64.887158912041	0.223678974039454	0.535928816993859	0.505252594596226	6.79564967430024e-13	3.97712612086096e-12	0.115449469550043	0.0213806354684598	0.0735434240318619	0.157355515068224	0.0319800032188382	0.0261493441960977	-0.0192727114055133	0.0832327178431897	2694.07736612233	89.4042144186101	33.7603765728731	72.9607944948781	0.644682332951247	0.834186834132236	54.9129288217821	73.0346946850654	0.454088305689621	0.75116666717033	0.335685603789752	2.50245095613106e-07	5.86884331378357e-07	0.0125313315042119	0.0270851151996453	-0.0405554942870928	0.0656181572955167	0.0203828329179796	0.0271177905245095	-0.032768036510059	0.0735337023460182	BCOR	ENSG00000183337	protein_coding	chrX	40.049815	40177329	ENSG00000183337	protein_coding	FALSE	NPX
CYBB	CYBB	6948.67200694407	403.853645183129	611.385658713291	229.745965735643	0.00914393928457529	0.0294088858071476	413.354874675199	289.08353000697	0.156031921088373	0.437939934907215	0.188348564232013	0.000702918561131622	0.000984085985584271	0.087985971722699	0.033456407400267	0.0224114132181757	0.153560530227222	0.0594868881798016	0.0417461145337119	-0.0223354963062737	0.141309272665877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYBB	ENSG00000165168	protein_coding	chrX	37.780059	37813461	ENSG00000165168	protein_coding	FALSE	NPX
DLG3	DLG3	452.098868645212	39.8756630107318	79.377112172733	22.7777354726507	0.000746799314556164	0.00343564972145771	39.9682561066922	28.6606476632347	0.166408877123816	0.450060372221229	0.22935457178454	9.69477836634797e-05	0.000153143180388771	0.175574675536348	0.052708434386645	0.0722661441385237	0.278883206934172	0.0884060077975059	0.0638723913567621	-0.0367838792617477	0.21359589485676	577.067577326281	20.4685140726809	42.7210367480237	20.3402005510347	0.0384976502873199	0.130759260458656	56.7907172911762	20.3608026387665	0.00644798371091774	0.0725858737743311	0.0998698056661466	0.0236697607438068	0.0286950330247997	0.0740312546165954	0.0353451956624509	0.00475467111819169	0.143307838114999	0.0984125941615085	0.0354554723498444	0.0289198683558134	0.167905319967204	DLG3	ENSG00000082458	protein_coding	chrX	70.444835	70505490	ENSG00000082458	protein_coding	FALSE	NPX
FAAH2	FAAH2	190.500663924528	16.6189528687715	43.8479419961563	9.9016417196885	2.5382479571176e-05	0.000151025753448497	13.1075094451157	12.4589850012229	0.295444026437643	0.639233439019628	0.21554795488143	0.000192829554113576	0.000292936811993815	0.230172121675795	0.0557207471814267	0.120959457200199	0.339384786151391	0.0688055840598467	0.0656761422498809	-0.0599196547499198	0.197530822869613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAAH2	ENSG00000165591	protein_coding	chrX	57.286706	57489193	ENSG00000165591	protein_coding	FALSE	NPX
FAM120C	FAM120C	415.293790146493	18.2685006663082	32.0458636058833	9.69509392298907	0.00133913129342366	0.0056484108383002	44.8816989462029	12.199091139784	0.000388105170016482	0.00629788844072201	0.36494538916075	3.54035740498504e-08	9.79773328356326e-08	0.0771643216590821	0.0235906298916313	0.0309266870714848	0.123401956246679	0.108072164841114	0.0297568172241466	0.0497488030817869	0.166395526600441	803.92042346532	22.2907313339754	17.7131261775503	15.0559895870706	0.242504018828594	0.492508161950856	27.6204085782023	15.0712394277782	0.0701602843322303	0.333050024420467	0.559186415557646	8.09983175878858e-15	4.90974417378877e-14	0.0220334322409641	0.0187381708138495	-0.014693382554181	0.0587602470361091	0.0343571425379938	0.0187713667805554	-0.00243473635189487	0.0711490214278824	FAM120C	ENSG00000184083	protein_coding	chrX	54.068324	54183281	ENSG00000184083	protein_coding	FALSE	NPX
FTX	FTX	78.7771701103159	3.92714748875319	8.09959304628513	2.19156818747975	0.000366483837717971	0.00181714902868494	4.96685846881764	2.75759474539202	0.0748509719994965	0.264572247562577	0.245051543424265	4.32441549063516e-05	7.11436096846429e-05	0.102816501721791	0.0282880647070627	0.0473718948959482	0.158261108547634	0.0630494654969489	0.0351458250852001	-0.0058363516700432	0.131935282663941	136.738535140789	7.76550726257708	-4.82856004338018	7.03544251508314	0.494276167643606	0.749018500198388	-0.0747827436770481	7.04256854137597	0.991551185539741	0.994074216546203	0.172793319075699	0.00126068834970444	0.00180622258103109	-0.0353123575472604	0.0514908584035016	-0.136234440018124	0.0656097249236027	-0.000546903209106709	0.0515039144940632	-0.101494575617471	0.100400769199257	FTX	ENSG00000230590	lncRNA	chrX	73.940435	74293574	ENSG00000230590	lincRNA	FALSE	NPX
HDAC6	HDAC6	2216.651641538	51.1863906494836	70.6752337933378	26.4975292547528	0.00899113997118738	0.0291803360883081	-21.7067888120206	33.3411699696216	0.516585525698023	0.781445053704213	0.303008828976996	1.72562638660046e-06	3.64525810660571e-06	0.0318837802336413	0.0119765055162217	0.00840982942184683	0.0553577310454358	-0.00979260268291845	0.0150429309636343	-0.0392767473716416	0.0196915420058047	1418.76014241663	43.3962939469725	-75.1008034237275	31.2020147366967	0.0181303719172628	0.0728914952591993	-4.59361391481431	31.2336184882627	0.88340356647987	0.974960798860136	0.540671305158567	4.74478900494105e-14	2.67063838278111e-13	-0.0529341085772297	0.0220519729247944	-0.0961559755098266	-0.00971224164463274	-0.0032377663972078	0.0220149506560611	-0.0463870696830875	0.0399115368886719	HDAC6	ENSG00000094631	protein_coding	chrX	48.801377	48824982	ENSG00000094631	protein_coding	FALSE	NPX
IRAK1	IRAK1	5091.61947869131	213.552711144027	288.956203924042	101.080876481076	0.00522881666756109	0.0186668755031931	428.240384493852	127.187506843845	0.00109833426656418	0.0135208735573591	0.439563449685812	1.63815523114086e-10	6.80024904089868e-10	0.0567513352349559	0.0199945873366281	0.0175619440551647	0.095940726414747	0.0841069106373837	0.0252276274313093	0.0346607608720174	0.13355306040275	7180.23473214659	302.881631607074	-90.8876983000977	305.797898120601	0.766987343833331	0.909070975464042	-6.19789222216818	306.107633273384	0.98389081494876	0.994074216546203	-0.0296636592355741	0.73613268067051	0.749447742077987	-0.012658039979276	0.0425921911935296	-0.096138734718594	0.0708226547600419	-0.000863187967159295	0.0426319969110874	-0.0844219019128905	0.0826955259785719	IRAK1	ENSG00000184216	protein_coding	chrX	154.010506	154019902	ENSG00000184216	protein_coding	FALSE	NPX
MAGEH1	MAGEH1	847.48334263717	30.9882256784488	44.3397159019519	18.2098984977574	0.0167616083593044	0.049837319445965	34.1899842628429	22.9130540853874	0.138970213487495	0.406658739467506	0.105690564336175	0.0214917238792625	0.0245914917464638	0.0523192771718404	0.0215720225761525	0.0100381129225814	0.0946004414210993	0.0403429572508784	0.0270767959890613	-0.0127275628876818	0.0934134773894385	1499.88884859897	47.2034945628079	5.65146882062589	44.1408471296807	0.898408803914696	0.959276609057968	-37.9558451002132	44.1855563056223	0.39261703555868	0.699959782851222	0.126497493665939	0.00866699575516664	0.0111594651226655	0.00376792508718553	0.0294296510695626	-0.0539141910091571	0.0614500411835282	-0.0253057719148104	0.0294699836269898	-0.0830669398237104	0.0324553959940896	MAGEH1	ENSG00000187601	protein_coding	chrX	55.452127	55453566	ENSG00000187601	protein_coding	FALSE	NPX
MPP1	MPP1	950.518678136383	54.6734003881024	225.50521479657	33.8787946660445	1.79864467456067e-09	1.78365596893933e-08	145.011745382965	42.6288292944856	0.00098120894422348	0.0125104140388494	0.341073611831527	1.67687835178388e-07	4.07241885433227e-07	0.237244380340534	0.0381654453199961	0.162440107513342	0.312048653167727	0.15256064790571	0.0456984082154266	0.0629917678034734	0.242129528007946	902.430007670667	38.4003636642117	193.605206139731	33.6918923892045	1.22770399863391e-07	1.34365382072711e-06	129.711374899321	33.7260180764667	0.000223768985629235	0.00489805446321769	0.50197750099315	1.50477224690947e-12	6.89395657305034e-12	0.214537642248246	0.0384345444600722	0.139205935106504	0.289869349389987	0.143735662374669	0.037869625528613	0.0695111963385873	0.21796012841075	MPP1	ENSG00000130830	protein_coding	chrX	154.778684	154821007	ENSG00000130830	protein_coding	FALSE	NPX
MTMR1	MTMR1	3620.82742157447	78.3695929121744	133.483045155969	47.0312977888648	0.00554793100765082	0.0194177585267779	-9.77826879417702	59.1782908660876	0.869110867643717	0.972464204353446	0.110136385084854	0.0182511260062005	0.0212236220984155	0.0368653430872234	0.0130135871708636	0.0113587122323307	0.062371973942116	-0.00270056195882571	0.0163439629750059	-0.0347347293898373	0.0293336054721859	1349.21658441654	38.5720187475193	65.2438355887351	33.4553552036578	0.0542672568665802	0.165853610235492	44.1489768154153	33.4892413082356	0.190747401336796	0.507800514369579	0.24977613083636	3.15946294129336e-05	5.8169551349046e-05	0.0483568289497045	0.0248346415428723	-0.000319068474325251	0.0970327263737343	0.0327219345843628	0.0248388712319797	-0.0159622530303174	0.081406122199043	MTMR1	ENSG00000063601	protein_coding	chrX	150.692971	150765108	ENSG00000063601	protein_coding	FALSE	NPX
PHKA2	PHKA2	1679.57670207637	36.488105569281	66.5558803239755	20.7155800434461	0.0017950435260657	0.00728216521369836	1.48426834234156	26.0658897139986	0.954710246452499	0.988950526133819	0.202160676622269	0.000368180019663439	0.000534840711834559	0.0396265798648528	0.0123638169553194	0.0153934986324268	0.0638596610972788	0.000883715724626709	0.0155193327142269	-0.029534176395258	0.0313016078445114	870.780369961957	20.0281306181053	84.5556885093455	17.0098422193763	3.16173658865487e-06	2.89703306030237e-05	52.9613258810977	17.0270710692507	0.00250254636838158	0.0410834695475976	0.411947472148705	1.65641759212195e-09	5.30592301866707e-09	0.0971033470966274	0.0196612829753947	0.0585672324648539	0.135639461728401	0.0608205326027407	0.0196037811983846	0.0223971214539068	0.0992439437515745	PHKA2	ENSG00000044446	protein_coding	chrX	18.892298	18984114	ENSG00000044446	protein_coding	FALSE	NPX
PIN4	PIN4	608.410818043384	34.5104524133519	111.72461027174	19.3945599193702	1.03046888856045e-07	8.75898555276379e-07	23.0540837332977	24.4036835487876	0.347210157601475	0.653528633593112	0.287200221119432	4.31684187388385e-06	8.28555133858352e-06	0.183633503807576	0.0335360184987995	0.117902907549929	0.249364100065223	0.0378922975226481	0.0401680804718422	-0.0408371402021627	0.116621735247459	640.307518097465	38.0231775460761	138.749025270601	27.0459774808052	1.65274328991124e-06	1.62795214056257e-05	-58.304820677307	27.0733716846851	0.0339457874578248	0.225753614592564	0.540217856986087	4.94991201196468e-14	2.74685258128744e-13	0.216691232492261	0.0441555739966172	0.130146307458891	0.303236157525631	-0.0910575294360858	0.0426261790340751	-0.174604840342873	-0.00751021852929856	PIN4	ENSG00000102309	protein_coding	chrX	72.181353	72302926	ENSG00000102309	protein_coding	FALSE	NPX
SASH3	SASH3	14758.1302910298	425.878574231205	778.485018571534	250.011144905248	0.00244114032113892	0.0095767812598527	252.803008583558	314.582691708526	0.423626233036362	0.737729586312104	0.129349709006677	0.00875829890643776	0.0106602724525426	0.0527495694386643	0.0170088222799696	0.0194122777699238	0.0860868611074047	0.0171297450014528	0.0213216215127169	-0.0246606331634724	0.058920123166378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SASH3	ENSG00000122122	protein_coding	chrX	129.779949	129795201	ENSG00000122122	protein_coding	FALSE	NPX
TLR7	TLR7	6169.59061447565	320.183915063773	447.211916378978	175.733276240486	0.0125442392034863	0.0392832754003914	-96.3720875511826	221.120730771588	0.663945408885927	0.879595136794568	0.248119147648229	3.68148661702121e-05	6.14154543119893e-05	0.0724864815713525	0.0287311205515443	0.0161734852903256	0.128799477852379	-0.0156204995717326	0.0358495887272023	-0.0858856934770491	0.0546446943335838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TLR7	ENSG00000196664	protein_coding	chrX	12.867072	12890361	ENSG00000196664	protein_coding	FALSE	NPX
TMEM164	TMEM164	1640.39335471	77.9378237568902	157.562416958861	45.3781459018334	0.000778683921478623	0.0035188627844034	80.8360944849568	57.0981717153094	0.160122177134114	0.443128815789757	0.174792738372931	0.00129915013066348	0.00172415091690283	0.0960516064677158	0.0280368665783278	0.0410993479741934	0.151003864961238	0.0492784820499639	0.0348862637018235	-0.0190985948056101	0.117655558905538	1169.889235368	55.1124672954594	36.0242841371738	30.3402133453465	0.238216134058165	0.492508161950856	19.4706686239341	30.3709441995274	0.523089987338384	0.798827345005129	0.709366041417329	1.07175204279719e-22	1.45944571651506e-21	0.0307929016252911	0.0259748000464008	-0.0201177064656545	0.0817035097162367	0.016643172734049	0.0259723666177961	-0.0342626658368313	0.0675490113049294	TMEM164	ENSG00000157600	protein_coding	chrX	110.002631	110182734	ENSG00000157600	protein_coding	FALSE	NPX
