gene_name.84	intercept_LCL	intercept_err_LCL	x_coeff_LCL	x_coeff_err_LCL	x_pval_LCL	x_adj_pval_LCL	y_coeff_LCL	y_coeff_err_LCL	y_pval_LCL	y_adj_pval_LCL	adj.r.sq_LCL	reg_pval_LCL	reg_adj_pval_LCL	deltaEx_LCL	deltaEx_err_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	deltaEy_LCL	deltaEy_err_LCL	deltaEy_95_CI_lo_LCL	deltaEy_95_CI_hi_LCL	intercept_Fib	intercept_err_Fib	x_coeff_Fib	x_coeff_err_Fib	x_pval_Fib	x_adj_pval_Fib	y_coeff_Fib	y_coeff_err_Fib	y_pval_Fib	y_adj_pval_Fib	adj.r.sq_Fib	reg_pval_Fib	reg_adj_pval_Fib	deltaEx_Fib	deltaEx_err_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	deltaEy_Fib	deltaEy_err_Fib	deltaEy_95_CI_lo_Fib	deltaEy_95_CI_hi_Fib	Gene	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84	Human_NPY	region
CTPS2	CTPS2	2089.83262334001	71.0751504672984	25.1880258914447	40.5464037556181	0.535946058624928	0.671342957645962	68.1971635389962	51.0185129442015	0.184508440294669	0.476125126453443	0.139167265407176	0.00591687481817751	0.00749051173790558	0.0120526522603464	0.0194060766714621	-0.0259832580157193	0.0500885625364121	0.0326328351741404	0.0244379414014748	-0.0152655299727501	0.0805312003210309	978.983089076999	48.762736160664	192.513459566284	39.1279184481259	3.88210715266079e-06	3.39900048477411e-05	55.9718925816713	39.1675501521797	0.156455226846609	0.460025069981821	0.485699781846424	5.90371365838736e-12	2.52832954500502e-11	0.196646358567633	0.0411506283034377	0.115991127092895	0.277301590042371	0.0571735030014079	0.0401096275704853	-0.0214413670367434	0.135788373039559	CTPS2	ENSG00000047230	protein_coding	chrX	16.587999	16712936	ENSG00000047230	protein_coding	FALSE	NPX
FGD1	FGD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1848.88737055527	48.2724763536382	132.736829404279	38.3732228955138	0.000830169822646795	0.00511073297066933	110.295274394475	38.4120901870464	0.00509525240180017	0.0647590143970731	0.424305398335628	6.82865886908494e-10	2.33955790819084e-09	0.0717928152456439	0.0208392363692208	0.0309479119619711	0.112637718529317	0.0596549449961087	0.0208340878239397	0.0188201328611868	0.100489757131031	FGD1	ENSG00000102302	protein_coding	chrX	54.445454	54496234	ENSG00000102302	protein_coding	FALSE	NPX
JADE3	JADE3	727.876824217446	73.9081746178887	-105.820623402677	44.9020449425681	0.0204913648996626	0.0580588672157107	-80.592395344773	56.4991059362721	0.157020480863091	0.437939934907215	0.0459807661914163	0.149140624246993	0.154776752488886	-0.14538259755206	0.0634307489656421	-0.269706865524719	-0.0210583295794016	-0.110722573742363	0.0784317633691132	-0.264448829945825	0.0430036824610991	794.688053540245	37.9443077110397	101.30625406773	24.3980451675472	7.46927533669569e-05	0.00057703813385453	13.7801483689825	24.4227573460612	0.573998395524403	0.827475309831274	0.654407363552907	2.11276117756265e-19	2.08106975989921e-18	0.127479271415271	0.0312989760704037	0.0661332783172797	0.188825264513262	0.0173403240524297	0.0307436593207091	-0.04291724821616	0.0775978963210195	JADE3	ENSG00000102221	protein_coding	chrX	46.912276	47061242	ENSG00000102221	protein_coding	FALSE	NPX
MBTPS2	MBTPS2	1658.96481255849	58.3447301468624	54.347895318566	24.0743920630445	0.0262669952788993	0.0726923822834656	38.7188900552512	30.2921978110582	0.204300038274506	0.503000783889645	0.57335807414187	8.99638690549659e-16	7.29934119377791e-15	0.032760125415047	0.0145573610070627	0.0042276978412041	0.0612925529888898	0.0233391870413081	0.0182781386646593	-0.0124859647414242	0.0591643388240404	3371.16690158877	118.636142315526	266.197125828841	71.9065377065811	0.000368289902640177	0.00237879051869229	170.270762173949	71.9793700660561	0.0201502730427468	0.157207210249513	0.706878042202461	1.55861410647251e-22	2.0320524319391e-21	0.0789629032319306	0.0215101138434129	0.0368030800988414	0.12112272636502	0.0505079597493982	0.0214253261796912	0.0085143204372035	0.092501599061593	MBTPS2	ENSG00000012174	protein_coding	chrX	21.839617	21885423	ENSG00000012174	protein_coding	FALSE	NPX
MID2	MID2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	565.95239170497	36.8038842910073	129.696954453411	31.8012066554775	9.77743762618739e-05	0.000740828927830352	117.512131470414	31.8334173137673	0.000381756617893604	0.00731586074000621	0.441977038926044	1.84969542749822e-10	6.74796294846573e-10	0.229165838601177	0.0581332355700767	0.115224696883827	0.343106980318527	0.207636071854737	0.0578455078337096	0.0942588765006667	0.321013267208808	MID2	ENSG00000080561	protein_coding	chrX	107.825755	107931637	ENSG00000080561	protein_coding	FALSE	NPX
MPP1	MPP1	950.518678136383	54.6734003881024	225.50521479657	33.8787946660445	1.79864467456067e-09	1.78365596893933e-08	145.011745382965	42.6288292944856	0.00098120894422348	0.0125104140388494	0.341073611831527	1.67687835178388e-07	4.07241885433227e-07	0.237244380340534	0.0381654453199961	0.162440107513342	0.312048653167727	0.15256064790571	0.0456984082154266	0.0629917678034734	0.242129528007946	902.430007670667	38.4003636642117	193.605206139731	33.6918923892045	1.22770399863391e-07	1.34365382072711e-06	129.711374899321	33.7260180764667	0.000223768985629235	0.00489805446321769	0.50197750099315	1.50477224690947e-12	6.89395657305034e-12	0.214537642248246	0.0384345444600722	0.139205935106504	0.289869349389987	0.143735662374669	0.037869625528613	0.0695111963385873	0.21796012841075	MPP1	ENSG00000130830	protein_coding	chrX	154.778684	154821007	ENSG00000130830	protein_coding	FALSE	NPX
MTM1	MTM1	664.357791379891	34.2982205954885	22.8100057376543	19.9216252259933	0.255090881772493	0.39084740254412	-24.5007891094834	25.0668764753531	0.330845240935407	0.64896566491176	0.114866036634915	0.0152969740404142	0.0180828467961188	0.0343339177076215	0.0300386322164125	-0.0245418014365471	0.09320963685179	-0.0368789068592009	0.0377789944150128	-0.110925735912626	0.0371679221942242	743.868184412367	18.1069354824713	41.1340253854901	13.9775047361254	0.00413560468088709	0.0211614057697339	13.9733253317581	13.9916622061132	0.320622728468984	0.634631926675098	0.436070477995223	2.87715608861385e-10	1.03999954028794e-09	0.0552974656632003	0.0188384469906774	0.0183741095614726	0.0922208217649281	0.0187846793619714	0.0188148870357308	-0.0180924992280609	0.0556618579520037	MTM1	ENSG00000171100	protein_coding	chrX	150.568621	150673143	ENSG00000171100	protein_coding	FALSE	NPX
PHKA2	PHKA2	1679.57670207637	36.488105569281	66.5558803239755	20.7155800434461	0.0017950435260657	0.00728216521369836	1.48426834234156	26.0658897139986	0.954710246452499	0.988950526133819	0.202160676622269	0.000368180019663439	0.000534840711834559	0.0396265798648528	0.0123638169553194	0.0153934986324268	0.0638596610972788	0.000883715724626709	0.0155193327142269	-0.029534176395258	0.0313016078445114	870.780369961957	20.0281306181053	84.5556885093455	17.0098422193763	3.16173658865487e-06	2.89703306030237e-05	52.9613258810977	17.0270710692507	0.00250254636838158	0.0410834695475976	0.411947472148705	1.65641759212195e-09	5.30592301866707e-09	0.0971033470966274	0.0196612829753947	0.0585672324648539	0.135639461728401	0.0608205326027407	0.0196037811983846	0.0223971214539068	0.0992439437515745	PHKA2	ENSG00000044446	protein_coding	chrX	18.892298	18984114	ENSG00000044446	protein_coding	FALSE	NPX
PIN4	PIN4	608.410818043384	34.5104524133519	111.72461027174	19.3945599193702	1.03046888856045e-07	8.75898555276379e-07	23.0540837332977	24.4036835487876	0.347210157601475	0.653528633593112	0.287200221119432	4.31684187388385e-06	8.28555133858352e-06	0.183633503807576	0.0335360184987995	0.117902907549929	0.249364100065223	0.0378922975226481	0.0401680804718422	-0.0408371402021627	0.116621735247459	640.307518097465	38.0231775460761	138.749025270601	27.0459774808052	1.65274328991124e-06	1.62795214056257e-05	-58.304820677307	27.0733716846851	0.0339457874578248	0.225753614592564	0.540217856986087	4.94991201196468e-14	2.74685258128744e-13	0.216691232492261	0.0441555739966172	0.130146307458891	0.303236157525631	-0.0910575294360858	0.0426261790340751	-0.174604840342873	-0.00751021852929856	PIN4	ENSG00000102309	protein_coding	chrX	72.181353	72302926	ENSG00000102309	protein_coding	FALSE	NPX
RTL5	RGAG4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	661.525416053072	39.8934086937365	111.87497502989	40.327980196216	0.00672959975861852	0.030814132864304	77.6951412897892	40.3688274132317	0.0574342750071753	0.282863804410339	0.122803306125913	0.0100103185960442	0.0127639661062828	0.16911666931466	0.0618093003022398	0.0479704407222701	0.29026289790705	0.117448459884353	0.0614335051752345	-0.00296121025910653	0.237858130027813	RTL5	ENSG00000242732	protein_coding	chrX	72.12711	72131901	ENSG00000242732	protein_coding	FALSE	NPX
