gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEy	deltaEy_err	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
DDX3Y	5141.39949651585	214.299226226125	-703.790246250911	233.87342525637	0.00432233336301309	0.0432233336301309	4221.91365750724	267.698638885081	1.01198555072056e-19	3.37328516906853e-19	0.905917564774905	6.85530324423346e-22	3.42765162211673e-21	-0.136886901460944	0.0458447113336627	0.821160398130564	0.0623095469508101	DDX3Y	ENSG00000067048	protein_coding	chrY	12904108	12920478	ENSG00000067048	protein_coding
EIF1AY	1029.39357438501	83.632610107385	68.2457011868838	71.4681318164135	0.344839867746092	0.602806800982536	1265.2619384896	81.8045983204	2.09784432977156e-19	5.24461082442891e-19	0.891432847607745	1.54898028146272e-20	5.16326760487574e-20	0.0662969955176338	0.0696360354553259	1.22913331690992	0.127621993031711	EIF1AY	ENSG00000198692	protein_coding	chrY	20575776	20593154	ENSG00000198692	protein_coding
KDM5D	1511.72617869241	79.3731699252972	48.6728133736672	101.271261143191	0.633169040982264	0.78044110120927	1216.90143805496	115.918167002043	1.46113418128689e-13	2.08733454469556e-13	0.738389635202305	2.69802098030096e-12	3.85431568614422e-12	0.0321968449443454	0.0670118055136437	0.804974773346547	0.0875560843277803	KDM5D	ENSG00000012817	protein_coding	chrY	19703865	19744939	ENSG00000012817	protein_coding
NLGN4Y	1684.2635340318	166.669279004964	-75.4506271808171	196.186762465507	0.702396991088343	0.78044110120927	1449.12384466148	224.561337919074	7.27091379806636e-08	7.27091379806636e-08	0.542308828084293	3.34764611772241e-07	3.34764611772241e-07	-0.0447973999651961	0.116566547862306	0.860390203421765	0.158195171908601	NLGN4Y	ENSG00000165246	protein_coding	chrY	14522573	14845650	ENSG00000165246	protein_coding
PRKY	506.207507958477	39.2893152141024	18.6864464995895	35.2577948205688	0.598780068004554	0.78044110120927	680.589383357226	40.3571447812395	7.99145440457522e-21	3.99572720228761e-20	0.87866261195929	1.73750102996378e-19	3.61729263310923e-19	0.0369145976813965	0.0697097773628884	1.34448693995478	0.131321825345265	PRKY	ENSG00000099725	transcribed_unitary_pseudogene	chrY	7273972	7381548	ENSG00000099725	transcribed_unprocessed_pseudogene
RPS4Y1	12480.3425683739	454.465249579566	-1254.96285096125	595.633266351118	0.0408587640624107	0.180261771000022	8690.5752505384	681.779960686346	2.26858760208294e-16	3.7809793368049e-16	0.842327895131112	5.08008472831592e-17	8.46680788052654e-17	-0.100555160572388	0.047865975507576	0.696341082220047	0.060226440958402	RPS4Y1	ENSG00000129824	protein_coding	chrY	2841602	2932000	ENSG00000129824	protein_coding
TXLNGY	849.2036552816	36.6239178204848	-66.2708089469714	35.9623895506789	0.0721047084000086	0.180261771000022	698.247420112681	41.1636453488406	6.39433674848956e-21	3.99572720228761e-20	0.915071082159868	7.36062959707033e-23	7.36062959707033e-22	-0.0780387702464559	0.0424818978567341	0.822237888131957	0.0600594165695555	TXLNGY	ENSG00000131002	transcribed_unprocessed_pseudogene	chrY	19567313	19606274	ENSG00000131002	transcribed_unprocessed_pseudogene
USP9Y	2092.73270993309	130.715953523302	-15.6177691334304	159.82180905522	0.922598522193604	0.922598522193604	1385.56093022749	182.93690572725	1.66262630818427e-09	1.84736256464919e-09	0.623948944529558	5.74014982376889e-09	6.3779442486321e-09	-0.00746285899737751	0.0763713327674935	0.662082130054627	0.0967040033809561	USP9Y	ENSG00000114374	protein_coding	chrY	12537650	12860839	ENSG00000114374	protein_coding
UTY	718.492285931817	35.2906980747143	-40.5970295260559	44.0432754761642	0.361684080589522	0.602806800982536	469.463620306193	50.4132732655938	5.73716705007787e-12	7.17145881259734e-12	0.725396839384688	7.57224613592525e-12	9.46530766990656e-12	-0.0565030833607425	0.0613623730832672	0.653401058714699	0.0771568232221609	UTY	ENSG00000183878	protein_coding	chrY	13234577	13480673	ENSG00000183878	protein_coding
ZFY	1582.48370707582	56.728117375968	-131.838228977712	66.7418161946045	0.0545224321467111	0.180261771000022	1106.83420210541	76.394713646617	2.34431637088481e-18	4.68863274176963e-18	0.878438233506733	1.80864631655462e-19	3.61729263310923e-19	-0.0833109550437824	0.0422809639877691	0.699428497845743	0.0543979675665349	ZFY	ENSG00000067646	protein_coding	chrY	2935281	2982506	ENSG00000067646	protein_coding
