Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	x_class	Balaton.consensus.calls	Cotton_AR	Tuk_Skew_AR	Tuk_SC_AR	garieri_AR	sauteraud_AR	mean_AR_public
ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ABCB7	ENSG00000131269	protein_coding	Single-copy	Mostly S	0.03	NA	NA	0.00281087889353859	0.022611072	0.0184739836311795
ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ABCD1	ENSG00000101986	protein_coding	Single-copy	Mostly S	0.03	NA	NA	NA	NA	0.03
ACE2	ENSG00000130234	protein_coding	chrX	15494566	15607236	ACE2	ENSG00000130234	protein_coding	Single-copy	E	0.43	NA	NA	NA	NA	0.43
ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ACOT9	ENSG00000123130	protein_coding	Single-copy	S	0.02	0	0	0.00414062199322052	0.009992396	0.0068266035986441
ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ACSL4	ENSG00000068366	protein_coding	Single-copy	S	0.02	NA	NA	0.00253340190661788	0.056900849	0.0264780836355393
ACTRT1	ENSG00000123165	protein_coding	chrX	128050962	128052403	ACTRT1	ENSG00000123165	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
ADGRG2	ENSG00000173698	protein_coding	chrX	18989307	19122637	ADGRG2	ENSG00000173698	protein_coding	Single-copy	Mostly S	0.12	NA	NA	NA	NA	0.12
ADGRG4	ENSG00000156920	protein_coding	chrX	136300963	136416890	ADGRG4	ENSG00000156920	protein_coding	Single-copy	E	0.36	NA	NA	NA	NA	0.36
AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	AFF2	ENSG00000155966	protein_coding	Single-copy	Mostly S	0.2	NA	NA	NA	NA	0.2
AGTR2	ENSG00000180772	protein_coding	chrX	116170744	116174974	AGTR2	ENSG00000180772	protein_coding	Single-copy	S	0.02	NA	NA	NA	NA	0.02
AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	AIFM1	ENSG00000156709	protein_coding	Single-copy	S	0	NA	NA	NA	0.009875792	0.004937896
AKAP14	ENSG00000186471	protein_coding	chrX	119895837	119920716	AKAP14	ENSG00000186471	protein_coding	Single-copy	Mostly S	0.09	NA	NA	NA	NA	0.09
AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	AKAP17A	ENSG00000197976	protein_coding	PAR	PAR	NA	0.951612903225806	NA	0.814493941743913	0.754200745	0.840102529989907
AKAP4	ENSG00000147081	protein_coding	chrX	50190777	50201007	AKAP4	ENSG00000147081	protein_coding	Single-copy	S	0.02	NA	NA	NA	NA	0.02
ALAS2	ENSG00000158578	protein_coding	chrX	55009055	55030977	ALAS2	ENSG00000158578	protein_coding	Single-copy	S	0.1	NA	NA	NA	NA	0.1
ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ALG13	ENSG00000101901	protein_coding	Single-copy	VE	0.16	NA	NA	0.0466699671659632	0.23219209	0.146287352388654
AMELX	ENSG00000125363	protein_coding	chrX	11293413	11300761	AMELX	ENSG00000125363	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	AMER1	ENSG00000184675	protein_coding	Single-copy	S	NA	NA	NA	NA	0.045265917	0.045265917
AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	AMMECR1	ENSG00000101935	protein_coding	Single-copy	S	0.01	NA	NA	0.000464430991960585	0.023128787	0.0111977393306535
AMOT	ENSG00000126016	protein_coding	chrX	112774503	112840831	AMOT	ENSG00000126016	protein_coding	Single-copy	S	0.06	NA	NA	NA	0.021765997	0.0408829985
ANOS1	ENSG00000011201	protein_coding	chrX	8528874	8732137	ANOS1	ENSG00000011201	protein_coding	Single-copy	Mostly E	0.31	NA	NA	NA	NA	0.31
AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	AP1S2	ENSG00000182287	protein_coding	Single-copy	Mostly E	0.24	0.0625	NA	0.0769235739647265	0	0.0948558934911816
APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	APEX2	ENSG00000169188	protein_coding	Single-copy	S	NA	NA	NA	NA	0.007611076	0.007611076
APLN	ENSG00000171388	protein_coding	chrX	129645259	129654956	APLN	ENSG00000171388	protein_coding	Single-copy	Mostly S	0.12	NA	NA	NA	NA	0.12
APOO	ENSG00000184831	protein_coding	chrX	23833353	23907938	APOO	ENSG00000184831	protein_coding	Single-copy	S	0.03	NA	0	NA	0.026620064	0.0188733546666667
APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	APOOL	ENSG00000155008	protein_coding	Single-copy	Mostly S	0.03	NA	NA	0.00172998768873844	0	0.0105766625629128
AR	ENSG00000169083	protein_coding	chrX	67544021	67730619	AR	ENSG00000169083	protein_coding	Single-copy	Mostly S	0.08	NA	NA	NA	NA	0.08
ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ARAF	ENSG00000078061	protein_coding	Single-copy	S	0.04	NA	NA	NA	0.003799521	0.0218997605
