gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
ABCB7	897.907910751417	22.1384615096574	-1.16203874632227	20.2825801296634	0.954597481582354	0.992614517998095	0.54451452090446	1.2322295282678e-06	5.53036347805903e-06	-0.00129416249974879	0.0225887311187954	NPX	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ENSG00000131269	protein_coding
ABCD1	912.419924315655	41.5679353819058	33.7880129556753	46.76801242523	0.474214747093033	0.802993178482168	0.327542804240163	0.00132343167438169	0.00254047962564584	0.0370312090466651	0.0512848706743916	NPX	ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ENSG00000101986	protein_coding
ACOT9	2964.36564328193	104.508297486641	27.5041448075125	116.753248465003	0.814964469397907	0.962308961709875	0.325210905315296	0.00140375449745613	0.0026728052805099	0.0092782565031559	0.0393869343449085	NPX	ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ENSG00000123130	protein_coding
ACSL4	9232.33618674419	489.798510112739	352.706262170341	458.339156114826	0.446098749580502	0.789573843154221	0.536034319992253	1.73404908985541e-06	7.34535400983697e-06	0.0382033599119536	0.0496863362235458	NPX	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ENSG00000068366	protein_coding
AFF2	871.443060112759	106.828893766632	133.333805433889	152.18374673049	0.386186902547949	0.735315465962508	-0.0901730370998561	0.867854791976063	0.881890179447374	0.153003462345131	0.175638557221272	NPX	AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	ENSG00000155966	protein_coding
AIFM1	1860.22392392668	74.6478059645576	56.0078518327482	78.9139152776526	0.481986488941082	0.802993178482168	0.420409348497876	9.90485979409702e-05	0.000259314732109345	0.0301081236040247	0.0424389304851778	NPX	AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	ENSG00000156709	protein_coding
AKAP17A	976.295766035036	91.6167822050376	636.610036812095	59.0706747471984	2.13582025393706e-13	8.9467137303808e-12	0.862761887103788	1.10230424705179e-16	4.15568701138524e-15	0.652066780333911	0.0860531765665928	PAR1	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	ENSG00000197976	protein_coding
ALG13	1274.51643210792	45.3134657667917	148.977709573191	57.3063526108637	0.0130085998713673	0.0791006798629914	0.312793811450568	0.0019121103950112	0.00355106216216366	0.116889595002551	0.0451548597104238	NPX	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding
AMER1	360.655862839362	15.7218084738962	40.841629135975	15.7032300145387	0.0129708216502184	0.0791006798629914	0.514294203661811	4.03473114275511e-06	1.63558456002008e-05	0.11324265967684	0.0438197076242171	NPX	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	ENSG00000184675	protein_coding
AMMECR1	1864.27467159071	66.7019988616404	-71.317373435033	70.2961794980698	0.3164289730475	0.659081341651422	0.418741074567103	0.000104245479417839	0.000265544227976522	-0.0382547564057075	0.037731819572079	NPX	AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	ENSG00000101935	protein_coding
AMOT	1211.26715957035	81.0875672697594	-183.375313463704	114.039034607692	0.115699948028348	0.366545213501572	-0.0401201357590892	0.638784216533063	0.674877928700084	-0.151391302913512	0.094692458976542	NPX	AMOT	ENSG00000126016	protein_coding	chrX	112774503	112840831	ENSG00000126016	protein_coding
AP1S2	3599.84530995948	317.516200967496	-90.3137932686902	450.09400117055	0.841984822475118	0.962869012569648	-0.0990417581053518	0.899715377947998	0.909363800231622	-0.0250882428249971	0.125051064355055	NPX	AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	ENSG00000182287	protein_coding
APEX2	1132.52955987275	52.1885427370267	-53.249975009093	51.9180340107166	0.311217235338634	0.655923345838812	0.465824416309586	2.28875125370323e-05	7.01511563126926e-05	-0.0470186182293343	0.0458937161537247	NPX	APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	ENSG00000169188	protein_coding
APOO	482.713239737684	19.1395798633978	-1.33023145456195	25.3345826044124	0.958386431170574	0.992614517998095	0.0445350076532655	0.269440015713522	0.300529248295851	-0.00275573849038163	0.0524838256378552	NPX	APOO	ENSG00000184831	protein_coding	chrX	23833353	23907938	ENSG00000184831	protein_coding
APOOL	1487.55502946755	100.206473661343	-6.90714808526557	66.4863846624494	0.917777254855524	0.987900051616752	0.759258494360529	6.55021125072103e-12	7.71696762975571e-11	-0.00464328912103365	0.0446961701735471	NPX	APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	ENSG00000155008	protein_coding
AR	925.394430896318	106.480163871449	-8.07347907886188	103.330246270106	0.9381119853549	0.987900051616752	0.485898416476649	1.14150195172e-05	3.84237710534322e-05	-0.00872436531851836	0.11166527332799	NPX	AR	ENSG00000169083	protein_coding	chrX	67544021	67730619	ENSG00000169083	protein_coding
ARAF	2708.94805922939	59.5019003404153	-21.4940017540638	56.5815125678334	0.706046471298805	0.904953332101383	0.505918607415365	5.52255060855987e-06	2.06138770240304e-05	-0.00793444587497117	0.020887621671637	NPX	ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ENSG00000078061	protein_coding
ARHGEF6	1439.27098215814	73.3678086532561	101.994016413343	104.012621153786	0.332687657323285	0.674318531241281	-0.0645228272114067	0.757637241132524	0.786857410212016	0.0708650543766302	0.0723578021758373	NPX	ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ENSG00000129675	protein_coding
ARHGEF9	1081.92832279439	25.9500941658773	-63.1036973573816	31.2419669989563	0.0501338822035233	0.216132123386937	0.27613503058034	0.00455365556438091	0.00762990287898491	-0.0583252106705165	0.0289100556470525	NPX	ARHGEF9	ENSG00000131089	protein_coding	chrX	63634967	63809274	ENSG00000131089	protein_coding
ARMCX1	2625.51244372042	79.6302395327838	-1.05528877293854	102.115368979398	0.991805956090404	0.995830699178742	0.10686011182682	0.113433456340052	0.137065426410896	-0.000401936305981918	0.0388935021959387	NPX	ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ENSG00000126947	protein_coding
ARMCX2	6580.9166839905	161.939872905762	-350.400606633599	202.546896159105	0.0913454166448951	0.311013762524603	0.153846697641328	0.0526810808326653	0.0675536308636558	-0.0532449540785137	0.0308057909863807	NPX	ARMCX2	ENSG00000184867	protein_coding	chrX	101655281	101659850	ENSG00000184867	protein_coding
ARMCX3	5596.10525959456	232.347449410549	-177.632643193939	293.963510456614	0.54907796827178	0.82397899950808	0.12581013320461	0.0842230573979981	0.104105221767362	-0.0317421912122519	0.0525465480463488	NPX	ARMCX3	ENSG00000102401	protein_coding	chrX	101622797	101627843	ENSG00000102401	protein_coding
ARMCX4	766.603031863597	31.9379442085514	-47.4021078817749	37.5921329320309	0.214629235263659	0.531301350170275	0.262527786447322	0.00618183375242137	0.0101770800203618	-0.0618339687054737	0.0491049064599886	NPX	ARMCX4	ENSG00000196440	protein_coding	chrX	101418287	101533459	ENSG00000196440	protein_coding
