Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Balaton.consensus.calls	Carrel_hybrids	Carrel_SNPs	Cotton_AI	Cotton_DNAm	Balaton_only_methylation_data	num_inf_females	pct_females_escape	Cotton_XCI_status	Cotton_AR	Cotton_AR_SD	Cotton_95ci_lo	Cotton_Esc_myCall	total_count	Tuk_Skew_AR	Tuk_skew_padj	Y014	Y035	Y117	Tuk_SC_inf_samples	Tuk_SC_sig_samples	Tuk_SC_pct_sig	Tuk_AR	Tuk_myCall	Garieri_XCI_status	num_inf_samples	num_sig_samples	pct_sig_samples	Garieri_AR	Garieri_myCall	Sauteraud_AR	Sauteraud_XCI.status	Sauteraud_AR_p.adj	Sauteraud_myCall	Avg_AR	num_studies_XCI_calls	num_studies_Esc	pct_studies_Esc	num_studies_Subject	pct_studies_Subject	Final_XCI_Call	Diff_from_Balaton
ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ABCB7	ENSG00000131269	protein_coding	Mostly S	0.22	NA	S	S or S+U and VE and U	FALSE	35	0.0571428571428571	subject	0.0344914285714286	0.0947546719985153	0.00309916140700809	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00302548860667999	Subject	0.0226110721997785	S	0.20533283232237	Subject	0.0200426631259624	3	0	0	3	1	Subject	FALSE
ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ABCD1	ENSG00000101986	protein_coding	Mostly S	0.33	NA	S	NA	FALSE	25	0.08	subject	0.02776	0.0627964303656399	0.00314379929666914	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02776	1	0	0	1	1	Subject	FALSE
ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ACOT9	ENSG00000123130	protein_coding	S	0.22	S	S	all F S or S+U	FALSE	45	0.0444444444444444	subject	0.0181066666666667	0.039468390113885	0.00657481024106865	Subject	30	0	1	0	NA	0	2	0	0	0	Subject	inactivated gene	4	0	0	0.00404833595184145	Subject	0.00999239645198032	S	0.0887682352028078	Subject	0.00803684976762211	4	0	0	4	1	Subject	FALSE
ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ACSL4	ENSG00000068366	protein_coding	S	0	NA	S	all F S	FALSE	46	0.0217391304347826	subject	0.0188608695652174	0.0463318679780792	0.00547159752110045	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	5	0	0	0.00205268186653789	Subject	0.056900848689537	S	0.0617488105581949	Subject	0.0259381333737641	3	0	0	3	1	Subject	FALSE
AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	AFF2	ENSG00000155966	protein_coding	Mostly S	NA	NA	VE	all F S	FALSE	44	0.454545454545455	variable escape	0.203215909090909	0.195241458072606	0.145525744840931	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.203215909090909	1	1	1	0	0	Escape	TRUE
AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	AIFM1	ENSG00000156709	protein_coding	S	0	NA	S	all F S or S+U	FALSE	30	0	subject	0.00031	0.00169793992826601	-0.0002976	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0.00804570148635797	Subject	0.00987579181052443	S	0.0918875800680829	Subject	0.00607716443229413	3	0	0	3	1	Subject	FALSE
AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	AKAP17A	ENSG00000197976	protein_coding	PAR	1	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	4	4	1	0.709947324480283	Escape	0.754200744703423	E	7.88948889990866e-52	Escape	0.732074034591853	2	2	1	0	0	Escape	FALSE
ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ALG13	ENSG00000101901	protein_coding	VE	0.56	NA	VE	E or E+U and VE and U	FALSE	29	0.310344827586207	variable escape	0.1565	0.236946330571774	0.0702603351887391	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	1	0.333333333333333	0.0366649793227454	Subject	0.232192089853968	VE	0.000491465418109817	Escape	0.141785689725571	3	2	0.666666666666667	1	0.333333333333333	Escape	FALSE
AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	AMER1	ENSG00000184675	protein_coding	S	NA	NA	NA	all F S or S+U	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	TRUE
AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	AMMECR1	ENSG00000101935	protein_coding	S	0.22	NA	S	all F S	FALSE	37	0.027027027027027	subject	0.00767567567567568	0.0236956091268381	4.04287533655847e-05	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	4	0	0	0.000885669049394022	Subject	NA	NA	NA	NA	0.00428067236253485	2	0	0	2	1	Subject	FALSE
AMOT	ENSG00000126016	protein_coding	chrX	112774503	112840831	AMOT	ENSG00000126016	protein_coding	S	0	NA	S	too much U	FALSE	27	0.185185185185185	subject	0.0628962962962963	0.110794211461824	0.021104478659034	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0628962962962963	1	0	0	1	1	Subject	FALSE
AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	AP1S2	ENSG00000182287	protein_coding	Mostly E	1	NA	VE	all F E	FALSE	32	0.59375	variable escape	0.239896875	0.190312355275648	0.173957008090093	Escape	17	0.0625	1	1	NA	NA	1	1	1	0.53125	Escape	escapee , relaxed set	3	2	0.666666666666667	0.277808862415215	Escape	NA	NA	NA	NA	0.349651912471738	3	3	1	0	0	Escape	FALSE
APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	APEX2	ENSG00000169188	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00761107623047163	S	0.587771349657336	Subject	0.00761107623047163	1	0	0	1	1	Subject	FALSE
APOO	ENSG00000184831	protein_coding	chrX	23833353	23907938	APOO	ENSG00000184831	protein_coding	S	0.11	NA	S	all F S or S+U	FALSE	30	0.0666666666666667	subject	0.0296466666666667	0.0593239774361984	0.00841785398008088	Subject	NA	NA	NA	0	NA	0	2	0	0	0	Subject	NA	NA	NA	NA	NA	NA	0.0266200642506287	S	0.0705546565155433	Subject	0.0187555769724318	3	0	0	3	1	Subject	FALSE
APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	APOOL	ENSG00000155008	protein_coding	Mostly S	0	NA	S	S or S+U and VE	FALSE	29	0.0344827586206897	subject	0.0280758620689655	0.106078143888538	-0.0105326428640836	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00127646197601661	Subject	NA	NA	NA	NA	0.0146761620224911	2	0	0	2	1	Subject	FALSE
AR	ENSG00000169083	protein_coding	chrX	67544021	67730619	AR	ENSG00000169083	protein_coding	Mostly S	0	NA	S	S or S+U and VE and U	FALSE	17	0.176470588235294	subject	0.0764117647058823	0.0973689945667571	0.0301254827913232	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0764117647058823	1	0	0	1	1	Subject	FALSE
ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ARAF	ENSG00000078061	protein_coding	S	0	NA	S	all F S or S+U	FALSE	13	0	subject	0.0446461538461538	0.050841135172624	0.0170085979427173	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0.00588698297654855	Subject	0.00379952059269789	S	0.470549466958841	Subject	0.0181108858051334	3	0	0	3	1	Subject	FALSE
ARHGAP4	ENSG00000089820	protein_coding	chrX	153907367	153934999	ARHGAP4	ENSG00000089820	protein_coding	Discordant	0.78	VE	S	NA	FALSE	10	0.1	subject	0.09444	0.13370672882594	0.0115677108902298	Subject	144	0	1	0.0277777777777778	NA	NA	1	0	0	0.0138888888888889	Subject	NA	NA	NA	NA	NA	NA	0.0407023272668556	S	0.0407108222890983	Subject	0.0496770720519148	3	0	0	3	1	Subject	TRUE
