gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
KDM5C	7053.778938	216.6468062	4663.275279	273.4302166	4.08E-19	1.39E-16	0.915721037	6.57E-19	2.24E-16	0.661103122	0.043759653	NPX	KDM5C	ENSG00000126012	protein_coding	chrX	53191321	53225422	ENSG00000126012	protein_coding
PNPLA4	555.6638074	26.16041447	489.5239825	31.84169752	1.19E-17	2.04E-15	0.900965023	1.25E-17	1.42E-15	0.880971508	0.070738777	NPX	PNPLA4	ENSG00000006757	protein_coding	chrX	7898247	7927739	ENSG00000006757	protein_coding
KDM6A	1899.200381	96.16770677	1605.147401	105.8591364	1.86E-17	2.11E-15	0.902879547	8.73E-18	1.42E-15	0.845170113	0.07027308	NPX	KDM6A	ENSG00000147050	protein_coding	chrX	44873188	45112779	ENSG00000147050	protein_coding
JPX	517.2697996	23.6720844	356.3028417	24.92586545	1.21E-16	1.03E-14	0.897478986	2.34E-17	1.99E-15	0.688814313	0.05758206	NPX	JPX	ENSG00000225470	lncRNA	chrX	73944182	74070408	ENSG00000225470	lincRNA
PUDP	2161.058578	160.0147277	2496.689161	177.3143404	1.94E-16	1.32E-14	0.876906576	6.49E-16	4.43E-14	1.155308415	0.118532696	NPX	PUDP	ENSG00000130021	protein_coding	chrX	6667865	7148158	ENSG00000130021	protein_coding
GTPBP6	1774.546083	136.5329134	1438.969383	123.9176263	6.70E-14	3.81E-12	0.805491072	2.48E-12	9.39E-11	0.810894344	0.093641946	PAR1	GTPBP6	ENSG00000178605	protein_coding	chrX	304529	318819	ENSG00000178605	protein_coding
PPP2R3B	413.7481265	34.55151152	374.2012215	32.82635927	1.15E-13	5.60E-12	0.817889223	7.62E-13	3.25E-11	0.904417924	0.109539715	PAR1	PPP2R3B	ENSG00000167393	protein_coding	chrX	333933	386955	ENSG00000167393	protein_coding
EIF1AX	8268.204431	476.1021098	5085.450797	481.9205475	1.04E-12	4.42E-11	0.831972685	1.79E-13	1.02E-11	0.615061086	0.068202601	NPX	EIF1AX	ENSG00000173674	protein_coding	chrX	20124525	20141838	ENSG00000173674	protein_coding
AKAP17A	3116.628369	228.765588	2212.741121	226.3511813	8.48E-12	3.21E-10	0.722128492	1.39E-09	3.38E-08	0.709979137	0.089389608	PAR1	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	ENSG00000197976	protein_coding
XIST	-136.7474978	1422.443085	14195.02506	1560.193646	5.65E-11	1.93E-09	0.673393129	2.33E-08	3.97E-07	1.009727187	0.187914878	NPX	XIST	ENSG00000229807	lncRNA	chrX	73820649	73852723	ENSG00000229807	lincRNA
ZBED1	3366.266313	250.5445795	2814.610207	311.0552337	6.51E-11	1.97E-09	0.752057978	1.86E-10	4.88E-09	0.836122263	0.111405209	PAR1	ZBED1	ENSG00000214717	protein_coding	chrX	2486414	2500976	ENSG00000214717	protein_coding
SLC25A6	26776.75132	1885.594714	20593.39125	2281.277296	6.92E-11	1.97E-09	0.75442292	1.57E-10	4.47E-09	0.769077286	0.100952717	PAR1	SLC25A6	ENSG00000169100	protein_coding	chrX	1386152	1392113	ENSG00000169100	protein_coding
SMC1A	9791.975172	847.8014101	7256.993767	824.8269643	1.33E-10	3.50E-09	0.825274815	3.62E-13	1.77E-11	0.741116439	0.105891031	NPX	SMC1A	ENSG00000072501	protein_coding	chrX	53374149	53422728	ENSG00000072501	protein_coding
ZRSR2	1026.910621	46.10057614	413.4605413	48.66269166	3.20E-10	7.78E-09	0.796495934	5.56E-12	1.90E-10	0.402625635	0.050717578	NPX	ZRSR2	ENSG00000169249	protein_coding	chrX	15790472	15823260	ENSG00000169249	protein_coding
TXLNG	2758.554525	108.8271166	1015.425458	125.1177858	9.78E-10	2.22E-08	0.769957574	4.93E-11	1.53E-09	0.368100557	0.04762433	NPX	TXLNG	ENSG00000086712	protein_coding	chrX	16786432	16844519	ENSG00000086712	protein_coding
DHRSX	807.9348879	59.97271405	521.3978729	72.08532005	1.39E-08	2.96E-07	0.685328267	1.22E-08	2.31E-07	0.645346402	0.101268395	PAR1	DHRSX	ENSG00000169084	protein_coding	chrX	2219506	2502805	ENSG00000169084	protein_coding
DDX3X	21260.86061	1002.850711	7725.024659	1140.727466	5.72E-08	1.15E-06	0.6883887	1.03E-08	2.06E-07	0.363344871	0.056324668	NPX	DDX3X	ENSG00000215301	protein_coding	chrX	41333348	41364472	ENSG00000215301	protein_coding
P2RY8	5096.241857	532.25078	3954.237448	604.4383185	1.16E-07	2.20E-06	0.631309417	1.88E-07	2.57E-06	0.775912439	0.143645195	PAR1	P2RY8	ENSG00000182162	protein_coding	chrX	1462581	1537185	ENSG00000182162	protein_coding
EIF2S3	18659.32065	804.7039707	5664.082716	888.1218444	1.94E-07	3.48E-06	0.682369201	1.44E-08	2.58E-07	0.303552462	0.049364156	NPX	EIF2S3	ENSG00000130741	protein_coding	chrX	24054946	24078810	ENSG00000130741	protein_coding
ZFX	1941.489535	130.7019341	873.9738364	145.9988667	6.56E-07	1.12E-05	0.695425679	6.91E-09	1.47E-07	0.450156347	0.08107606	NPX	ZFX	ENSG00000005889	protein_coding	chrX	24149173	24216255	ENSG00000005889	protein_coding
