gene_name.84	intercept_LCL	intercept_err_LCL	x_coeff_LCL	x_coeff_err_LCL	x_pval_LCL	x_adj_pval_LCL	y_coeff_LCL	y_coeff_err_LCL	y_pval_LCL	y_adj_pval_LCL	adj.r.sq_LCL	reg_pval_LCL	reg_adj_pval_LCL	deltaEx_LCL	deltaEx_err_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	deltaEy_LCL	deltaEy_err_LCL	deltaEy_95_CI_lo_LCL	deltaEy_95_CI_hi_LCL	intercept_Fib	intercept_err_Fib	x_coeff_Fib	x_coeff_err_Fib	x_pval_Fib	x_adj_pval_Fib	y_coeff_Fib	y_coeff_err_Fib	y_pval_Fib	y_adj_pval_Fib	adj.r.sq_Fib	reg_pval_Fib	reg_adj_pval_Fib	deltaEx_Fib	deltaEx_err_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	deltaEy_Fib	deltaEy_err_Fib	deltaEy_95_CI_lo_Fib	deltaEy_95_CI_hi_Fib	Gene	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84	Human_NPY	region
AMMECR1	AMMECR1	1620.01165252915	63.7295085287482	-25.1771343057536	30.628776490768	0.413130023778711	0.560788663456273	-87.7001755626357	38.5394137363609	0.0251172121034833	0.145874325988585	0.402801566108012	2.56509107487461e-09	8.80516840125227e-09	-0.0155413291419523	0.0189163986472052	-0.0526174704904745	0.0215348122065699	-0.0541355214487001	0.0238847221082035	-0.100949576780779	-0.00732146611662114	2020.89494941912	66.815101806345	-161.035138169654	54.5926084800774	0.00405257092613092	0.0210093808538892	-49.2391571913414	54.6479039874445	0.369979568339191	0.674870138544635	0.349695381472148	1.05129097132627e-07	2.57272448883571e-07	-0.0796850614209021	0.0271422395057941	-0.132883850852259	-0.0264862719895458	-0.0243650256068454	0.0270534333444868	-0.0773897549620394	0.0286597037483487	AMMECR1	ENSG00000101935	protein_coding	chrX	110.194186	110440318	ENSG00000101935	protein_coding	FALSE	NPX
ARHGEF9	ARHGEF9	1562.14136610879	61.1844126602398	-11.8804304387429	36.2351087461731	0.743730918895981	0.837577091627335	-26.1007458913109	45.5937196241487	0.568360252774574	0.816063997592691	0.0500259291282664	0.132967111243134	0.139206037283867	-0.00760522107441301	0.0231977061546588	-0.0530727251375442	0.0378622829887181	-0.0167083123573678	0.0291940152724266	-0.0739285822913239	0.0405119575765883	1161.42547264425	24.6168792414236	-62.8268994845182	21.0827793209108	0.00370579699926328	0.0194677869027964	-37.4790756658383	21.1041335483734	0.0791273218395159	0.348388785552662	0.352991861360266	8.54321681953278e-08	2.13039710563033e-07	-0.0540946457300254	0.0181886766443581	-0.0897444519529672	-0.0184448395070837	-0.0322698929450105	0.0181837573932229	-0.0679100574357274	0.00337027154570636	ARHGEF9	ENSG00000131089	protein_coding	chrX	63.634967	63809274	ENSG00000131089	protein_coding	FALSE	NPX
ARMCX5	ARMCX5	957.939340425579	27.2496626732122	-69.1335479282267	14.8871172958165	1.09713885389592e-05	7.12142856074262e-05	-49.5502344380015	18.7320826536489	0.00955409623995776	0.0725704756949983	0.36617860848948	3.26037369588956e-08	9.09338601119197e-08	-0.0721690247083005	0.0156757815080819	-0.102893556464141	-0.0414444929524599	-0.0517258581487926	0.0196098406310456	-0.090161145785642	-0.0132905705119432	693.487501775854	12.1187904380884	-44.0823714331478	11.5264836917796	0.000241301333806194	0.00163918492275242	-46.0363636648104	11.5381585829717	0.000134464120823697	0.00344071183595857	0.272906190769318	9.28200106525839e-06	1.8470244543999e-05	-0.0635662089370948	0.0166581187156866	-0.0962161216198407	-0.030916296254349	-0.0663838404396942	0.0166782687908943	-0.099073247269847	-0.0336944336095413	ARMCX5	ENSG00000125962	protein_coding	chrX	102.599168	102604159	ENSG00000125962	protein_coding	FALSE	NPX
CDR1	CDR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201.702704002323	15.75492240158	-37.1547000381327	10.5036474683367	0.000641460983922814	0.00401167662961252	-21.8877180197555	10.5142863539319	0.0402083223236426	0.232971749934047	0.562898249675858	5.62837963229356e-15	3.57674447600591e-14	-0.184205264981003	0.0540260610970392	-0.2900963447312	-0.0783141852308063	-0.108514747623331	0.0528122563772027	-0.212026770122648	-0.0050027251240136	CDR1	ENSG00000288642	protein_coding	chrX	140.783578	140784366	ENSG00000184258	protein_coding	FALSE	NPX
RADX	CXorf57	1026.38379092201	46.0509986857722	-192.14054894221	25.822287455162	4.45326460213592e-11	5.29938487654174e-10	-144.213464064841	32.4915303147578	2.44123491276772e-05	0.000512659331681221	0.490856690435911	2.42146149569314e-12	1.29024142382455e-11	-0.187201464638883	0.0265235255156482	-0.239187574649554	-0.135215354628213	-0.140506373288779	0.0322779253447576	-0.203771106964504	-0.0772416396130545	238.083963210026	16.0874803494727	-46.3803272773568	14.8915133998616	0.00247118413040013	0.0135228687135785	-42.1062523424663	14.9065966466936	0.00582823758578428	0.0681401977773683	0.22845687712937	9.30835706356312e-05	0.000161563554319113	-0.194806599537502	0.0639174225282944	-0.320084747692959	-0.0695284513820447	-0.176854634704322	0.0637409038691409	-0.301786806287838	-0.0519224631208053	RADX	ENSG00000147231	protein_coding	chrX	106.61193	106679439	ENSG00000147231	protein_coding	FALSE	NPX
INTS6L	DDX26B	1685.97356383363	53.4381778224329	-21.4335716387029	26.4069232607028	0.419013013641134	0.56661987071926	38.5105125199728	33.2271627420478	0.249358366055	0.57511007096045	0.346250661776895	1.20432921459654e-07	3.00661209518157e-07	-0.0127128752778106	0.0156678971758338	-0.043421953742445	0.0179962031868237	0.0228417060303165	0.0197212909938683	-0.0158120243176653	0.0614954363782982	282.6459476555	12.7765071576981	-39.0308851441711	11.6189096197562	0.00114757264665909	0.0068506609512679	-24.6873225148492	11.6306781268923	0.0365330975377581	0.226862985345492	0.334643851915461	2.66668313207443e-07	6.21700091146345e-07	-0.138091083448836	0.0415788787747977	-0.21958568584744	-0.056596481050233	-0.0873436280251897	0.0413382618250268	-0.168366621202242	-0.00632063484813709	INTS6L	ENSG00000165359	protein_coding	chrX	135.520659	135582510	ENSG00000165359	protein_coding	FALSE	NPX
DMD	DMD	2604.41696838904	306.675054229742	91.6943451184229	179.865133579017	0.611377398426908	0.732421916907403	-103.240311042171	226.319742214872	0.649308767843575	0.868176891835791	0.0753553498286408	0.0612243782757862	0.0672526247521713	0.0352072445508372	0.0691858938849023	-0.100397107463571	0.170811596565246	-0.0396404693623349	0.0870237020162689	-0.210206925314222	0.130925986589552	459.614653038547	33.2344213479435	-89.2277847117638	31.9191431928576	0.00633518748872507	0.0297150460780676	-79.9976976923725	31.9514733061588	0.0140920122695983	0.12618756441413	0.109456520855604	0.0166379118898646	0.0207522647981669	-0.194136074909432	0.0708521904631231	-0.333006368217153	-0.0552657816017104	-0.174053845245145	0.0706480505488978	-0.312524024320985	-0.0355836661693058	DMD	ENSG00000198947	protein_coding	chrX	31.097677	33339609	ENSG00000198947	protein_coding	FALSE	NPX
F8	F8	686.993088811511	30.7997956997568	-92.143684631434	18.4245560608386	2.60416081861966e-06	1.89731716785147e-05	-123.274632653956	23.1831522604718	6.96690043931262e-07	1.91321804371893e-05	0.304407746933933	1.58888131366055e-06	3.39659059267555e-06	-0.134126072200874	0.0274849912129726	-0.1879966549783	-0.0802554894234473	-0.179440862887309	0.0346915024583672	-0.247436207705709	-0.11144551806891	562.776622212837	24.7722098806333	-99.4119482397412	24.5981153542244	0.000111740986978992	0.000830678280560806	-50.1026477661535	24.6230301788985	0.0448144667264062	0.252241427002915	0.147915463227159	0.00365218988095307	0.00501380771113418	-0.176645482978404	0.0443947198723336	-0.263659133928178	-0.08963183202863	-0.0890275924560441	0.0439279065040429	-0.175126289203968	-0.00292889570812001	F8	ENSG00000185010	protein_coding	chrX	154.835788	155026940	ENSG00000185010	protein_coding	FALSE	NPX
GRIPAP1	GRIPAP1	3154.91499306059	74.9661383401268	10.1366365536303	37.1507138070173	0.785559422478152	0.868953857491244	134.031275327395	46.7458022830696	0.00510035729125982	0.0459439084068926	0.373713264413954	1.96212111680822e-08	5.69493690000434e-08	0.00321296661746081	0.0117757513881848	-0.0198675061033815	0.0262934393383031	0.0424833238366816	0.0148511665171633	0.0133750374630416	0.0715916102103216	1501.69202298176	40.9263077681964	-159.167535371518	28.1007966368509	1.74942224908025e-07	1.86289828685843e-06	-66.432245119254	28.1292592410516	0.0203491566566628	0.157207210249513	0.660191526184883	1.01103054622077e-19	1.02140009028457e-18	-0.105992129501677	0.0189344013986874	-0.143103556243104	-0.0688807027602494	-0.0442382619755455	0.0187704697686074	-0.081028382722016	-0.00744814122907499	GRIPAP1	ENSG00000068400	protein_coding	chrX	48.97372	49002264	ENSG00000068400	protein_coding	FALSE	NPX
HMGN5	HMGN5	2031.40007440075	116.82605519834	-167.221274960838	57.3503406243099	0.00442599562692781	0.0164591712376378	-194.207747343336	72.1624811199268	0.00841185466883857	0.0667340470394526	0.389888166115964	6.42413134196606e-09	1.9435719398999e-08	-0.0823182380802894	0.0286261027555368	-0.138425399481142	-0.0262110766794372	-0.0956029045143294	0.0359464873243757	-0.166058019670106	-0.0251477893585531	174.925334956535	7.71590066893479	-31.6131612137916	4.55091918522834	5.67709121393759e-10	7.71301358031521e-09	-25.2933695504488	4.55552869908635	2.82396747866193e-07	9.27202655494e-06	0.739406108462357	8.80275262246278e-25	1.50794979706536e-23	-0.180723742627943	0.0272102566761972	-0.23405584571329	-0.127391639542597	-0.144595232913138	0.0268123468086738	-0.197147432658138	-0.0920430331681372	HMGN5	ENSG00000198157	protein_coding	chrX	81.113699	81201913	ENSG00000198157	protein_coding	FALSE	NPX
