gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
ABCB7	1084.07723302766	35.0225749696048	-21.9808417393623	41.9466788382191	0.603157300122385	0.868984614134023	0.136233968658843	0.0620064195928165	0.0954139599448646	-0.0202760846457159	0.0386989856363866	NPX	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ENSG00000131269	protein_coding
ABCD1	936.125508047232	73.4036729697666	160.106147508849	94.1820289705823	0.0969021095008459	0.380585796264995	0.0447957463629021	0.254418350864626	0.318656871348718	0.171030642934656	0.101498222301183	NPX	ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ENSG00000101986	protein_coding
ACOT9	3430.45018696081	131.444931224629	82.3668805400228	168.933170951272	0.628515603828036	0.87626534298461	0.00738160411214916	0.404103757250098	0.471662899329061	0.0240105164194194	0.0492537831513735	NPX	ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ENSG00000123130	protein_coding
ACSL4	11364.7715239282	544.550572276165	-344.505686168889	647.183311329944	0.597452209269594	0.868984614134023	0.163431935591276	0.0379740279654308	0.0622443849694236	-0.0303134722456621	0.056964963558937	NPX	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ENSG00000068366	protein_coding
AFF2	1175.96458754872	121.954026938349	-179.657405561121	127.767871825292	0.16740863791325	0.526189387128922	0.338736961842947	0.000740580238614608	0.0021984153539977	-0.152774503129907	0.109798520651492	NPX	AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	ENSG00000155966	protein_coding
AIFM1	2228.09509624966	87.9986664974468	-17.6994733588914	112.602382879764	0.875889332139765	0.949798600248322	0.0135799661568081	0.376214497310302	0.444388537050781	-0.00794376927119641	0.0505384859421309	NPX	AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	ENSG00000156709	protein_coding
AKAP17A	1531.86410874777	174.807959485965	889.706195453901	116.86745069179	2.6654525548321e-09	1.25609451646463e-07	0.78458317288735	4.41180280057412e-13	1.84805517312938e-11	0.580799687369917	0.101059630526457	PAR1	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	ENSG00000197976	protein_coding
ALG13	1377.65491249598	61.1740004717366	137.509756296816	62.4023466382286	0.0333717891988179	0.179730921827919	0.412882186976896	8.84275915818294e-05	0.000362360891590757	0.0998143693674933	0.0455123931119951	NPX	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding
AMER1	433.106257456844	23.4429065058314	34.9742104275752	23.2847871101802	0.140945977808067	0.478708411113885	0.475364470297157	1.12794032549886e-05	6.40978181392096e-05	0.0807520321524333	0.0539396818258242	NPX	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	ENSG00000184675	protein_coding
AMMECR1	2188.17294169671	102.060251346087	-336.010324207804	107.953035801013	0.00341824710365672	0.0292881626836042	0.360819639746214	0.000406238788703755	0.00134095030287887	-0.153557480674841	0.049851958286371	NPX	AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	ENSG00000101935	protein_coding
AMOT	1154.05540809342	149.006235444426	51.1214505900143	172.593777773818	0.768613417674573	0.921744880710331	0.214273184867344	0.0139599006673612	0.0269891412902316	0.0442972237134353	0.149663477357221	NPX	AMOT	ENSG00000126016	protein_coding	chrX	112774503	112840831	ENSG00000126016	protein_coding
AP1S2	3253.13809144748	463.244878608433	551.209964728193	613.532092160688	0.374337684847826	0.744646036607721	0.0678975674977926	0.184601835946875	0.241648931083236	0.169439460986094	0.190134145604658	NPX	AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	ENSG00000182287	protein_coding
APEX2	1152.86319823447	70.2699007422381	4.66260840529911	81.1956611618253	0.954493070613466	0.973424587534692	0.20123816938993	0.018233520299292	0.0327335102515861	0.00404437266489171	0.0704300030160169	NPX	APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	ENSG00000169188	protein_coding
APOO	549.998436575023	27.5236609237615	-6.62197032095438	36.3991520551864	0.856559242690366	0.941035152094818	-0.0379100967189832	0.635852148849364	0.68101210260287	-0.0120399802628368	0.0661832072495954	NPX	APOO	ENSG00000184831	protein_coding	chrX	23833353	23907938	ENSG00000184831	protein_coding
APOOL	1692.50592149415	118.836587049673	-45.5096700678296	74.5445687587598	0.544982175720785	0.863270085070319	0.766085550891561	2.20712583703245e-12	6.93405367134361e-11	-0.0268889281212402	0.0440843499004321	NPX	APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	ENSG00000155008	protein_coding
AR	1045.40836326697	139.804013402635	-108.22564194739	120.703853407099	0.375285800942883	0.744646036607721	0.552552806089719	5.79090111810485e-07	4.85148827005673e-06	-0.103524752384014	0.116288021871822	NPX	AR	ENSG00000169083	protein_coding	chrX	67544021	67730619	ENSG00000169083	protein_coding
ARAF	2863.81430549095	93.8499245552936	-28.718463117523	100.770922668664	0.777124050135105	0.921744880710331	0.305751691029333	0.00173236925448961	0.00438324301303747	-0.0100280465330659	0.0351891940553068	NPX	ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ENSG00000078061	protein_coding
ARHGEF6	1793.94858239017	155.423230720339	236.161896018312	203.600521385863	0.252955067534403	0.626182950663934	0.0323259465353424	0.29925011111202	0.369892760292563	0.131643625874529	0.114064589560031	NPX	ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ENSG00000129675	protein_coding
ARHGEF9	1215.35693317517	36.6513364882925	-20.6155328462293	40.9633639927696	0.617536394904646	0.870846895876061	0.355415060086604	0.000471695798700169	0.00151990868470054	-0.0169625336257146	0.033708682905175	NPX	ARHGEF9	ENSG00000131089	protein_coding	chrX	63634967	63809274	ENSG00000131089	protein_coding
ARMCX1	2898.64188109833	113.597374707465	149.208972643027	126.251078972117	0.244246510378075	0.626182950663934	0.295206529668316	0.00224741446898484	0.00535057790691076	0.0514754767106623	0.0436019447443996	NPX	ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ENSG00000126947	protein_coding
ARMCX2	6721.6340458689	260.986040650433	405.566358743115	327.732823810807	0.223120208897277	0.605153372332902	0.0582759624556288	0.211643083684544	0.271022665673271	0.060337464963951	0.0488141608095226	NPX	ARMCX2	ENSG00000184867	protein_coding	chrX	101655281	101659850	ENSG00000184867	protein_coding
ARMCX3	6060.67715387456	458.560640957103	523.28177817902	570.895612567473	0.364846785662599	0.743498584836755	0.0676567470814176	0.185244349913911	0.241650933970742	0.0863404805920885	0.0944229235998604	NPX	ARMCX3	ENSG00000102401	protein_coding	chrX	101622797	101627843	ENSG00000102401	protein_coding
ARMCX4	794.388460915657	49.8852328832393	81.7493917082681	61.8481091323134	0.193752434220314	0.57066146641452	0.0772201483724954	0.161036920817047	0.216824711242952	0.10290858406231	0.0781239922507562	NPX	ARMCX4	ENSG00000196440	protein_coding	chrX	101418287	101533459	ENSG00000196440	protein_coding
ARMCX5	668.389351478969	14.6183844921692	-18.0077541132944	17.6948213122429	0.314943902399482	0.686322839332976	0.171710041972707	0.0325066500184464	0.054310672003332	-0.0269420122768982	0.0264803798012507	NPX	ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ENSG00000125962	protein_coding
ARMCX6	1883.57869694136	58.1565158462251	-35.3566539856126	75.4005778894784	0.641674323241421	0.877371584969991	0.0552986038486896	0.220591748748351	0.28001040160986	-0.0187709990790543	0.0400346851134153	NPX	ARMCX6	ENSG00000198960	protein_coding	chrX	101615118	101618001	ENSG00000198960	protein_coding
ARSD	1172.61392787198	118.32852701316	267.711528429005	153.698109235011	0.0892293635493521	0.361281018241558	0.0791732493110302	0.156415608626198	0.215214176832397	0.22830321392723	0.13308231882145	NPX	ARSD	ENSG00000006756	protein_coding	chrX	2903972	2929349	ENSG00000006756	protein_coding
ASMTL	1715.0283750949	116.894758680697	629.576676219849	154.990939573968	0.000220494981729516	0.00325730247109354	0.336975209996921	0.00077605701805759	0.00226801159540861	0.367094029091507	0.093771957766104	PAR1	ASMTL	ENSG00000169093	protein_coding	chrX	1403139	1453762	ENSG00000169093	protein_coding
ATG4A	914.182604643652	39.156617571092	-28.1382333639841	44.4127157701757	0.529972613531861	0.85583542970907	0.319516344039249	0.00122327895645821	0.00336624939112953	-0.0307796639545032	0.0485997717087314	NPX	ATG4A	ENSG00000101844	protein_coding	chrX	108091668	108154671	ENSG00000101844	protein_coding
ATP11C	5808.24688089779	240.519349680702	-200.654362813928	295.712636518345	0.501333233078181	0.840184172573467	0.118974406979695	0.0832681409653263	0.122148206785712	-0.0345464590139654	0.050932640468962	NPX	ATP11C	ENSG00000101974	protein_coding	chrX	139726346	139945276	ENSG00000101974	protein_coding
ATP6AP1	5584.3635582927	275.781073627589	71.5505135041664	363.904807190474	0.845121485278096	0.936029856183624	-0.0437410314421511	0.667572399143322	0.706951669879305	0.012812653180131	0.0651680281790222	NPX	ATP6AP1	ENSG00000071553	protein_coding	chrX	154428633	154436516	ENSG00000071553	protein_coding
ATP6AP2	15407.0876125912	1057.03788757846	-827.900208480873	1224.12301523134	0.502728967205893	0.840184172573467	0.212297727415182	0.0145433469862499	0.0278316843340924	-0.0537350230814734	0.0795374253392068	NPX	ATP6AP2	ENSG00000182220	protein_coding	chrX	40579372	40606848	ENSG00000182220	protein_coding
ATP7A	1674.2617337684	77.4058435003537	36.6843580408775	75.5417710063692	0.629888349996895	0.87626534298461	0.461444597360916	1.82771390729754e-05	9.43901565823522e-05	0.0219107665790753	0.0451308216289149	NPX	ATP7A	ENSG00000165240	protein_coding	chrX	77910656	78050395	ENSG00000165240	protein_coding
ATRX	7219.21884106864	339.463636714267	-240.746821916526	383.177542029194	0.533384856320297	0.85583542970907	0.277100290011688	0.00347056476635513	0.00797806656656028	-0.0333480432186053	0.0531005829645138	NPX	ATRX	ENSG00000085224	protein_coding	chrX	77504880	77786233	ENSG00000085224	protein_coding
BCAP31	6768.63241227547	364.369271714127	181.904733028676	431.784431863009	0.675801537217345	0.903465175641628	0.160803291502198	0.0398714464627347	0.0644375872817147	0.0268746656560602	0.0638083780510208	NPX	BCAP31	ENSG00000185825	protein_coding	chrX	153700492	153724565	ENSG00000185825	protein_coding
BCOR	2879.69792410059	138.093674972565	37.4701786878294	158.580352559387	0.814417213971867	0.93348464269242	0.218941489156704	0.0126639671964634	0.0247373866998275	0.0130118434903315	0.0550719333651186	NPX	BCOR	ENSG00000183337	protein_coding	chrX	40049815	40177329	ENSG00000183337	protein_coding
BCORL1	892.529762439555	64.6554546890828	89.7049871369172	74.096547694982	0.233134647266518	0.618956070559699	0.226163888963055	0.0108717332207336	0.0215718074958766	0.100506437893708	0.0833372241175022	NPX	BCORL1	ENSG00000085185	protein_coding	chrX	129981107	130058071	ENSG00000085185	protein_coding
BEX1	-1061.80360074942	468.426904196967	2824.993814743	583.814485877856	1.97587042550467e-05	0.000438178323773683	0.374606806662026	0.00027547807909478	0.000979766375648416	-2.66056153204709	1.29613874329934	NPX	BEX1	ENSG00000133169	protein_coding	chrX	103062651	103064171	ENSG00000133169	protein_coding
BEX4	629.481530260209	76.335963409606	-96.149179118797	102.507572966625	0.353888444992133	0.739809822547896	-0.0631699971798241	0.771174265122874	0.807590827642566	-0.152743447578282	0.163894515149098	NPX	BEX4	ENSG00000102409	protein_coding	chrX	103215108	103217246	ENSG00000102409	protein_coding
BGN	89855.1792298006	6108.92875814004	-16645.5850109382	7817.75030387698	0.0394441070948675	0.190646517625193	0.0701292769010688	0.178729656815835	0.23559818398451	-0.185249032427701	0.0879107298599523	NPX	BGN	ENSG00000182492	protein_coding	chrX	153494980	153509546	ENSG00000182492	protein_coding
BHLHB9	481.229704051195	17.492895641746	28.6394865307742	22.2328377225474	0.205091802593018	0.585754618011877	0.0952987340367439	0.122184453272644	0.172522617542273	0.0595131312337432	0.0462506741342309	NPX	BHLHB9	ENSG00000198908	protein_coding	chrX	102720688	102753540	ENSG00000198908	protein_coding
BRCC3	2324.18513686328	82.6716950670123	-38.207575094944	100.360906782816	0.705438959327184	0.906136689990469	0.155020528685027	0.0443403197574208	0.0702365569266707	-0.016439127197289	0.0431850744806437	NPX	BRCC3	ENSG00000185515	protein_coding	chrX	155071420	155123077	ENSG00000185515	protein_coding
BRWD3	1178.01039456266	64.7256103775675	-78.5177450927063	84.9530277017693	0.360899056036375	0.739809822547896	-0.0280851849031261	0.582688936506488	0.636735446559264	-0.0666528457262522	0.0722086151414716	NPX	BRWD3	ENSG00000165288	protein_coding	chrX	80669503	80809877	ENSG00000165288	protein_coding
C1GALT1C1	1945.43479339706	112.93577359636	-115.329035145522	133.182089038359	0.391682034956643	0.75881820361457	0.232517786007699	0.00948812128387675	0.0193352525622786	-0.0592818816322994	0.0685452233137555	NPX	C1GALT1C1	ENSG00000171155	protein_coding	chrX	120625674	120630054	ENSG00000171155	protein_coding
CA5B	600.095917250047	53.5624632275966	207.451600943273	59.9543435032146	0.00129732312632797	0.0136435525364869	0.305058961601265	0.00176253756678456	0.00442984441785187	0.345697404331502	0.104564200997322	NPX	CA5B	ENSG00000169239	protein_coding	chrX	15688830	15788411	ENSG00000169239	protein_coding
CASK	3682.06046259797	161.46451091302	-281.509341173159	186.986510190439	0.140050607671276	0.478708411113885	0.20561413822085	0.0166834383531326	0.0308316483290735	-0.0764542961835376	0.050893666664809	NPX	CASK	ENSG00000147044	protein_coding	chrX	41514934	41923554	ENSG00000147044	protein_coding
CCDC120	159.297555567002	16.1409531453843	6.2145740570865	16.764453895705	0.712817376663829	0.906136689990469	0.350641659305679	0.000537516996662392	0.00169042650854283	0.03901236296418	0.105314082314371	NPX	CCDC120	ENSG00000147144	protein_coding	chrX	49053572	49069857	ENSG00000147144	protein_coding
CCDC22	678.897171232371	40.8800362992555	59.9579001922404	52.0913292044514	0.256560248481864	0.628072816088718	0.0753673112878123	0.165520454581008	0.220498980130884	0.0883166151412909	0.0769134078915785	NPX	CCDC22	ENSG00000101997	protein_coding	chrX	49235470	49250520	ENSG00000101997	protein_coding
CD99	30323.087564589	2598.87600429826	13412.9958845601	3307.06038004113	0.000224641549730589	0.00325730247109354	0.302317532267611	0.0018867362290598	0.00467960235760226	0.442336086521202	0.115462108794702	PAR1	CD99	ENSG00000002586	protein_coding	chrX	2691187	2741309	ENSG00000002586	protein_coding
CD99L2	6229.59100229139	379.280081302729	316.923773201279	507.017438488445	0.535471907841828	0.85583542970907	-0.0670426835509035	0.790918839524288	0.823691719615073	0.0508739294577616	0.0814474766435545	NPX	CD99L2	ENSG00000102181	protein_coding	chrX	150766336	150898816	ENSG00000102181	protein_coding
CDK16	7647.6738186867	396.481911097289	1371.48535327452	362.86569287931	0.00051318166579477	0.00690962457159387	0.618399131760774	2.8322570119887e-08	2.88584025275606e-07	0.179333662207633	0.0483501604327092	NPX	CDK16	ENSG00000102225	protein_coding	chrX	47217860	47229997	ENSG00000102225	protein_coding
CDKL5	1496.45270332275	79.9483338212917	-54.487075230523	84.0494751300756	0.520512165322067	0.854749504081102	0.342357189466421	0.000672344535627877	0.00201200099912911	-0.0364108234824523	0.0561994840326754	NPX	CDKL5	ENSG00000008086	protein_coding	chrX	18425583	18653629	ENSG00000008086	protein_coding
CDR1	212.6379417573	22.2818777447019	-56.3978495149502	20.4490535200918	0.00872499023005835	0.0685275274319167	0.50685759473627	3.57790931953565e-06	2.28622341265244e-05	-0.265229474330228	0.100103972497445	NPX	CDR1	ENSG00000288642	protein_coding	chrX	140783578	140784366	ENSG00000184258	protein_coding
CENPI	1009.39957224588	149.174585233171	24.9860006583711	205.520032222978	0.903844698283589	0.956645758438759	-0.143434602886854	0.999735823083877	0.999735823083877	0.0247533299452248	0.203639081374998	NPX	CENPI	ENSG00000102384	protein_coding	chrX	101098188	101166126	ENSG00000102384	protein_coding
CETN2	3737.82722718343	168.58954337612	-57.6068748191687	147.148688214484	0.697514732863437	0.906136689990469	0.57667015198032	2.03501155839292e-07	1.78418455235845e-06	-0.0154118613081475	0.039373576423029	NPX	CETN2	ENSG00000147400	protein_coding	chrX	152826994	152830757	ENSG00000147400	protein_coding
CHIC1	730.56188301603	37.4294735168641	-33.1031548924496	39.4148195539642	0.405975727570202	0.76526424646983	0.373401397928107	0.000285115670246082	0.0010045664269418	-0.0453119108210074	0.0540013004435959	NPX	CHIC1	ENSG00000204116	protein_coding	chrX	73563200	73687102	ENSG00000204116	protein_coding
CHM	2848.87041530327	84.8566635717966	241.616066618749	94.7624421664578	0.0147182472808181	0.0956686073253178	0.375125731899503	0.000271423175752586	0.000974538450083096	0.0848111817655381	0.0333589521227375	NPX	CHM	ENSG00000188419	protein_coding	chrX	85861180	86047561	ENSG00000188419	protein_coding
CHST7	345.288644670313	54.070746379854	19.7705979195344	54.9847313385332	0.721063679037508	0.906136689990469	0.378533789555473	0.00024614170399876	0.000900926431141093	0.0572581758036429	0.159495034963284	NPX	CHST7	ENSG00000147119	protein_coding	chrX	46573765	46598496	ENSG00000147119	protein_coding
CLCN5	646.712374988394	39.8255108991348	-58.302585312796	48.0942996360128	0.232526431277935	0.618956070559699	0.161417359288137	0.0394209117552496	0.0643362932109485	-0.0901522648516542	0.0745743084412135	NPX	CLCN5	ENSG00000171365	protein_coding	chrX	49922596	50099235	ENSG00000171365	protein_coding
CMC4	627.940491875519	26.0643794286087	4.96416004279501	29.4001251815337	0.866766949546874	0.947162724577309	0.233461196018346	0.00929687453060062	0.0190484874893285	0.0079054625510264	0.0468210723912367	NPX	CMC4	ENSG00000182712	protein_coding	chrX	155061622	155071136	ENSG00000182712	protein_coding
COX7B	2256.65947614064	113.245268909473	17.5071808379295	78.4716915389169	0.824591656552657	0.93348464269242	0.723138677030891	5.87186731374367e-11	1.00622453512789e-09	0.00775800736576814	0.0347755655277957	NPX	COX7B	ENSG00000131174	protein_coding	chrX	77899440	77907376	ENSG00000131174	protein_coding
CSTF2	1271.7964963193	91.8201321895868	-27.5907970068439	119.797272952653	0.819022876262369	0.93348464269242	-0.0255087500796185	0.568893322298877	0.625285080194392	-0.0216943489675386	0.0942083370789581	NPX	CSTF2	ENSG00000101811	protein_coding	chrX	100820359	100841520	ENSG00000101811	protein_coding
CTPS2	1190.21537239553	73.7139326155639	129.503832328493	84.3907402330063	0.13276113227893	0.476675684468158	0.26525749386294	0.00457339409114081	0.0101421739550593	0.108807057388145	0.071223266687011	NPX	CTPS2	ENSG00000047230	protein_coding	chrX	16587999	16712936	ENSG00000047230	protein_coding
CUL4B	9528.21983361095	586.29133107332	474.053508606803	758.911697238482	0.535748438756872	0.85583542970907	-0.00859418544568769	0.481027518767155	0.550156445783525	0.0497525788536671	0.0797076560687577	NPX	CUL4B	ENSG00000158290	protein_coding	chrX	120505920	120604074	ENSG00000158290	protein_coding
CXorf38	1265.60370301017	47.7526995283772	247.589486954582	50.1360995983862	1.44077752809048e-05	0.00033948320505632	0.412968276742267	8.81929972926742e-05	0.000362360891590757	0.195629553205086	0.0402961876781548	NPX	CXorf38	ENSG00000185753	protein_coding	chrX	40626921	40647561	ENSG00000185753	protein_coding
DDX3X	22023.1481567918	745.951126755129	3443.72143704895	736.974972540138	3.33792578636483e-05	0.000648616306243095	0.673867568694549	1.39383034081264e-09	1.80518790094728e-08	0.156368263634776	0.033880196646079	NPX	DDX3X	ENSG00000215301	protein_coding	chrX	41333348	41364472	ENSG00000215301	protein_coding
DHRSX	1067.34871465817	53.0192989374149	634.929493570383	70.0787757766242	3.07077961651503e-11	1.92947319237694e-09	0.734720346276055	2.56060697259919e-11	5.36304904816608e-10	0.594866030989438	0.0719998901776245	PAR1	DHRSX	ENSG00000169084	protein_coding	chrX	2219506	2502805	ENSG00000169084	protein_coding
DIAPH2	2168.12458200687	84.1672384981083	-25.1025291721924	87.9728383345542	0.776852911846747	0.921744880710331	0.342351560368941	0.000672445957268615	0.00201200099912911	-0.0115779920492193	0.0405780351221341	NPX	DIAPH2	ENSG00000147202	protein_coding	chrX	96684663	97604997	ENSG00000147202	protein_coding
DKC1	4566.1182976176	248.919737352533	-237.372591038732	340.795943829738	0.490128721184068	0.832335711199971	-0.101403292990311	0.936172589698623	0.951312847213964	-0.05198564197572	0.0746895958836284	NPX	DKC1	ENSG00000130826	protein_coding	chrX	154762742	154777689	ENSG00000130826	protein_coding
