AR_adj_mean_lcl	AR_ci95_low_lcl	AR_ci95_hi_lcl	AR_pval_lcl	AR_pval_adj_lcl
ABCD1	0.152457506250586	0.0155579839665322	Inf	0.0364002050057175	0.12451863444727
ACOT9	0.105552198112586	0.00148757340368406	Inf	0.0483187381526355	0.130899854268049
AIFM1	0.0281180441688241	-0.0154561633897702	Inf	0.120466707207457	0.177156224831799
AKAP17A	0.812773732656117	0.723267887298827	Inf	1.06345923273033e-06	3.96138564192048e-05
APOO	0.0101507014814795	-0.00568490019571967	Inf	0.114274591049726	0.175228025080057
ARHGAP4	0.0160310283762718	-0.00326216739985207	Inf	0.0774592424546577	0.154284135188493
ARHGAP6	0.126205065405974	-0.108311796122567	Inf	0.128348740732737	0.18041117450247
ARMCX3	0.0468417111963597	-0.0308306646208734	Inf	0.145395409453483	0.190034350952359
ARMCX6	0.00670446092218792	-0.0046587225255376	Inf	0.129557017931304	0.18041117450247
ASMTL	0.769514352901182	0.663167067167335	Inf	1.3701018316614e-05	0.000226827969908388
ATG4A	0.0580405984321277	-0.0370155684070462	Inf	0.108269575743335	0.171618795593158
ATP11C	0	NA	NA	NA	NA
ATP6AP1	0.00304120645189825	-0.00411585760968249	Inf	0.195501109477885	0.211324865405187
ATP7A	0.0673252816874521	-0.0565158433661115	Inf	0.126665365529701	0.18041117450247
BCOR	0.0974442994357177	-0.0782296965405037	Inf	0.141426619028651	0.188147912814901
BEX2	0.107783599269667	-0.0172378400484894	Inf	0.0677448547818001	0.146289613949105
BEX4	0.0857487922705314	-0.116049280037355	Inf	0.195501109477885	0.211324865405187
BRCC3	0.0102967898243487	-0.0197696879866825	Inf	0.211324865405187	0.211324865405187
BRWD3	0.154841597741171	0.0275152128064594	Inf	0.0302608937780523	0.121265551226708
BTK	0.0751148663214039	-0.00885435765956273	Inf	0.066413258582061	0.145523169540104
C1GALT1C1	0.012665707729402	-0.0077584199181933	Inf	0.13337508840729	0.181774531425455
CA5B	0.385475711856404	0.148598430525685	Inf	0.0128011039443046	0.0762945795080555
CCDC22	0	NA	NA	NA	NA
CD99	0.395123442550671	0.18662478174836	Inf	0.0078017531916538	0.05237409939248
CD99L2	0.0584037890971197	0.000153885917854436	Inf	0.0496241145824985	0.132035590585576
CENPI	0.0569082797235669	0.00567921354918492	Inf	0.0396966069009752	0.12451863444727
CHM	0.254988610212979	-0.0496254015110825	Inf	0.0744470499061975	0.154284135188493
CLIC2	0.280754972803794	0.0482031919053171	Inf	0.03594882292577	0.12451863444727
CXorf38	0.0737218596438652	0.0217720777049559	Inf	0.0164800312456891	0.0909453576150993
CYBB	0.0167597765363129	-0.0321785292796714	Inf	0.211324865405187	0.211324865405187
DDX3X	0.588366317162592	0.488423739658658	Inf	1.3386799555052e-05	0.000226827969908388
DHRSX	0.632648725609065	0.460786364332656	Inf	0.000350654983250892	0.00373197089317021
DKC1	0.0202772468639468	-0.0389320215880505	Inf	0.211324865405187	0.211324865405187
DMD	0.176925194266235	-0.32955746471109	Inf	0.20751168448326	0.211324865405187
DNASE1L1	0.00224754365456268	-0.00304174340020599	Inf	0.195501109477885	0.211324865405187
DOCK11	0.0392639322521198	0.00107752949220737	Inf	0.046217069377462	0.129931006363054
DYNLT3	0.046471255944574	-0.00413311132898938	Inf	0.0623015215047079	0.145045729753148
EIF1AX	0.358797464502439	0.252296380289271	Inf	0.000303807596879245	0.00348210245653904
EIF2S3	0.217991542663995	0.0946944851402486	Inf	0.00808459252367141	0.05237409939248
ELF4	0.0103868576656194	-0.00312646706886965	Inf	0.0943327964316037	0.165359843156576
FAAH2	0.222483824424923	-0.0320057395984189	Inf	0.0659125058492515	0.145523169540104
FAM199X	0.0513577179921418	-0.0320338673723307	Inf	0.134828313587134	0.181774531425455
FAM50A	0.00438596491228062	-0.00842098938751618	Inf	0.211324865405187	0.211324865405187
FLNA	0.0673104485992599	-0.0533699838434472	Inf	0.15604807874751	0.200441066667061
FMR1	0.05709655733981	-0.020816689412717	Inf	0.0998989384520216	0.165388242548347
GDI1	0.0128751389403483	-0.0174247422598606	Inf	0.195501109477885	0.211324865405187
GEMIN8	0.40107164111646	-0.0208524929604919	Inf	0.0563312271705371	0.139889214140167
GK	0.0771381972344882	-0.0126982736086571	Inf	0.0645009426790562	0.145523169540104
GPR174	0.107223665991782	0.00291739511481162	Inf	0.0460795398689264	0.129931006363054
GRIPAP1	0.0276466864954598	-0.000504655808239593	Inf	0.0523609280572337	0.136873303167155
GTPBP6	0.81682977246625	0.74328916962412	Inf	3.22832225331803e-07	1.60340005248129e-05
HCFC1	0.0118600964477655	-0.00674304800208296	Inf	0.115250647368091	0.175228025080057
HDAC8	0.0311055065153426	-0.0372001810707902	Inf	0.157495488805596	0.200571178051571
HMGB3	0.0735486508828538	0.00625841433741612	Inf	0.0389309257378588	0.12451863444727
HNRNPH2	0.00475391498881434	-0.00912744822875097	Inf	0.211324865405187	0.211324865405187
HTATSF1	0	NA	NA	NA	NA
HUWE1	0.00539207842151396	-0.000218936014714464	Inf	0.0552881914946151	0.139626110723689
IDS	0.0107673129848925	-0.0121869485993238	Inf	0.186950483150029	0.211324865405187
IL3RA	0.659551349095309	0.459570646720819	Inf	0.000581522089300524	0.00577645275371854
ITM2A	0.0880865705643432	0.0314455436623266	Inf	0.0107583713136633	0.0667915552389931
KDM6A	0.771394283254181	0.59162444907211	Inf	0.000170899533509605	0.00212200254107759
KLHL15	0.176255554056479	-0.0637961368187413	Inf	0.0962848732238464	0.165388242548347
LAMP2	0.158299204556426	-0.0865900536790828	Inf	0.127888046127971	0.18041117450247
