gene_name.84	intercept_LCL	intercept_err_LCL	x_coeff_LCL	x_coeff_err_LCL	x_pval_LCL	x_adj_pval_LCL	y_coeff_LCL	y_coeff_err_LCL	y_pval_LCL	y_adj_pval_LCL	adj.r.sq_LCL	reg_pval_LCL	reg_adj_pval_LCL	deltaEx_LCL	deltaEx_err_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	deltaEy_LCL	deltaEy_err_LCL	deltaEy_95_CI_lo_LCL	deltaEy_95_CI_hi_LCL	intercept_Fib	intercept_err_Fib	x_coeff_Fib	x_coeff_err_Fib	x_pval_Fib	x_adj_pval_Fib	y_coeff_Fib	y_coeff_err_Fib	y_pval_Fib	y_adj_pval_Fib	adj.r.sq_Fib	reg_pval_Fib	reg_adj_pval_Fib	deltaEx_Fib	deltaEx_err_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	deltaEy_Fib	deltaEy_err_Fib	deltaEy_95_CI_lo_Fib	deltaEy_95_CI_hi_Fib	Gene	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84	Human_NPY	region
ABCB7	ABCB7	3861.64104516871	103.756129163334	-172.083546866388	56.2303559901202	0.0028741038660995	0.0110328503247045	-157.344175314458	70.7532328200995	0.0285282329263746	0.145874325988585	0.258683380428119	2.09795638676295e-05	3.61821463804046e-05	-0.0445622844934492	0.0146104016704987	-0.0731986717676265	-0.0159258972192718	-0.0407454171617818	0.0183547411680821	-0.0767207098512227	-0.00477012447234092	965.136112236123	22.4450400417146	9.63884266059824	18.6038635822741	0.605653083657823	0.803458972933274	15.0905784140258	18.6227069770928	0.419886814066661	0.722425348219495	0.328316551986471	3.91261277879271e-07	8.96261299328099e-07	0.00998702933026307	0.0192772954538566	-0.0277964697592958	0.047770528419822	0.0156356996932406	0.0192988462527493	-0.022190038962148	0.0534614383486293	ABCB7	ENSG00000131269	protein_coding	chrX	75.051048	75156732	ENSG00000131269	protein_coding	FALSE	NPX
ARAF	ARAF	4278.32060310836	105.190089256691	-119.932618384907	49.03926026405	0.0163006672367677	0.0489020017103032	-81.8241808550799	61.7048591938031	0.18800018719624	0.479400477350411	0.462003067139225	2.74487322673267e-11	1.30655965592475e-10	-0.0280326393252932	0.0114829719247695	-0.0505392642978414	-0.00552601435274503	-0.0191253036987531	0.014430345903219	-0.0474087816690624	0.00915817427155616	2817.54668128142	59.5827016859044	-41.0331642557229	46.40014116349	0.378873007627558	0.627209936996882	-21.0741252828811	46.4471387226646	0.651120555377157	0.850262477825825	0.397067778547602	4.67905924500778e-09	1.36559210558005e-08	-0.0145634372371999	0.0164711571456784	-0.0468469052427297	0.0177200307683298	-0.00747960110932274	0.0164857168063921	-0.0397916060498512	0.0248324038312057	ARAF	ENSG00000078061	protein_coding	chrX	47.561205	47571908	ENSG00000078061	protein_coding	FALSE	NPX
ARHGAP6	ARHGAP6	1438.0470350717	119.910623618247	-206.445725389165	72.5872261034122	0.00545377117832931	0.0192771911946888	-240.604289978775	91.3346682201745	0.00984403606406099	0.0732150182264536	0.108160444205736	0.0196322409385567	0.0226087419840799	-0.143559786539855	0.0518762792735091	-0.245237293915933	-0.0418822791637769	-0.167313226974372	0.0650272168632797	-0.294766572026401	-0.0398598819223442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARHGAP6	ENSG00000047648	protein_coding	chrX	11.117651	11665920	ENSG00000047648	protein_coding	FALSE	NPX
ARMCX1	ARMCX1	217.201686520638	21.9179707935707	-65.5854239038483	13.3011644410048	3.4718368567965e-06	2.3835495343776e-05	-63.2635530841998	16.7365183431916	0.000273814847075508	0.00465485240028364	0.234333686212262	7.52669894461985e-05	0.000119956764429879	-0.30195632895151	0.0684006271720206	-0.43602155820867	-0.167891099694349	-0.29126639897517	0.0824705183234546	-0.452908614889141	-0.129624183061199	2760.80680880765	77.8798034576523	59.3767345985974	69.7966560842184	0.39718796317712	0.646094007215789	-89.5661357871227	69.8673513966087	0.203154292249645	0.523155497688627	0.210962268573233	0.000218316153076006	0.000355440348396473	0.0215070226606117	0.0252885318294522	-0.0280584997251145	0.071072545046338	-0.0324420149578683	0.0253234018133945	-0.0820758825121215	0.0171918525963849	ARMCX1	ENSG00000126947	protein_coding	chrX	101.550547	101554700	ENSG00000126947	protein_coding	FALSE	NPX
ARMCX5	ARMCX5	957.939340425579	27.2496626732122	-69.1335479282267	14.8871172958165	1.09713885389592e-05	7.12142856074262e-05	-49.5502344380015	18.7320826536489	0.00955409623995776	0.0725704756949983	0.36617860848948	3.26037369588956e-08	9.09338601119197e-08	-0.0721690247083005	0.0156757815080819	-0.102893556464141	-0.0414444929524599	-0.0517258581487926	0.0196098406310456	-0.090161145785642	-0.0132905705119432	693.487501775854	12.1187904380884	-44.0823714331478	11.5264836917796	0.000241301333806194	0.00163918492275242	-46.0363636648104	11.5381585829717	0.000134464120823697	0.00344071183595857	0.272906190769318	9.28200106525839e-06	1.8470244543999e-05	-0.0635662089370948	0.0166581187156866	-0.0962161216198407	-0.030916296254349	-0.0663838404396942	0.0166782687908943	-0.099073247269847	-0.0336944336095413	ARMCX5	ENSG00000125962	protein_coding	chrX	102.599168	102604159	ENSG00000125962	protein_coding	FALSE	NPX
BEX2	BEX2	192.436232331091	13.1330832298367	-45.3198895729697	8.14654927955427	2.43620276421632e-07	1.93272085961162e-06	-45.7341628957201	10.2505966342804	2.23335183113805e-05	0.000498316627322677	0.284645975296535	4.99249745480582e-06	9.23482689826776e-06	-0.235506011648554	0.0452821223865571	-0.324258971526206	-0.146753051770902	-0.237658793989655	0.0556820798991626	-0.346795670592014	-0.128521917387296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BEX2	ENSG00000133134	protein_coding	chrX	103.309346	103311007	ENSG00000133134	protein_coding	FALSE	NPX
CFP	CFP	489.954739498335	49.5413491983905	-84.1031009289465	29.9421374954219	0.00603571917500724	0.0207187667834383	9.25803534204349	37.6754332787301	0.806420303098265	0.951059765922237	0.100457764584494	0.0259676142182873	0.0294299627807256	-0.171654836965267	0.0635290364957924	-0.29617174849702	-0.0471379254335139	0.0188956950422049	0.0769194749440145	-0.131866475848064	0.169657865932473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CFP	ENSG00000126759	protein_coding	chrX	47.623172	47630305	ENSG00000126759	protein_coding	FALSE	NPX
CMC4	CMC4	1629.53725654795	55.5334741463309	-113.933691306242	31.548306015494	0.000488817294978935	0.00239051745626684	-25.5508799796485	39.6964344487911	0.521348844292721	0.782023266439081	0.24069753504559	5.42458291438371e-05	8.72331576772516e-05	-0.0699178192142729	0.0195063614952783	-0.108150287745018	-0.0316853506835274	-0.0156798378662272	0.0243664164876622	-0.0634380141820451	0.0320783384495908	602.966462152349	19.4594130612507	22.9290581763971	14.9617369974453	0.128903630934113	0.317425191175253	21.966675512354	14.9768913720283	0.145942044577994	0.451139113882649	0.411349487685694	1.72803174574538e-09	5.4906815147071e-09	0.0380270871029038	0.0248438777659774	-0.0106669133184119	0.0867210875242194	0.0364310071806345	0.0248664914391482	-0.012307316040096	0.0851693304013651	CMC4	ENSG00000182712	protein_coding	chrX	155.061622	155071136	ENSG00000182712	protein_coding	FALSE	NPX
RADX	CXorf57	1026.38379092201	46.0509986857722	-192.14054894221	25.822287455162	4.45326460213592e-11	5.29938487654174e-10	-144.213464064841	32.4915303147578	2.44123491276772e-05	0.000512659331681221	0.490856690435911	2.42146149569314e-12	1.29024142382455e-11	-0.187201464638883	0.0265235255156482	-0.239187574649554	-0.135215354628213	-0.140506373288779	0.0322779253447576	-0.203771106964504	-0.0772416396130545	238.083963210026	16.0874803494727	-46.3803272773568	14.8915133998616	0.00247118413040013	0.0135228687135785	-42.1062523424663	14.9065966466936	0.00582823758578428	0.0681401977773683	0.22845687712937	9.30835706356312e-05	0.000161563554319113	-0.194806599537502	0.0639174225282944	-0.320084747692959	-0.0695284513820447	-0.176854634704322	0.0637409038691409	-0.301786806287838	-0.0519224631208053	RADX	ENSG00000147231	protein_coding	chrX	106.61193	106679439	ENSG00000147231	protein_coding	FALSE	NPX
DNASE1L1	DNASE1L1	1145.25613807918	53.8818372646512	-109.979870759957	32.3027625164899	0.000971887959028328	0.00433705001716392	-37.0328814502462	40.6457479561958	0.364541782761062	0.681169255939258	0.119817549719784	0.0126778974435305	0.0151371551416067	-0.0960308066494321	0.0285652724163311	-0.152018740585441	-0.0400428727134231	-0.0323358943199881	0.0355231222818129	-0.101961213992341	0.0372894253523651	1024.0603666718	151.199766116242	6.48605481044982	134.05791093616	0.961518624437525	0.98399568319061	17.990359624679	134.193694889486	0.893652386267925	0.977839854484359	0.213716376266907	0.00019128821028149	0.000312728443364759	0.00633366451972899	0.130911551465163	-0.250252976351991	0.262920305391449	0.0175676749244264	0.13106647357782	-0.239322613288101	0.274457963136954	DNASE1L1	ENSG00000013563	protein_coding	chrX	154.401236	154412112	ENSG00000013563	protein_coding	FALSE	NPX
