gene	intercept	intercept_err	chr21_coeff	chr21_coeff_err	chr21_pval	chr21_adj_pval	deltaEchr21	deltaEchr21_err	deltaEchr21_95_CI_lo	deltaEchr21_95_CI_hi	sex_coeff	sex_coeff_err	sex_pval	sex_adj_pval	deltaEsex	deltaEsex_err	deltaEsex_95_CI_lo	deltaEsex_95_CI_hi	adj.r.sq	reg_pval	reg_adj_pval
ABCG1	467.64687278189	117.739879514953	1298.64408190464	334.864374640448	0.000458561879076032	0.00132010237915828	2.77697587108709	1.00078599543529	0.81543532003392	4.73851642214026	-94.4796160776454	198.550149583452	0.637226325885648	0.9659305338046	-0.202031963809818	0.182849402660736	-0.560416793024861	0.156352865405226	0.323792928877468	0.0064755718839638	0.010252988816276
ADARB1	90.0161481961294	44.5983604038754	183.297425290627	130.238746415041	0.168387034223363	0.199959603140243	2.03627270177406	1.76384634134463	-1.42086612726142	5.49341153080954	-9.22602236059517	77.2220771768661	0.905603084690221	0.97763969369967	-0.102492969822407	0.738518097270807	-1.54998844047319	1.34500250082838	-0.0822558497273431	0.747505918262706	0.755458108882522
AGPAT3	5400.90840931082	404.40910970587	2284.95191811678	784.587694556352	0.00629591572811189	0.0112851319654836	0.423068073914689	0.148683479389141	0.131648454311972	0.714487693517406	-822.461735162135	465.203276050981	0.0860408652550844	0.83031454907367	-0.152282111236003	0.0075491303614592	-0.167078406744463	-0.137485815727543	0.718478648426434	1.30685607335628e-08	4.13837756562821e-07
AP000275.65	56.7278077305289	13.5752779617495	18.959882654558	20.824711348072	0.368994379719072	0.422342964738697	0.33422554851092	0.375710883872947	-0.402167783880055	1.0706188809019	-0.291365384934978	12.3475349016493	0.981311975938592	0.981311975938592	-0.00513620033263115	0.0473786162405796	-0.0979982881641671	0.0877258874989048	0.703344841107909	3.01008453743947e-08	7.14895077641874e-07
APP	3553.82449797869	774.330534491909	-1009.424145975	2177.82827108579	0.645959364881197	0.689507187232738	-0.28403882818331	0.615929688983774	-1.49126101859151	0.923183362224888	-2346.05720537872	1291.29331675082	0.0780677522050854	0.83031454907367	-0.6601499895994	0.15271482220575	-0.959471041122671	-0.36082893807613	-0.0229083631111482	0.542235232840548	0.553896205589807
ATP5J	2584.89197972452	200.728608362714	1685.01756847726	432.807590796697	0.000439281241436634	0.00130411618551501	0.651871560473038	0.174922116902305	0.30902421134452	0.994718909601556	-49.4090420388676	256.623332911442	0.848468380242243	0.968261996149878	-0.0191145480841847	0.00985835731971138	-0.038436928430819	0.000207832262449612	0.412163155199704	0.000959765929669957	0.00217089912663443
ATP5O	6071.20286627904	395.74382800473	3350.48925232868	816.248197754928	0.000239591909213489	0.00084300856945487	0.551865804211242	0.139175171249533	0.279082468562157	0.824649139860328	-493.221897122315	483.975645171208	0.315350422434983	0.9659305338046	-0.0812395678394789	0.00638277850309222	-0.0937498137055396	-0.0687293219734181	0.590326977377537	4.670632651745e-06	3.16935787082696e-05
BACH1	1287.68459595316	209.510971386439	1423.40948960812	591.188223428708	0.0216261795562311	0.0321013602787806	1.10540228102557	0.493080744165573	0.13896402246105	2.0718405395901	174.678140345478	350.531495981856	0.621464360325664	0.9659305338046	0.135652892714911	0.0745900195212306	-0.0105435455467008	0.281849330976523	0.345057332974676	0.0042348864198203	0.00745026314598015
BRWD1	1078.24251503844	120.090664955709	601.136499070105	281.204244529486	0.039813045338469	0.0548150624225298	0.557515114351317	0.268088833224808	0.0320610012306944	1.08296922747194	15.2795959546517	166.733606328772	0.927521271711832	0.979050231251378	0.0141708342432658	0.0239143523433532	-0.0327012963497064	0.061042964836238	0.57346460456456	8.64168044544657e-06	5.47306428211616e-05
BTG3	1587.26145299739	115.658513584218	984.443632845436	296.170138984451	0.00213409978774681	0.00460771545081698	0.620215170592349	0.191986847805029	0.243920948894492	0.996509392290207	-204.856488935412	175.607290147405	0.251505452389123	0.9659305338046	-0.129062851333383	0.0123286320113262	-0.153226970075583	-0.104898732591184	0.35712990518641	0.00329655379227335	0.00614063941697977
